Kode,NIM,CAR,LDR,NPL,BOPO,CIR,LAR,Period,Bank_Metric_Source,Bank_Metric_Source_URL,Bank_Metric_Last_Update,Bank_Metric_Confidence,Bank_Metric_Notes
AGRO,4.44,44.29,87.62,3.22,96.68,58.02,,Latest workbook snapshot,Excel Banking fallback,Ringkasan.xlsx,2026-06-22 01:40:55,Fallback,Extracted from Ringkasan.xlsx; replace with OJK/IDX source when available.
AGRS,3.42,26.05,85.34,1.84,86.12,51.46,6.22,Latest workbook snapshot,Excel Banking fallback,Ringkasan.xlsx,2026-06-22 01:40:55,Fallback,Extracted from Ringkasan.xlsx; replace with OJK/IDX source when available.
AMAR,24.03,98.47,142.67,8.11,85.22,101.0,11.28,Latest workbook snapshot,Excel Banking fallback,Ringkasan.xlsx,2026-06-22 01:40:55,Fallback,Extracted from Ringkasan.xlsx; replace with OJK/IDX source when available.
ARTO,7.34,44.4,94.08,0.16,92.35,73.73,,Latest workbook snapshot,Excel Banking fallback,Ringkasan.xlsx,2026-06-22 01:40:55,Fallback,Extracted from Ringkasan.xlsx; replace with OJK/IDX source when available.
BABP,3.15,24.66,78.71,2.99,94.63,77.62,6.85,Latest workbook snapshot,Excel Banking fallback,Ringkasan.xlsx,2026-06-22 01:40:55,Fallback,Extracted from Ringkasan.xlsx; replace with OJK/IDX source when available.
BACA,0.56,36.41,59.96,0.08,97.41,,,Latest workbook snapshot,Excel Banking fallback,Ringkasan.xlsx,2026-06-22 01:40:55,Fallback,Extracted from Ringkasan.xlsx; replace with OJK/IDX source when available.
BANK,13.8,153.0,101.3,1.4,117.1,109.2,1.9,Latest workbook snapshot,Excel Banking fallback,Ringkasan.xlsx,2026-06-22 01:40:55,Fallback,Extracted from Ringkasan.xlsx; replace with OJK/IDX source when available.
BBCA,5.33,27.52,74.1,1.85,39.87,27.32,2.09,Latest workbook snapshot,Excel Banking fallback,Ringkasan.xlsx,2026-06-22 01:40:55,Fallback,Extracted from Ringkasan.xlsx; replace with OJK/IDX source when available.
BBHI,9.47,98.17,126.9,0.81,69.17,52.28,,Latest workbook snapshot,Excel Banking fallback,Ringkasan.xlsx,2026-06-22 01:40:55,Fallback,Extracted from Ringkasan.xlsx; replace with OJK/IDX source when available.
BBKP,1.43,16.05,93.67,4.24,119.55,127.78,19.0,Latest workbook snapshot,Excel Banking fallback,Ringkasan.xlsx,2026-06-22 01:40:55,Fallback,Extracted from Ringkasan.xlsx; replace with OJK/IDX source when available.
BBMD,5.61,43.15,100.52,1.33,68.96,60.63,,Latest workbook snapshot,Excel Banking fallback,Ringkasan.xlsx,2026-06-22 01:40:55,Fallback,Extracted from Ringkasan.xlsx; replace with OJK/IDX source when available.
BBNI,3.8,20.7,86.4,1.9,72.9,46.5,8.5,Latest workbook snapshot,Excel Banking fallback,Ringkasan.xlsx,2026-06-22 01:40:55,Fallback,Extracted from Ringkasan.xlsx; replace with OJK/IDX source when available.
BBRI,7.65,24.19,87.43,2.86,68.08,40.89,10.24,Latest workbook snapshot,Excel Banking fallback,Ringkasan.xlsx,2026-06-22 01:40:55,Fallback,Extracted from Ringkasan.xlsx; replace with OJK/IDX source when available.
BBSI,19.73,45.31,91.01,3.11,89.05,17.64,,Latest workbook snapshot,Excel Banking fallback,Ringkasan.xlsx,2026-06-22 01:40:55,Fallback,Extracted from Ringkasan.xlsx; replace with OJK/IDX source when available.
BBTN,2.86,18.5,93.79,3.16,88.7,57.15,19.65,Latest workbook snapshot,Excel Banking fallback,Ringkasan.xlsx,2026-06-22 01:40:55,Fallback,Extracted from Ringkasan.xlsx; replace with OJK/IDX source when available.
BBYB,18.34,22.23,75.7,3.3,99.23,40.58,11.43,Latest workbook snapshot,Excel Banking fallback,Ringkasan.xlsx,2026-06-22 01:40:55,Fallback,Extracted from Ringkasan.xlsx; replace with OJK/IDX source when available.
BCIC,3.69,13.38,83.08,1.18,96.15,68.09,6.43,Latest workbook snapshot,Excel Banking fallback,Ringkasan.xlsx,2026-06-22 01:40:55,Fallback,Extracted from Ringkasan.xlsx; replace with OJK/IDX source when available.
BDMN,7.4,25.4,95.5,1.7,79.3,55.3,8.3,Latest workbook snapshot,Excel Banking fallback,Ringkasan.xlsx,2026-06-22 01:40:55,Fallback,Extracted from Ringkasan.xlsx; replace with OJK/IDX source when available.
BEKS,3.7,19.3,87.4,1.4,87.9,56.0,6.3,Latest workbook snapshot,Excel Banking fallback,Ringkasan.xlsx,2026-06-22 01:40:55,Fallback,Extracted from Ringkasan.xlsx; replace with OJK/IDX source when available.
