Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,ACES,509.15698875571195,509.15698875571195,495.14349365234375,495.14349365234375,39529700.0
2025-06-16,ACES,495.1434855143229,499.8146504720052,481.12999064127604,490.4723205566406,44322300.0
2025-06-17,ACES,495.14350947627315,513.8281702112268,495.14350947627315,504.48583984375,49388500.0
2025-06-18,ACES,509.1570050274884,513.8281702112268,499.8146746600116,504.48583984375,31011900.0
2025-06-19,ACES,509.1570038428673,509.1570038428673,481.13001280564526,485.8011779785156,71535000.0
2025-06-20,ACES,490.4723350747118,495.1435001706614,476.4588397868629,481.1300048828125,58689300.0
2025-06-23,ACES,481.13000500586725,485.8011701030116,463.37957763671875,463.37957763671875,64554900.0
2025-06-24,ACES,465.2480357450598,485.80116182215073,465.2480357450598,476.4588317871094,46595500.0
2025-06-25,ACES,481.1300048828125,490.4723350747118,476.4588397868629,481.1300048828125,51928000.0
2025-06-26,ACES,484.0,498.0,480.0,494.0,88890600.0
2025-06-30,ACES,500.0,505.0,494.0,496.0,34638300.0
2025-07-01,ACES,496.0,500.0,492.0,494.0,18411800.0
2025-07-02,ACES,498.0,498.0,486.0,488.0,23939200.0
2025-07-03,ACES,490.0,494.0,480.0,488.0,39850600.0
2025-07-04,ACES,488.0,492.0,482.0,486.0,13151700.0
2025-07-07,ACES,488.0,488.0,482.0,484.0,7008400.0
2025-07-08,ACES,486.0,488.0,480.0,486.0,18022600.0
2025-07-09,ACES,488.0,515.0,484.0,510.0,75215700.0
2025-07-10,ACES,515.0,515.0,500.0,505.0,43334200.0
2025-07-11,ACES,505.0,510.0,500.0,505.0,21191500.0
2025-07-14,ACES,505.0,505.0,486.0,486.0,46284500.0
2025-07-15,ACES,488.0,496.0,486.0,490.0,25118500.0
2025-07-16,ACES,492.0,496.0,490.0,492.0,20312600.0
2025-07-17,ACES,494.0,505.0,490.0,492.0,56526300.0
2025-07-18,ACES,492.0,496.0,490.0,490.0,21937900.0
2025-07-21,ACES,490.0,494.0,482.0,482.0,47191500.0
2025-07-22,ACES,484.0,484.0,470.0,472.0,80287000.0
2025-07-23,ACES,472.0,478.0,470.0,474.0,37289000.0
2025-07-24,ACES,474.0,484.0,474.0,476.0,50065000.0
2025-07-25,ACES,476.0,482.0,472.0,474.0,30280700.0
2025-07-28,ACES,476.0,478.0,470.0,472.0,43282800.0
2025-07-29,ACES,472.0,482.0,470.0,478.0,44490300.0
2025-07-30,ACES,482.0,482.0,472.0,474.0,25482300.0
2025-07-31,ACES,474.0,478.0,470.0,470.0,29673200.0
2025-08-01,ACES,470.0,476.0,470.0,472.0,38481500.0
2025-08-04,ACES,472.0,478.0,470.0,476.0,33112300.0
2025-08-05,ACES,476.0,486.0,472.0,484.0,52434000.0
2025-08-06,ACES,488.0,490.0,480.0,484.0,41450500.0
2025-08-07,ACES,486.0,488.0,482.0,482.0,28350800.0
2025-08-08,ACES,482.0,482.0,472.0,474.0,29119200.0
2025-08-11,ACES,472.0,480.0,470.0,476.0,54847900.0
2025-08-12,ACES,476.0,484.0,476.0,478.0,50760000.0
2025-08-13,ACES,480.0,494.0,480.0,480.0,98837600.0
2025-08-14,ACES,482.0,484.0,476.0,482.0,91985300.0
2025-08-15,ACES,482.0,484.0,472.0,472.0,61036600.0
2025-08-19,ACES,472.0,474.0,458.0,458.0,107059900.0
2025-08-20,ACES,458.0,464.0,454.0,456.0,67306800.0
2025-08-21,ACES,456.0,466.0,456.0,460.0,44021800.0
2025-08-22,ACES,464.0,464.0,454.0,456.0,47923300.0
2025-08-25,ACES,456.0,464.0,456.0,460.0,54222400.0
2025-08-26,ACES,460.0,464.0,458.0,460.0,27424800.0
2025-08-27,ACES,462.0,462.0,456.0,458.0,22523300.0
2025-08-28,ACES,458.0,466.0,458.0,466.0,35585800.0
