Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,AIMS,340.0,340.0,336.0,338.0,5980800.0
2025-06-16,AIMS,338.0,342.0,320.0,320.0,20700.0
2025-06-17,AIMS,320.0,332.0,320.0,332.0,9200.0
2025-06-18,AIMS,340.0,340.0,330.0,330.0,600.0
2025-06-19,AIMS,330.0,330.0,298.0,330.0,6433300.0
2025-06-20,AIMS,330.0,330.0,330.0,330.0,0.0
2025-06-23,AIMS,320.0,328.0,320.0,328.0,3100.0
2025-06-24,AIMS,350.0,350.0,350.0,350.0,200.0
2025-06-25,AIMS,348.0,348.0,328.0,328.0,7120800.0
2025-06-26,AIMS,316.0,316.0,316.0,316.0,300.0
2025-06-30,AIMS,320.0,320.0,320.0,320.0,20100.0
2025-07-01,AIMS,320.0,320.0,320.0,320.0,200.0
2025-07-02,AIMS,318.0,318.0,316.0,316.0,6302400.0
2025-07-03,AIMS,316.0,316.0,316.0,316.0,500.0
2025-07-04,AIMS,316.0,316.0,314.0,314.0,2000.0
2025-07-07,AIMS,300.0,302.0,298.0,298.0,17700.0
2025-07-08,AIMS,298.0,298.0,296.0,296.0,22800.0
2025-07-09,AIMS,274.0,298.0,274.0,298.0,39500.0
2025-07-10,AIMS,352.0,372.0,330.0,372.0,5163000.0
2025-07-11,AIMS,462.0,464.0,376.0,392.0,11070800.0
2025-07-14,AIMS,392.0,410.0,374.0,410.0,5802500.0
2025-07-15,AIMS,410.0,412.0,382.0,408.0,2395700.0
2025-07-16,AIMS,406.0,410.0,378.0,390.0,1004500.0
2025-07-17,AIMS,390.0,410.0,390.0,402.0,5331300.0
2025-07-18,AIMS,402.0,404.0,378.0,390.0,1808300.0
2025-07-21,AIMS,390.0,390.0,376.0,382.0,1886200.0
2025-07-22,AIMS,382.0,398.0,378.0,384.0,11080000.0
2025-07-23,AIMS,384.0,390.0,380.0,386.0,1779000.0
2025-07-24,AIMS,388.0,396.0,380.0,384.0,2220400.0
2025-07-25,AIMS,384.0,388.0,374.0,382.0,2179500.0
2025-07-28,AIMS,384.0,384.0,376.0,378.0,89700.0
2025-07-29,AIMS,378.0,378.0,374.0,376.0,276000.0
2025-07-30,AIMS,378.0,378.0,370.0,370.0,57300.0
2025-07-31,AIMS,386.0,386.0,364.0,370.0,2369700.0
2025-08-01,AIMS,370.0,378.0,364.0,372.0,1294100.0
2025-08-04,AIMS,370.0,370.0,364.0,364.0,147200.0
2025-08-05,AIMS,354.0,376.0,354.0,376.0,56300.0
2025-08-06,AIMS,374.0,374.0,354.0,354.0,1216700.0
2025-08-07,AIMS,352.0,352.0,320.0,352.0,82500.0
2025-08-08,AIMS,350.0,350.0,320.0,346.0,112600.0
2025-08-11,AIMS,346.0,346.0,320.0,326.0,24400.0
2025-08-12,AIMS,326.0,326.0,326.0,326.0,1427200.0
2025-08-13,AIMS,326.0,326.0,326.0,326.0,134000.0
2025-08-14,AIMS,326.0,326.0,326.0,326.0,5800.0
2025-08-15,AIMS,326.0,326.0,320.0,320.0,21100.0
2025-08-19,AIMS,320.0,320.0,320.0,320.0,1443900.0
