Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,AMFG,4008.888942488705,4057.77783203125,3920.8889413121237,4057.77783203125,4400.0
2025-06-16,AMFG,4057.777777777778,4057.777777777778,3920.8888888888887,4048.0,21800.0
2025-06-17,AMFG,3520.0000243531795,3979.5555830881776,3520.0000243531795,3920.888916015625,24300.0
2025-06-18,AMFG,3920.8888888888887,3920.8888888888887,3764.4444444444443,3784.0,61700.0
2025-06-19,AMFG,3783.999890929383,3813.333223417208,3744.888780945617,3764.4443359375,21500.0
2025-06-20,AMFG,3764.444389039705,3764.444389039705,3656.888835067142,3686.22216796875,29700.0
2025-06-23,AMFG,3686.222250240796,3686.222250240796,3520.000026755137,3568.888916015625,40300.0
2025-06-24,AMFG,3568.8889982950623,3617.7778886826654,3520.0001079074586,3539.5556640625,47800.0
2025-06-25,AMFG,3608.000110605145,3608.000110605145,3539.5556640625,3539.5556640625,15100.0
2025-06-26,AMFG,3529.777885984979,3637.3334448377072,3529.777885984979,3539.5556640625,43300.0
2025-06-30,AMFG,3539.555609959314,3539.555609959314,3529.77783203125,3529.77783203125,64700.0
2025-07-01,AMFG,4008.8888888888887,4008.8888888888887,3461.333333333333,3520.0,65400.0
2025-07-02,AMFG,3530.0,3530.0,3500.0,3500.0,62000.0
2025-07-03,AMFG,3490.0,3510.0,3460.0,3510.0,39800.0
2025-07-04,AMFG,3610.0,3610.0,3520.0,3520.0,39500.0
2025-07-07,AMFG,3540.0,3540.0,3490.0,3540.0,11600.0
2025-07-08,AMFG,3540.0,3560.0,3520.0,3560.0,15600.0
2025-07-09,AMFG,3540.0,3540.0,3520.0,3520.0,62200.0
2025-07-10,AMFG,3540.0,3540.0,3500.0,3510.0,23500.0
2025-07-11,AMFG,3560.0,3560.0,3530.0,3530.0,161300.0
2025-07-14,AMFG,3530.0,3530.0,3460.0,3500.0,40200.0
2025-07-15,AMFG,3540.0,3550.0,3500.0,3500.0,117200.0
2025-07-16,AMFG,3510.0,3510.0,3500.0,3500.0,100800.0
2025-07-17,AMFG,3510.0,3520.0,3500.0,3510.0,144700.0
2025-07-18,AMFG,3560.0,3560.0,3500.0,3500.0,32500.0
2025-07-21,AMFG,3500.0,3580.0,3500.0,3500.0,35700.0
2025-07-22,AMFG,3500.0,3530.0,3500.0,3510.0,37700.0
2025-07-23,AMFG,3500.0,3510.0,3500.0,3500.0,192300.0
2025-07-24,AMFG,3530.0,3540.0,3500.0,3510.0,7200.0
2025-07-25,AMFG,3510.0,3510.0,3490.0,3500.0,5900.0
2025-07-28,AMFG,3500.0,3550.0,3500.0,3530.0,7100.0
2025-07-29,AMFG,3500.0,3530.0,3480.0,3480.0,87800.0
2025-07-30,AMFG,3490.0,3520.0,3470.0,3480.0,25100.0
2025-07-31,AMFG,3450.0,3500.0,3400.0,3430.0,85800.0
2025-08-01,AMFG,3420.0,3420.0,3140.0,3230.0,292800.0
2025-08-04,AMFG,3280.0,3280.0,3010.0,3110.0,182300.0
2025-08-05,AMFG,3190.0,3190.0,3100.0,3110.0,62600.0
2025-08-06,AMFG,3180.0,3180.0,3100.0,3110.0,24600.0
2025-08-07,AMFG,3110.0,3210.0,3110.0,3120.0,115000.0
2025-08-08,AMFG,3120.0,3120.0,3050.0,3090.0,90700.0
2025-08-11,AMFG,3150.0,3150.0,3000.0,3050.0,72900.0
2025-08-12,AMFG,3060.0,3110.0,3050.0,3100.0,45500.0
2025-08-13,AMFG,3100.0,3100.0,3040.0,3060.0,224700.0
2025-08-14,AMFG,3060.0,3090.0,3040.0,3060.0,75700.0
2025-08-15,AMFG,3090.0,3100.0,3040.0,3060.0,38200.0
