Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,AMMS,77.0,84.0,77.0,84.0,7036000.0
2025-06-16,AMMS,92.0,92.0,85.0,92.0,5003300.0
2025-06-17,AMMS,92.0,101.0,83.0,86.0,11178600.0
2025-06-18,AMMS,86.0,94.0,85.0,94.0,4055200.0
2025-06-19,AMMS,94.0,102.0,85.0,92.0,3489600.0
2025-06-20,AMMS,90.0,97.0,86.0,88.0,515000.0
2025-06-23,AMMS,91.0,96.0,88.0,96.0,6091900.0
2025-06-24,AMMS,100.0,105.0,100.0,103.0,5075500.0
2025-06-25,AMMS,108.0,108.0,96.0,101.0,2774700.0
2025-06-26,AMMS,100.0,108.0,98.0,102.0,3630900.0
2025-06-30,AMMS,103.0,103.0,98.0,98.0,2236600.0
2025-07-01,AMMS,98.0,98.0,98.0,98.0,0.0
2025-07-02,AMMS,98.0,98.0,98.0,98.0,0.0
2025-07-03,AMMS,98.0,98.0,98.0,98.0,0.0
2025-07-04,AMMS,98.0,98.0,98.0,98.0,0.0
2025-07-07,AMMS,98.0,98.0,98.0,98.0,0.0
2025-07-08,AMMS,98.0,98.0,98.0,98.0,0.0
2025-07-09,AMMS,98.0,98.0,98.0,98.0,0.0
2025-07-10,AMMS,98.0,98.0,98.0,98.0,0.0
2025-07-11,AMMS,98.0,98.0,98.0,98.0,0.0
2025-07-14,AMMS,98.0,98.0,98.0,98.0,0.0
2025-07-15,AMMS,104.0,104.0,91.0,99.0,3798500.0
2025-07-16,AMMS,99.0,99.0,96.0,97.0,1325100.0
2025-07-17,AMMS,96.0,106.0,96.0,104.0,5409500.0
2025-07-18,AMMS,103.0,111.0,100.0,107.0,6960500.0
2025-07-21,AMMS,107.0,110.0,102.0,109.0,4157000.0
2025-07-22,AMMS,109.0,114.0,104.0,105.0,5794800.0
2025-07-23,AMMS,110.0,110.0,101.0,104.0,3218100.0
2025-07-24,AMMS,104.0,106.0,102.0,103.0,2100300.0
2025-07-25,AMMS,104.0,105.0,93.0,95.0,4195200.0
2025-07-28,AMMS,96.0,97.0,92.0,92.0,1861600.0
2025-07-29,AMMS,92.0,96.0,83.0,95.0,3510700.0
2025-07-30,AMMS,99.0,104.0,94.0,104.0,9910900.0
2025-07-31,AMMS,104.0,114.0,104.0,114.0,8905700.0
2025-08-01,AMMS,114.0,123.0,106.0,116.0,6128000.0
2025-08-04,AMMS,116.0,116.0,105.0,105.0,5413400.0
2025-08-05,AMMS,105.0,106.0,96.0,105.0,3832500.0
2025-08-06,AMMS,100.0,108.0,100.0,107.0,1743300.0
2025-08-07,AMMS,108.0,117.0,100.0,117.0,9142500.0
2025-08-08,AMMS,128.0,128.0,120.0,128.0,7796600.0
2025-08-11,AMMS,126.0,140.0,123.0,140.0,16330600.0
2025-08-12,AMMS,142.0,154.0,142.0,154.0,6508500.0
2025-08-13,AMMS,154.0,169.0,154.0,169.0,6470900.0
2025-08-14,AMMS,182.0,185.0,166.0,183.0,16585200.0
2025-08-15,AMMS,183.0,192.0,176.0,176.0,5947300.0
2025-08-19,AMMS,175.0,181.0,159.0,159.0,7913700.0
2025-08-20,AMMS,159.0,159.0,144.0,144.0,15935400.0
2025-08-21,AMMS,141.0,158.0,130.0,158.0,18022400.0
