Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,ARGO,620.0,680.0,615.0,680.0,2100.0
2025-06-16,ARGO,670.0,670.0,625.0,650.0,4500.0
2025-06-17,ARGO,625.0,650.0,605.0,645.0,3200.0
2025-06-18,ARGO,615.0,705.0,615.0,620.0,16900.0
2025-06-19,ARGO,615.0,615.0,615.0,615.0,1000.0
2025-06-20,ARGO,615.0,620.0,615.0,620.0,1400.0
2025-06-23,ARGO,620.0,620.0,620.0,620.0,100.0
2025-06-24,ARGO,605.0,610.0,605.0,610.0,1200.0
2025-06-25,ARGO,615.0,615.0,615.0,615.0,200.0
2025-06-26,ARGO,615.0,635.0,605.0,635.0,1500.0
2025-06-30,ARGO,640.0,705.0,620.0,620.0,3900.0
2025-07-01,ARGO,670.0,670.0,615.0,615.0,1700.0
2025-07-02,ARGO,615.0,615.0,600.0,600.0,5100.0
2025-07-03,ARGO,650.0,750.0,650.0,750.0,62800.0
2025-07-04,ARGO,860.0,915.0,805.0,840.0,138900.0
2025-07-07,ARGO,850.0,850.0,720.0,800.0,43300.0
2025-07-08,ARGO,835.0,835.0,730.0,800.0,18300.0
2025-07-09,ARGO,800.0,840.0,775.0,800.0,31500.0
2025-07-10,ARGO,780.0,785.0,770.0,785.0,8700.0
2025-07-11,ARGO,785.0,785.0,725.0,740.0,6900.0
2025-07-14,ARGO,745.0,745.0,715.0,720.0,4100.0
2025-07-15,ARGO,770.0,900.0,770.0,900.0,251700.0
2025-07-16,ARGO,960.0,1125.0,960.0,1125.0,368200.0
2025-07-17,ARGO,1395.0,1405.0,1385.0,1405.0,230000.0
2025-07-18,ARGO,1405.0,1405.0,1405.0,1405.0,0.0
2025-07-21,ARGO,1405.0,1430.0,1195.0,1315.0,296900.0
2025-07-22,ARGO,1315.0,1315.0,1200.0,1240.0,93500.0
2025-07-23,ARGO,1255.0,1550.0,1255.0,1550.0,297900.0
2025-07-24,ARGO,1600.0,1935.0,1600.0,1935.0,610000.0
2025-07-25,ARGO,1935.0,1935.0,1935.0,1935.0,0.0
2025-07-28,ARGO,1935.0,1935.0,1935.0,1935.0,0.0
2025-07-29,ARGO,1935.0,1935.0,1935.0,1935.0,0.0
2025-07-30,ARGO,1935.0,1935.0,1935.0,1935.0,0.0
2025-07-31,ARGO,1935.0,1935.0,1935.0,1935.0,0.0
2025-08-01,ARGO,1935.0,1935.0,1935.0,1935.0,0.0
2025-08-04,ARGO,1745.0,1745.0,1745.0,1745.0,41000.0
2025-08-05,ARGO,1575.0,1575.0,1575.0,1575.0,37200.0
2025-08-06,ARGO,1500.0,1500.0,1425.0,1450.0,94100.0
2025-08-07,ARGO,1450.0,1450.0,1340.0,1340.0,60800.0
2025-08-08,ARGO,1340.0,1340.0,1335.0,1335.0,17900.0
2025-08-11,ARGO,1335.0,1340.0,1335.0,1335.0,26100.0
2025-08-12,ARGO,1340.0,1440.0,1250.0,1325.0,114600.0
2025-08-13,ARGO,1325.0,1355.0,1250.0,1320.0,43900.0
