Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,ARKO,825.0,860.0,825.0,840.0,383800.0
2025-06-16,ARKO,855.0,855.0,815.0,835.0,402100.0
2025-06-17,ARKO,850.0,850.0,825.0,830.0,60200.0
2025-06-18,ARKO,830.0,830.0,805.0,825.0,267800.0
2025-06-19,ARKO,825.0,860.0,755.0,785.0,699500.0
2025-06-20,ARKO,785.0,815.0,785.0,800.0,125500.0
2025-06-23,ARKO,800.0,820.0,740.0,755.0,740300.0
2025-06-24,ARKO,755.0,820.0,755.0,815.0,441200.0
2025-06-25,ARKO,815.0,815.0,790.0,790.0,52600.0
2025-06-26,ARKO,810.0,815.0,790.0,805.0,80100.0
2025-06-30,ARKO,800.0,800.0,780.0,800.0,94100.0
2025-07-01,ARKO,800.0,800.0,785.0,785.0,49800.0
2025-07-02,ARKO,790.0,805.0,790.0,795.0,10800.0
2025-07-03,ARKO,805.0,805.0,790.0,800.0,36200.0
2025-07-04,ARKO,800.0,825.0,795.0,805.0,65700.0
2025-07-07,ARKO,810.0,810.0,795.0,795.0,22200.0
2025-07-08,ARKO,795.0,810.0,795.0,805.0,40700.0
2025-07-09,ARKO,805.0,815.0,805.0,805.0,51600.0
2025-07-10,ARKO,810.0,815.0,805.0,810.0,95800.0
2025-07-11,ARKO,805.0,825.0,795.0,805.0,116800.0
2025-07-14,ARKO,805.0,825.0,800.0,810.0,194300.0
2025-07-15,ARKO,810.0,820.0,800.0,800.0,136400.0
2025-07-16,ARKO,810.0,835.0,800.0,825.0,161100.0
2025-07-17,ARKO,830.0,840.0,830.0,835.0,121200.0
2025-07-18,ARKO,845.0,860.0,820.0,855.0,611800.0
2025-07-21,ARKO,870.0,870.0,800.0,845.0,214800.0
2025-07-22,ARKO,845.0,1010.0,830.0,965.0,6052100.0
2025-07-23,ARKO,970.0,995.0,910.0,980.0,4196800.0
2025-07-24,ARKO,980.0,1000.0,910.0,985.0,2376000.0
2025-07-25,ARKO,985.0,985.0,925.0,925.0,1563400.0
2025-07-28,ARKO,925.0,965.0,915.0,925.0,1119200.0
2025-07-29,ARKO,930.0,935.0,865.0,920.0,1942600.0
2025-07-30,ARKO,925.0,935.0,905.0,925.0,361500.0
2025-07-31,ARKO,935.0,980.0,900.0,910.0,972900.0
2025-08-01,ARKO,925.0,1050.0,900.0,1050.0,2403600.0
2025-08-04,ARKO,1045.0,1050.0,990.0,1035.0,1559800.0
2025-08-05,ARKO,1030.0,1035.0,980.0,1000.0,482800.0
2025-08-06,ARKO,1000.0,1120.0,980.0,1120.0,4672900.0
2025-08-07,ARKO,1120.0,1135.0,1075.0,1125.0,1410100.0
2025-08-08,ARKO,1120.0,1125.0,1060.0,1125.0,687800.0
2025-08-11,ARKO,1075.0,1130.0,1065.0,1130.0,948700.0
2025-08-12,ARKO,1130.0,1225.0,1100.0,1130.0,1421800.0
2025-08-13,ARKO,1130.0,1155.0,1105.0,1155.0,355800.0
2025-08-14,ARKO,1155.0,1155.0,1130.0,1135.0,508500.0
2025-08-15,ARKO,1130.0,1150.0,1100.0,1140.0,385000.0
2025-08-19,ARKO,1130.0,1350.0,1110.0,1325.0,7488500.0
2025-08-20,ARKO,1320.0,1400.0,1225.0,1395.0,5299900.0
2025-08-21,ARKO,1395.0,1455.0,1325.0,1455.0,5948400.0
2025-08-22,ARKO,1455.0,1470.0,1410.0,1440.0,771300.0
2025-08-25,ARKO,1430.0,1440.0,1365.0,1395.0,1248600.0
2025-08-26,ARKO,1400.0,1400.0,1350.0,1350.0,1101700.0
2025-08-27,ARKO,1350.0,1400.0,1300.0,1300.0,1120300.0
2025-08-28,ARKO,1300.0,1360.0,1255.0,1355.0,782600.0
2025-08-29,ARKO,1355.0,1355.0,1230.0,1285.0,1064500.0
2025-09-01,ARKO,1220.0,1270.0,1205.0,1210.0,767800.0
2025-09-02,ARKO,1200.0,1395.0,1165.0,1240.0,6273200.0
2025-09-03,ARKO,1240.0,1390.0,1240.0,1345.0,1802700.0
2025-09-04,ARKO,1360.0,1375.0,1320.0,1355.0,549900.0
2025-09-08,ARKO,1355.0,1375.0,1310.0,1310.0,656000.0
2025-09-09,ARKO,1310.0,1375.0,1210.0,1230.0,943400.0
2025-09-10,ARKO,1210.0,1300.0,1210.0,1300.0,322600.0
2025-09-11,ARKO,1300.0,1380.0,1300.0,1380.0,1752700.0
2025-09-12,ARKO,1380.0,1460.0,1380.0,1460.0,1772100.0
2025-09-15,ARKO,1495.0,1580.0,1460.0,1550.0,13991400.0
2025-09-16,ARKO,1550.0,1600.0,1465.0,1560.0,2258400.0
2025-09-17,ARKO,1565.0,1580.0,1520.0,1565.0,1278800.0
2025-09-18,ARKO,1575.0,1800.0,1535.0,1755.0,4698000.0
2025-09-19,ARKO,1755.0,1890.0,1730.0,1850.0,2227000.0
2025-09-22,ARKO,1855.0,1980.0,1835.0,1835.0,3347600.0
2025-09-23,ARKO,1810.0,1840.0,1740.0,1770.0,1788200.0
2025-09-24,ARKO,1770.0,1790.0,1510.0,1510.0,2950700.0
2025-09-25,ARKO,1580.0,1660.0,1550.0,1600.0,2918600.0
2025-09-26,ARKO,1610.0,1740.0,1440.0,1525.0,3556200.0
2025-09-29,ARKO,1525.0,1680.0,1460.0,1620.0,1883000.0
2025-09-30,ARKO,1750.0,1750.0,1630.0,1650.0,775100.0
2025-10-01,ARKO,1670.0,1680.0,1610.0,1640.0,300700.0
2025-10-02,ARKO,1630.0,1655.0,1545.0,1605.0,791100.0
2025-10-03,ARKO,1605.0,1650.0,1400.0,1550.0,2272800.0
2025-10-06,ARKO,1550.0,1575.0,1505.0,1540.0,1056400.0
2025-10-07,ARKO,1545.0,1590.0,1500.0,1530.0,1004300.0
2025-10-08,ARKO,1540.0,1560.0,1305.0,1305.0,973300.0
2025-10-09,ARKO,1365.0,1600.0,1350.0,1495.0,4286300.0
2025-10-10,ARKO,1455.0,1510.0,1440.0,1500.0,612200.0
2025-10-13,ARKO,1470.0,1680.0,1435.0,1610.0,2408300.0
2025-10-14,ARKO,1620.0,1690.0,1510.0,1575.0,1450900.0
2025-10-15,ARKO,1575.0,1580.0,1480.0,1520.0,607700.0
2025-10-16,ARKO,1530.0,1570.0,1485.0,1490.0,279400.0
2025-10-17,ARKO,1490.0,1500.0,1305.0,1305.0,2518200.0
2025-10-20,ARKO,1310.0,1395.0,1295.0,1350.0,1460500.0
2025-10-21,ARKO,1370.0,1420.0,1350.0,1350.0,1423900.0
2025-10-22,ARKO,1350.0,1410.0,1345.0,1380.0,1110100.0
2025-10-23,ARKO,1390.0,1430.0,1350.0,1380.0,2096700.0
2025-10-24,ARKO,1380.0,1400.0,1340.0,1370.0,1917000.0
2025-10-27,ARKO,1395.0,1395.0,1340.0,1355.0,1588400.0
2025-10-28,ARKO,1360.0,1410.0,1355.0,1400.0,927600.0
2025-10-29,ARKO,1410.0,1510.0,1370.0,1475.0,1226200.0
2025-10-30,ARKO,1475.0,1590.0,1455.0,1555.0,1224700.0
2025-10-31,ARKO,1600.0,1630.0,1555.0,1590.0,1280700.0
2025-11-03,ARKO,1600.0,1625.0,1560.0,1600.0,541200.0
2025-11-04,ARKO,1605.0,1625.0,1590.0,1590.0,181800.0
2025-11-05,ARKO,1600.0,1620.0,1560.0,1605.0,501300.0
2025-11-06,ARKO,1620.0,1670.0,1610.0,1620.0,1158000.0
2025-11-07,ARKO,1620.0,1635.0,1590.0,1620.0,329300.0
2025-11-10,ARKO,1610.0,1650.0,1580.0,1630.0,494700.0
2025-11-11,ARKO,1625.0,1630.0,1595.0,1620.0,199500.0
2025-11-12,ARKO,1620.0,1680.0,1595.0,1650.0,2457400.0
2025-11-13,ARKO,1670.0,1735.0,1660.0,1705.0,979800.0
2025-11-14,ARKO,1725.0,1830.0,1690.0,1800.0,3369500.0
2025-11-17,ARKO,1805.0,2080.0,1780.0,2070.0,6597800.0
2025-11-18,ARKO,2080.0,2090.0,1950.0,2010.0,1940000.0
2025-11-19,ARKO,2010.0,2300.0,1970.0,2200.0,4330000.0
2025-11-20,ARKO,2220.0,2310.0,2150.0,2240.0,2100600.0
2025-11-21,ARKO,2220.0,2680.0,2220.0,2660.0,9297000.0
2025-11-24,ARKO,2680.0,3320.0,2680.0,3320.0,8821300.0
2025-11-25,ARKO,3200.0,4150.0,3100.0,3940.0,12127500.0
2025-11-26,ARKO,3940.0,3940.0,3940.0,3940.0,0.0
