Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,ARMY,50.0,50.0,50.0,50.0,0.0
2025-06-16,ARMY,50.0,50.0,50.0,50.0,0.0
2025-06-17,ARMY,50.0,50.0,50.0,50.0,0.0
2025-06-18,ARMY,50.0,50.0,50.0,50.0,0.0
2025-06-19,ARMY,50.0,50.0,50.0,50.0,0.0
2025-06-20,ARMY,50.0,50.0,50.0,50.0,0.0
2025-06-23,ARMY,50.0,50.0,50.0,50.0,0.0
2025-06-24,ARMY,50.0,50.0,50.0,50.0,0.0
2025-06-25,ARMY,50.0,50.0,50.0,50.0,0.0
2025-06-26,ARMY,50.0,50.0,50.0,50.0,0.0
2025-06-30,ARMY,50.0,50.0,50.0,50.0,0.0
2025-07-01,ARMY,50.0,50.0,50.0,50.0,0.0
2025-07-02,ARMY,50.0,50.0,50.0,50.0,0.0
2025-07-03,ARMY,50.0,50.0,50.0,50.0,0.0
2025-07-04,ARMY,50.0,50.0,50.0,50.0,0.0
2025-07-07,ARMY,50.0,50.0,50.0,50.0,0.0
2025-07-08,ARMY,50.0,50.0,50.0,50.0,0.0
2025-07-09,ARMY,50.0,50.0,50.0,50.0,0.0
2025-07-10,ARMY,50.0,50.0,50.0,50.0,0.0
2025-07-11,ARMY,50.0,50.0,50.0,50.0,0.0
2025-07-14,ARMY,50.0,50.0,50.0,50.0,0.0
2025-07-15,ARMY,50.0,50.0,50.0,50.0,0.0
2025-07-16,ARMY,50.0,50.0,50.0,50.0,0.0
2025-07-17,ARMY,50.0,50.0,50.0,50.0,0.0
2025-07-18,ARMY,50.0,50.0,50.0,50.0,0.0
2025-07-21,ARMY,50.0,50.0,50.0,50.0,0.0
2025-07-22,ARMY,50.0,50.0,50.0,50.0,0.0
2025-07-23,ARMY,50.0,50.0,50.0,50.0,0.0
2025-07-24,ARMY,50.0,50.0,50.0,50.0,0.0
2025-07-25,ARMY,50.0,50.0,50.0,50.0,0.0
2025-07-28,ARMY,50.0,50.0,50.0,50.0,0.0
2025-07-29,ARMY,50.0,50.0,50.0,50.0,0.0
2025-07-30,ARMY,50.0,50.0,50.0,50.0,0.0
2025-07-31,ARMY,50.0,50.0,50.0,50.0,0.0
2025-08-01,ARMY,50.0,50.0,50.0,50.0,0.0
2025-08-04,ARMY,50.0,50.0,50.0,50.0,0.0
2025-08-05,ARMY,50.0,50.0,50.0,50.0,0.0
2025-08-06,ARMY,50.0,50.0,50.0,50.0,0.0
2025-08-07,ARMY,50.0,50.0,50.0,50.0,0.0
2025-08-08,ARMY,50.0,50.0,50.0,50.0,0.0
2025-08-11,ARMY,50.0,50.0,50.0,50.0,0.0
2025-08-12,ARMY,50.0,50.0,50.0,50.0,0.0
2025-08-13,ARMY,50.0,50.0,50.0,50.0,0.0
2025-08-14,ARMY,50.0,50.0,50.0,50.0,0.0
2025-08-15,ARMY,50.0,50.0,50.0,50.0,0.0
2025-08-19,ARMY,50.0,50.0,50.0,50.0,0.0
2025-08-20,ARMY,50.0,50.0,50.0,50.0,0.0
2025-08-21,ARMY,50.0,50.0,50.0,50.0,0.0
2025-08-22,ARMY,50.0,50.0,50.0,50.0,0.0
2025-08-25,ARMY,50.0,50.0,50.0,50.0,0.0
2025-08-26,ARMY,50.0,50.0,50.0,50.0,0.0
2025-08-27,ARMY,50.0,50.0,50.0,50.0,0.0
2025-08-28,ARMY,50.0,50.0,50.0,50.0,0.0
2025-08-29,ARMY,50.0,50.0,50.0,50.0,0.0
2025-09-01,ARMY,50.0,50.0,50.0,50.0,0.0
2025-09-02,ARMY,50.0,50.0,50.0,50.0,0.0
2025-09-03,ARMY,50.0,50.0,50.0,50.0,0.0
2025-09-04,ARMY,50.0,50.0,50.0,50.0,0.0
2025-09-08,ARMY,50.0,50.0,50.0,50.0,0.0
2025-09-09,ARMY,50.0,50.0,50.0,50.0,0.0
2025-09-10,ARMY,50.0,50.0,50.0,50.0,0.0
2025-09-11,ARMY,50.0,50.0,50.0,50.0,0.0
2025-09-12,ARMY,50.0,50.0,50.0,50.0,0.0
2025-09-15,ARMY,50.0,50.0,50.0,50.0,0.0
2025-09-16,ARMY,50.0,50.0,50.0,50.0,0.0
2025-09-17,ARMY,50.0,50.0,50.0,50.0,0.0
2025-09-18,ARMY,50.0,50.0,50.0,50.0,0.0
2025-09-19,ARMY,50.0,50.0,50.0,50.0,0.0
2025-09-22,ARMY,50.0,50.0,50.0,50.0,0.0
2025-09-23,ARMY,50.0,50.0,50.0,50.0,0.0
2025-09-24,ARMY,50.0,50.0,50.0,50.0,0.0
2025-09-25,ARMY,50.0,50.0,50.0,50.0,0.0
2025-09-26,ARMY,50.0,50.0,50.0,50.0,0.0
2025-09-29,ARMY,50.0,50.0,50.0,50.0,0.0
2025-09-30,ARMY,50.0,50.0,50.0,50.0,0.0
2025-10-01,ARMY,50.0,50.0,50.0,50.0,0.0
2025-10-02,ARMY,50.0,50.0,50.0,50.0,0.0
2025-10-03,ARMY,50.0,50.0,50.0,50.0,0.0
2025-10-06,ARMY,50.0,50.0,50.0,50.0,0.0
2025-10-07,ARMY,50.0,50.0,50.0,50.0,0.0
2025-10-08,ARMY,50.0,50.0,50.0,50.0,0.0
2025-10-09,ARMY,50.0,50.0,50.0,50.0,0.0
2025-10-10,ARMY,50.0,50.0,50.0,50.0,0.0
2025-10-13,ARMY,50.0,50.0,50.0,50.0,0.0
2025-10-14,ARMY,50.0,50.0,50.0,50.0,0.0
2025-10-15,ARMY,50.0,50.0,50.0,50.0,0.0
2025-10-16,ARMY,50.0,50.0,50.0,50.0,0.0
2025-10-17,ARMY,50.0,50.0,50.0,50.0,0.0
2025-10-20,ARMY,50.0,50.0,50.0,50.0,0.0
2025-10-21,ARMY,50.0,50.0,50.0,50.0,0.0
2025-10-22,ARMY,50.0,50.0,50.0,50.0,0.0
2025-10-23,ARMY,50.0,50.0,50.0,50.0,0.0
2025-10-24,ARMY,50.0,50.0,50.0,50.0,0.0
2025-10-27,ARMY,50.0,50.0,50.0,50.0,0.0
2025-10-28,ARMY,50.0,50.0,50.0,50.0,0.0
2025-10-29,ARMY,50.0,50.0,50.0,50.0,0.0
2025-10-30,ARMY,50.0,50.0,50.0,50.0,0.0
2025-10-31,ARMY,50.0,50.0,50.0,50.0,0.0
2025-11-03,ARMY,50.0,50.0,50.0,50.0,0.0
2025-11-04,ARMY,50.0,50.0,50.0,50.0,0.0
2025-11-05,ARMY,50.0,50.0,50.0,50.0,0.0
2025-11-06,ARMY,50.0,50.0,50.0,50.0,0.0
2025-11-07,ARMY,50.0,50.0,50.0,50.0,0.0
2025-11-10,ARMY,50.0,50.0,50.0,50.0,0.0
2025-11-11,ARMY,50.0,50.0,50.0,50.0,0.0
2025-11-12,ARMY,50.0,50.0,50.0,50.0,0.0
2025-11-13,ARMY,50.0,50.0,50.0,50.0,0.0
2025-11-14,ARMY,50.0,50.0,50.0,50.0,0.0
2025-11-17,ARMY,50.0,50.0,50.0,50.0,0.0
2025-11-18,ARMY,50.0,50.0,50.0,50.0,0.0
2025-11-19,ARMY,50.0,50.0,50.0,50.0,0.0
2025-11-20,ARMY,50.0,50.0,50.0,50.0,0.0
2025-11-21,ARMY,50.0,50.0,50.0,50.0,0.0
2025-11-24,ARMY,50.0,50.0,50.0,50.0,0.0
2025-11-25,ARMY,50.0,50.0,50.0,50.0,0.0
2025-11-26,ARMY,50.0,50.0,50.0,50.0,0.0
2025-11-27,ARMY,50.0,50.0,50.0,50.0,0.0
2025-11-28,ARMY,50.0,50.0,50.0,50.0,0.0
2025-12-01,ARMY,50.0,50.0,50.0,50.0,0.0
2025-12-02,ARMY,50.0,50.0,50.0,50.0,0.0
2025-12-03,ARMY,50.0,50.0,50.0,50.0,0.0
2025-12-04,ARMY,50.0,50.0,50.0,50.0,0.0
2025-12-05,ARMY,50.0,50.0,50.0,50.0,0.0
2025-12-08,ARMY,50.0,50.0,50.0,50.0,0.0
2025-12-09,ARMY,50.0,50.0,50.0,50.0,0.0
2025-12-10,ARMY,50.0,50.0,50.0,50.0,0.0
2025-12-11,ARMY,50.0,50.0,50.0,50.0,0.0
2025-12-12,ARMY,50.0,50.0,50.0,50.0,0.0
2025-12-15,ARMY,50.0,50.0,50.0,50.0,0.0
2025-12-16,ARMY,50.0,50.0,50.0,50.0,0.0
2025-12-17,ARMY,50.0,50.0,50.0,50.0,0.0
2025-12-18,ARMY,50.0,50.0,50.0,50.0,0.0
2025-12-19,ARMY,50.0,50.0,50.0,50.0,0.0
2025-12-22,ARMY,50.0,50.0,50.0,50.0,0.0
2025-12-23,ARMY,50.0,50.0,50.0,50.0,0.0
2025-12-24,ARMY,50.0,50.0,50.0,50.0,0.0
2025-12-29,ARMY,50.0,50.0,50.0,50.0,0.0
2025-12-30,ARMY,50.0,50.0,50.0,50.0,0.0
2026-01-02,ARMY,50.0,50.0,50.0,50.0,0.0
2026-01-05,ARMY,50.0,50.0,50.0,50.0,0.0
2026-01-06,ARMY,50.0,50.0,50.0,50.0,0.0
2026-01-07,ARMY,50.0,50.0,50.0,50.0,0.0
2026-01-08,ARMY,50.0,50.0,50.0,50.0,0.0
2026-01-09,ARMY,50.0,50.0,50.0,50.0,0.0
2026-01-12,ARMY,50.0,50.0,50.0,50.0,0.0
2026-01-13,ARMY,50.0,50.0,50.0,50.0,0.0
2026-01-14,ARMY,50.0,50.0,50.0,50.0,0.0
2026-01-15,ARMY,50.0,50.0,50.0,50.0,0.0
2026-01-19,ARMY,50.0,50.0,50.0,50.0,0.0
2026-01-20,ARMY,50.0,50.0,50.0,50.0,0.0
2026-01-21,ARMY,50.0,50.0,50.0,50.0,0.0
2026-01-22,ARMY,50.0,50.0,50.0,50.0,0.0
2026-01-23,ARMY,50.0,50.0,50.0,50.0,0.0
2026-01-26,ARMY,50.0,50.0,50.0,50.0,0.0
2026-01-27,ARMY,50.0,50.0,50.0,50.0,0.0
2026-01-28,ARMY,50.0,50.0,50.0,50.0,0.0
2026-01-29,ARMY,50.0,50.0,50.0,50.0,0.0
2026-01-30,ARMY,50.0,50.0,50.0,50.0,0.0
2026-02-02,ARMY,50.0,50.0,50.0,50.0,0.0
2026-02-03,ARMY,50.0,50.0,50.0,50.0,0.0
2026-02-04,ARMY,50.0,50.0,50.0,50.0,0.0
2026-02-05,ARMY,50.0,50.0,50.0,50.0,0.0
2026-02-06,ARMY,50.0,50.0,50.0,50.0,0.0
2026-02-09,ARMY,50.0,50.0,50.0,50.0,0.0
2026-02-10,ARMY,50.0,50.0,50.0,50.0,0.0
2026-02-11,ARMY,50.0,50.0,50.0,50.0,0.0
2026-02-12,ARMY,50.0,50.0,50.0,50.0,0.0
2026-02-13,ARMY,50.0,50.0,50.0,50.0,0.0
2026-02-18,ARMY,50.0,50.0,50.0,50.0,0.0
2026-02-19,ARMY,50.0,50.0,50.0,50.0,0.0
2026-02-20,ARMY,50.0,50.0,50.0,50.0,0.0
2026-02-23,ARMY,50.0,50.0,50.0,50.0,0.0
2026-02-24,ARMY,50.0,50.0,50.0,50.0,0.0
2026-02-25,ARMY,50.0,50.0,50.0,50.0,0.0
2026-02-26,ARMY,50.0,50.0,50.0,50.0,0.0
2026-02-27,ARMY,50.0,50.0,50.0,50.0,0.0
2026-03-02,ARMY,50.0,50.0,50.0,50.0,0.0
2026-03-03,ARMY,50.0,50.0,50.0,50.0,0.0
2026-03-04,ARMY,50.0,50.0,50.0,50.0,0.0
2026-03-05,ARMY,50.0,50.0,50.0,50.0,0.0
2026-03-06,ARMY,50.0,50.0,50.0,50.0,0.0
2026-03-09,ARMY,50.0,50.0,50.0,50.0,0.0
2026-03-10,ARMY,50.0,50.0,50.0,50.0,0.0
2026-03-11,ARMY,50.0,50.0,50.0,50.0,0.0
2026-03-12,ARMY,50.0,50.0,50.0,50.0,0.0
2026-03-13,ARMY,50.0,50.0,50.0,50.0,0.0
2026-03-16,ARMY,50.0,50.0,50.0,50.0,0.0
2026-03-17,ARMY,50.0,50.0,50.0,50.0,0.0
2026-03-25,ARMY,50.0,50.0,50.0,50.0,0.0
2026-03-26,ARMY,50.0,50.0,50.0,50.0,0.0
2026-03-27,ARMY,50.0,50.0,50.0,50.0,0.0
2026-03-30,ARMY,50.0,50.0,50.0,50.0,0.0
2026-03-31,ARMY,50.0,50.0,50.0,50.0,0.0
2026-04-01,ARMY,50.0,50.0,50.0,50.0,0.0
2026-04-02,ARMY,50.0,50.0,50.0,50.0,0.0
2026-04-06,ARMY,50.0,50.0,50.0,50.0,0.0
2026-04-07,ARMY,50.0,50.0,50.0,50.0,0.0
2026-04-08,ARMY,50.0,50.0,50.0,50.0,0.0
2026-04-09,ARMY,50.0,50.0,50.0,50.0,0.0
2026-04-10,ARMY,50.0,50.0,50.0,50.0,0.0
2026-04-13,ARMY,50.0,50.0,50.0,50.0,0.0
2026-04-14,ARMY,50.0,50.0,50.0,50.0,0.0
2026-04-15,ARMY,50.0,50.0,50.0,50.0,0.0
2026-04-16,ARMY,50.0,50.0,50.0,50.0,0.0
2026-04-17,ARMY,50.0,50.0,50.0,50.0,0.0
2026-04-20,ARMY,50.0,50.0,50.0,50.0,0.0
2026-04-21,ARMY,50.0,50.0,50.0,50.0,0.0
2026-04-22,ARMY,50.0,50.0,50.0,50.0,0.0
2026-04-23,ARMY,50.0,50.0,50.0,50.0,0.0
2026-04-24,ARMY,50.0,50.0,50.0,50.0,0.0
2026-04-27,ARMY,50.0,50.0,50.0,50.0,0.0
2026-04-28,ARMY,50.0,50.0,50.0,50.0,0.0
2026-04-29,ARMY,50.0,50.0,50.0,50.0,0.0
2026-04-30,ARMY,50.0,50.0,50.0,50.0,0.0
2026-05-01,ARMY,50.0,50.0,50.0,50.0,0.0
2026-05-04,ARMY,50.0,50.0,50.0,50.0,0.0
2026-05-05,ARMY,50.0,50.0,50.0,50.0,0.0
2026-05-06,ARMY,50.0,50.0,50.0,50.0,0.0
2026-05-07,ARMY,50.0,50.0,50.0,50.0,0.0
2026-05-08,ARMY,50.0,50.0,50.0,50.0,0.0
2026-05-11,ARMY,50.0,50.0,50.0,50.0,0.0
2026-05-12,ARMY,50.0,50.0,50.0,50.0,0.0
2026-05-13,ARMY,50.0,50.0,50.0,50.0,0.0
2026-05-14,ARMY,50.0,50.0,50.0,50.0,0.0
2026-05-15,ARMY,50.0,50.0,50.0,50.0,0.0
2026-05-18,ARMY,50.0,50.0,50.0,50.0,0.0
2026-05-19,ARMY,50.0,50.0,50.0,50.0,0.0
2026-05-20,ARMY,50.0,50.0,50.0,50.0,0.0
2026-05-21,ARMY,50.0,50.0,50.0,50.0,0.0
2026-05-22,ARMY,50.0,50.0,50.0,50.0,0.0
2026-05-25,ARMY,50.0,50.0,50.0,50.0,0.0
2026-05-26,ARMY,50.0,50.0,50.0,50.0,0.0
2026-05-27,ARMY,50.0,50.0,50.0,50.0,0.0
2026-05-28,ARMY,50.0,50.0,50.0,50.0,0.0
2026-05-29,ARMY,50.0,50.0,50.0,50.0,0.0
2026-06-01,ARMY,50.0,50.0,50.0,50.0,0.0
2026-06-02,ARMY,50.0,50.0,50.0,50.0,0.0
2026-06-03,ARMY,50.0,50.0,50.0,50.0,0.0
2026-06-04,ARMY,50.0,50.0,50.0,50.0,0.0
2026-06-05,ARMY,50.0,50.0,50.0,50.0,0.0
2026-06-08,ARMY,50.0,50.0,50.0,50.0,0.0
2026-06-09,ARMY,50.0,50.0,50.0,50.0,0.0
2026-06-10,ARMY,50.0,50.0,50.0,50.0,0.0
2026-06-11,ARMY,50.0,50.0,50.0,50.0,0.0
