Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,ARTI,2.0,2.0,2.0,2.0,0.0
2025-06-16,ARTI,2.0,2.0,2.0,2.0,0.0
2025-06-17,ARTI,2.0,2.0,2.0,2.0,0.0
2025-06-18,ARTI,2.0,2.0,2.0,2.0,0.0
2025-06-19,ARTI,2.0,2.0,2.0,2.0,0.0
2025-06-20,ARTI,2.0,2.0,2.0,2.0,0.0
2025-06-23,ARTI,2.0,2.0,2.0,2.0,0.0
2025-06-24,ARTI,2.0,2.0,2.0,2.0,0.0
2025-06-25,ARTI,2.0,2.0,2.0,2.0,0.0
2025-06-26,ARTI,2.0,2.0,2.0,2.0,0.0
2025-06-30,ARTI,2.0,2.0,2.0,2.0,0.0
2025-07-01,ARTI,2.0,2.0,2.0,2.0,0.0
2025-07-02,ARTI,2.0,2.0,2.0,2.0,0.0
2025-07-03,ARTI,2.0,2.0,2.0,2.0,0.0
2025-07-04,ARTI,2.0,2.0,2.0,2.0,0.0
2025-07-07,ARTI,2.0,2.0,2.0,2.0,0.0
2025-07-08,ARTI,2.0,2.0,2.0,2.0,0.0
2025-07-09,ARTI,2.0,2.0,2.0,2.0,0.0
2025-07-10,ARTI,2.0,2.0,2.0,2.0,0.0
2025-07-11,ARTI,2.0,2.0,2.0,2.0,0.0
2025-07-14,ARTI,2.0,2.0,2.0,2.0,0.0
2025-07-15,ARTI,2.0,2.0,2.0,2.0,0.0
2025-07-16,ARTI,2.0,2.0,2.0,2.0,0.0
2025-07-17,ARTI,2.0,2.0,2.0,2.0,0.0
2025-07-18,ARTI,2.0,2.0,2.0,2.0,0.0
2025-07-21,ARTI,2.0,2.0,2.0,2.0,0.0
2025-07-22,ARTI,2.0,2.0,2.0,2.0,0.0
2025-07-23,ARTI,2.0,2.0,2.0,2.0,0.0
2025-07-24,ARTI,2.0,2.0,2.0,2.0,0.0
2025-07-25,ARTI,2.0,2.0,2.0,2.0,0.0
2025-07-28,ARTI,2.0,2.0,2.0,2.0,0.0
2025-07-29,ARTI,2.0,2.0,2.0,2.0,0.0
2025-07-30,ARTI,2.0,2.0,2.0,2.0,0.0
2025-07-31,ARTI,2.0,2.0,2.0,2.0,0.0
2025-08-01,ARTI,2.0,2.0,2.0,2.0,0.0
2025-08-04,ARTI,2.0,2.0,2.0,2.0,0.0
2025-08-05,ARTI,2.0,2.0,2.0,2.0,0.0
2025-08-06,ARTI,2.0,2.0,2.0,2.0,0.0
2025-08-07,ARTI,2.0,2.0,2.0,2.0,0.0
2025-08-08,ARTI,2.0,2.0,2.0,2.0,0.0
2025-08-11,ARTI,2.0,2.0,2.0,2.0,0.0
2025-08-12,ARTI,2.0,2.0,2.0,2.0,0.0
2025-08-13,ARTI,2.0,2.0,2.0,2.0,0.0
2025-08-14,ARTI,2.0,2.0,2.0,2.0,0.0
2025-08-15,ARTI,2.0,2.0,2.0,2.0,0.0
2025-08-19,ARTI,2.0,2.0,2.0,2.0,0.0
2025-08-20,ARTI,2.0,2.0,2.0,2.0,0.0
2025-08-21,ARTI,2.0,2.0,2.0,2.0,0.0
2025-08-22,ARTI,2.0,2.0,2.0,2.0,0.0
2025-08-25,ARTI,2.0,2.0,2.0,2.0,0.0
2025-08-26,ARTI,2.0,2.0,2.0,2.0,0.0
2025-08-27,ARTI,2.0,2.0,2.0,2.0,0.0
2025-08-28,ARTI,2.0,2.0,2.0,2.0,0.0
2025-08-29,ARTI,2.0,2.0,2.0,2.0,0.0
2025-09-01,ARTI,2.0,2.0,2.0,2.0,0.0
2025-09-02,ARTI,2.0,2.0,2.0,2.0,0.0
2025-09-03,ARTI,2.0,2.0,2.0,2.0,0.0
2025-09-04,ARTI,2.0,2.0,2.0,2.0,0.0
2025-09-08,ARTI,2.0,2.0,2.0,2.0,0.0
2025-09-09,ARTI,2.0,2.0,2.0,2.0,0.0
2025-09-10,ARTI,2.0,2.0,2.0,2.0,0.0
2025-09-11,ARTI,2.0,2.0,2.0,2.0,0.0
2025-09-12,ARTI,2.0,2.0,2.0,2.0,0.0
2025-09-15,ARTI,2.0,2.0,2.0,2.0,0.0
2025-09-16,ARTI,2.0,2.0,2.0,2.0,0.0
2025-09-17,ARTI,2.0,2.0,2.0,2.0,0.0
