Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,ARTO,1780.0,1780.0,1725.0,1740.0,3790900.0
2025-06-16,ARTO,1740.0,1745.0,1700.0,1700.0,4081900.0
2025-06-17,ARTO,1715.0,1750.0,1710.0,1730.0,4972200.0
2025-06-18,ARTO,1740.0,1745.0,1715.0,1735.0,2732300.0
2025-06-19,ARTO,1730.0,1730.0,1670.0,1700.0,5248800.0
2025-06-20,ARTO,1695.0,1710.0,1645.0,1685.0,5290000.0
2025-06-23,ARTO,1670.0,1670.0,1585.0,1585.0,6916200.0
2025-06-24,ARTO,1595.0,1680.0,1595.0,1635.0,6773200.0
2025-06-25,ARTO,1650.0,1680.0,1635.0,1680.0,4198800.0
2025-06-26,ARTO,1680.0,1705.0,1640.0,1690.0,3606100.0
2025-06-30,ARTO,1705.0,1795.0,1695.0,1775.0,8064200.0
2025-07-01,ARTO,1780.0,1830.0,1775.0,1810.0,6573400.0
2025-07-02,ARTO,1810.0,1815.0,1700.0,1715.0,5482600.0
2025-07-03,ARTO,1720.0,1760.0,1710.0,1745.0,3167500.0
2025-07-04,ARTO,1755.0,1775.0,1715.0,1720.0,1753200.0
2025-07-07,ARTO,1720.0,1740.0,1680.0,1740.0,2903000.0
2025-07-08,ARTO,1735.0,1735.0,1685.0,1695.0,2612300.0
2025-07-09,ARTO,1720.0,1720.0,1665.0,1670.0,4034000.0
2025-07-10,ARTO,1685.0,1730.0,1675.0,1715.0,3125700.0
2025-07-11,ARTO,1720.0,1810.0,1720.0,1810.0,8645800.0
2025-07-14,ARTO,1830.0,1840.0,1755.0,1765.0,9046900.0
2025-07-15,ARTO,1765.0,1800.0,1750.0,1790.0,3296100.0
2025-07-16,ARTO,1810.0,1815.0,1780.0,1780.0,6411500.0
2025-07-17,ARTO,1785.0,1800.0,1750.0,1760.0,5006000.0
2025-07-18,ARTO,1760.0,1780.0,1725.0,1725.0,5412400.0
2025-07-21,ARTO,1725.0,1775.0,1690.0,1775.0,6600400.0
2025-07-22,ARTO,1775.0,1780.0,1735.0,1745.0,4604300.0
2025-07-23,ARTO,1745.0,1780.0,1735.0,1765.0,2181500.0
2025-07-24,ARTO,1780.0,1940.0,1760.0,1870.0,38894500.0
2025-07-25,ARTO,1915.0,1925.0,1870.0,1870.0,17997800.0
2025-07-28,ARTO,1900.0,1910.0,1850.0,1870.0,8888600.0
2025-07-29,ARTO,1890.0,1895.0,1850.0,1890.0,9679600.0
2025-07-30,ARTO,1890.0,1940.0,1855.0,1905.0,17449200.0
2025-07-31,ARTO,1915.0,1915.0,1785.0,1870.0,15255400.0
2025-08-01,ARTO,1870.0,1870.0,1840.0,1850.0,5590500.0
2025-08-04,ARTO,1855.0,1870.0,1815.0,1840.0,7279600.0
2025-08-05,ARTO,1845.0,1920.0,1845.0,1885.0,11880100.0
2025-08-06,ARTO,1885.0,1900.0,1855.0,1890.0,6979800.0
2025-08-07,ARTO,1890.0,1905.0,1870.0,1890.0,6146200.0
2025-08-08,ARTO,1885.0,1895.0,1855.0,1860.0,6700800.0
2025-08-11,ARTO,1870.0,2020.0,1870.0,2000.0,28077400.0
2025-08-12,ARTO,2010.0,2380.0,1975.0,2200.0,84608800.0
2025-08-13,ARTO,2240.0,2400.0,2160.0,2160.0,46714600.0
2025-08-14,ARTO,2170.0,2250.0,2100.0,2210.0,20037100.0
2025-08-15,ARTO,2230.0,2240.0,2180.0,2180.0,8969300.0
2025-08-19,ARTO,2180.0,2240.0,2150.0,2170.0,10182500.0
2025-08-20,ARTO,2180.0,2290.0,2170.0,2270.0,26249400.0
2025-08-21,ARTO,2260.0,2300.0,2200.0,2210.0,8754200.0
2025-08-22,ARTO,2220.0,2330.0,2200.0,2210.0,22245200.0
2025-08-25,ARTO,2230.0,2340.0,2220.0,2290.0,20864900.0
2025-08-26,ARTO,2310.0,2310.0,2250.0,2270.0,10640700.0
2025-08-27,ARTO,2270.0,2290.0,2210.0,2260.0,7259800.0
2025-08-28,ARTO,2310.0,2440.0,2310.0,2350.0,20127500.0
2025-08-29,ARTO,2300.0,2310.0,2120.0,2270.0,23574900.0
2025-09-01,ARTO,2140.0,2230.0,2070.0,2170.0,7953200.0
2025-09-02,ARTO,2190.0,2290.0,2190.0,2200.0,8413700.0
2025-09-03,ARTO,2200.0,2240.0,2180.0,2190.0,4257800.0
2025-09-04,ARTO,2210.0,2220.0,2150.0,2170.0,4567700.0
2025-09-08,ARTO,2190.0,2200.0,1990.0,2000.0,11045100.0
2025-09-09,ARTO,2000.0,2050.0,1920.0,1970.0,11458900.0
2025-09-10,ARTO,1980.0,2130.0,1980.0,2110.0,11087200.0
