Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,ASPI,137.0,137.0,120.0,134.0,150500.0
2025-06-16,ASPI,131.0,136.0,128.0,135.0,3647700.0
2025-06-17,ASPI,140.0,182.0,140.0,182.0,4232800.0
2025-06-18,ASPI,244.0,244.0,244.0,244.0,3051400.0
2025-06-19,ASPI,304.0,304.0,210.0,230.0,12529400.0
2025-06-20,ASPI,220.0,284.0,212.0,260.0,20709300.0
2025-06-23,ASPI,260.0,260.0,260.0,260.0,0.0
2025-06-24,ASPI,260.0,260.0,222.0,224.0,3019000.0
2025-06-25,ASPI,226.0,238.0,214.0,230.0,660500.0
2025-06-26,ASPI,226.0,226.0,196.0,202.0,2240900.0
2025-06-30,ASPI,204.0,206.0,185.0,195.0,1695300.0
2025-07-01,ASPI,199.0,200.0,183.0,192.0,1005400.0
2025-07-02,ASPI,218.0,240.0,199.0,199.0,6270100.0
2025-07-03,ASPI,200.0,210.0,185.0,199.0,890000.0
2025-07-04,ASPI,204.0,228.0,198.0,208.0,3365400.0
2025-07-07,ASPI,208.0,220.0,200.0,208.0,541400.0
2025-07-08,ASPI,206.0,212.0,206.0,210.0,159800.0
2025-07-09,ASPI,210.0,214.0,204.0,210.0,452000.0
2025-07-10,ASPI,210.0,210.0,202.0,208.0,222300.0
2025-07-11,ASPI,208.0,260.0,202.0,260.0,6989100.0
2025-07-14,ASPI,324.0,324.0,276.0,306.0,10096400.0
2025-07-15,ASPI,306.0,306.0,306.0,306.0,0.0
2025-07-16,ASPI,306.0,306.0,306.0,306.0,0.0
2025-07-17,ASPI,306.0,306.0,306.0,306.0,0.0
2025-07-18,ASPI,306.0,306.0,306.0,306.0,0.0
2025-07-21,ASPI,306.0,306.0,306.0,306.0,0.0
2025-07-22,ASPI,306.0,306.0,306.0,306.0,0.0
2025-07-23,ASPI,306.0,306.0,306.0,306.0,0.0
2025-07-24,ASPI,336.0,336.0,336.0,336.0,8469700.0
2025-07-25,ASPI,366.0,366.0,340.0,340.0,9044100.0
2025-07-28,ASPI,340.0,340.0,306.0,306.0,680500.0
2025-07-29,ASPI,276.0,278.0,276.0,276.0,2575300.0
2025-07-30,ASPI,262.0,286.0,256.0,274.0,732400.0
2025-07-31,ASPI,274.0,298.0,272.0,298.0,236100.0
2025-08-01,ASPI,294.0,294.0,282.0,294.0,444300.0
2025-08-04,ASPI,292.0,296.0,270.0,278.0,694700.0
2025-08-05,ASPI,282.0,282.0,262.0,282.0,1350600.0
2025-08-06,ASPI,282.0,346.0,262.0,296.0,1890400.0
2025-08-07,ASPI,298.0,298.0,280.0,286.0,542700.0
2025-08-08,ASPI,288.0,306.0,274.0,280.0,857200.0
2025-08-11,ASPI,290.0,290.0,272.0,276.0,337200.0
2025-08-12,ASPI,276.0,310.0,274.0,286.0,1309000.0
2025-08-13,ASPI,300.0,300.0,288.0,294.0,1459700.0
2025-08-14,ASPI,302.0,366.0,294.0,352.0,16148700.0
2025-08-15,ASPI,364.0,384.0,334.0,350.0,5404000.0
2025-08-19,ASPI,350.0,372.0,350.0,364.0,2232900.0
2025-08-20,ASPI,368.0,430.0,364.0,398.0,9075900.0
2025-08-21,ASPI,398.0,408.0,368.0,374.0,4205100.0
2025-08-22,ASPI,390.0,430.0,380.0,416.0,7332100.0
2025-08-25,ASPI,416.0,454.0,410.0,452.0,4780900.0
2025-08-26,ASPI,452.0,456.0,410.0,428.0,2362900.0
2025-08-27,ASPI,428.0,448.0,416.0,428.0,1710800.0
2025-08-28,ASPI,428.0,428.0,392.0,418.0,870000.0
2025-08-29,ASPI,418.0,418.0,362.0,410.0,2016300.0
2025-09-01,ASPI,370.0,440.0,370.0,430.0,1837400.0
2025-09-02,ASPI,430.0,440.0,400.0,420.0,421500.0
2025-09-03,ASPI,430.0,442.0,420.0,428.0,5659900.0
2025-09-04,ASPI,440.0,440.0,416.0,422.0,2930100.0
2025-09-08,ASPI,422.0,525.0,422.0,490.0,17205100.0
2025-09-09,ASPI,490.0,510.0,474.0,492.0,3205600.0
2025-09-10,ASPI,500.0,510.0,490.0,505.0,1280900.0
2025-09-11,ASPI,505.0,575.0,498.0,530.0,4670400.0
2025-09-12,ASPI,530.0,530.0,530.0,530.0,0.0
2025-09-15,ASPI,530.0,530.0,530.0,530.0,0.0
2025-09-16,ASPI,530.0,530.0,530.0,530.0,0.0
2025-09-17,ASPI,530.0,530.0,530.0,530.0,0.0
2025-09-18,ASPI,530.0,530.0,530.0,530.0,0.0
2025-09-19,ASPI,530.0,530.0,530.0,530.0,0.0
2025-09-22,ASPI,530.0,530.0,530.0,530.0,0.0
2025-09-23,ASPI,530.0,530.0,530.0,530.0,0.0
2025-09-24,ASPI,530.0,530.0,530.0,530.0,0.0
2025-09-25,ASPI,530.0,530.0,530.0,530.0,0.0
2025-09-26,ASPI,530.0,530.0,530.0,530.0,0.0
2025-09-29,ASPI,580.0,580.0,580.0,580.0,2723100.0
2025-09-30,ASPI,580.0,620.0,580.0,620.0,3279500.0
2025-10-01,ASPI,660.0,680.0,660.0,680.0,1566200.0
