Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,BAPA,50.0,50.0,50.0,50.0,2400.0
2025-06-16,BAPA,50.0,50.0,50.0,50.0,212800.0
2025-06-17,BAPA,50.0,50.0,50.0,50.0,58500.0
2025-06-18,BAPA,50.0,50.0,50.0,50.0,700.0
2025-06-19,BAPA,50.0,50.0,50.0,50.0,2100.0
2025-06-20,BAPA,50.0,50.0,50.0,50.0,500.0
2025-06-23,BAPA,50.0,50.0,50.0,50.0,30600.0
2025-06-24,BAPA,50.0,50.0,50.0,50.0,30100.0
2025-06-25,BAPA,50.0,50.0,50.0,50.0,85500.0
2025-06-26,BAPA,50.0,50.0,50.0,50.0,300.0
2025-06-30,BAPA,50.0,50.0,50.0,50.0,2300.0
2025-07-01,BAPA,50.0,51.0,50.0,50.0,2610900.0
2025-07-02,BAPA,50.0,50.0,50.0,50.0,366700.0
2025-07-03,BAPA,50.0,51.0,50.0,50.0,579600.0
2025-07-04,BAPA,50.0,50.0,50.0,50.0,17600.0
2025-07-07,BAPA,50.0,50.0,50.0,50.0,133600.0
2025-07-08,BAPA,50.0,50.0,50.0,50.0,292200.0
2025-07-09,BAPA,50.0,50.0,50.0,50.0,500.0
2025-07-10,BAPA,50.0,50.0,50.0,50.0,1200.0
2025-07-11,BAPA,50.0,50.0,50.0,50.0,22500.0
2025-07-14,BAPA,50.0,50.0,50.0,50.0,1600.0
2025-07-15,BAPA,50.0,50.0,50.0,50.0,3400.0
2025-07-16,BAPA,50.0,50.0,50.0,50.0,40000.0
2025-07-17,BAPA,50.0,50.0,50.0,50.0,2000.0
2025-07-18,BAPA,50.0,50.0,50.0,50.0,34600.0
2025-07-21,BAPA,50.0,50.0,50.0,50.0,16400.0
2025-07-22,BAPA,50.0,50.0,50.0,50.0,4800.0
2025-07-23,BAPA,50.0,50.0,50.0,50.0,51000.0
2025-07-24,BAPA,50.0,50.0,50.0,50.0,7200.0
2025-07-25,BAPA,50.0,50.0,50.0,50.0,2300.0
2025-07-28,BAPA,50.0,50.0,50.0,50.0,5000.0
2025-07-29,BAPA,50.0,50.0,50.0,50.0,638900.0
2025-07-30,BAPA,50.0,50.0,50.0,50.0,25600.0
2025-07-31,BAPA,50.0,50.0,50.0,50.0,900.0
2025-08-01,BAPA,50.0,51.0,50.0,50.0,1082200.0
2025-08-04,BAPA,50.0,53.0,50.0,50.0,11190000.0
2025-08-05,BAPA,52.0,52.0,50.0,50.0,1761800.0
2025-08-06,BAPA,50.0,50.0,50.0,50.0,34800.0
2025-08-07,BAPA,50.0,50.0,50.0,50.0,25600.0
2025-08-08,BAPA,50.0,50.0,50.0,50.0,8400.0
2025-08-11,BAPA,50.0,50.0,50.0,50.0,65800.0
