Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,BAUT,30.0,32.0,30.0,31.0,3857900.0
2025-06-16,BAUT,29.0,29.0,28.0,29.0,4619300.0
2025-06-17,BAUT,27.0,27.0,27.0,27.0,1655000.0
2025-06-18,BAUT,27.0,29.0,26.0,29.0,5429200.0
2025-06-19,BAUT,30.0,30.0,29.0,29.0,7930400.0
2025-06-20,BAUT,29.0,30.0,29.0,30.0,4201400.0
2025-06-23,BAUT,28.0,28.0,27.0,27.0,672900.0
2025-06-24,BAUT,26.0,26.0,26.0,26.0,626700.0
2025-06-25,BAUT,25.0,25.0,25.0,25.0,608800.0
2025-06-26,BAUT,25.0,27.0,25.0,27.0,1013700.0
2025-06-30,BAUT,27.0,28.0,27.0,28.0,525900.0
2025-07-01,BAUT,28.0,28.0,28.0,28.0,701500.0
2025-07-02,BAUT,28.0,28.0,26.0,26.0,376800.0
2025-07-03,BAUT,26.0,26.0,26.0,26.0,441900.0
2025-07-04,BAUT,25.0,25.0,25.0,25.0,1812800.0
2025-07-07,BAUT,25.0,25.0,24.0,25.0,884100.0
2025-07-08,BAUT,24.0,24.0,24.0,24.0,1477300.0
2025-07-09,BAUT,24.0,25.0,24.0,25.0,1754400.0
2025-07-10,BAUT,25.0,25.0,24.0,25.0,872700.0
2025-07-11,BAUT,25.0,25.0,24.0,25.0,635000.0
2025-07-14,BAUT,25.0,25.0,25.0,25.0,1502900.0
2025-07-15,BAUT,27.0,27.0,27.0,27.0,4166900.0
2025-07-16,BAUT,28.0,29.0,28.0,29.0,3416700.0
2025-07-17,BAUT,28.0,30.0,28.0,28.0,10778900.0
2025-07-18,BAUT,29.0,29.0,28.0,28.0,6473100.0
2025-07-21,BAUT,28.0,29.0,28.0,29.0,3407700.0
2025-07-22,BAUT,28.0,29.0,28.0,29.0,2912600.0
2025-07-23,BAUT,29.0,30.0,29.0,30.0,2371800.0
2025-07-24,BAUT,29.0,29.0,27.0,29.0,1979600.0
2025-07-25,BAUT,28.0,28.0,27.0,28.0,1994800.0
2025-07-28,BAUT,29.0,29.0,28.0,28.0,2624100.0
2025-07-29,BAUT,28.0,28.0,27.0,28.0,2892200.0
2025-07-30,BAUT,28.0,28.0,27.0,28.0,1071000.0
2025-07-31,BAUT,28.0,28.0,28.0,28.0,285500.0
2025-08-01,BAUT,28.0,29.0,28.0,29.0,3176800.0
2025-08-04,BAUT,27.0,29.0,27.0,28.0,335100.0
2025-08-05,BAUT,28.0,28.0,27.0,28.0,398800.0
2025-08-06,BAUT,27.0,28.0,27.0,28.0,832100.0
2025-08-07,BAUT,27.0,30.0,27.0,30.0,18574900.0
2025-08-08,BAUT,30.0,30.0,30.0,30.0,2812700.0
2025-08-11,BAUT,30.0,33.0,30.0,33.0,21464800.0
2025-08-12,BAUT,36.0,36.0,36.0,36.0,44113800.0
2025-08-13,BAUT,36.0,37.0,36.0,37.0,12781600.0
2025-08-14,BAUT,37.0,37.0,36.0,36.0,5457700.0
2025-08-15,BAUT,36.0,36.0,33.0,33.0,4032400.0
2025-08-19,BAUT,32.0,32.0,30.0,30.0,10224700.0
2025-08-20,BAUT,30.0,33.0,30.0,33.0,24322600.0
2025-08-21,BAUT,36.0,36.0,36.0,36.0,8890800.0
2025-08-22,BAUT,36.0,38.0,36.0,37.0,32379500.0
2025-08-25,BAUT,38.0,40.0,37.0,37.0,17834500.0
2025-08-26,BAUT,37.0,37.0,35.0,36.0,12610500.0
2025-08-27,BAUT,35.0,35.0,34.0,35.0,14857500.0
2025-08-28,BAUT,38.0,38.0,36.0,37.0,14465400.0
2025-08-29,BAUT,37.0,37.0,36.0,36.0,13985400.0
2025-09-01,BAUT,35.0,36.0,35.0,36.0,9922000.0
2025-09-02,BAUT,39.0,39.0,39.0,39.0,27024700.0
2025-09-03,BAUT,42.0,42.0,37.0,38.0,37648500.0
2025-09-04,BAUT,37.0,38.0,37.0,38.0,5229600.0
2025-09-08,BAUT,38.0,39.0,37.0,37.0,9062300.0
2025-09-09,BAUT,37.0,37.0,37.0,37.0,4215300.0
2025-09-10,BAUT,36.0,37.0,36.0,37.0,10387700.0
2025-09-11,BAUT,37.0,37.0,36.0,37.0,3984300.0
2025-09-12,BAUT,40.0,40.0,39.0,39.0,16876500.0
2025-09-15,BAUT,39.0,40.0,39.0,40.0,5878300.0
2025-09-16,BAUT,40.0,40.0,39.0,39.0,15606300.0
2025-09-17,BAUT,39.0,39.0,38.0,38.0,19576300.0
2025-09-18,BAUT,39.0,40.0,38.0,38.0,12703800.0
2025-09-19,BAUT,40.0,40.0,37.0,38.0,12972300.0
2025-09-22,BAUT,41.0,41.0,41.0,41.0,47007000.0
2025-09-23,BAUT,45.0,45.0,45.0,45.0,16768500.0
2025-09-24,BAUT,49.0,49.0,49.0,49.0,16338200.0
2025-09-25,BAUT,53.0,53.0,53.0,53.0,68702900.0
2025-09-26,BAUT,52.0,52.0,50.0,50.0,29995600.0
2025-09-29,BAUT,45.0,45.0,45.0,45.0,16050300.0
2025-09-30,BAUT,43.0,48.0,43.0,48.0,21195100.0
2025-10-01,BAUT,52.0,52.0,48.0,49.0,18264900.0
2025-10-02,BAUT,50.0,50.0,49.0,49.0,10102000.0
2025-10-03,BAUT,50.0,50.0,45.0,45.0,17574000.0
2025-10-06,BAUT,41.0,41.0,41.0,41.0,19086400.0
2025-10-07,BAUT,37.0,37.0,37.0,37.0,15258500.0
2025-10-08,BAUT,34.0,37.0,34.0,37.0,25824100.0
2025-10-09,BAUT,39.0,40.0,39.0,39.0,8479500.0
2025-10-10,BAUT,39.0,39.0,39.0,39.0,6895900.0
2025-10-13,BAUT,42.0,42.0,41.0,42.0,7824900.0
2025-10-14,BAUT,45.0,45.0,38.0,41.0,11202700.0
2025-10-15,BAUT,40.0,40.0,37.0,39.0,3239700.0
2025-10-16,BAUT,37.0,38.0,37.0,38.0,3859700.0
2025-10-17,BAUT,38.0,38.0,37.0,37.0,1746000.0
2025-10-20,BAUT,40.0,40.0,39.0,40.0,9295000.0
2025-10-21,BAUT,40.0,40.0,38.0,40.0,3400400.0
2025-10-22,BAUT,40.0,41.0,36.0,41.0,5434800.0
2025-10-23,BAUT,44.0,44.0,43.0,43.0,12318900.0
2025-10-24,BAUT,43.0,43.0,40.0,42.0,3548700.0
2025-10-27,BAUT,40.0,41.0,40.0,41.0,2923000.0
2025-10-28,BAUT,40.0,41.0,40.0,41.0,1176000.0
2025-10-29,BAUT,44.0,44.0,41.0,41.0,2954800.0
2025-10-30,BAUT,41.0,41.0,40.0,41.0,2446900.0
2025-10-31,BAUT,41.0,41.0,40.0,40.0,2727900.0
2025-11-03,BAUT,40.0,40.0,40.0,40.0,2379300.0
2025-11-04,BAUT,40.0,40.0,39.0,39.0,1719400.0
2025-11-05,BAUT,37.0,38.0,36.0,36.0,7193700.0
2025-11-06,BAUT,36.0,37.0,36.0,37.0,6573400.0
2025-11-07,BAUT,37.0,38.0,37.0,38.0,1304700.0
2025-11-10,BAUT,40.0,41.0,40.0,41.0,6056200.0
2025-11-11,BAUT,43.0,44.0,43.0,44.0,7594000.0
2025-11-12,BAUT,43.0,43.0,41.0,42.0,5246000.0
2025-11-13,BAUT,42.0,42.0,41.0,42.0,1130700.0
2025-11-14,BAUT,40.0,41.0,40.0,41.0,945000.0
2025-11-17,BAUT,41.0,42.0,40.0,41.0,2393100.0
2025-11-18,BAUT,39.0,41.0,39.0,41.0,1645700.0
2025-11-19,BAUT,38.0,40.0,38.0,40.0,1599300.0
2025-11-20,BAUT,39.0,39.0,38.0,38.0,3454600.0
2025-11-21,BAUT,39.0,40.0,39.0,40.0,1179900.0
2025-11-24,BAUT,39.0,40.0,39.0,40.0,1715500.0
2025-11-25,BAUT,39.0,40.0,39.0,40.0,3448900.0
2025-11-26,BAUT,39.0,39.0,38.0,39.0,1995300.0
2025-11-27,BAUT,38.0,39.0,38.0,39.0,812000.0
2025-11-28,BAUT,39.0,39.0,38.0,39.0,3101100.0
2025-12-01,BAUT,39.0,40.0,38.0,40.0,15773900.0
2025-12-02,BAUT,40.0,40.0,39.0,39.0,1335100.0
2025-12-03,BAUT,38.0,39.0,38.0,39.0,4660100.0
2025-12-04,BAUT,39.0,40.0,39.0,40.0,4895800.0
2025-12-05,BAUT,40.0,40.0,40.0,40.0,2672300.0
2025-12-08,BAUT,39.0,40.0,39.0,39.0,6816500.0
2025-12-09,BAUT,40.0,40.0,39.0,39.0,4346400.0
2025-12-10,BAUT,39.0,39.0,39.0,39.0,2719800.0
2025-12-11,BAUT,38.0,39.0,38.0,38.0,4317400.0
2025-12-12,BAUT,38.0,38.0,38.0,38.0,2259000.0
2025-12-15,BAUT,39.0,39.0,39.0,39.0,4144000.0
2025-12-16,BAUT,39.0,39.0,38.0,38.0,2168700.0
2025-12-17,BAUT,39.0,39.0,39.0,39.0,2341400.0
2025-12-18,BAUT,39.0,40.0,39.0,40.0,4074900.0
2025-12-19,BAUT,39.0,39.0,39.0,39.0,3060800.0
2025-12-22,BAUT,39.0,39.0,38.0,38.0,3205500.0
2025-12-23,BAUT,38.0,39.0,38.0,39.0,3382700.0
2025-12-24,BAUT,39.0,39.0,38.0,38.0,2034400.0
2025-12-29,BAUT,38.0,38.0,36.0,37.0,2716400.0
2025-12-30,BAUT,36.0,36.0,36.0,36.0,4237500.0
2026-01-02,BAUT,36.0,36.0,36.0,36.0,3680800.0
2026-01-05,BAUT,36.0,37.0,36.0,37.0,6188700.0
2026-01-06,BAUT,38.0,38.0,38.0,38.0,4102800.0
2026-01-07,BAUT,39.0,40.0,38.0,40.0,5871500.0
2026-01-08,BAUT,39.0,40.0,39.0,40.0,7774800.0
2026-01-09,BAUT,43.0,43.0,40.0,41.0,10633900.0
2026-01-12,BAUT,45.0,45.0,45.0,45.0,13903600.0
2026-01-13,BAUT,49.0,49.0,49.0,49.0,19992200.0
2026-01-14,BAUT,53.0,53.0,53.0,53.0,18642000.0
2026-01-15,BAUT,58.0,58.0,58.0,58.0,178501200.0
2026-01-19,BAUT,60.0,60.0,53.0,53.0,136965800.0
2026-01-20,BAUT,52.0,52.0,51.0,51.0,50552700.0
2026-01-21,BAUT,56.0,56.0,56.0,56.0,86725200.0
2026-01-22,BAUT,59.0,59.0,53.0,53.0,77946900.0
2026-01-23,BAUT,49.0,55.0,49.0,55.0,39412400.0
2026-01-26,BAUT,56.0,56.0,52.0,52.0,36267700.0
2026-01-27,BAUT,54.0,54.0,53.0,53.0,18316700.0
2026-01-28,BAUT,49.0,49.0,48.0,48.0,13096700.0
2026-01-29,BAUT,49.0,49.0,44.0,44.0,5722800.0
2026-01-30,BAUT,44.0,48.0,44.0,48.0,15879200.0
