Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,BEEF,252.0,252.0,244.0,248.0,15459900.0
2025-06-16,BEEF,248.0,262.0,248.0,258.0,27809200.0
2025-06-17,BEEF,258.0,278.0,254.0,262.0,104102900.0
2025-06-18,BEEF,266.0,284.0,256.0,266.0,73654700.0
2025-06-19,BEEF,266.0,270.0,256.0,256.0,41180900.0
2025-06-20,BEEF,256.0,262.0,250.0,254.0,30077400.0
2025-06-23,BEEF,254.0,258.0,250.0,254.0,16083000.0
2025-06-24,BEEF,254.0,264.0,254.0,258.0,14230300.0
2025-06-25,BEEF,258.0,274.0,254.0,260.0,27967400.0
2025-06-26,BEEF,260.0,274.0,256.0,266.0,24957200.0
2025-06-30,BEEF,270.0,294.0,268.0,280.0,27495100.0
2025-07-01,BEEF,280.0,280.0,266.0,266.0,11942600.0
2025-07-02,BEEF,270.0,270.0,258.0,260.0,10185700.0
2025-07-03,BEEF,260.0,268.0,256.0,262.0,10622400.0
2025-07-04,BEEF,262.0,264.0,258.0,258.0,19302900.0
2025-07-07,BEEF,258.0,284.0,258.0,282.0,40729200.0
2025-07-08,BEEF,284.0,284.0,274.0,274.0,9960300.0
2025-07-09,BEEF,276.0,282.0,274.0,282.0,11025600.0
2025-07-10,BEEF,282.0,288.0,282.0,286.0,14465000.0
2025-07-11,BEEF,286.0,292.0,280.0,280.0,7270100.0
2025-07-14,BEEF,282.0,282.0,268.0,276.0,11294100.0
2025-07-15,BEEF,278.0,278.0,262.0,278.0,8152100.0
2025-07-16,BEEF,278.0,288.0,278.0,282.0,12169900.0
2025-07-17,BEEF,284.0,284.0,274.0,274.0,5339900.0
2025-07-18,BEEF,276.0,284.0,274.0,284.0,8308800.0
2025-07-21,BEEF,280.0,286.0,276.0,276.0,8012500.0
2025-07-22,BEEF,278.0,278.0,262.0,264.0,12111900.0
2025-07-23,BEEF,264.0,272.0,258.0,260.0,13291900.0
2025-07-24,BEEF,262.0,266.0,258.0,258.0,7603300.0
2025-07-25,BEEF,260.0,260.0,250.0,256.0,8211500.0
2025-07-28,BEEF,256.0,286.0,248.0,282.0,54705900.0
2025-07-29,BEEF,284.0,304.0,272.0,290.0,55454900.0
2025-07-30,BEEF,292.0,294.0,280.0,284.0,18497200.0
2025-07-31,BEEF,284.0,300.0,278.0,292.0,42010200.0
2025-08-01,BEEF,296.0,300.0,286.0,298.0,26955300.0
2025-08-04,BEEF,298.0,316.0,292.0,314.0,56026100.0
2025-08-05,BEEF,316.0,322.0,268.0,296.0,59244600.0
2025-08-06,BEEF,296.0,306.0,290.0,302.0,20002200.0
2025-08-07,BEEF,296.0,314.0,296.0,312.0,23083000.0
2025-08-08,BEEF,312.0,316.0,304.0,312.0,20285400.0
2025-08-11,BEEF,312.0,342.0,304.0,340.0,57182200.0
2025-08-12,BEEF,340.0,340.0,298.0,304.0,52139900.0
2025-08-13,BEEF,304.0,306.0,282.0,286.0,20633500.0
2025-08-14,BEEF,286.0,298.0,286.0,288.0,8230000.0
2025-08-15,BEEF,290.0,294.0,280.0,280.0,6067200.0
2025-08-19,BEEF,280.0,292.0,274.0,290.0,5906400.0
2025-08-20,BEEF,294.0,298.0,286.0,298.0,5822200.0
2025-08-21,BEEF,300.0,300.0,288.0,290.0,2592000.0
2025-08-22,BEEF,292.0,322.0,288.0,318.0,50173700.0
2025-08-25,BEEF,318.0,326.0,312.0,324.0,38150700.0
2025-08-26,BEEF,324.0,328.0,294.0,308.0,36499000.0
2025-08-27,BEEF,308.0,312.0,302.0,310.0,9279200.0
2025-08-28,BEEF,310.0,314.0,306.0,312.0,6995500.0
2025-08-29,BEEF,310.0,314.0,288.0,294.0,17055400.0
2025-09-01,BEEF,286.0,298.0,278.0,296.0,15754400.0
2025-09-02,BEEF,296.0,302.0,292.0,302.0,6928300.0
2025-09-03,BEEF,302.0,320.0,296.0,318.0,17566100.0
2025-09-04,BEEF,318.0,328.0,312.0,322.0,31387600.0
2025-09-08,BEEF,322.0,334.0,316.0,326.0,26523800.0
2025-09-09,BEEF,326.0,336.0,316.0,334.0,36590200.0
2025-09-10,BEEF,332.0,342.0,326.0,326.0,15793400.0
2025-09-11,BEEF,326.0,328.0,320.0,328.0,11165500.0
2025-09-12,BEEF,328.0,328.0,320.0,324.0,15489300.0
2025-09-15,BEEF,324.0,324.0,312.0,320.0,17736500.0
2025-09-16,BEEF,320.0,330.0,314.0,324.0,37871100.0
2025-09-17,BEEF,322.0,324.0,314.0,318.0,15314400.0
2025-09-18,BEEF,318.0,320.0,312.0,316.0,6010900.0
2025-09-19,BEEF,316.0,322.0,314.0,316.0,5744700.0
2025-09-22,BEEF,324.0,326.0,316.0,318.0,10490200.0
2025-09-23,BEEF,324.0,324.0,320.0,322.0,13143300.0
2025-09-24,BEEF,322.0,326.0,320.0,322.0,12894600.0
2025-09-25,BEEF,324.0,326.0,316.0,320.0,8994200.0
2025-09-26,BEEF,320.0,372.0,316.0,354.0,66383400.0
2025-09-29,BEEF,366.0,442.0,354.0,442.0,115000100.0
2025-09-30,BEEF,500.0,550.0,464.0,550.0,86868100.0
2025-10-01,BEEF,650.0,650.0,530.0,620.0,85530800.0
2025-10-02,BEEF,620.0,620.0,620.0,620.0,0.0
2025-10-03,BEEF,580.0,770.0,580.0,715.0,61872000.0
2025-10-06,BEEF,715.0,715.0,715.0,715.0,0.0
2025-10-07,BEEF,715.0,715.0,715.0,715.0,0.0
2025-10-08,BEEF,715.0,715.0,715.0,715.0,0.0
2025-10-09,BEEF,715.0,715.0,715.0,715.0,0.0
2025-10-10,BEEF,715.0,715.0,715.0,715.0,0.0
2025-10-13,BEEF,700.0,700.0,645.0,645.0,16357600.0
2025-10-14,BEEF,585.0,585.0,585.0,585.0,2701600.0
2025-10-15,BEEF,530.0,530.0,530.0,530.0,2018800.0
2025-10-16,BEEF,492.0,492.0,478.0,478.0,9235300.0
2025-10-17,BEEF,432.0,432.0,432.0,432.0,2707200.0
2025-10-20,BEEF,400.0,474.0,400.0,474.0,10478300.0
