Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,BELI,398.0,400.0,392.0,400.0,1787600.0
2025-06-16,BELI,400.0,400.0,394.0,400.0,811600.0
2025-06-17,BELI,400.0,400.0,394.0,400.0,860300.0
2025-06-18,BELI,400.0,400.0,396.0,400.0,152400.0
2025-06-19,BELI,398.0,400.0,396.0,400.0,469700.0
2025-06-20,BELI,398.0,400.0,396.0,400.0,701600.0
2025-06-23,BELI,398.0,400.0,390.0,400.0,5143100.0
2025-06-24,BELI,398.0,400.0,392.0,400.0,847600.0
2025-06-25,BELI,398.0,400.0,396.0,400.0,383000.0
2025-06-26,BELI,398.0,400.0,396.0,400.0,189100.0
2025-06-30,BELI,400.0,400.0,390.0,400.0,1466200.0
2025-07-01,BELI,400.0,400.0,394.0,400.0,342700.0
2025-07-02,BELI,398.0,400.0,394.0,400.0,318600.0
2025-07-03,BELI,400.0,400.0,394.0,400.0,1013400.0
2025-07-04,BELI,400.0,400.0,392.0,400.0,1440900.0
2025-07-07,BELI,398.0,400.0,392.0,400.0,2939400.0
2025-07-08,BELI,398.0,400.0,392.0,400.0,1694500.0
2025-07-09,BELI,400.0,400.0,392.0,392.0,2758700.0
2025-07-10,BELI,394.0,400.0,388.0,392.0,1919500.0
2025-07-11,BELI,394.0,396.0,380.0,388.0,1675700.0
2025-07-14,BELI,386.0,386.0,380.0,380.0,287700.0
2025-07-15,BELI,380.0,390.0,376.0,384.0,1738700.0
2025-07-16,BELI,384.0,400.0,384.0,398.0,465600.0
2025-07-17,BELI,400.0,400.0,394.0,398.0,252500.0
2025-07-18,BELI,398.0,398.0,394.0,396.0,382500.0
2025-07-21,BELI,398.0,398.0,390.0,392.0,647900.0
2025-07-22,BELI,392.0,394.0,386.0,388.0,377700.0
2025-07-23,BELI,388.0,388.0,380.0,382.0,898100.0
2025-07-24,BELI,390.0,390.0,380.0,382.0,223200.0
2025-07-25,BELI,382.0,394.0,382.0,386.0,268300.0
2025-07-28,BELI,386.0,390.0,382.0,388.0,394300.0
2025-07-29,BELI,386.0,386.0,380.0,384.0,361300.0
2025-07-30,BELI,382.0,396.0,382.0,386.0,238400.0
2025-07-31,BELI,394.0,394.0,380.0,390.0,784600.0
2025-08-01,BELI,394.0,394.0,388.0,392.0,166900.0
2025-08-04,BELI,390.0,394.0,386.0,394.0,725900.0
2025-08-05,BELI,392.0,396.0,390.0,394.0,763600.0
2025-08-06,BELI,394.0,396.0,390.0,390.0,208000.0
2025-08-07,BELI,390.0,392.0,384.0,384.0,416500.0
2025-08-08,BELI,386.0,386.0,376.0,380.0,1118200.0
2025-08-11,BELI,380.0,384.0,380.0,382.0,43200.0
2025-08-12,BELI,380.0,382.0,378.0,380.0,310000.0
2025-08-13,BELI,382.0,382.0,374.0,380.0,336000.0
2025-08-14,BELI,378.0,380.0,376.0,376.0,276000.0
2025-08-15,BELI,378.0,380.0,376.0,376.0,160200.0
2025-08-19,BELI,376.0,380.0,376.0,376.0,102200.0
2025-08-20,BELI,376.0,376.0,372.0,372.0,455100.0
2025-08-21,BELI,372.0,378.0,368.0,372.0,746600.0
2025-08-22,BELI,372.0,376.0,370.0,372.0,532800.0
2025-08-25,BELI,372.0,378.0,370.0,374.0,651700.0
2025-08-26,BELI,376.0,378.0,370.0,374.0,379000.0
2025-08-27,BELI,374.0,374.0,368.0,372.0,676000.0
2025-08-28,BELI,372.0,380.0,370.0,372.0,438500.0
2025-08-29,BELI,370.0,370.0,366.0,368.0,528600.0
2025-09-01,BELI,368.0,368.0,364.0,366.0,230800.0
2025-09-02,BELI,368.0,368.0,364.0,368.0,65000.0
2025-09-03,BELI,370.0,372.0,364.0,364.0,541400.0
2025-09-04,BELI,366.0,370.0,362.0,368.0,253800.0
2025-09-08,BELI,368.0,370.0,360.0,360.0,961400.0
2025-09-09,BELI,360.0,360.0,348.0,356.0,2101500.0
2025-09-10,BELI,356.0,358.0,352.0,352.0,130100.0
2025-09-11,BELI,352.0,352.0,346.0,350.0,433600.0
