Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,BIKE,590.0,610.0,575.0,600.0,1189600.0
2025-06-16,BIKE,600.0,610.0,595.0,600.0,1038800.0
2025-06-17,BIKE,600.0,610.0,595.0,605.0,973500.0
2025-06-18,BIKE,605.0,605.0,595.0,600.0,936700.0
2025-06-19,BIKE,605.0,610.0,590.0,595.0,989900.0
2025-06-20,BIKE,600.0,605.0,585.0,595.0,1117600.0
2025-06-23,BIKE,600.0,605.0,590.0,595.0,994300.0
2025-06-24,BIKE,600.0,610.0,595.0,600.0,956400.0
2025-06-25,BIKE,600.0,610.0,590.0,595.0,850800.0
2025-06-26,BIKE,600.0,605.0,590.0,600.0,920000.0
2025-06-30,BIKE,600.0,600.0,580.0,600.0,811800.0
2025-07-01,BIKE,600.0,610.0,585.0,585.0,846600.0
2025-07-02,BIKE,585.0,590.0,570.0,575.0,842900.0
2025-07-03,BIKE,575.0,585.0,560.0,575.0,948400.0
2025-07-04,BIKE,575.0,585.0,565.0,570.0,929200.0
2025-07-07,BIKE,570.0,570.0,550.0,560.0,856000.0
2025-07-08,BIKE,565.0,570.0,560.0,565.0,955100.0
2025-07-09,BIKE,565.0,575.0,565.0,570.0,919500.0
2025-07-10,BIKE,570.0,580.0,565.0,575.0,887000.0
2025-07-11,BIKE,575.0,585.0,575.0,580.0,880500.0
2025-07-14,BIKE,580.0,585.0,575.0,580.0,874600.0
2025-07-15,BIKE,585.0,585.0,570.0,580.0,1017000.0
2025-07-16,BIKE,585.0,595.0,575.0,580.0,1055500.0
2025-07-17,BIKE,585.0,595.0,580.0,590.0,908700.0
2025-07-18,BIKE,590.0,595.0,585.0,590.0,887200.0
2025-07-21,BIKE,590.0,600.0,585.0,595.0,865400.0
2025-07-22,BIKE,595.0,600.0,580.0,585.0,931900.0
2025-07-23,BIKE,585.0,595.0,580.0,590.0,911100.0
2025-07-24,BIKE,590.0,595.0,580.0,585.0,881100.0
2025-07-25,BIKE,585.0,585.0,570.0,585.0,582900.0
2025-07-28,BIKE,585.0,595.0,585.0,590.0,799300.0
2025-07-29,BIKE,590.0,600.0,575.0,600.0,1053400.0
2025-07-30,BIKE,600.0,605.0,590.0,595.0,772500.0
2025-07-31,BIKE,595.0,600.0,585.0,590.0,858400.0
2025-08-01,BIKE,595.0,615.0,595.0,610.0,1182500.0
2025-08-04,BIKE,615.0,620.0,605.0,610.0,937400.0
2025-08-05,BIKE,615.0,640.0,615.0,640.0,1407400.0
2025-08-06,BIKE,640.0,680.0,640.0,680.0,1851800.0
2025-08-07,BIKE,685.0,800.0,685.0,790.0,3595900.0
2025-08-08,BIKE,790.0,805.0,755.0,805.0,2800700.0
2025-08-11,BIKE,805.0,850.0,805.0,820.0,4464700.0
2025-08-12,BIKE,825.0,850.0,820.0,825.0,4049900.0
2025-08-13,BIKE,830.0,840.0,820.0,820.0,2776500.0
2025-08-14,BIKE,820.0,830.0,805.0,820.0,3516000.0
2025-08-15,BIKE,825.0,835.0,815.0,825.0,3071200.0
2025-08-19,BIKE,825.0,835.0,815.0,825.0,3479000.0
2025-08-20,BIKE,825.0,865.0,825.0,850.0,4202500.0
2025-08-21,BIKE,850.0,855.0,835.0,840.0,4751400.0
2025-08-22,BIKE,840.0,850.0,830.0,845.0,5413400.0
2025-08-25,BIKE,850.0,885.0,850.0,860.0,7205900.0
2025-08-26,BIKE,865.0,870.0,850.0,850.0,6072800.0
2025-08-27,BIKE,855.0,875.0,850.0,855.0,7010800.0
2025-08-28,BIKE,855.0,885.0,855.0,870.0,7783500.0
2025-08-29,BIKE,870.0,885.0,860.0,865.0,5826400.0
2025-09-01,BIKE,870.0,870.0,785.0,865.0,4165200.0
2025-09-02,BIKE,870.0,1015.0,870.0,995.0,14712100.0
2025-09-03,BIKE,995.0,1025.0,975.0,1000.0,9013600.0
2025-09-04,BIKE,1000.0,1015.0,985.0,1000.0,8657200.0
2025-09-08,BIKE,1000.0,1050.0,1000.0,1025.0,10512600.0
2025-09-09,BIKE,1025.0,1040.0,1000.0,1020.0,11861500.0
2025-09-10,BIKE,1025.0,1060.0,1025.0,1035.0,9868900.0
2025-09-11,BIKE,1035.0,1055.0,1035.0,1035.0,8341800.0
2025-09-12,BIKE,1040.0,1080.0,1040.0,1055.0,8312400.0
2025-09-15,BIKE,1060.0,1070.0,1020.0,1025.0,6590700.0
2025-09-16,BIKE,1030.0,1100.0,1025.0,1030.0,14506200.0
2025-09-17,BIKE,1035.0,1040.0,990.0,1010.0,3938900.0
2025-09-18,BIKE,1010.0,1040.0,995.0,1030.0,11370900.0
2025-09-19,BIKE,1035.0,1045.0,1020.0,1035.0,7170400.0
2025-09-22,BIKE,1040.0,1050.0,1020.0,1035.0,9779000.0
2025-09-23,BIKE,1035.0,1050.0,1025.0,1040.0,13030900.0
2025-09-24,BIKE,1040.0,1050.0,1020.0,1025.0,9120400.0
2025-09-25,BIKE,1030.0,1030.0,995.0,1000.0,6979400.0
2025-09-26,BIKE,1005.0,1025.0,990.0,1020.0,7384900.0
2025-09-29,BIKE,1020.0,1070.0,1020.0,1065.0,13534800.0
2025-09-30,BIKE,1070.0,1070.0,1005.0,1025.0,3181500.0
2025-10-01,BIKE,1025.0,1040.0,1010.0,1010.0,10183400.0
2025-10-02,BIKE,1015.0,1045.0,1015.0,1025.0,11366500.0
2025-10-03,BIKE,1030.0,1035.0,990.0,1000.0,6447300.0
2025-10-06,BIKE,1005.0,1005.0,930.0,935.0,3545000.0
2025-10-07,BIKE,935.0,975.0,905.0,945.0,11887700.0
2025-10-08,BIKE,950.0,950.0,910.0,945.0,11336400.0
2025-10-09,BIKE,945.0,970.0,935.0,965.0,11652800.0
