Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,BLTA,20.0,21.0,20.0,21.0,166900.0
2025-06-16,BLTA,21.0,21.0,20.0,20.0,616700.0
2025-06-17,BLTA,20.0,20.0,20.0,20.0,1272100.0
2025-06-18,BLTA,20.0,21.0,20.0,21.0,228700.0
2025-06-19,BLTA,21.0,21.0,20.0,20.0,331900.0
2025-06-20,BLTA,20.0,20.0,20.0,20.0,216200.0
2025-06-23,BLTA,20.0,20.0,20.0,20.0,517900.0
2025-06-24,BLTA,20.0,20.0,19.0,20.0,73100.0
2025-06-25,BLTA,20.0,20.0,20.0,20.0,520500.0
2025-06-26,BLTA,21.0,21.0,20.0,20.0,1268600.0
2025-06-30,BLTA,20.0,20.0,20.0,20.0,2030600.0
2025-07-01,BLTA,20.0,21.0,20.0,20.0,1122300.0
2025-07-02,BLTA,20.0,21.0,20.0,20.0,478500.0
2025-07-03,BLTA,20.0,20.0,19.0,19.0,1160000.0
2025-07-04,BLTA,20.0,20.0,20.0,20.0,528400.0
2025-07-07,BLTA,20.0,20.0,20.0,20.0,331400.0
2025-07-08,BLTA,20.0,20.0,20.0,20.0,605400.0
2025-07-09,BLTA,20.0,20.0,20.0,20.0,137300.0
2025-07-10,BLTA,20.0,20.0,20.0,20.0,3211900.0
2025-07-11,BLTA,20.0,20.0,20.0,20.0,5691500.0
2025-07-14,BLTA,20.0,20.0,20.0,20.0,2125200.0
2025-07-15,BLTA,20.0,21.0,20.0,21.0,260800.0
2025-07-16,BLTA,20.0,20.0,20.0,20.0,1825700.0
2025-07-17,BLTA,20.0,21.0,20.0,21.0,1475600.0
2025-07-18,BLTA,21.0,21.0,20.0,20.0,236800.0
2025-07-21,BLTA,21.0,21.0,20.0,20.0,1143400.0
2025-07-22,BLTA,20.0,20.0,19.0,20.0,1554000.0
2025-07-23,BLTA,20.0,20.0,20.0,20.0,3742500.0
2025-07-24,BLTA,20.0,20.0,20.0,20.0,8310600.0
2025-07-25,BLTA,20.0,20.0,19.0,20.0,640200.0
2025-07-28,BLTA,20.0,20.0,20.0,20.0,1068500.0
2025-07-29,BLTA,20.0,20.0,19.0,19.0,1460100.0
2025-07-30,BLTA,19.0,20.0,19.0,20.0,13187700.0
2025-07-31,BLTA,20.0,20.0,19.0,20.0,2189200.0
2025-08-01,BLTA,20.0,20.0,20.0,20.0,1578800.0
2025-08-04,BLTA,20.0,20.0,20.0,20.0,6047200.0
2025-08-05,BLTA,20.0,20.0,19.0,20.0,5406200.0
2025-08-06,BLTA,20.0,20.0,20.0,20.0,511700.0
2025-08-07,BLTA,20.0,20.0,20.0,20.0,1138700.0
2025-08-08,BLTA,19.0,19.0,19.0,19.0,3964200.0
2025-08-11,BLTA,20.0,20.0,20.0,20.0,2842900.0
2025-08-12,BLTA,20.0,20.0,20.0,20.0,7118600.0
2025-08-13,BLTA,19.0,20.0,19.0,20.0,6892400.0
2025-08-14,BLTA,20.0,20.0,20.0,20.0,3471000.0
2025-08-15,BLTA,20.0,20.0,19.0,19.0,3116000.0
2025-08-19,BLTA,20.0,20.0,20.0,20.0,10545400.0
2025-08-20,BLTA,21.0,21.0,21.0,21.0,9537100.0
2025-08-21,BLTA,21.0,21.0,21.0,21.0,9706700.0
2025-08-22,BLTA,23.0,23.0,23.0,23.0,6589400.0
2025-08-25,BLTA,25.0,25.0,25.0,25.0,6597700.0
2025-08-26,BLTA,27.0,27.0,27.0,27.0,5396700.0
2025-08-27,BLTA,29.0,29.0,29.0,29.0,7985700.0
2025-08-28,BLTA,31.0,31.0,31.0,31.0,3586700.0
2025-08-29,BLTA,34.0,34.0,34.0,34.0,7857400.0
2025-09-01,BLTA,37.0,37.0,37.0,37.0,27921400.0
2025-09-02,BLTA,40.0,40.0,40.0,40.0,26940300.0
2025-09-03,BLTA,44.0,44.0,44.0,44.0,24139400.0
2025-09-04,BLTA,41.0,41.0,40.0,41.0,28808100.0
2025-09-08,BLTA,41.0,41.0,38.0,38.0,25863700.0
2025-09-09,BLTA,41.0,41.0,40.0,40.0,31287300.0
2025-09-10,BLTA,41.0,41.0,37.0,37.0,10072600.0
2025-09-11,BLTA,36.0,39.0,36.0,39.0,14616600.0
2025-09-12,BLTA,40.0,40.0,39.0,39.0,8562200.0
2025-09-15,BLTA,41.0,41.0,40.0,40.0,13109200.0
2025-09-16,BLTA,40.0,40.0,38.0,38.0,12764200.0
2025-09-17,BLTA,38.0,41.0,38.0,41.0,26160600.0
2025-09-18,BLTA,45.0,45.0,43.0,43.0,35123600.0
2025-09-19,BLTA,42.0,42.0,40.0,40.0,7235500.0
