Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,BNBA,860.0,865.0,850.0,855.0,155700.0
2025-06-16,BNBA,860.0,860.0,850.0,860.0,260800.0
2025-06-17,BNBA,860.0,870.0,850.0,865.0,582500.0
2025-06-18,BNBA,870.0,875.0,855.0,860.0,382000.0
2025-06-19,BNBA,860.0,875.0,845.0,855.0,568300.0
2025-06-20,BNBA,855.0,855.0,840.0,850.0,68800.0
2025-06-23,BNBA,850.0,850.0,790.0,820.0,311700.0
2025-06-24,BNBA,820.0,835.0,800.0,815.0,335900.0
2025-06-25,BNBA,815.0,835.0,810.0,810.0,230500.0
2025-06-26,BNBA,810.0,830.0,800.0,830.0,77700.0
2025-06-30,BNBA,830.0,830.0,800.0,810.0,81100.0
2025-07-01,BNBA,815.0,825.0,805.0,825.0,89800.0
2025-07-02,BNBA,820.0,870.0,820.0,865.0,196000.0
2025-07-03,BNBA,865.0,880.0,850.0,865.0,159100.0
2025-07-04,BNBA,860.0,875.0,820.0,840.0,184100.0
2025-07-07,BNBA,860.0,865.0,845.0,845.0,72500.0
2025-07-08,BNBA,850.0,865.0,815.0,865.0,1082100.0
2025-07-09,BNBA,865.0,870.0,840.0,860.0,123700.0
2025-07-10,BNBA,865.0,870.0,860.0,870.0,55100.0
2025-07-11,BNBA,875.0,875.0,860.0,865.0,94700.0
2025-07-14,BNBA,860.0,865.0,850.0,855.0,41500.0
2025-07-15,BNBA,855.0,855.0,825.0,830.0,53600.0
2025-07-16,BNBA,845.0,845.0,815.0,825.0,491900.0
2025-07-17,BNBA,825.0,825.0,810.0,825.0,114300.0
2025-07-18,BNBA,820.0,820.0,800.0,820.0,164100.0
2025-07-21,BNBA,825.0,830.0,810.0,825.0,91000.0
2025-07-22,BNBA,830.0,830.0,815.0,820.0,32100.0
2025-07-23,BNBA,830.0,830.0,800.0,815.0,149200.0
2025-07-24,BNBA,825.0,890.0,800.0,835.0,708500.0
2025-07-25,BNBA,840.0,860.0,830.0,835.0,90200.0
2025-07-28,BNBA,850.0,865.0,810.0,815.0,2621800.0
2025-07-29,BNBA,840.0,840.0,810.0,825.0,78500.0
2025-07-30,BNBA,820.0,840.0,805.0,810.0,61100.0
2025-07-31,BNBA,810.0,825.0,800.0,820.0,65300.0
2025-08-01,BNBA,805.0,815.0,795.0,805.0,93500.0
2025-08-04,BNBA,800.0,860.0,795.0,820.0,487700.0
2025-08-05,BNBA,800.0,830.0,800.0,815.0,128300.0
2025-08-06,BNBA,830.0,845.0,790.0,800.0,2166400.0
2025-08-07,BNBA,815.0,815.0,780.0,805.0,265200.0
2025-08-08,BNBA,805.0,805.0,785.0,795.0,57000.0
2025-08-11,BNBA,800.0,810.0,790.0,805.0,66600.0
2025-08-12,BNBA,815.0,890.0,810.0,840.0,5282100.0
2025-08-13,BNBA,845.0,845.0,800.0,805.0,1150200.0
2025-08-14,BNBA,810.0,825.0,805.0,820.0,166100.0
2025-08-15,BNBA,825.0,830.0,790.0,795.0,2472000.0
2025-08-19,BNBA,805.0,845.0,795.0,815.0,544800.0
2025-08-20,BNBA,815.0,820.0,805.0,815.0,189700.0
2025-08-21,BNBA,820.0,825.0,805.0,805.0,66400.0
2025-08-22,BNBA,815.0,815.0,800.0,805.0,112400.0
2025-08-25,BNBA,810.0,810.0,780.0,805.0,1139600.0
2025-08-26,BNBA,810.0,810.0,790.0,800.0,72600.0
2025-08-27,BNBA,800.0,800.0,780.0,790.0,260600.0
2025-08-28,BNBA,795.0,800.0,775.0,780.0,318200.0
2025-08-29,BNBA,790.0,845.0,770.0,795.0,6403700.0
2025-09-01,BNBA,770.0,830.0,755.0,810.0,1910500.0
2025-09-02,BNBA,810.0,815.0,750.0,760.0,3381500.0
2025-09-03,BNBA,780.0,800.0,760.0,760.0,360800.0
2025-09-04,BNBA,775.0,775.0,760.0,775.0,301500.0
2025-09-08,BNBA,780.0,780.0,750.0,755.0,633500.0
2025-09-09,BNBA,765.0,770.0,755.0,765.0,332300.0
2025-09-10,BNBA,765.0,780.0,755.0,775.0,158900.0
2025-09-11,BNBA,780.0,780.0,755.0,775.0,102400.0
2025-09-12,BNBA,775.0,775.0,755.0,760.0,285100.0
2025-09-15,BNBA,755.0,775.0,750.0,760.0,254600.0
2025-09-16,BNBA,770.0,770.0,750.0,755.0,66000.0
2025-09-17,BNBA,755.0,760.0,700.0,700.0,1649000.0
2025-09-18,BNBA,715.0,725.0,700.0,715.0,753600.0
2025-09-19,BNBA,715.0,715.0,690.0,705.0,362600.0
2025-09-22,BNBA,705.0,735.0,690.0,715.0,128300.0
2025-09-23,BNBA,715.0,730.0,700.0,715.0,228400.0
2025-09-24,BNBA,720.0,720.0,700.0,715.0,68500.0
2025-09-25,BNBA,720.0,720.0,685.0,700.0,360300.0
2025-09-26,BNBA,700.0,740.0,690.0,710.0,414900.0
2025-09-29,BNBA,720.0,720.0,700.0,705.0,176000.0
2025-09-30,BNBA,710.0,800.0,695.0,725.0,1341100.0
2025-10-01,BNBA,735.0,735.0,700.0,725.0,366600.0
2025-10-02,BNBA,725.0,825.0,725.0,800.0,2666100.0
2025-10-03,BNBA,800.0,815.0,765.0,765.0,781100.0
2025-10-06,BNBA,760.0,785.0,735.0,755.0,1771100.0
2025-10-07,BNBA,755.0,775.0,710.0,710.0,2480000.0
2025-10-08,BNBA,730.0,730.0,680.0,700.0,2689100.0
2025-10-09,BNBA,700.0,740.0,640.0,710.0,3650200.0
2025-10-10,BNBA,720.0,720.0,685.0,715.0,604200.0
2025-10-13,BNBA,710.0,710.0,640.0,695.0,3776800.0
2025-10-14,BNBA,670.0,695.0,640.0,650.0,3399800.0
2025-10-15,BNBA,660.0,660.0,620.0,630.0,1105300.0
2025-10-16,BNBA,640.0,655.0,620.0,650.0,305500.0
2025-10-17,BNBA,660.0,660.0,620.0,630.0,1074500.0
2025-10-20,BNBA,640.0,650.0,630.0,630.0,719200.0
2025-10-21,BNBA,655.0,655.0,600.0,630.0,1179800.0
2025-10-22,BNBA,635.0,635.0,620.0,625.0,306100.0
2025-10-23,BNBA,625.0,630.0,615.0,625.0,468800.0
2025-10-24,BNBA,625.0,635.0,625.0,630.0,199800.0
2025-10-27,BNBA,630.0,635.0,605.0,615.0,1429000.0
2025-10-28,BNBA,605.0,615.0,605.0,615.0,80000.0
2025-10-29,BNBA,615.0,620.0,600.0,615.0,568400.0
2025-10-30,BNBA,615.0,630.0,605.0,630.0,458900.0
2025-10-31,BNBA,625.0,625.0,620.0,620.0,69200.0
2025-11-03,BNBA,615.0,625.0,615.0,620.0,69500.0
2025-11-04,BNBA,620.0,620.0,610.0,615.0,45600.0
2025-11-05,BNBA,615.0,615.0,605.0,615.0,165100.0
2025-11-06,BNBA,620.0,620.0,610.0,615.0,95600.0
2025-11-07,BNBA,615.0,615.0,600.0,615.0,343500.0
2025-11-10,BNBA,620.0,620.0,605.0,620.0,149300.0
2025-11-11,BNBA,610.0,620.0,605.0,610.0,225900.0
2025-11-12,BNBA,615.0,620.0,610.0,620.0,182500.0
2025-11-13,BNBA,625.0,625.0,610.0,620.0,76000.0
2025-11-14,BNBA,620.0,620.0,600.0,615.0,299800.0
