Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,BOLA,94.0,96.0,94.0,94.0,68200.0
2025-06-16,BOLA,94.0,97.0,94.0,95.0,782700.0
2025-06-17,BOLA,96.0,97.0,95.0,97.0,305000.0
2025-06-18,BOLA,96.0,98.0,96.0,98.0,325600.0
2025-06-19,BOLA,97.0,98.0,97.0,98.0,310500.0
2025-06-20,BOLA,98.0,98.0,92.0,96.0,388000.0
2025-06-23,BOLA,96.0,96.0,90.0,92.0,977700.0
2025-06-24,BOLA,92.0,92.0,90.0,92.0,96900.0
2025-06-25,BOLA,92.0,92.0,90.0,90.0,107200.0
2025-06-26,BOLA,90.0,92.0,90.0,91.0,384500.0
2025-06-30,BOLA,92.0,93.0,92.0,93.0,154200.0
2025-07-01,BOLA,93.0,96.0,93.0,96.0,449600.0
2025-07-02,BOLA,96.0,96.0,94.0,95.0,526500.0
2025-07-03,BOLA,95.0,96.0,94.0,95.0,451400.0
2025-07-04,BOLA,95.0,96.0,94.0,94.0,48800.0
2025-07-07,BOLA,96.0,96.0,95.0,96.0,38800.0
2025-07-08,BOLA,96.0,96.0,95.0,95.0,97400.0
2025-07-09,BOLA,95.0,96.0,95.0,95.0,40900.0
2025-07-10,BOLA,96.0,96.0,95.0,95.0,40700.0
2025-07-11,BOLA,95.0,97.0,94.0,97.0,286800.0
2025-07-14,BOLA,97.0,100.0,96.0,99.0,958800.0
2025-07-15,BOLA,100.0,103.0,99.0,100.0,1032700.0
2025-07-16,BOLA,100.0,103.0,100.0,103.0,744200.0
2025-07-17,BOLA,103.0,107.0,102.0,105.0,2109000.0
2025-07-18,BOLA,108.0,141.0,107.0,134.0,19867700.0
2025-07-21,BOLA,134.0,140.0,122.0,129.0,5643600.0
2025-07-22,BOLA,132.0,133.0,122.0,125.0,2255900.0
2025-07-23,BOLA,130.0,130.0,124.0,127.0,525000.0
2025-07-24,BOLA,130.0,133.0,124.0,127.0,1322700.0
2025-07-25,BOLA,126.0,130.0,125.0,126.0,621300.0
2025-07-28,BOLA,126.0,138.0,126.0,134.0,1957600.0
2025-07-29,BOLA,135.0,136.0,129.0,129.0,1015400.0
2025-07-30,BOLA,131.0,150.0,129.0,143.0,2353800.0
2025-07-31,BOLA,143.0,155.0,140.0,144.0,685400.0
2025-08-01,BOLA,144.0,194.0,144.0,175.0,31377700.0
2025-08-04,BOLA,175.0,177.0,165.0,172.0,2748300.0
2025-08-05,BOLA,175.0,190.0,169.0,183.0,6080800.0
2025-08-06,BOLA,186.0,216.0,186.0,190.0,13738800.0
2025-08-07,BOLA,190.0,190.0,179.0,185.0,2908600.0
2025-08-08,BOLA,185.0,189.0,181.0,185.0,1442500.0
2025-08-11,BOLA,185.0,195.0,181.0,185.0,2574000.0
2025-08-12,BOLA,190.0,190.0,184.0,186.0,1802900.0
2025-08-13,BOLA,188.0,188.0,177.0,178.0,1628800.0
2025-08-14,BOLA,178.0,185.0,178.0,182.0,676100.0
2025-08-15,BOLA,179.0,188.0,179.0,188.0,924700.0
2025-08-19,BOLA,188.0,191.0,185.0,188.0,1852600.0
2025-08-20,BOLA,188.0,191.0,186.0,189.0,1926900.0
2025-08-21,BOLA,190.0,240.0,185.0,195.0,16882300.0
2025-08-22,BOLA,195.0,210.0,190.0,199.0,6729000.0
2025-08-25,BOLA,198.0,210.0,193.0,204.0,2548700.0
2025-08-26,BOLA,204.0,208.0,199.0,208.0,695200.0
2025-08-27,BOLA,208.0,224.0,198.0,220.0,4653300.0
2025-08-28,BOLA,228.0,238.0,216.0,226.0,19161700.0
2025-08-29,BOLA,226.0,228.0,196.0,208.0,4318900.0
2025-09-01,BOLA,198.0,206.0,189.0,191.0,7119100.0
2025-09-02,BOLA,191.0,212.0,191.0,195.0,5229800.0
2025-09-03,BOLA,204.0,204.0,193.0,194.0,775600.0
2025-09-04,BOLA,194.0,202.0,190.0,199.0,2381100.0
2025-09-08,BOLA,199.0,199.0,186.0,191.0,1896400.0
2025-09-09,BOLA,191.0,191.0,186.0,188.0,778400.0
2025-09-10,BOLA,188.0,196.0,188.0,190.0,295300.0
2025-09-11,BOLA,191.0,197.0,190.0,192.0,945400.0
2025-09-12,BOLA,196.0,200.0,194.0,195.0,436900.0
2025-09-15,BOLA,195.0,200.0,194.0,194.0,472500.0
2025-09-16,BOLA,194.0,199.0,192.0,197.0,455200.0
2025-09-17,BOLA,197.0,197.0,186.0,190.0,2677500.0
2025-09-18,BOLA,190.0,191.0,186.0,190.0,1108900.0
2025-09-19,BOLA,188.0,192.0,186.0,190.0,577100.0
2025-09-22,BOLA,190.0,190.0,181.0,183.0,1985900.0
2025-09-23,BOLA,183.0,188.0,182.0,186.0,2785300.0
2025-09-24,BOLA,187.0,190.0,181.0,185.0,1193600.0
2025-09-25,BOLA,185.0,185.0,181.0,184.0,784300.0
2025-09-26,BOLA,184.0,190.0,183.0,185.0,1233600.0
2025-09-29,BOLA,185.0,185.0,174.0,183.0,6291000.0
