Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,BPFI,357.10324676127374,357.10324676127374,304.70222685608684,306.64300537109375,2218700.0
2025-06-16,BPFI,310.5245580428686,320.2284504817082,300.82066560402893,302.7614440917969,229700.0
2025-06-17,BPFI,302.7614310683718,316.3468798983629,300.8206526640874,304.70220947265625,33500.0
2025-06-18,BPFI,302.7614483410799,314.40611943112145,300.820669826073,306.64300537109375,13500.0
2025-06-19,BPFI,304.7022358555948,304.7022358555948,300.8206787109375,300.8206787109375,85600.0
2025-06-20,BPFI,306.6429878769407,310.52454468550957,300.8206526640874,304.70220947265625,34000.0
2025-06-23,BPFI,304.7022181919643,308.58377511160717,294.99832589285717,298.8798828125,80500.0
2025-06-24,BPFI,293.0575557660453,308.58378388610066,291.1167772510384,306.64300537109375,23800.0
2025-06-25,BPFI,306.6430136598187,326.05079933449076,293.0575636875482,314.4061279296875,586300.0
2025-06-26,BPFI,314.4061279296875,314.4061279296875,306.6430136598187,314.4061279296875,5000.0
2025-06-30,BPFI,304.7022350923515,366.8071492513021,304.7022350923515,314.4061279296875,590700.0
2025-07-01,BPFI,316.34690649715475,331.8731350368924,314.4061279296875,314.4061279296875,34700.0
2025-07-02,BPFI,314.40611049107144,341.57700892857144,314.40611049107144,326.05078125,110800.0
2025-07-03,BPFI,326.05077683782,326.05077683782,314.4061062364693,322.1692199707031,32200.0
2025-07-04,BPFI,322.1692373310021,324.1100158691406,318.28768025472493,324.1100158691406,17000.0
2025-07-07,BPFI,330.0,334.0,324.0,334.0,15500.0
2025-07-08,BPFI,334.0,336.0,334.0,334.0,61000.0
2025-07-09,BPFI,334.0,336.0,334.0,336.0,56800.0
2025-07-10,BPFI,334.0,344.0,334.0,338.0,32900.0
2025-07-11,BPFI,340.0,346.0,340.0,344.0,5200.0
2025-07-14,BPFI,340.0,340.0,330.0,338.0,9300.0
2025-07-15,BPFI,342.0,342.0,330.0,338.0,3600.0
2025-07-16,BPFI,338.0,338.0,338.0,338.0,0.0
2025-07-17,BPFI,340.0,340.0,324.0,324.0,7100.0
2025-07-18,BPFI,326.0,340.0,322.0,338.0,18200.0
2025-07-21,BPFI,338.0,338.0,324.0,338.0,2000.0
2025-07-22,BPFI,342.0,352.0,322.0,338.0,6100.0
2025-07-23,BPFI,324.0,338.0,324.0,336.0,2200.0
2025-07-24,BPFI,334.0,342.0,330.0,338.0,6700.0
2025-07-25,BPFI,336.0,344.0,326.0,344.0,8200.0
2025-07-28,BPFI,344.0,344.0,324.0,340.0,16200.0
2025-07-29,BPFI,340.0,340.0,332.0,332.0,21900.0
2025-07-30,BPFI,334.0,334.0,330.0,334.0,24300.0
2025-07-31,BPFI,334.0,334.0,326.0,332.0,27100.0
2025-08-01,BPFI,332.0,334.0,328.0,328.0,12700.0
2025-08-04,BPFI,328.0,342.0,328.0,334.0,16200.0
2025-08-05,BPFI,334.0,334.0,324.0,334.0,22800.0
2025-08-06,BPFI,336.0,398.0,328.0,338.0,382500.0
2025-08-07,BPFI,338.0,348.0,330.0,340.0,22000.0
2025-08-08,BPFI,350.0,350.0,330.0,340.0,17700.0
2025-08-11,BPFI,340.0,340.0,328.0,336.0,10300.0
2025-08-12,BPFI,340.0,340.0,320.0,326.0,78800.0
2025-08-13,BPFI,330.0,358.0,326.0,336.0,196400.0
2025-08-14,BPFI,342.0,358.0,340.0,340.0,48700.0
2025-08-15,BPFI,342.0,342.0,342.0,342.0,14100.0
2025-08-19,BPFI,342.0,352.0,330.0,336.0,30200.0
2025-08-20,BPFI,336.0,344.0,320.0,336.0,38400.0
2025-08-21,BPFI,338.0,356.0,334.0,350.0,30000.0
2025-08-22,BPFI,350.0,350.0,338.0,342.0,8900.0
2025-08-25,BPFI,350.0,350.0,336.0,344.0,9100.0
2025-08-26,BPFI,344.0,346.0,344.0,344.0,32400.0
2025-08-27,BPFI,344.0,344.0,334.0,336.0,2500.0
2025-08-28,BPFI,336.0,344.0,334.0,344.0,46600.0
2025-08-29,BPFI,344.0,344.0,334.0,336.0,22000.0
2025-09-01,BPFI,320.0,340.0,300.0,340.0,45300.0
2025-09-02,BPFI,340.0,340.0,340.0,340.0,0.0
2025-09-03,BPFI,338.0,340.0,338.0,338.0,6400.0
2025-09-04,BPFI,338.0,360.0,336.0,338.0,159800.0
2025-09-08,BPFI,338.0,350.0,336.0,336.0,112800.0
2025-09-09,BPFI,336.0,336.0,332.0,336.0,23600.0
2025-09-10,BPFI,348.0,348.0,330.0,334.0,800.0
2025-09-11,BPFI,336.0,338.0,326.0,326.0,10800.0
2025-09-12,BPFI,326.0,348.0,324.0,336.0,60100.0
2025-09-15,BPFI,340.0,340.0,336.0,336.0,25400.0
2025-09-16,BPFI,340.0,340.0,336.0,336.0,17000.0
2025-09-17,BPFI,352.0,352.0,332.0,340.0,3100.0
2025-09-18,BPFI,340.0,340.0,332.0,332.0,9300.0
2025-09-19,BPFI,338.0,340.0,330.0,330.0,10800.0
2025-09-22,BPFI,340.0,340.0,332.0,332.0,200.0
2025-09-23,BPFI,332.0,348.0,328.0,332.0,32200.0
2025-09-24,BPFI,344.0,344.0,324.0,326.0,99300.0
2025-09-25,BPFI,338.0,338.0,322.0,322.0,900.0
2025-09-26,BPFI,340.0,340.0,318.0,320.0,89900.0
2025-09-29,BPFI,320.0,320.0,318.0,320.0,37100.0
2025-09-30,BPFI,338.0,338.0,320.0,320.0,34200.0
2025-10-01,BPFI,320.0,336.0,316.0,318.0,2500.0
2025-10-02,BPFI,318.0,320.0,318.0,320.0,3200.0
2025-10-03,BPFI,320.0,336.0,320.0,322.0,89800.0
2025-10-06,BPFI,336.0,338.0,318.0,332.0,38700.0
2025-10-07,BPFI,330.0,344.0,328.0,330.0,102700.0
2025-10-08,BPFI,332.0,332.0,318.0,326.0,101600.0
2025-10-09,BPFI,326.0,326.0,326.0,326.0,7700.0
2025-10-10,BPFI,336.0,336.0,320.0,322.0,30300.0
2025-10-13,BPFI,320.0,332.0,320.0,330.0,5400.0
2025-10-14,BPFI,320.0,342.0,320.0,336.0,275400.0
2025-10-15,BPFI,336.0,340.0,330.0,330.0,11600.0
2025-10-16,BPFI,336.0,336.0,322.0,324.0,8200.0
2025-10-17,BPFI,322.0,334.0,320.0,326.0,27400.0
2025-10-20,BPFI,326.0,326.0,316.0,326.0,18300.0
2025-10-21,BPFI,326.0,336.0,320.0,332.0,13000.0
2025-10-22,BPFI,332.0,334.0,322.0,332.0,2900.0
2025-10-23,BPFI,330.0,330.0,322.0,328.0,7500.0
2025-10-24,BPFI,322.0,328.0,322.0,328.0,7700.0
2025-10-27,BPFI,324.0,324.0,320.0,320.0,29800.0
2025-10-28,BPFI,320.0,326.0,320.0,326.0,500.0
2025-10-29,BPFI,330.0,330.0,324.0,324.0,3800.0
2025-10-30,BPFI,324.0,326.0,318.0,324.0,13800.0
2025-10-31,BPFI,326.0,326.0,320.0,326.0,14700.0
2025-11-03,BPFI,328.0,328.0,320.0,320.0,12600.0
2025-11-04,BPFI,328.0,336.0,316.0,322.0,32300.0
2025-11-05,BPFI,322.0,398.0,318.0,322.0,951700.0
2025-11-06,BPFI,322.0,334.0,318.0,320.0,148800.0
2025-11-07,BPFI,320.0,324.0,306.0,314.0,202800.0
2025-11-10,BPFI,320.0,320.0,312.0,314.0,24900.0
2025-11-11,BPFI,318.0,324.0,314.0,316.0,49800.0
2025-11-12,BPFI,316.0,326.0,308.0,320.0,97400.0
2025-11-13,BPFI,320.0,322.0,314.0,322.0,9800.0
2025-11-14,BPFI,322.0,322.0,310.0,318.0,71500.0
2025-11-17,BPFI,318.0,332.0,316.0,320.0,385300.0
2025-11-18,BPFI,388.0,388.0,324.0,324.0,456300.0
2025-11-19,BPFI,328.0,368.0,302.0,310.0,1942300.0
2025-11-20,BPFI,310.0,324.0,310.0,320.0,189800.0
2025-11-21,BPFI,320.0,324.0,314.0,322.0,59800.0
2025-11-24,BPFI,322.0,322.0,312.0,322.0,38200.0
2025-11-25,BPFI,314.0,324.0,314.0,324.0,34500.0
2025-11-26,BPFI,322.0,330.0,314.0,328.0,109800.0
2025-11-27,BPFI,326.0,326.0,312.0,324.0,62700.0
2025-11-28,BPFI,318.0,328.0,318.0,328.0,10300.0
2025-12-01,BPFI,320.0,322.0,314.0,322.0,79700.0
2025-12-02,BPFI,322.0,324.0,314.0,320.0,24400.0
2025-12-03,BPFI,322.0,322.0,314.0,322.0,19300.0
2025-12-04,BPFI,324.0,324.0,314.0,322.0,37000.0
2025-12-05,BPFI,322.0,324.0,314.0,322.0,10400.0
