Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,BPTR,85.0,89.0,83.0,87.0,2649800.0
2025-06-16,BPTR,87.0,87.0,83.0,83.0,839100.0
2025-06-17,BPTR,85.0,103.0,82.0,95.0,48838100.0
2025-06-18,BPTR,95.0,98.0,87.0,90.0,11927600.0
2025-06-19,BPTR,91.0,95.0,86.0,86.0,3327300.0
2025-06-20,BPTR,86.0,87.0,84.0,85.0,1969300.0
2025-06-23,BPTR,87.0,87.0,79.0,82.0,2470500.0
2025-06-24,BPTR,85.0,91.0,82.0,91.0,3808100.0
2025-06-25,BPTR,91.0,98.0,90.0,93.0,10174300.0
2025-06-26,BPTR,95.0,99.0,93.0,93.0,4520800.0
2025-06-30,BPTR,93.0,93.0,90.0,91.0,1254500.0
2025-07-01,BPTR,91.0,93.0,89.0,90.0,551300.0
2025-07-02,BPTR,90.0,92.0,89.0,89.0,829400.0
2025-07-03,BPTR,90.0,92.0,88.0,90.0,932200.0
2025-07-04,BPTR,90.0,92.0,89.0,91.0,1275800.0
2025-07-07,BPTR,89.0,92.0,89.0,91.0,631500.0
2025-07-08,BPTR,91.0,92.0,89.0,89.0,611400.0
2025-07-09,BPTR,89.0,92.0,88.0,91.0,568800.0
2025-07-10,BPTR,91.0,97.0,90.0,93.0,3101000.0
2025-07-11,BPTR,95.0,95.0,91.0,92.0,440300.0
2025-07-14,BPTR,92.0,94.0,90.0,92.0,437100.0
2025-07-15,BPTR,92.0,93.0,89.0,92.0,2035200.0
2025-07-16,BPTR,91.0,98.0,91.0,96.0,1599900.0
2025-07-17,BPTR,98.0,105.0,97.0,103.0,6390000.0
2025-07-18,BPTR,103.0,104.0,92.0,102.0,3332900.0
2025-07-21,BPTR,102.0,104.0,98.0,99.0,2110400.0
2025-07-22,BPTR,100.0,100.0,93.0,96.0,3687200.0
2025-07-23,BPTR,97.0,97.0,94.0,96.0,532000.0
2025-07-24,BPTR,96.0,98.0,95.0,96.0,558700.0
2025-07-25,BPTR,98.0,98.0,94.0,95.0,604700.0
2025-07-28,BPTR,95.0,97.0,95.0,96.0,225900.0
2025-07-29,BPTR,95.0,99.0,94.0,97.0,2502500.0
2025-07-30,BPTR,99.0,101.0,97.0,100.0,3572500.0
2025-07-31,BPTR,101.0,102.0,99.0,100.0,1357100.0
2025-08-01,BPTR,100.0,101.0,99.0,100.0,332800.0
2025-08-04,BPTR,101.0,101.0,96.0,98.0,2324800.0
2025-08-05,BPTR,98.0,99.0,95.0,98.0,1300800.0
2025-08-06,BPTR,98.0,99.0,92.0,97.0,2524100.0
2025-08-07,BPTR,98.0,100.0,94.0,98.0,2394200.0
2025-08-08,BPTR,100.0,100.0,96.0,98.0,304500.0
2025-08-11,BPTR,97.0,101.0,97.0,100.0,440700.0
2025-08-12,BPTR,100.0,101.0,94.0,99.0,479600.0
2025-08-13,BPTR,99.0,100.0,96.0,98.0,593800.0
2025-08-14,BPTR,99.0,105.0,98.0,99.0,3777300.0
2025-08-15,BPTR,100.0,102.0,99.0,100.0,377900.0
2025-08-19,BPTR,100.0,100.0,90.0,98.0,2618500.0
2025-08-20,BPTR,99.0,101.0,97.0,99.0,716200.0
