Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,BSIM,1080.0,1100.0,1000.0,1050.0,170800.0
2025-06-16,BSIM,1050.0,1050.0,895.0,995.0,673600.0
2025-06-17,BSIM,970.0,990.0,940.0,990.0,23000.0
2025-06-18,BSIM,995.0,995.0,965.0,990.0,34000.0
2025-06-19,BSIM,970.0,970.0,915.0,965.0,37300.0
2025-06-20,BSIM,925.0,990.0,925.0,950.0,12100.0
2025-06-23,BSIM,950.0,985.0,865.0,900.0,5900.0
2025-06-24,BSIM,900.0,925.0,900.0,920.0,3900.0
2025-06-25,BSIM,915.0,970.0,900.0,955.0,3400.0
2025-06-26,BSIM,955.0,970.0,945.0,945.0,1800.0
2025-06-30,BSIM,955.0,955.0,870.0,935.0,3600.0
2025-07-01,BSIM,950.0,955.0,935.0,935.0,6800.0
2025-07-02,BSIM,940.0,940.0,905.0,905.0,1600.0
2025-07-03,BSIM,905.0,910.0,905.0,905.0,9100.0
2025-07-04,BSIM,905.0,910.0,905.0,910.0,400.0
2025-07-07,BSIM,910.0,910.0,910.0,910.0,100.0
2025-07-08,BSIM,900.0,910.0,880.0,910.0,1500.0
2025-07-09,BSIM,910.0,910.0,860.0,905.0,13100.0
2025-07-10,BSIM,900.0,905.0,895.0,905.0,3800.0
2025-07-11,BSIM,905.0,910.0,865.0,910.0,7500.0
2025-07-14,BSIM,875.0,910.0,875.0,900.0,19000.0
2025-07-15,BSIM,850.0,1050.0,850.0,950.0,365900.0
2025-07-16,BSIM,950.0,985.0,875.0,895.0,260400.0
2025-07-17,BSIM,900.0,900.0,875.0,900.0,36300.0
2025-07-18,BSIM,900.0,900.0,870.0,900.0,44300.0
2025-07-21,BSIM,900.0,900.0,870.0,880.0,18500.0
2025-07-22,BSIM,900.0,900.0,870.0,875.0,28000.0
2025-07-23,BSIM,900.0,900.0,855.0,860.0,18400.0
2025-07-24,BSIM,865.0,900.0,865.0,875.0,44500.0
2025-07-25,BSIM,880.0,900.0,875.0,900.0,24600.0
