Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,BTEK,6.0,6.0,5.0,5.0,28966600.0
2025-06-16,BTEK,5.0,6.0,5.0,6.0,43288900.0
2025-06-17,BTEK,6.0,6.0,5.0,5.0,34959700.0
2025-06-18,BTEK,6.0,6.0,5.0,6.0,26984200.0
2025-06-19,BTEK,6.0,6.0,5.0,5.0,181180600.0
2025-06-20,BTEK,5.0,6.0,5.0,5.0,18704100.0
2025-06-23,BTEK,5.0,6.0,5.0,5.0,33567000.0
2025-06-24,BTEK,5.0,5.0,5.0,5.0,24285600.0
2025-06-25,BTEK,5.0,5.0,5.0,5.0,46166300.0
2025-06-26,BTEK,5.0,5.0,5.0,5.0,37380100.0
2025-06-30,BTEK,5.0,5.0,5.0,5.0,21151800.0
2025-07-01,BTEK,5.0,5.0,5.0,5.0,24555000.0
2025-07-02,BTEK,5.0,6.0,5.0,5.0,36657800.0
2025-07-03,BTEK,5.0,5.0,5.0,5.0,41445500.0
2025-07-04,BTEK,5.0,5.0,5.0,5.0,23953300.0
2025-07-07,BTEK,5.0,5.0,4.0,5.0,36968900.0
2025-07-08,BTEK,5.0,5.0,4.0,5.0,43041800.0
2025-07-09,BTEK,5.0,6.0,5.0,5.0,77809200.0
2025-07-10,BTEK,5.0,5.0,5.0,5.0,26414400.0
2025-07-11,BTEK,5.0,6.0,5.0,6.0,12265300.0
2025-07-14,BTEK,6.0,6.0,5.0,6.0,20646400.0
2025-07-15,BTEK,6.0,6.0,5.0,5.0,38019100.0
2025-07-16,BTEK,5.0,5.0,5.0,5.0,13734300.0
2025-07-17,BTEK,5.0,6.0,5.0,6.0,28490400.0
2025-07-18,BTEK,6.0,6.0,5.0,5.0,44023600.0
2025-07-21,BTEK,5.0,5.0,5.0,5.0,83817700.0
2025-07-22,BTEK,5.0,5.0,5.0,5.0,11755600.0
2025-07-23,BTEK,5.0,5.0,5.0,5.0,4187300.0
2025-07-24,BTEK,5.0,5.0,5.0,5.0,34770700.0
2025-07-25,BTEK,5.0,5.0,5.0,5.0,22471900.0
2025-07-28,BTEK,5.0,6.0,5.0,6.0,26479100.0
2025-07-29,BTEK,5.0,6.0,5.0,5.0,51227500.0
2025-07-30,BTEK,5.0,5.0,5.0,5.0,24929200.0
2025-07-31,BTEK,5.0,6.0,5.0,5.0,31682200.0
2025-08-01,BTEK,5.0,5.0,5.0,5.0,126953500.0
2025-08-04,BTEK,5.0,5.0,5.0,5.0,67513000.0
2025-08-05,BTEK,5.0,5.0,5.0,5.0,72820800.0
2025-08-06,BTEK,5.0,5.0,5.0,5.0,34024000.0
2025-08-07,BTEK,5.0,5.0,5.0,5.0,95468500.0
2025-08-08,BTEK,5.0,5.0,5.0,5.0,58017000.0
2025-08-11,BTEK,5.0,5.0,5.0,5.0,44168000.0
2025-08-12,BTEK,5.0,6.0,5.0,6.0,112713000.0
2025-08-13,BTEK,6.0,7.0,6.0,7.0,318458300.0
2025-08-14,BTEK,7.0,7.0,7.0,7.0,480955600.0
2025-08-15,BTEK,7.0,7.0,7.0,7.0,148639700.0
2025-08-19,BTEK,7.0,7.0,6.0,6.0,426173800.0
2025-08-20,BTEK,7.0,7.0,7.0,7.0,358663300.0
2025-08-21,BTEK,8.0,8.0,8.0,8.0,49769300.0
2025-08-22,BTEK,9.0,9.0,9.0,9.0,32662600.0
2025-08-25,BTEK,10.0,10.0,10.0,10.0,21294100.0
2025-08-26,BTEK,11.0,11.0,11.0,11.0,21148400.0
2025-08-27,BTEK,12.0,12.0,12.0,12.0,31950100.0
2025-08-28,BTEK,13.0,13.0,13.0,13.0,11725500.0
2025-08-29,BTEK,14.0,14.0,14.0,14.0,60736200.0
2025-09-01,BTEK,15.0,15.0,15.0,15.0,559409500.0
2025-09-02,BTEK,16.0,16.0,14.0,14.0,1229756800.0
2025-09-03,BTEK,15.0,15.0,15.0,15.0,415645100.0
2025-09-04,BTEK,16.0,16.0,16.0,16.0,57018900.0
2025-09-08,BTEK,17.0,17.0,17.0,17.0,64349900.0
2025-09-09,BTEK,18.0,18.0,18.0,18.0,52595600.0
2025-09-10,BTEK,19.0,19.0,19.0,19.0,21281900.0
2025-09-11,BTEK,20.0,20.0,20.0,20.0,25082700.0
2025-09-12,BTEK,22.0,22.0,22.0,22.0,10568000.0
2025-09-15,BTEK,24.0,24.0,24.0,24.0,35316900.0
2025-09-16,BTEK,26.0,26.0,26.0,26.0,3683600.0
2025-09-17,BTEK,28.0,28.0,28.0,28.0,10044400.0
2025-09-18,BTEK,30.0,30.0,30.0,30.0,13893700.0
2025-09-19,BTEK,33.0,33.0,33.0,33.0,8709600.0
2025-09-22,BTEK,35.0,36.0,35.0,36.0,533275900.0
2025-09-23,BTEK,39.0,39.0,39.0,39.0,43765500.0
2025-09-24,BTEK,39.0,42.0,39.0,42.0,758809300.0
2025-09-25,BTEK,38.0,38.0,38.0,38.0,489489100.0
2025-09-26,BTEK,35.0,35.0,35.0,35.0,144069600.0
2025-09-29,BTEK,32.0,32.0,32.0,32.0,99466500.0
2025-09-30,BTEK,32.0,35.0,31.0,31.0,844598200.0
2025-10-01,BTEK,31.0,31.0,28.0,28.0,299779000.0
2025-10-02,BTEK,26.0,26.0,26.0,26.0,275583600.0
2025-10-03,BTEK,24.0,24.0,24.0,24.0,83381200.0
2025-10-06,BTEK,22.0,22.0,22.0,22.0,65568100.0
2025-10-07,BTEK,20.0,20.0,20.0,20.0,259179600.0
2025-10-08,BTEK,22.0,22.0,22.0,22.0,422448500.0
2025-10-09,BTEK,24.0,24.0,22.0,24.0,608440400.0
2025-10-10,BTEK,26.0,26.0,26.0,26.0,231089700.0
2025-10-13,BTEK,24.0,24.0,24.0,24.0,124188200.0
2025-10-14,BTEK,22.0,22.0,22.0,22.0,36952600.0
2025-10-15,BTEK,20.0,20.0,20.0,20.0,50838300.0
2025-10-16,BTEK,18.0,18.0,18.0,18.0,127857300.0
2025-10-17,BTEK,17.0,17.0,17.0,17.0,70317300.0
2025-10-20,BTEK,16.0,16.0,16.0,16.0,59277800.0
2025-10-21,BTEK,16.0,17.0,16.0,17.0,305363700.0
2025-10-22,BTEK,17.0,18.0,17.0,18.0,256941400.0
2025-10-23,BTEK,19.0,19.0,17.0,17.0,204521400.0
2025-10-24,BTEK,17.0,17.0,17.0,17.0,156734900.0
2025-10-27,BTEK,17.0,17.0,16.0,16.0,92359900.0
2025-10-28,BTEK,15.0,15.0,15.0,15.0,103351600.0
2025-10-29,BTEK,14.0,14.0,14.0,14.0,249636800.0
2025-10-30,BTEK,14.0,14.0,13.0,13.0,161146300.0
2025-10-31,BTEK,12.0,12.0,12.0,12.0,179011400.0
2025-11-03,BTEK,11.0,11.0,11.0,11.0,87286400.0
2025-11-04,BTEK,12.0,12.0,12.0,12.0,191070200.0
2025-11-05,BTEK,13.0,13.0,13.0,13.0,212704900.0
2025-11-06,BTEK,14.0,14.0,14.0,14.0,97431300.0
2025-11-07,BTEK,15.0,15.0,15.0,15.0,72416600.0
2025-11-10,BTEK,16.0,16.0,16.0,16.0,37911700.0
2025-11-11,BTEK,17.0,17.0,17.0,17.0,29848000.0
2025-11-12,BTEK,18.0,18.0,18.0,18.0,18367600.0
2025-11-13,BTEK,19.0,19.0,17.0,17.0,211944600.0
2025-11-14,BTEK,16.0,16.0,16.0,16.0,54734600.0
2025-11-17,BTEK,15.0,15.0,15.0,15.0,49914900.0
2025-11-18,BTEK,14.0,16.0,14.0,16.0,203625400.0
2025-11-19,BTEK,16.0,16.0,15.0,15.0,108325300.0
2025-11-20,BTEK,15.0,15.0,14.0,14.0,93918100.0
2025-11-21,BTEK,14.0,15.0,14.0,15.0,58902900.0
2025-11-24,BTEK,15.0,15.0,15.0,15.0,125668200.0
2025-11-25,BTEK,15.0,15.0,14.0,14.0,124220900.0
2025-11-26,BTEK,14.0,14.0,14.0,14.0,107104300.0
2025-11-27,BTEK,15.0,15.0,15.0,15.0,70667200.0
2025-11-28,BTEK,16.0,16.0,15.0,16.0,114684600.0
