Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,CAMP,195.0,196.0,194.0,196.0,2411100.0
2025-06-16,CAMP,196.0,204.0,195.0,199.0,13249000.0
2025-06-17,CAMP,200.0,226.0,200.0,206.0,44972100.0
2025-06-18,CAMP,206.0,206.0,200.0,200.0,9715900.0
2025-06-19,CAMP,200.0,208.0,199.0,200.0,9482200.0
2025-06-20,CAMP,200.0,202.0,193.0,202.0,8987100.0
2025-06-23,CAMP,200.0,204.0,197.0,199.0,9599900.0
2025-06-24,CAMP,200.0,204.0,199.0,200.0,3576400.0
2025-06-25,CAMP,202.0,202.0,199.0,200.0,2694600.0
2025-06-26,CAMP,200.0,210.0,200.0,208.0,8011200.0
2025-06-30,CAMP,210.0,216.0,210.0,214.0,8318800.0
2025-07-01,CAMP,216.0,218.0,204.0,206.0,4466100.0
2025-07-02,CAMP,206.0,206.0,200.0,204.0,2507400.0
2025-07-03,CAMP,204.0,214.0,202.0,212.0,5330600.0
2025-07-04,CAMP,212.0,214.0,208.0,212.0,3443200.0
2025-07-07,CAMP,214.0,214.0,204.0,210.0,3372400.0
2025-07-08,CAMP,210.0,212.0,210.0,210.0,3645000.0
2025-07-09,CAMP,212.0,218.0,210.0,218.0,5752600.0
2025-07-10,CAMP,220.0,220.0,212.0,216.0,3540500.0
2025-07-11,CAMP,216.0,218.0,212.0,212.0,2259200.0
2025-07-14,CAMP,212.0,214.0,204.0,210.0,4429600.0
2025-07-15,CAMP,210.0,212.0,208.0,208.0,3285000.0
2025-07-16,CAMP,212.0,218.0,210.0,214.0,1765700.0
2025-07-17,CAMP,214.0,214.0,210.0,210.0,1119100.0
2025-07-18,CAMP,210.0,214.0,210.0,212.0,1535500.0
2025-07-21,CAMP,212.0,214.0,210.0,214.0,2901300.0
2025-07-22,CAMP,214.0,214.0,210.0,210.0,2205200.0
2025-07-23,CAMP,212.0,212.0,206.0,206.0,2767200.0
2025-07-24,CAMP,208.0,212.0,206.0,208.0,1497100.0
2025-07-25,CAMP,208.0,212.0,208.0,210.0,710000.0
2025-07-28,CAMP,210.0,214.0,210.0,212.0,2884600.0
2025-07-29,CAMP,212.0,212.0,208.0,212.0,3575400.0
