Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,CANI,50.0,50.0,50.0,50.0,20100.0
2025-06-16,CANI,45.0,45.0,45.0,45.0,2500.0
2025-06-17,CANI,41.0,41.0,41.0,41.0,216100.0
2025-06-18,CANI,42.0,42.0,42.0,42.0,12700.0
2025-06-19,CANI,46.0,46.0,46.0,46.0,100.0
2025-06-20,CANI,46.0,46.0,46.0,46.0,13300.0
2025-06-23,CANI,42.0,42.0,42.0,42.0,40500.0
2025-06-24,CANI,42.0,42.0,42.0,42.0,3100.0
2025-06-25,CANI,42.0,42.0,42.0,42.0,2000.0
2025-06-26,CANI,42.0,42.0,39.0,39.0,700.0
2025-06-30,CANI,39.0,39.0,39.0,39.0,92100.0
2025-07-01,CANI,39.0,39.0,39.0,39.0,100.0
2025-07-02,CANI,39.0,39.0,39.0,39.0,51100.0
2025-07-03,CANI,42.0,42.0,42.0,42.0,91600.0
2025-07-04,CANI,42.0,43.0,42.0,43.0,92200.0
2025-07-07,CANI,43.0,43.0,42.0,42.0,20900.0
2025-07-08,CANI,42.0,42.0,42.0,42.0,0.0
2025-07-09,CANI,42.0,42.0,42.0,42.0,12800.0
2025-07-10,CANI,42.0,42.0,42.0,42.0,300.0
2025-07-11,CANI,42.0,42.0,42.0,42.0,77700.0
2025-07-14,CANI,42.0,42.0,42.0,42.0,13000.0
2025-07-15,CANI,42.0,42.0,42.0,42.0,11700.0
2025-07-16,CANI,42.0,43.0,42.0,42.0,54000.0
2025-07-17,CANI,42.0,42.0,42.0,42.0,22800.0
2025-07-18,CANI,42.0,42.0,42.0,42.0,25600.0
2025-07-21,CANI,42.0,42.0,42.0,42.0,36100.0
2025-07-22,CANI,42.0,42.0,42.0,42.0,25300.0
2025-07-23,CANI,42.0,42.0,41.0,41.0,52600.0
2025-07-24,CANI,39.0,39.0,39.0,39.0,14800.0
2025-07-25,CANI,39.0,39.0,39.0,39.0,4300.0
2025-07-28,CANI,39.0,39.0,39.0,39.0,7200.0
2025-07-29,CANI,42.0,42.0,42.0,42.0,116000.0
2025-07-30,CANI,42.0,42.0,42.0,42.0,79100.0
2025-07-31,CANI,39.0,39.0,39.0,39.0,112300.0
2025-08-01,CANI,39.0,39.0,39.0,39.0,179300.0
2025-08-04,CANI,39.0,39.0,39.0,39.0,35600.0
2025-08-05,CANI,38.0,38.0,38.0,38.0,21800.0
2025-08-06,CANI,38.0,38.0,38.0,38.0,1500.0
2025-08-07,CANI,38.0,38.0,38.0,38.0,61000.0
2025-08-08,CANI,38.0,38.0,38.0,38.0,29100.0
2025-08-11,CANI,38.0,38.0,38.0,38.0,64400.0
2025-08-12,CANI,38.0,38.0,38.0,38.0,40900.0
2025-08-13,CANI,38.0,38.0,38.0,38.0,144700.0
2025-08-14,CANI,39.0,39.0,39.0,39.0,256300.0
2025-08-15,CANI,39.0,39.0,39.0,39.0,68600.0
2025-08-19,CANI,41.0,41.0,41.0,41.0,229800.0
2025-08-20,CANI,41.0,42.0,41.0,42.0,397500.0
2025-08-21,CANI,42.0,42.0,42.0,42.0,526800.0
2025-08-22,CANI,42.0,42.0,42.0,42.0,816500.0
2025-08-25,CANI,42.0,42.0,40.0,40.0,964100.0
2025-08-26,CANI,42.0,42.0,42.0,42.0,1693200.0
2025-08-27,CANI,42.0,42.0,38.0,38.0,1551300.0
2025-08-28,CANI,41.0,41.0,41.0,41.0,850900.0
2025-08-29,CANI,42.0,42.0,41.0,41.0,352900.0
2025-09-01,CANI,38.0,41.0,38.0,41.0,308300.0
2025-09-02,CANI,41.0,41.0,40.0,40.0,92700.0
2025-09-03,CANI,41.0,43.0,41.0,42.0,1560700.0
2025-09-04,CANI,43.0,43.0,43.0,43.0,534600.0
2025-09-08,CANI,43.0,43.0,42.0,42.0,360200.0
2025-09-09,CANI,42.0,42.0,40.0,40.0,368000.0
2025-09-10,CANI,38.0,40.0,38.0,40.0,1163000.0
2025-09-11,CANI,40.0,42.0,40.0,40.0,779100.0
2025-09-12,CANI,41.0,42.0,41.0,42.0,928700.0
2025-09-15,CANI,43.0,43.0,43.0,43.0,5729800.0
2025-09-16,CANI,45.0,45.0,45.0,45.0,2681000.0
2025-09-17,CANI,47.0,49.0,47.0,49.0,2920400.0
2025-09-18,CANI,49.0,52.0,48.0,52.0,1652300.0
2025-09-19,CANI,55.0,55.0,54.0,54.0,1748300.0
2025-09-22,CANI,54.0,54.0,50.0,50.0,1766800.0
2025-09-23,CANI,50.0,55.0,50.0,55.0,1927300.0
2025-09-24,CANI,55.0,60.0,55.0,60.0,1301500.0
2025-09-25,CANI,60.0,60.0,55.0,55.0,867300.0
2025-09-26,CANI,54.0,54.0,52.0,53.0,589000.0
2025-09-29,CANI,58.0,58.0,55.0,58.0,576200.0
2025-09-30,CANI,58.0,58.0,54.0,54.0,784800.0
2025-10-01,CANI,54.0,54.0,52.0,52.0,677200.0
2025-10-02,CANI,51.0,51.0,47.0,47.0,590200.0
2025-10-03,CANI,47.0,47.0,47.0,47.0,783500.0
2025-10-06,CANI,48.0,51.0,48.0,51.0,374100.0
2025-10-07,CANI,55.0,56.0,55.0,56.0,495100.0
2025-10-08,CANI,56.0,56.0,51.0,51.0,588900.0
2025-10-09,CANI,47.0,51.0,47.0,51.0,780700.0
2025-10-10,CANI,51.0,51.0,51.0,51.0,518800.0
2025-10-13,CANI,51.0,51.0,49.0,49.0,304300.0
2025-10-14,CANI,49.0,49.0,45.0,45.0,343000.0
2025-10-15,CANI,43.0,43.0,43.0,43.0,977900.0
