Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,CARS,86.0,87.0,86.0,87.0,6776700.0
2025-06-16,CARS,87.0,87.0,86.0,87.0,3515000.0
2025-06-17,CARS,87.0,88.0,86.0,87.0,5114400.0
2025-06-18,CARS,87.0,87.0,84.0,86.0,11506500.0
2025-06-19,CARS,86.0,86.0,84.0,85.0,6812400.0
2025-06-20,CARS,86.0,86.0,84.0,85.0,1113600.0
2025-06-23,CARS,84.0,84.0,82.0,83.0,8081900.0
2025-06-24,CARS,83.0,90.0,83.0,86.0,3155900.0
2025-06-25,CARS,85.0,86.0,83.0,83.0,8824800.0
2025-06-26,CARS,84.0,86.0,79.0,86.0,16697300.0
2025-06-30,CARS,86.0,86.0,84.0,84.0,116600.0
2025-07-01,CARS,84.0,84.0,81.0,81.0,761700.0
2025-07-02,CARS,81.0,86.0,80.0,82.0,6781700.0
2025-07-03,CARS,81.0,83.0,81.0,81.0,27500.0
2025-07-04,CARS,81.0,83.0,81.0,83.0,808800.0
2025-07-07,CARS,83.0,84.0,82.0,82.0,309400.0
2025-07-08,CARS,82.0,84.0,82.0,82.0,370200.0
2025-07-09,CARS,84.0,84.0,82.0,82.0,417300.0
2025-07-10,CARS,83.0,83.0,79.0,79.0,1824600.0
2025-07-11,CARS,82.0,84.0,81.0,83.0,1484500.0
2025-07-14,CARS,83.0,83.0,81.0,81.0,846800.0
2025-07-15,CARS,82.0,85.0,81.0,84.0,7039900.0
2025-07-16,CARS,85.0,86.0,84.0,84.0,975600.0
2025-07-17,CARS,84.0,85.0,84.0,84.0,636700.0
2025-07-18,CARS,83.0,85.0,81.0,84.0,1601900.0
2025-07-21,CARS,84.0,85.0,83.0,83.0,56300.0
2025-07-22,CARS,83.0,83.0,76.0,83.0,18423000.0
2025-07-23,CARS,82.0,82.0,79.0,82.0,9707700.0
2025-07-24,CARS,81.0,83.0,79.0,82.0,6317000.0
2025-07-25,CARS,82.0,82.0,79.0,79.0,4937600.0
2025-07-28,CARS,80.0,80.0,75.0,78.0,8705500.0
2025-07-29,CARS,79.0,81.0,78.0,81.0,1584800.0
2025-07-30,CARS,81.0,81.0,79.0,80.0,3649100.0
2025-07-31,CARS,80.0,81.0,80.0,80.0,741500.0
2025-08-01,CARS,81.0,83.0,80.0,82.0,2187800.0
2025-08-04,CARS,83.0,89.0,82.0,88.0,28720300.0
2025-08-05,CARS,89.0,90.0,87.0,89.0,16254400.0
2025-08-06,CARS,90.0,110.0,89.0,104.0,117176800.0
2025-08-07,CARS,103.0,105.0,98.0,98.0,54296600.0
2025-08-08,CARS,98.0,117.0,98.0,108.0,113988100.0
2025-08-11,CARS,109.0,115.0,102.0,106.0,37769600.0
2025-08-12,CARS,107.0,109.0,103.0,105.0,29694300.0
2025-08-13,CARS,106.0,109.0,103.0,105.0,21694500.0
2025-08-14,CARS,106.0,108.0,104.0,107.0,25631000.0
2025-08-15,CARS,107.0,112.0,104.0,107.0,30008500.0
2025-08-19,CARS,108.0,111.0,106.0,107.0,19856300.0
2025-08-20,CARS,108.0,122.0,106.0,119.0,260691900.0
2025-08-21,CARS,123.0,126.0,114.0,116.0,109884000.0
2025-08-22,CARS,115.0,130.0,113.0,123.0,299745100.0
2025-08-25,CARS,126.0,135.0,121.0,123.0,376214500.0
2025-08-26,CARS,126.0,127.0,118.0,119.0,135279200.0
2025-08-27,CARS,120.0,159.0,119.0,140.0,1427193200.0
2025-08-28,CARS,139.0,146.0,131.0,141.0,452495100.0
2025-08-29,CARS,136.0,146.0,129.0,141.0,296373200.0
2025-09-01,CARS,130.0,146.0,123.0,139.0,238821800.0
2025-09-02,CARS,140.0,145.0,137.0,140.0,76492500.0
2025-09-03,CARS,140.0,142.0,133.0,138.0,78359500.0
2025-09-04,CARS,138.0,147.0,135.0,135.0,191437200.0
2025-09-08,CARS,138.0,142.0,128.0,130.0,100545900.0
2025-09-09,CARS,130.0,138.0,126.0,136.0,86158400.0
2025-09-10,CARS,137.0,138.0,131.0,137.0,33482800.0
2025-09-11,CARS,135.0,149.0,132.0,136.0,300084900.0
2025-09-12,CARS,139.0,139.0,132.0,134.0,74108800.0
2025-09-15,CARS,134.0,135.0,131.0,133.0,44996100.0
2025-09-16,CARS,132.0,133.0,128.0,130.0,29121600.0
2025-09-17,CARS,132.0,132.0,114.0,124.0,211962600.0
2025-09-18,CARS,126.0,127.0,122.0,126.0,59061800.0
2025-09-19,CARS,126.0,140.0,125.0,139.0,283307100.0
2025-09-22,CARS,139.0,141.0,132.0,136.0,194853200.0
2025-09-23,CARS,138.0,152.0,135.0,152.0,325376500.0
2025-09-24,CARS,152.0,156.0,139.0,143.0,225816800.0
2025-09-25,CARS,143.0,149.0,140.0,148.0,132959000.0
2025-09-26,CARS,149.0,149.0,143.0,144.0,56138400.0
2025-09-29,CARS,144.0,147.0,138.0,143.0,100003100.0
2025-09-30,CARS,145.0,145.0,140.0,141.0,63113500.0
2025-10-01,CARS,143.0,143.0,139.0,140.0,39825900.0
2025-10-02,CARS,140.0,144.0,136.0,142.0,68497600.0
2025-10-03,CARS,142.0,146.0,140.0,141.0,87028100.0
2025-10-06,CARS,145.0,145.0,139.0,141.0,58829100.0
2025-10-07,CARS,145.0,147.0,142.0,144.0,83584400.0
2025-10-08,CARS,145.0,156.0,142.0,153.0,269206700.0
2025-10-09,CARS,154.0,155.0,142.0,146.0,198178200.0
2025-10-10,CARS,147.0,151.0,145.0,148.0,58485900.0
2025-10-13,CARS,145.0,148.0,144.0,146.0,45178000.0
2025-10-14,CARS,147.0,149.0,136.0,138.0,99727300.0
2025-10-15,CARS,135.0,139.0,134.0,134.0,41106900.0
2025-10-16,CARS,134.0,137.0,132.0,134.0,27490000.0
2025-10-17,CARS,136.0,136.0,122.0,123.0,63405800.0
2025-10-20,CARS,124.0,135.0,120.0,132.0,43238800.0
2025-10-21,CARS,132.0,134.0,128.0,129.0,11394800.0
2025-10-22,CARS,128.0,131.0,126.0,129.0,11674000.0
2025-10-23,CARS,126.0,136.0,126.0,132.0,26478300.0
2025-10-24,CARS,134.0,134.0,129.0,132.0,21942900.0
2025-10-27,CARS,133.0,133.0,126.0,130.0,80401200.0
2025-10-28,CARS,130.0,132.0,128.0,131.0,28783200.0
2025-10-29,CARS,133.0,133.0,130.0,131.0,16947000.0
