Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,CBMF,50.0,50.0,50.0,50.0,0.0
2025-06-16,CBMF,50.0,50.0,50.0,50.0,0.0
2025-06-17,CBMF,50.0,50.0,50.0,50.0,0.0
2025-06-18,CBMF,50.0,50.0,50.0,50.0,0.0
2025-06-19,CBMF,50.0,50.0,50.0,50.0,0.0
2025-06-20,CBMF,50.0,50.0,50.0,50.0,0.0
2025-06-23,CBMF,50.0,50.0,50.0,50.0,0.0
2025-06-24,CBMF,50.0,50.0,50.0,50.0,0.0
2025-06-25,CBMF,50.0,50.0,50.0,50.0,0.0
2025-06-26,CBMF,50.0,50.0,50.0,50.0,0.0
2025-06-30,CBMF,50.0,50.0,50.0,50.0,0.0
2025-07-01,CBMF,50.0,50.0,50.0,50.0,0.0
2025-07-02,CBMF,50.0,50.0,50.0,50.0,0.0
2025-07-03,CBMF,50.0,50.0,50.0,50.0,0.0
2025-07-04,CBMF,50.0,50.0,50.0,50.0,0.0
2025-07-07,CBMF,50.0,50.0,50.0,50.0,0.0
2025-07-08,CBMF,50.0,50.0,50.0,50.0,0.0
2025-07-09,CBMF,50.0,50.0,50.0,50.0,0.0
2025-07-10,CBMF,50.0,50.0,50.0,50.0,0.0
2025-07-11,CBMF,50.0,50.0,50.0,50.0,0.0
2025-07-14,CBMF,50.0,50.0,50.0,50.0,0.0
2025-07-15,CBMF,50.0,50.0,50.0,50.0,0.0
2025-07-16,CBMF,50.0,50.0,50.0,50.0,0.0
2025-07-17,CBMF,50.0,50.0,50.0,50.0,0.0
2025-07-18,CBMF,50.0,50.0,50.0,50.0,0.0
2025-07-21,CBMF,50.0,50.0,50.0,50.0,0.0
2025-07-22,CBMF,50.0,50.0,50.0,50.0,0.0
2025-07-23,CBMF,50.0,50.0,50.0,50.0,0.0
2025-07-24,CBMF,50.0,50.0,50.0,50.0,0.0
2025-07-25,CBMF,50.0,50.0,50.0,50.0,0.0
2025-07-28,CBMF,50.0,50.0,50.0,50.0,0.0
2025-07-29,CBMF,50.0,50.0,50.0,50.0,0.0
2025-07-30,CBMF,50.0,50.0,50.0,50.0,0.0
2025-07-31,CBMF,50.0,50.0,50.0,50.0,0.0
2025-08-01,CBMF,50.0,50.0,50.0,50.0,0.0
2025-08-04,CBMF,50.0,50.0,50.0,50.0,0.0
2025-08-05,CBMF,50.0,50.0,50.0,50.0,0.0
