Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,CBUT,1430.0,1450.0,1380.0,1420.0,57700.0
2025-06-16,CBUT,1415.0,1495.0,1210.0,1480.0,263800.0
2025-06-17,CBUT,1490.0,1490.0,1445.0,1455.0,201900.0
2025-06-18,CBUT,1495.0,1500.0,1315.0,1470.0,274500.0
2025-06-19,CBUT,1490.0,1640.0,1250.0,1250.0,719400.0
2025-06-20,CBUT,1245.0,1485.0,1115.0,1255.0,426900.0
2025-06-23,CBUT,1215.0,1350.0,1215.0,1250.0,30100.0
2025-06-24,CBUT,1250.0,1250.0,1150.0,1225.0,177700.0
2025-06-25,CBUT,1225.0,1230.0,1045.0,1045.0,280800.0
2025-06-26,CBUT,1070.0,1285.0,1000.0,1085.0,660400.0
2025-06-30,CBUT,1090.0,1180.0,1005.0,1155.0,176800.0
2025-07-01,CBUT,1155.0,1155.0,1095.0,1095.0,14200.0
2025-07-02,CBUT,1145.0,1150.0,1055.0,1090.0,27800.0
2025-07-03,CBUT,1060.0,1160.0,1010.0,1040.0,43100.0
2025-07-04,CBUT,1055.0,1055.0,1040.0,1040.0,3600.0
2025-07-07,CBUT,1075.0,1075.0,1020.0,1045.0,12900.0
2025-07-08,CBUT,1040.0,1045.0,1040.0,1045.0,4400.0
2025-07-09,CBUT,1040.0,1060.0,1010.0,1060.0,8500.0
2025-07-10,CBUT,1060.0,1075.0,1035.0,1035.0,9400.0
2025-07-11,CBUT,1060.0,1075.0,1050.0,1050.0,5600.0
2025-07-14,CBUT,1050.0,1055.0,1020.0,1025.0,4500.0
2025-07-15,CBUT,1020.0,1035.0,1020.0,1020.0,10700.0
2025-07-16,CBUT,1020.0,1055.0,1000.0,1010.0,25100.0
2025-07-17,CBUT,1015.0,1015.0,1015.0,1015.0,400.0
2025-07-18,CBUT,1030.0,1050.0,1015.0,1015.0,12700.0
2025-07-21,CBUT,1030.0,1030.0,1010.0,1020.0,7800.0
2025-07-22,CBUT,1020.0,1020.0,1000.0,1015.0,11700.0
2025-07-23,CBUT,1030.0,1030.0,1020.0,1020.0,2500.0
2025-07-24,CBUT,990.0,1010.0,960.0,1000.0,13900.0
2025-07-25,CBUT,1000.0,1010.0,980.0,1010.0,4200.0
2025-07-28,CBUT,1010.0,1010.0,980.0,1005.0,35600.0
2025-07-29,CBUT,1005.0,1025.0,1000.0,1005.0,12000.0
2025-07-30,CBUT,1005.0,1255.0,1000.0,1210.0,464800.0
2025-07-31,CBUT,1235.0,1345.0,1095.0,1290.0,380500.0
2025-08-01,CBUT,1320.0,1350.0,1150.0,1330.0,270400.0
2025-08-04,CBUT,1330.0,1330.0,1140.0,1140.0,147800.0
2025-08-05,CBUT,1160.0,1400.0,1155.0,1300.0,290300.0
2025-08-06,CBUT,1315.0,1510.0,1235.0,1285.0,340400.0
2025-08-07,CBUT,1275.0,1275.0,1200.0,1220.0,67400.0
2025-08-08,CBUT,1225.0,1225.0,1200.0,1200.0,25300.0
2025-08-11,CBUT,1200.0,1250.0,1160.0,1170.0,13800.0
2025-08-12,CBUT,1205.0,1395.0,1205.0,1245.0,161000.0
2025-08-13,CBUT,1255.0,1320.0,1245.0,1250.0,71800.0
2025-08-14,CBUT,1250.0,1250.0,1225.0,1235.0,23500.0
2025-08-15,CBUT,1235.0,1235.0,1195.0,1195.0,11900.0
2025-08-19,CBUT,1200.0,1240.0,1195.0,1200.0,5900.0
2025-08-20,CBUT,1200.0,1260.0,1200.0,1235.0,46600.0
