Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,CCSI,350.0,350.0,338.0,344.0,104200.0
2025-06-16,CCSI,338.0,346.0,336.0,340.0,50000.0
2025-06-17,CCSI,342.0,342.0,340.0,340.0,44400.0
2025-06-18,CCSI,340.0,352.0,336.0,340.0,161000.0
2025-06-19,CCSI,340.0,346.0,320.0,326.0,455800.0
2025-06-20,CCSI,326.0,330.0,314.0,328.0,767000.0
2025-06-23,CCSI,328.0,328.0,312.0,312.0,55300.0
2025-06-24,CCSI,324.0,326.0,312.0,324.0,358800.0
2025-06-25,CCSI,312.0,324.0,290.0,318.0,407100.0
2025-06-26,CCSI,318.0,350.0,312.0,322.0,225700.0
2025-06-30,CCSI,338.0,372.0,330.0,348.0,373000.0
2025-07-01,CCSI,340.0,348.0,324.0,330.0,182900.0
2025-07-02,CCSI,332.0,332.0,320.0,328.0,82700.0
2025-07-03,CCSI,332.0,336.0,322.0,326.0,35600.0
2025-07-04,CCSI,336.0,348.0,322.0,334.0,75300.0
2025-07-07,CCSI,336.0,346.0,320.0,338.0,68100.0
2025-07-08,CCSI,340.0,342.0,310.0,326.0,43600.0
2025-07-09,CCSI,326.0,332.0,322.0,324.0,42400.0
2025-07-10,CCSI,324.0,342.0,324.0,340.0,159800.0
2025-07-11,CCSI,340.0,342.0,330.0,340.0,48800.0
2025-07-14,CCSI,338.0,338.0,310.0,326.0,206900.0
2025-07-15,CCSI,328.0,330.0,300.0,312.0,188000.0
2025-07-16,CCSI,318.0,320.0,302.0,320.0,157100.0
2025-07-17,CCSI,320.0,336.0,312.0,316.0,146800.0
2025-07-18,CCSI,320.0,330.0,312.0,326.0,722000.0
2025-07-21,CCSI,330.0,362.0,316.0,338.0,2398200.0
2025-07-22,CCSI,348.0,348.0,322.0,328.0,1656300.0
2025-07-23,CCSI,328.0,334.0,318.0,326.0,237300.0
2025-07-24,CCSI,324.0,326.0,316.0,322.0,247900.0
2025-07-25,CCSI,324.0,324.0,316.0,320.0,231200.0
2025-07-28,CCSI,320.0,336.0,290.0,326.0,642700.0
2025-07-29,CCSI,326.0,330.0,320.0,324.0,60500.0
2025-07-30,CCSI,320.0,326.0,316.0,322.0,618800.0
2025-07-31,CCSI,324.0,324.0,306.0,316.0,1086500.0
2025-08-01,CCSI,318.0,324.0,312.0,320.0,451800.0
2025-08-04,CCSI,324.0,324.0,316.0,322.0,327500.0
2025-08-05,CCSI,324.0,324.0,314.0,318.0,142100.0
2025-08-06,CCSI,326.0,328.0,310.0,324.0,333600.0
2025-08-07,CCSI,326.0,326.0,314.0,320.0,319600.0
2025-08-08,CCSI,322.0,322.0,302.0,320.0,487500.0
2025-08-11,CCSI,320.0,322.0,308.0,322.0,562600.0
2025-08-12,CCSI,322.0,326.0,316.0,322.0,565700.0
2025-08-13,CCSI,322.0,324.0,318.0,322.0,569800.0
2025-08-14,CCSI,318.0,338.0,318.0,322.0,376300.0
2025-08-15,CCSI,322.0,330.0,320.0,324.0,162400.0
2025-08-19,CCSI,328.0,342.0,324.0,328.0,431700.0
2025-08-20,CCSI,336.0,336.0,320.0,326.0,461600.0
2025-08-21,CCSI,326.0,342.0,324.0,332.0,1055600.0
2025-08-22,CCSI,332.0,340.0,326.0,336.0,338400.0
2025-08-25,CCSI,342.0,342.0,324.0,328.0,1059700.0
2025-08-26,CCSI,334.0,336.0,326.0,330.0,283400.0
2025-08-27,CCSI,336.0,380.0,328.0,336.0,4195200.0
2025-08-28,CCSI,340.0,420.0,332.0,374.0,7049100.0
2025-08-29,CCSI,380.0,384.0,342.0,366.0,2725800.0
2025-09-01,CCSI,322.0,400.0,322.0,378.0,1733500.0
2025-09-02,CCSI,388.0,388.0,366.0,374.0,1192400.0
2025-09-03,CCSI,378.0,390.0,370.0,370.0,1535800.0
2025-09-04,CCSI,376.0,384.0,368.0,380.0,945100.0
2025-09-08,CCSI,382.0,388.0,370.0,376.0,1383000.0
2025-09-09,CCSI,378.0,386.0,368.0,370.0,990200.0
2025-09-10,CCSI,370.0,450.0,370.0,406.0,5174700.0
2025-09-11,CCSI,408.0,416.0,392.0,406.0,1299300.0
2025-09-12,CCSI,406.0,406.0,372.0,378.0,1558100.0
2025-09-15,CCSI,378.0,388.0,374.0,376.0,415900.0
2025-09-16,CCSI,376.0,384.0,364.0,376.0,845600.0
2025-09-17,CCSI,376.0,378.0,356.0,358.0,540800.0
2025-09-18,CCSI,356.0,370.0,348.0,358.0,434400.0
2025-09-19,CCSI,350.0,360.0,340.0,360.0,655800.0
2025-09-22,CCSI,360.0,386.0,354.0,358.0,896300.0
2025-09-23,CCSI,354.0,372.0,350.0,368.0,294300.0
2025-09-24,CCSI,368.0,370.0,350.0,354.0,361900.0
2025-09-25,CCSI,354.0,358.0,340.0,354.0,536800.0
2025-09-26,CCSI,350.0,354.0,340.0,342.0,427700.0
2025-09-29,CCSI,352.0,370.0,350.0,360.0,539100.0
2025-09-30,CCSI,360.0,364.0,350.0,362.0,519400.0
2025-10-01,CCSI,364.0,364.0,338.0,348.0,894800.0
2025-10-02,CCSI,348.0,354.0,330.0,344.0,384800.0
2025-10-03,CCSI,344.0,358.0,328.0,352.0,787700.0
2025-10-06,CCSI,352.0,366.0,344.0,364.0,1292100.0
2025-10-07,CCSI,366.0,370.0,346.0,366.0,632400.0
2025-10-08,CCSI,366.0,366.0,346.0,364.0,1033600.0
2025-10-09,CCSI,364.0,368.0,346.0,364.0,411600.0
2025-10-10,CCSI,364.0,384.0,360.0,372.0,1078200.0
2025-10-13,CCSI,372.0,372.0,350.0,362.0,464100.0
2025-10-14,CCSI,364.0,370.0,348.0,362.0,337800.0
2025-10-15,CCSI,356.0,382.0,346.0,354.0,884900.0
2025-10-16,CCSI,364.0,368.0,352.0,352.0,923400.0
2025-10-17,CCSI,364.0,364.0,340.0,346.0,325300.0
2025-10-20,CCSI,346.0,380.0,346.0,356.0,740600.0
2025-10-21,CCSI,350.0,380.0,350.0,362.0,152300.0
2025-10-22,CCSI,356.0,368.0,340.0,362.0,345400.0
2025-10-23,CCSI,362.0,364.0,352.0,364.0,206900.0
2025-10-24,CCSI,364.0,368.0,356.0,364.0,551400.0
2025-10-27,CCSI,366.0,368.0,342.0,350.0,498100.0
2025-10-28,CCSI,350.0,364.0,344.0,360.0,557700.0
2025-10-29,CCSI,360.0,366.0,350.0,362.0,285800.0
2025-10-30,CCSI,362.0,362.0,348.0,360.0,622200.0
2025-10-31,CCSI,356.0,360.0,350.0,358.0,277400.0
2025-11-03,CCSI,358.0,364.0,342.0,358.0,301500.0
2025-11-04,CCSI,360.0,360.0,344.0,354.0,426500.0
2025-11-05,CCSI,354.0,360.0,342.0,348.0,175100.0
2025-11-06,CCSI,348.0,358.0,342.0,350.0,509900.0
2025-11-07,CCSI,356.0,356.0,344.0,348.0,111800.0
2025-11-10,CCSI,350.0,350.0,346.0,350.0,259300.0
2025-11-11,CCSI,354.0,360.0,344.0,350.0,245600.0
2025-11-12,CCSI,350.0,350.0,340.0,348.0,930900.0
2025-11-13,CCSI,350.0,350.0,346.0,348.0,512000.0
