Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,CLEO,700.0,705.0,680.0,685.0,13148600.0
2025-06-16,CLEO,680.0,685.0,655.0,655.0,14621800.0
2025-06-17,CLEO,665.0,700.0,660.0,680.0,11389400.0
2025-06-18,CLEO,680.0,690.0,670.0,675.0,8865300.0
2025-06-19,CLEO,675.0,700.0,655.0,670.0,10099900.0
2025-06-20,CLEO,665.0,670.0,650.0,650.0,9741000.0
2025-06-23,CLEO,650.0,650.0,615.0,615.0,9661900.0
2025-06-24,CLEO,620.0,690.0,620.0,660.0,12826800.0
2025-06-25,CLEO,670.0,685.0,635.0,660.0,10032800.0
2025-06-26,CLEO,650.0,650.0,620.0,630.0,13254300.0
2025-06-30,CLEO,630.0,635.0,615.0,615.0,16256600.0
2025-07-01,CLEO,620.0,625.0,605.0,605.0,15951400.0
2025-07-02,CLEO,605.0,615.0,585.0,585.0,20168400.0
2025-07-03,CLEO,585.0,600.0,575.0,590.0,11377800.0
2025-07-04,CLEO,600.0,600.0,580.0,585.0,9592600.0
2025-07-07,CLEO,585.0,615.0,580.0,615.0,10629700.0
2025-07-08,CLEO,615.0,615.0,590.0,590.0,10626900.0
2025-07-09,CLEO,595.0,600.0,585.0,585.0,8086100.0
2025-07-10,CLEO,590.0,595.0,580.0,590.0,13758100.0
2025-07-11,CLEO,590.0,595.0,580.0,590.0,9670100.0
2025-07-14,CLEO,590.0,595.0,560.0,560.0,19177900.0
2025-07-15,CLEO,565.0,570.0,550.0,560.0,11956800.0
2025-07-16,CLEO,560.0,575.0,555.0,570.0,10164700.0
2025-07-17,CLEO,575.0,595.0,570.0,595.0,13988400.0
2025-07-18,CLEO,595.0,600.0,580.0,590.0,10855000.0
2025-07-21,CLEO,590.0,605.0,580.0,600.0,12190000.0
2025-07-22,CLEO,610.0,610.0,585.0,585.0,10607800.0
2025-07-23,CLEO,585.0,600.0,580.0,580.0,10754400.0
2025-07-24,CLEO,585.0,595.0,580.0,580.0,10151100.0
2025-07-25,CLEO,580.0,585.0,570.0,580.0,9360500.0
2025-07-28,CLEO,580.0,590.0,575.0,590.0,7128500.0
2025-07-29,CLEO,590.0,600.0,580.0,585.0,8320900.0
2025-07-30,CLEO,590.0,590.0,575.0,575.0,8867200.0
2025-07-31,CLEO,575.0,580.0,560.0,560.0,8611600.0
2025-08-01,CLEO,560.0,575.0,560.0,570.0,8960500.0
2025-08-04,CLEO,570.0,575.0,550.0,550.0,12528100.0
2025-08-05,CLEO,560.0,585.0,550.0,585.0,15496400.0
2025-08-06,CLEO,585.0,595.0,570.0,580.0,13554100.0
2025-08-07,CLEO,580.0,590.0,565.0,585.0,10505900.0
2025-08-08,CLEO,585.0,585.0,570.0,575.0,8384800.0
2025-08-11,CLEO,575.0,615.0,575.0,610.0,25480500.0
2025-08-12,CLEO,620.0,630.0,600.0,600.0,25413800.0
2025-08-13,CLEO,605.0,610.0,595.0,595.0,9035000.0
2025-08-14,CLEO,595.0,625.0,595.0,615.0,14416700.0
2025-08-15,CLEO,620.0,620.0,605.0,605.0,9524200.0
2025-08-19,CLEO,610.0,615.0,590.0,595.0,9693400.0
2025-08-20,CLEO,595.0,595.0,580.0,585.0,10396100.0
2025-08-21,CLEO,585.0,590.0,580.0,585.0,9904700.0
2025-08-22,CLEO,585.0,590.0,580.0,585.0,7418400.0
2025-08-25,CLEO,590.0,620.0,590.0,615.0,15607400.0
2025-08-26,CLEO,620.0,635.0,610.0,615.0,20200200.0
2025-08-27,CLEO,625.0,630.0,600.0,605.0,9326600.0
2025-08-28,CLEO,610.0,610.0,590.0,600.0,10351700.0
2025-08-29,CLEO,595.0,595.0,575.0,575.0,15432300.0
2025-09-01,CLEO,550.0,565.0,525.0,545.0,20002200.0
