Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,COAL,39.0,41.0,39.0,41.0,745900.0
2025-06-16,COAL,41.0,41.0,39.0,40.0,339100.0
2025-06-17,COAL,39.0,40.0,39.0,40.0,758700.0
2025-06-18,COAL,40.0,40.0,39.0,40.0,726600.0
2025-06-19,COAL,39.0,39.0,38.0,38.0,1955200.0
2025-06-20,COAL,38.0,38.0,38.0,38.0,3256300.0
2025-06-23,COAL,38.0,39.0,37.0,39.0,776400.0
2025-06-24,COAL,39.0,39.0,39.0,39.0,154100.0
2025-06-25,COAL,39.0,39.0,38.0,38.0,292000.0
2025-06-26,COAL,38.0,38.0,38.0,38.0,129500.0
2025-06-30,COAL,38.0,38.0,38.0,38.0,459200.0
2025-07-01,COAL,38.0,38.0,37.0,37.0,645400.0
2025-07-02,COAL,37.0,37.0,36.0,36.0,1943800.0
2025-07-03,COAL,35.0,35.0,34.0,34.0,1798600.0
2025-07-04,COAL,34.0,34.0,34.0,34.0,622500.0
2025-07-07,COAL,34.0,34.0,34.0,34.0,1523500.0
2025-07-08,COAL,34.0,34.0,33.0,34.0,281600.0
2025-07-09,COAL,31.0,32.0,31.0,32.0,5237500.0
2025-07-10,COAL,32.0,34.0,32.0,34.0,817600.0
2025-07-11,COAL,35.0,36.0,35.0,36.0,4084300.0
2025-07-14,COAL,36.0,36.0,35.0,35.0,3652600.0
2025-07-15,COAL,35.0,35.0,33.0,35.0,2632700.0
2025-07-16,COAL,35.0,35.0,33.0,34.0,530800.0
2025-07-17,COAL,34.0,34.0,34.0,34.0,434900.0
2025-07-18,COAL,34.0,34.0,34.0,34.0,214900.0
2025-07-21,COAL,34.0,34.0,33.0,33.0,1586300.0
2025-07-22,COAL,33.0,34.0,33.0,34.0,601700.0
2025-07-23,COAL,34.0,34.0,34.0,34.0,520100.0
2025-07-24,COAL,34.0,34.0,33.0,34.0,1398700.0
2025-07-25,COAL,34.0,34.0,33.0,33.0,2813500.0
2025-07-28,COAL,33.0,33.0,31.0,33.0,6318200.0
2025-07-29,COAL,32.0,32.0,32.0,32.0,805800.0
2025-07-30,COAL,33.0,33.0,33.0,33.0,2730200.0
2025-07-31,COAL,33.0,33.0,33.0,33.0,1412100.0
2025-08-01,COAL,33.0,33.0,33.0,33.0,1649400.0
2025-08-04,COAL,33.0,33.0,32.0,32.0,739200.0
2025-08-05,COAL,32.0,33.0,32.0,33.0,1918900.0
2025-08-06,COAL,34.0,34.0,33.0,33.0,3472200.0
2025-08-07,COAL,32.0,32.0,32.0,32.0,6041400.0
2025-08-08,COAL,32.0,33.0,32.0,33.0,544500.0
2025-08-11,COAL,33.0,34.0,33.0,34.0,2613700.0
2025-08-12,COAL,34.0,34.0,34.0,34.0,2019800.0
2025-08-13,COAL,34.0,35.0,34.0,35.0,1485100.0
2025-08-14,COAL,35.0,36.0,35.0,36.0,3785500.0
2025-08-15,COAL,37.0,38.0,37.0,38.0,1973800.0
2025-08-19,COAL,38.0,39.0,38.0,39.0,4629800.0
2025-08-20,COAL,39.0,42.0,39.0,42.0,11209700.0
2025-08-21,COAL,42.0,42.0,42.0,42.0,5573500.0
2025-08-22,COAL,42.0,42.0,42.0,42.0,5514000.0
2025-08-25,COAL,42.0,42.0,42.0,42.0,1907900.0
2025-08-26,COAL,40.0,40.0,39.0,39.0,14150500.0
2025-08-27,COAL,39.0,39.0,39.0,39.0,8177200.0
2025-08-28,COAL,41.0,42.0,41.0,42.0,4939800.0
2025-08-29,COAL,46.0,46.0,46.0,46.0,21925200.0
2025-09-01,COAL,44.0,46.0,44.0,46.0,13786700.0
2025-09-02,COAL,47.0,50.0,47.0,50.0,41508400.0
2025-09-03,COAL,53.0,55.0,53.0,55.0,30836300.0
2025-09-04,COAL,60.0,60.0,59.0,59.0,53801300.0
2025-09-08,COAL,59.0,59.0,54.0,54.0,50991400.0
2025-09-09,COAL,54.0,57.0,54.0,56.0,27067400.0
2025-09-10,COAL,56.0,56.0,54.0,54.0,12944800.0
2025-09-11,COAL,51.0,51.0,50.0,50.0,13276900.0
2025-09-12,COAL,50.0,55.0,50.0,55.0,16524800.0
2025-09-15,COAL,58.0,58.0,54.0,55.0,23692800.0
2025-09-16,COAL,57.0,60.0,57.0,60.0,38454200.0
2025-09-17,COAL,66.0,66.0,66.0,66.0,138920500.0
2025-09-18,COAL,72.0,72.0,72.0,72.0,93629700.0
2025-09-19,COAL,78.0,78.0,73.0,78.0,169755100.0
2025-09-22,COAL,80.0,80.0,72.0,72.0,66740600.0
