Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,CSMI,1835.0,1835.0,1825.0,1835.0,6300.0
2025-06-16,CSMI,1820.0,1860.0,1815.0,1815.0,700.0
2025-06-17,CSMI,1830.0,1840.0,1830.0,1840.0,200.0
2025-06-18,CSMI,1810.0,1840.0,1810.0,1840.0,300.0
2025-06-19,CSMI,1840.0,1840.0,1690.0,1770.0,4800.0
2025-06-20,CSMI,1625.0,1820.0,1625.0,1820.0,1800.0
2025-06-23,CSMI,1720.0,1720.0,1720.0,1720.0,300.0
2025-06-24,CSMI,1720.0,1840.0,1720.0,1835.0,1600.0
2025-06-25,CSMI,1835.0,1835.0,1565.0,1650.0,850600.0
2025-06-26,CSMI,1650.0,1770.0,1650.0,1725.0,469700.0
2025-06-30,CSMI,1730.0,1940.0,1730.0,1885.0,547100.0
2025-07-01,CSMI,1810.0,2080.0,1800.0,1800.0,401100.0
2025-07-02,CSMI,1800.0,1815.0,1550.0,1600.0,326300.0
2025-07-03,CSMI,1630.0,1705.0,1395.0,1420.0,406600.0
2025-07-04,CSMI,1420.0,1420.0,1220.0,1295.0,987700.0
2025-07-07,CSMI,1320.0,1345.0,1105.0,1105.0,592000.0
2025-07-08,CSMI,1105.0,1165.0,940.0,960.0,981000.0
2025-07-09,CSMI,970.0,990.0,830.0,920.0,1937500.0
2025-07-10,CSMI,920.0,940.0,850.0,900.0,1597300.0
2025-07-11,CSMI,900.0,985.0,840.0,905.0,5267100.0
2025-07-14,CSMI,905.0,955.0,770.0,850.0,2640400.0
2025-07-15,CSMI,840.0,840.0,725.0,725.0,8070800.0
2025-07-16,CSMI,725.0,725.0,725.0,725.0,0.0
2025-07-17,CSMI,725.0,850.0,620.0,670.0,11043700.0
2025-07-18,CSMI,655.0,700.0,585.0,585.0,10316700.0
2025-07-21,CSMI,590.0,605.0,498.0,498.0,8925800.0
2025-07-22,CSMI,498.0,498.0,424.0,454.0,4858600.0
2025-07-23,CSMI,454.0,460.0,400.0,460.0,8870300.0
2025-07-24,CSMI,462.0,464.0,408.0,460.0,11917000.0
2025-07-25,CSMI,450.0,450.0,420.0,440.0,15681100.0
2025-07-28,CSMI,436.0,482.0,430.0,456.0,13391000.0
2025-07-29,CSMI,456.0,464.0,424.0,442.0,9644600.0
2025-07-30,CSMI,450.0,450.0,418.0,440.0,10966500.0
2025-07-31,CSMI,440.0,440.0,408.0,436.0,10945000.0
2025-08-01,CSMI,436.0,442.0,418.0,436.0,11525200.0
2025-08-04,CSMI,430.0,448.0,424.0,436.0,9465000.0
2025-08-05,CSMI,436.0,440.0,408.0,436.0,10924800.0
2025-08-06,CSMI,436.0,436.0,422.0,436.0,7926700.0
2025-08-07,CSMI,436.0,436.0,418.0,418.0,9221500.0
2025-08-08,CSMI,418.0,446.0,410.0,422.0,12912700.0
2025-08-11,CSMI,422.0,422.0,404.0,416.0,7523900.0
2025-08-12,CSMI,416.0,416.0,398.0,412.0,9080100.0
2025-08-13,CSMI,412.0,412.0,412.0,412.0,0.0
2025-08-14,CSMI,412.0,412.0,412.0,412.0,0.0
2025-08-15,CSMI,412.0,412.0,412.0,412.0,0.0
2025-08-19,CSMI,412.0,412.0,412.0,412.0,0.0
2025-08-20,CSMI,412.0,412.0,412.0,412.0,0.0
2025-08-21,CSMI,412.0,412.0,412.0,412.0,0.0
2025-08-22,CSMI,412.0,412.0,412.0,412.0,0.0
2025-08-25,CSMI,412.0,412.0,412.0,412.0,0.0
2025-08-26,CSMI,412.0,412.0,412.0,412.0,0.0
2025-08-27,CSMI,410.0,410.0,398.0,398.0,354200.0
2025-08-28,CSMI,392.0,392.0,360.0,360.0,559500.0
2025-08-29,CSMI,324.0,340.0,324.0,340.0,1021900.0
2025-09-01,CSMI,360.0,374.0,360.0,374.0,801100.0
2025-09-02,CSMI,410.0,410.0,410.0,410.0,322800.0
2025-09-03,CSMI,420.0,420.0,400.0,412.0,742700.0
2025-09-04,CSMI,412.0,412.0,398.0,398.0,499900.0
2025-09-08,CSMI,398.0,400.0,340.0,388.0,8844100.0
2025-09-09,CSMI,376.0,412.0,354.0,372.0,5915000.0
2025-09-10,CSMI,372.0,372.0,354.0,360.0,7000900.0
2025-09-11,CSMI,360.0,394.0,346.0,360.0,5933000.0
2025-09-12,CSMI,362.0,362.0,344.0,352.0,6114100.0
2025-09-15,CSMI,354.0,358.0,340.0,352.0,7202100.0
2025-09-16,CSMI,352.0,352.0,326.0,342.0,10053500.0
2025-09-17,CSMI,342.0,344.0,328.0,336.0,6245900.0
2025-09-18,CSMI,336.0,342.0,330.0,338.0,3651200.0
2025-09-19,CSMI,338.0,390.0,330.0,368.0,18665100.0
2025-09-22,CSMI,384.0,458.0,370.0,452.0,42014300.0
2025-09-23,CSMI,442.0,460.0,396.0,438.0,18298000.0
2025-09-24,CSMI,432.0,462.0,416.0,450.0,24006400.0
2025-09-25,CSMI,462.0,555.0,416.0,540.0,48704300.0
2025-09-26,CSMI,540.0,630.0,510.0,605.0,54549200.0
2025-09-29,CSMI,610.0,640.0,550.0,575.0,25541200.0
2025-09-30,CSMI,580.0,580.0,490.0,490.0,32433300.0
2025-10-01,CSMI,490.0,505.0,418.0,448.0,40242800.0
2025-10-02,CSMI,458.0,478.0,428.0,454.0,21360900.0
2025-10-03,CSMI,440.0,468.0,402.0,424.0,20047400.0
2025-10-06,CSMI,422.0,424.0,362.0,364.0,48996200.0
2025-10-07,CSMI,344.0,418.0,320.0,384.0,45869400.0
2025-10-08,CSMI,384.0,388.0,350.0,372.0,23471200.0
2025-10-09,CSMI,372.0,378.0,354.0,372.0,23551900.0
2025-10-10,CSMI,372.0,414.0,356.0,380.0,31466700.0
2025-10-13,CSMI,370.0,384.0,342.0,344.0,20655500.0
2025-10-14,CSMI,350.0,380.0,344.0,358.0,32349800.0
2025-10-15,CSMI,360.0,364.0,328.0,336.0,15801400.0
2025-10-16,CSMI,338.0,342.0,318.0,328.0,15690400.0
2025-10-17,CSMI,330.0,338.0,296.0,304.0,19309600.0
2025-10-20,CSMI,306.0,320.0,290.0,312.0,20763200.0
2025-10-21,CSMI,312.0,318.0,292.0,306.0,15747300.0
2025-10-22,CSMI,300.0,334.0,300.0,330.0,33504600.0
2025-10-23,CSMI,330.0,338.0,308.0,320.0,16138300.0
2025-10-24,CSMI,320.0,324.0,306.0,314.0,13566400.0
2025-10-27,CSMI,316.0,316.0,286.0,292.0,18535100.0
2025-10-28,CSMI,294.0,300.0,274.0,280.0,12240700.0
2025-10-29,CSMI,280.0,286.0,248.0,254.0,15214700.0
2025-10-30,CSMI,256.0,270.0,252.0,270.0,13671800.0
2025-10-31,CSMI,270.0,280.0,254.0,260.0,22652600.0
2025-11-03,CSMI,262.0,272.0,254.0,270.0,23559800.0
2025-11-04,CSMI,272.0,276.0,256.0,256.0,17689200.0
2025-11-05,CSMI,250.0,260.0,226.0,240.0,32453000.0
2025-11-06,CSMI,230.0,254.0,230.0,250.0,23385400.0
2025-11-07,CSMI,250.0,252.0,234.0,246.0,14697000.0
2025-11-10,CSMI,248.0,254.0,234.0,244.0,10730500.0
2025-11-11,CSMI,244.0,258.0,234.0,254.0,25263800.0
2025-11-12,CSMI,254.0,258.0,244.0,254.0,19088600.0
2025-11-13,CSMI,260.0,316.0,252.0,316.0,95684900.0
2025-11-14,CSMI,318.0,324.0,284.0,306.0,36714200.0
2025-11-17,CSMI,308.0,338.0,286.0,326.0,36956800.0
2025-11-18,CSMI,332.0,400.0,330.0,332.0,69284900.0
2025-11-19,CSMI,334.0,334.0,304.0,314.0,16621000.0
2025-11-20,CSMI,318.0,318.0,304.0,308.0,11083200.0
2025-11-21,CSMI,310.0,316.0,302.0,304.0,15595900.0
2025-11-24,CSMI,304.0,308.0,282.0,286.0,57614500.0
2025-11-25,CSMI,286.0,294.0,262.0,270.0,37323000.0
2025-11-26,CSMI,272.0,280.0,264.0,272.0,28273800.0
2025-11-27,CSMI,276.0,280.0,252.0,254.0,21125800.0
2025-11-28,CSMI,258.0,274.0,248.0,256.0,71595100.0
2025-12-01,CSMI,256.0,256.0,220.0,232.0,80022900.0
2025-12-02,CSMI,232.0,232.0,216.0,220.0,31906900.0
2025-12-03,CSMI,222.0,228.0,216.0,222.0,28142500.0
2025-12-04,CSMI,224.0,230.0,218.0,228.0,28910000.0
2025-12-05,CSMI,228.0,236.0,222.0,228.0,34228300.0
2025-12-08,CSMI,228.0,232.0,220.0,228.0,20223300.0
2025-12-09,CSMI,228.0,232.0,220.0,224.0,12561500.0
2025-12-10,CSMI,224.0,226.0,216.0,220.0,16592100.0
2025-12-11,CSMI,220.0,226.0,214.0,220.0,21062400.0
2025-12-12,CSMI,220.0,224.0,212.0,220.0,18409500.0
2025-12-15,CSMI,220.0,222.0,214.0,220.0,16155200.0
