Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,CTRA,954.572936395202,988.6648269807449,939.9621261442551,964.3134765625,32338400
2025-06-16,CTRA,964.3134784698486,964.3134784698486,935.0918579101562,935.0918579101562,11332400
2025-06-17,CTRA,939.9621261442551,983.794556897096,930.221585976957,964.3134765625,37537200
2025-06-18,CTRA,974.0540180009665,978.9242880909713,939.9621273709326,944.8323974609375,10404700
2025-06-19,CTRA,939.9621273709326,954.5729376409471,915.6107769209085,944.8323974609375,28501500
2025-06-20,CTRA,935.0918579101562,939.9621280034382,900.9999672571818,935.0918579101562,33224800
2025-06-23,CTRA,905.8702427257191,910.7405128479004,847.4270012595437,857.1675415039062,40890300
2025-06-24,CTRA,881.5188874897204,944.8323987458882,881.5188874897204,925.351318359375,51038800
2025-06-25,CTRA,925.3513513513514,935.0918918918919,901.0,901.0,7242000
2025-06-26,CTRA,910.0,960.0,895.0,955.0,27219400
2025-06-30,CTRA,955.0,965.0,935.0,955.0,15389600
2025-07-01,CTRA,950.0,970.0,950.0,965.0,17272000
2025-07-02,CTRA,965.0,975.0,945.0,955.0,18176000
2025-07-03,CTRA,955.0,995.0,950.0,975.0,14262200
2025-07-04,CTRA,975.0,990.0,970.0,985.0,7619100
2025-07-07,CTRA,990.0,990.0,970.0,980.0,4172900
2025-07-08,CTRA,980.0,980.0,960.0,960.0,7980000
2025-07-09,CTRA,960.0,975.0,955.0,975.0,6706800
2025-07-10,CTRA,980.0,985.0,970.0,980.0,4594700
2025-07-11,CTRA,985.0,995.0,980.0,980.0,10585200
2025-07-14,CTRA,980.0,980.0,935.0,935.0,15520700
2025-07-15,CTRA,935.0,990.0,915.0,980.0,44620900
2025-07-16,CTRA,995.0,1020.0,970.0,985.0,37365200
2025-07-17,CTRA,975.0,985.0,965.0,980.0,10970700
2025-07-18,CTRA,980.0,990.0,970.0,980.0,13807000
2025-07-21,CTRA,990.0,995.0,935.0,940.0,20568200
2025-07-22,CTRA,945.0,955.0,920.0,940.0,22391700
2025-07-23,CTRA,940.0,960.0,940.0,945.0,8892400
2025-07-24,CTRA,955.0,960.0,935.0,935.0,9706700
2025-07-25,CTRA,940.0,950.0,930.0,940.0,7809100
2025-07-28,CTRA,950.0,960.0,935.0,940.0,9729300
2025-07-29,CTRA,945.0,965.0,930.0,950.0,17211600
2025-07-30,CTRA,950.0,955.0,935.0,940.0,4501900
2025-07-31,CTRA,950.0,950.0,920.0,920.0,14480000
2025-08-01,CTRA,930.0,935.0,890.0,900.0,28829400
2025-08-04,CTRA,900.0,915.0,890.0,890.0,14118100
2025-08-05,CTRA,900.0,920.0,900.0,910.0,17346000
2025-08-06,CTRA,915.0,915.0,900.0,910.0,12099600
2025-08-07,CTRA,920.0,940.0,905.0,935.0,23454400
2025-08-08,CTRA,935.0,955.0,930.0,955.0,16675200
2025-08-11,CTRA,960.0,1010.0,955.0,1000.0,48267000
2025-08-12,CTRA,1020.0,1020.0,990.0,1000.0,28054500
2025-08-13,CTRA,1000.0,1090.0,995.0,1070.0,84000000
2025-08-14,CTRA,1070.0,1080.0,1050.0,1060.0,33964200
2025-08-15,CTRA,1070.0,1075.0,1035.0,1035.0,17467500
2025-08-19,CTRA,1035.0,1060.0,1030.0,1040.0,28895100
2025-08-20,CTRA,1040.0,1085.0,1040.0,1055.0,60089600
