Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,CTTH,25.0,26.0,25.0,26.0,36500.0
2025-06-16,CTTH,26.0,26.0,26.0,26.0,0.0
2025-06-17,CTTH,26.0,26.0,24.0,24.0,5300.0
2025-06-18,CTTH,26.0,26.0,26.0,26.0,100300.0
2025-06-19,CTTH,26.0,26.0,26.0,26.0,1000.0
2025-06-20,CTTH,26.0,26.0,26.0,26.0,1000.0
2025-06-23,CTTH,26.0,26.0,26.0,26.0,100.0
2025-06-24,CTTH,26.0,26.0,26.0,26.0,2400.0
2025-06-25,CTTH,26.0,26.0,26.0,26.0,0.0
2025-06-26,CTTH,26.0,26.0,26.0,26.0,0.0
2025-06-30,CTTH,26.0,26.0,26.0,26.0,0.0
2025-07-01,CTTH,25.0,25.0,24.0,24.0,1600.0
2025-07-02,CTTH,24.0,24.0,24.0,24.0,19500.0
2025-07-03,CTTH,24.0,24.0,24.0,24.0,298800.0
2025-07-04,CTTH,24.0,24.0,24.0,24.0,200.0
2025-07-07,CTTH,23.0,25.0,23.0,25.0,12400.0
2025-07-08,CTTH,25.0,25.0,25.0,25.0,600.0
2025-07-09,CTTH,25.0,25.0,25.0,25.0,1900.0
2025-07-10,CTTH,24.0,24.0,24.0,24.0,37700.0
2025-07-11,CTTH,24.0,24.0,24.0,24.0,400.0
2025-07-14,CTTH,23.0,23.0,23.0,23.0,317500.0
2025-07-15,CTTH,23.0,24.0,23.0,24.0,281200.0
2025-07-16,CTTH,25.0,25.0,25.0,25.0,8300.0
2025-07-17,CTTH,25.0,25.0,25.0,25.0,30300.0
2025-07-18,CTTH,25.0,25.0,24.0,24.0,540400.0
2025-07-21,CTTH,25.0,25.0,25.0,25.0,1100.0
2025-07-22,CTTH,25.0,25.0,25.0,25.0,29400.0
2025-07-23,CTTH,25.0,25.0,25.0,25.0,1900.0
2025-07-24,CTTH,24.0,25.0,24.0,25.0,108700.0
2025-07-25,CTTH,25.0,26.0,25.0,26.0,54700.0
2025-07-28,CTTH,27.0,27.0,27.0,27.0,208300.0
2025-07-29,CTTH,27.0,27.0,27.0,27.0,27600.0
2025-07-30,CTTH,27.0,27.0,27.0,27.0,1700.0
2025-07-31,CTTH,27.0,27.0,27.0,27.0,5900.0
2025-08-01,CTTH,27.0,27.0,26.0,27.0,54200.0
2025-08-04,CTTH,27.0,27.0,25.0,25.0,91400.0
2025-08-05,CTTH,25.0,27.0,25.0,27.0,434600.0
2025-08-06,CTTH,27.0,27.0,26.0,27.0,52100.0
2025-08-07,CTTH,27.0,27.0,27.0,27.0,287600.0
2025-08-08,CTTH,27.0,27.0,27.0,27.0,3000.0
2025-08-11,CTTH,27.0,27.0,25.0,25.0,15000.0
2025-08-12,CTTH,26.0,26.0,26.0,26.0,390600.0
2025-08-13,CTTH,27.0,27.0,26.0,26.0,326300.0
2025-08-14,CTTH,27.0,27.0,27.0,27.0,342700.0
2025-08-15,CTTH,27.0,27.0,27.0,27.0,17300.0
2025-08-19,CTTH,27.0,27.0,27.0,27.0,46000.0
2025-08-20,CTTH,27.0,28.0,27.0,28.0,499300.0
2025-08-21,CTTH,28.0,30.0,28.0,30.0,3651100.0
2025-08-22,CTTH,31.0,33.0,31.0,33.0,2547100.0
2025-08-25,CTTH,36.0,36.0,36.0,36.0,1086300.0
2025-08-26,CTTH,39.0,39.0,39.0,39.0,998700.0
2025-08-27,CTTH,42.0,42.0,42.0,42.0,5046700.0
2025-08-28,CTTH,45.0,45.0,38.0,38.0,3315300.0
2025-08-29,CTTH,41.0,41.0,41.0,41.0,1210500.0
2025-09-01,CTTH,37.0,41.0,37.0,41.0,127600.0
2025-09-02,CTTH,41.0,41.0,41.0,41.0,93600.0
2025-09-03,CTTH,42.0,42.0,42.0,42.0,75400.0
2025-09-04,CTTH,42.0,42.0,42.0,42.0,22300.0
2025-09-08,CTTH,42.0,42.0,42.0,42.0,228600.0
2025-09-09,CTTH,42.0,42.0,39.0,39.0,164200.0
2025-09-10,CTTH,42.0,42.0,36.0,39.0,160200.0
2025-09-11,CTTH,39.0,39.0,39.0,39.0,89400.0
2025-09-12,CTTH,42.0,42.0,42.0,42.0,493200.0
2025-09-15,CTTH,42.0,42.0,41.0,41.0,1004700.0
2025-09-16,CTTH,42.0,42.0,42.0,42.0,375300.0
2025-09-17,CTTH,42.0,42.0,40.0,40.0,754800.0
2025-09-18,CTTH,41.0,41.0,41.0,41.0,615100.0
2025-09-19,CTTH,44.0,44.0,43.0,43.0,961500.0
2025-09-22,CTTH,43.0,43.0,42.0,42.0,347200.0
2025-09-23,CTTH,42.0,42.0,38.0,41.0,878700.0
2025-09-24,CTTH,41.0,41.0,40.0,40.0,416900.0
2025-09-25,CTTH,38.0,42.0,38.0,40.0,292800.0
2025-09-26,CTTH,39.0,40.0,39.0,40.0,436100.0
2025-09-29,CTTH,40.0,41.0,40.0,41.0,540200.0
2025-09-30,CTTH,41.0,41.0,38.0,41.0,51700.0
2025-10-01,CTTH,42.0,42.0,41.0,41.0,945000.0
2025-10-02,CTTH,41.0,41.0,41.0,41.0,2605000.0
2025-10-03,CTTH,41.0,41.0,40.0,40.0,330000.0
2025-10-06,CTTH,39.0,40.0,39.0,40.0,77400.0
2025-10-07,CTTH,40.0,41.0,40.0,41.0,624400.0
2025-10-08,CTTH,45.0,45.0,45.0,45.0,6275500.0
2025-10-09,CTTH,49.0,49.0,49.0,49.0,2162600.0
2025-10-10,CTTH,53.0,53.0,53.0,53.0,5395600.0
2025-10-13,CTTH,58.0,58.0,58.0,58.0,13583800.0
2025-10-14,CTTH,63.0,63.0,63.0,63.0,4839500.0
2025-10-15,CTTH,69.0,69.0,69.0,69.0,2352900.0
2025-10-16,CTTH,75.0,75.0,75.0,75.0,1699800.0
2025-10-17,CTTH,82.0,82.0,82.0,82.0,41381300.0
2025-10-20,CTTH,90.0,90.0,90.0,90.0,13572100.0
2025-10-21,CTTH,99.0,99.0,85.0,85.0,9169100.0
2025-10-22,CTTH,85.0,90.0,85.0,90.0,4877800.0
2025-10-23,CTTH,90.0,99.0,89.0,89.0,5914600.0
2025-10-24,CTTH,87.0,87.0,81.0,81.0,14633600.0
2025-10-27,CTTH,87.0,87.0,79.0,87.0,15456000.0
2025-10-28,CTTH,94.0,94.0,87.0,87.0,4371300.0
2025-10-29,CTTH,87.0,87.0,85.0,85.0,4489300.0
2025-10-30,CTTH,81.0,81.0,80.0,80.0,4997800.0
2025-10-31,CTTH,80.0,88.0,80.0,85.0,4489700.0
2025-11-03,CTTH,88.0,88.0,85.0,87.0,3451800.0
2025-11-04,CTTH,87.0,87.0,85.0,85.0,2335300.0
2025-11-05,CTTH,85.0,85.0,85.0,85.0,3636600.0
2025-11-06,CTTH,92.0,92.0,88.0,88.0,6720400.0
2025-11-07,CTTH,88.0,88.0,88.0,88.0,1746600.0
2025-11-10,CTTH,90.0,90.0,88.0,88.0,3173100.0
2025-11-11,CTTH,88.0,88.0,83.0,87.0,3274400.0
2025-11-12,CTTH,86.0,86.0,86.0,86.0,2251700.0
2025-11-13,CTTH,86.0,86.0,83.0,86.0,3368000.0
2025-11-14,CTTH,86.0,92.0,86.0,92.0,2827900.0
2025-11-17,CTTH,92.0,92.0,92.0,92.0,4023600.0
2025-11-18,CTTH,92.0,96.0,92.0,96.0,6359300.0
2025-11-19,CTTH,100.0,102.0,100.0,102.0,6191100.0
2025-11-20,CTTH,109.0,109.0,102.0,107.0,4640000.0
2025-11-21,CTTH,107.0,107.0,105.0,105.0,2924800.0
2025-11-24,CTTH,100.0,100.0,96.0,96.0,4421600.0
2025-11-25,CTTH,89.0,96.0,89.0,95.0,7159400.0
2025-11-26,CTTH,95.0,95.0,95.0,95.0,2620100.0
2025-11-27,CTTH,101.0,104.0,101.0,104.0,6259900.0
2025-11-28,CTTH,104.0,117.0,95.0,101.0,48440800.0
2025-12-01,CTTH,107.0,108.0,90.0,92.0,21191800.0
2025-12-02,CTTH,92.0,94.0,89.0,90.0,5126000.0
2025-12-03,CTTH,91.0,99.0,87.0,89.0,16833600.0
2025-12-04,CTTH,90.0,96.0,84.0,94.0,12342200.0
2025-12-05,CTTH,94.0,96.0,89.0,93.0,7978200.0
2025-12-08,CTTH,93.0,93.0,88.0,89.0,8861700.0
2025-12-09,CTTH,89.0,90.0,87.0,89.0,3068200.0
2025-12-10,CTTH,90.0,120.0,90.0,120.0,79356200.0
2025-12-11,CTTH,142.0,162.0,123.0,162.0,324247100.0
2025-12-12,CTTH,182.0,218.0,182.0,218.0,305783500.0
2025-12-15,CTTH,218.0,218.0,218.0,218.0,0.0
2025-12-16,CTTH,232.0,250.0,186.0,186.0,166321400.0
2025-12-17,CTTH,167.0,190.0,162.0,170.0,67090600.0
2025-12-18,CTTH,170.0,178.0,155.0,156.0,37566700.0
2025-12-19,CTTH,170.0,184.0,158.0,161.0,133911000.0
2025-12-22,CTTH,159.0,159.0,137.0,137.0,40516000.0
2025-12-23,CTTH,140.0,143.0,131.0,134.0,14488100.0
2025-12-24,CTTH,136.0,162.0,131.0,133.0,75261300.0
2025-12-29,CTTH,131.0,139.0,127.0,134.0,11270900.0
2025-12-30,CTTH,135.0,149.0,129.0,134.0,36408100.0
2026-01-02,CTTH,137.0,139.0,132.0,134.0,14825900.0
2026-01-05,CTTH,135.0,137.0,130.0,133.0,16369600.0
2026-01-06,CTTH,132.0,133.0,129.0,130.0,12402000.0
2026-01-07,CTTH,130.0,134.0,126.0,132.0,16679300.0
2026-01-08,CTTH,132.0,134.0,129.0,129.0,6578300.0
2026-01-09,CTTH,131.0,133.0,123.0,126.0,14024100.0
2026-01-12,CTTH,125.0,126.0,121.0,123.0,13547200.0
2026-01-13,CTTH,122.0,123.0,110.0,119.0,11499800.0
2026-01-14,CTTH,120.0,128.0,113.0,116.0,28532100.0
2026-01-15,CTTH,119.0,125.0,113.0,118.0,21783300.0
2026-01-19,CTTH,119.0,122.0,115.0,116.0,12262100.0
2026-01-20,CTTH,117.0,119.0,115.0,115.0,9835500.0
2026-01-21,CTTH,116.0,119.0,111.0,112.0,9422600.0
2026-01-22,CTTH,112.0,115.0,112.0,114.0,8405800.0
2026-01-23,CTTH,113.0,115.0,105.0,108.0,9883400.0
2026-01-26,CTTH,110.0,110.0,103.0,105.0,7768300.0
2026-01-27,CTTH,107.0,124.0,101.0,104.0,53071800.0
2026-01-28,CTTH,104.0,104.0,89.0,90.0,18717600.0
2026-01-29,CTTH,84.0,88.0,77.0,87.0,19708700.0
2026-01-30,CTTH,87.0,103.0,85.0,91.0,19633500.0
2026-02-02,CTTH,91.0,92.0,78.0,78.0,6011500.0
2026-02-03,CTTH,78.0,95.0,78.0,88.0,6676100.0
2026-02-04,CTTH,90.0,91.0,85.0,87.0,4380800.0
2026-02-05,CTTH,85.0,117.0,85.0,117.0,141018800.0
2026-02-06,CTTH,117.0,117.0,100.0,100.0,68206700.0
2026-02-09,CTTH,96.0,107.0,88.0,95.0,36153900.0
2026-02-10,CTTH,97.0,110.0,93.0,99.0,51135000.0
2026-02-11,CTTH,100.0,104.0,98.0,100.0,18140800.0
2026-02-12,CTTH,102.0,104.0,98.0,99.0,17667100.0
2026-02-13,CTTH,99.0,100.0,93.0,98.0,16038800.0
2026-02-18,CTTH,97.0,102.0,96.0,98.0,9827300.0
2026-02-19,CTTH,98.0,103.0,96.0,98.0,18636300.0
2026-02-20,CTTH,99.0,102.0,96.0,98.0,8295900.0
2026-02-23,CTTH,96.0,98.0,95.0,96.0,6908700.0
2026-02-24,CTTH,96.0,97.0,94.0,94.0,8042200.0
2026-02-25,CTTH,94.0,97.0,91.0,92.0,8713000.0
2026-02-26,CTTH,92.0,94.0,90.0,91.0,4894400.0
2026-02-27,CTTH,92.0,93.0,78.0,90.0,8885300.0
2026-03-02,CTTH,85.0,89.0,78.0,80.0,9545300.0
2026-03-03,CTTH,81.0,91.0,80.0,81.0,9206300.0
2026-03-04,CTTH,82.0,83.0,73.0,77.0,7168700.0
2026-03-05,CTTH,77.0,82.0,77.0,81.0,2975600.0
2026-03-06,CTTH,80.0,81.0,78.0,80.0,1739600.0
2026-03-09,CTTH,70.0,80.0,68.0,70.0,8735000.0
2026-03-10,CTTH,72.0,75.0,71.0,73.0,2698700.0
2026-03-11,CTTH,75.0,89.0,71.0,78.0,20195800.0
2026-03-12,CTTH,80.0,80.0,74.0,77.0,2830600.0
2026-03-13,CTTH,77.0,78.0,71.0,74.0,3793200.0
2026-03-16,CTTH,76.0,76.0,68.0,72.0,2647800.0
2026-03-17,CTTH,72.0,73.0,69.0,70.0,938200.0
2026-03-25,CTTH,70.0,74.0,68.0,72.0,2179900.0
2026-03-26,CTTH,73.0,79.0,71.0,71.0,4128600.0
2026-03-27,CTTH,73.0,93.0,71.0,72.0,50114900.0
2026-03-30,CTTH,72.0,72.0,68.0,71.0,6569500.0
2026-03-31,CTTH,71.0,73.0,69.0,71.0,6795100.0
2026-04-01,CTTH,71.0,75.0,71.0,72.0,5406800.0
2026-04-02,CTTH,74.0,74.0,70.0,70.0,2690500.0
2026-04-06,CTTH,69.0,77.0,69.0,74.0,5922200.0
2026-04-07,CTTH,72.0,74.0,71.0,72.0,2720400.0
2026-04-08,CTTH,73.0,73.0,69.0,71.0,5643200.0
2026-04-09,CTTH,73.0,95.0,71.0,88.0,123774100.0
2026-04-10,CTTH,90.0,92.0,82.0,83.0,23485200.0
2026-04-13,CTTH,84.0,84.0,80.0,82.0,8795300.0
2026-04-14,CTTH,83.0,100.0,82.0,90.0,114320700.0
2026-04-15,CTTH,92.0,95.0,86.0,89.0,23670500.0
2026-04-16,CTTH,91.0,93.0,88.0,90.0,9319300.0
2026-04-17,CTTH,92.0,93.0,87.0,87.0,6871800.0
2026-04-20,CTTH,87.0,88.0,84.0,88.0,5349200.0
2026-04-21,CTTH,87.0,118.0,87.0,118.0,145533800.0
2026-04-22,CTTH,126.0,148.0,120.0,134.0,296876300.0
2026-04-23,CTTH,134.0,136.0,120.0,130.0,48742200.0
2026-04-24,CTTH,134.0,169.0,126.0,161.0,399528000.0
2026-04-27,CTTH,161.0,161.0,161.0,161.0,0.0
2026-04-28,CTTH,169.0,169.0,137.0,150.0,76861800.0
2026-04-29,CTTH,150.0,155.0,146.0,148.0,23535300.0
2026-04-30,CTTH,148.0,168.0,140.0,152.0,120535800.0
2026-05-04,CTTH,160.0,173.0,145.0,145.0,51411700.0
2026-05-05,CTTH,156.0,193.0,149.0,174.0,301386600.0
2026-05-06,CTTH,175.0,216.0,163.0,202.0,255713200.0
2026-05-07,CTTH,202.0,202.0,202.0,202.0,0.0
2026-05-08,CTTH,202.0,202.0,202.0,202.0,0.0
2026-05-11,CTTH,202.0,202.0,202.0,202.0,0.0
2026-05-12,CTTH,202.0,202.0,202.0,202.0,0.0
2026-05-13,CTTH,202.0,202.0,202.0,202.0,0.0
2026-05-14,CTTH,202.0,202.0,202.0,202.0,0.0
2026-05-15,CTTH,202.0,202.0,202.0,202.0,0.0
2026-05-18,CTTH,202.0,202.0,202.0,202.0,0.0
2026-05-19,CTTH,202.0,202.0,202.0,202.0,0.0
2026-05-20,CTTH,202.0,202.0,202.0,202.0,0.0
2026-05-21,CTTH,202.0,202.0,202.0,202.0,0.0
2026-05-22,CTTH,182.0,182.0,182.0,182.0,398700.0
2026-05-25,CTTH,164.0,164.0,164.0,164.0,823000.0
2026-05-26,CTTH,164.0,177.0,164.0,165.0,18391100.0
2026-05-27,CTTH,165.0,165.0,165.0,165.0,0.0
2026-05-28,CTTH,165.0,165.0,165.0,165.0,0.0
2026-05-29,CTTH,176.0,176.0,170.0,170.0,2801000.0
2026-06-02,CTTH,170.0,170.0,161.0,161.0,3020500.0
2026-06-03,CTTH,157.0,157.0,145.0,145.0,6182700.0
2026-06-04,CTTH,131.0,131.0,131.0,131.0,668500.0
2026-06-05,CTTH,118.0,135.0,112.0,112.0,32787600.0
2026-06-08,CTTH,100.0,110.0,96.0,96.0,6640000.0
2026-06-09,CTTH,84.0,129.0,84.0,129.0,112704600.0
2026-06-10,CTTH,130.0,158.0,129.0,143.0,53350400.0
2026-06-11,CTTH,144.0,149.0,124.0,140.0,12444800.0
