Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,CUAN,1187.5,1190.0,1150.0,1175.0,144920000.0
2025-06-16,CUAN,1167.5,1227.5,1165.0,1202.5,208153000.0
2025-06-17,CUAN,1220.0,1222.5,1187.5,1187.5,115788000.0
2025-06-18,CUAN,1190.0,1220.0,1185.0,1187.5,149451000.0
2025-06-19,CUAN,1192.5,1207.5,1152.5,1165.0,138050000.0
2025-06-20,CUAN,1167.5,1185.0,1145.0,1180.0,106968000.0
2025-06-23,CUAN,1130.0,1160.0,1102.5,1127.5,155012000.0
2025-06-24,CUAN,1165.0,1220.0,1155.0,1175.0,180367000.0
2025-06-25,CUAN,1197.5,1207.5,1190.0,1190.0,187634000.0
2025-06-26,CUAN,1187.5,1230.0,1175.0,1192.5,221517000.0
2025-06-30,CUAN,1212.5,1267.5,1202.5,1260.0,306041000.0
2025-07-01,CUAN,1270.0,1287.5,1252.5,1280.0,151294000.0
2025-07-02,CUAN,1282.5,1297.5,1190.0,1205.0,219588000.0
2025-07-03,CUAN,1215.0,1217.5,1177.5,1182.5,85550000.0
2025-07-04,CUAN,1195.0,1197.5,1140.0,1185.0,99337000.0
2025-07-07,CUAN,1185.0,1235.0,1162.5,1235.0,120432000.0
2025-07-08,CUAN,1235.0,1300.0,1222.5,1295.0,274133000.0
2025-07-09,CUAN,1300.0,1350.0,1297.5,1340.0,298668000.0
2025-07-10,CUAN,1350.0,1440.0,1325.0,1420.0,452075000.0
2025-07-11,CUAN,1427.5,1445.0,1397.5,1440.0,248043000.0
2025-07-14,CUAN,1640.0,1720.0,1560.0,1687.5,925826000.0
2025-07-15,CUAN,1640.0,1795.0,1580.0,1625.0,694431000.0
2025-07-16,CUAN,1630.0,1710.0,1500.0,1665.0,602401200.0
2025-07-17,CUAN,1685.0,1725.0,1640.0,1650.0,389304100.0
2025-07-18,CUAN,1665.0,1710.0,1645.0,1655.0,326322400.0
2025-07-21,CUAN,1675.0,1675.0,1585.0,1605.0,270569800.0
2025-07-22,CUAN,1615.0,1625.0,1530.0,1575.0,406255200.0
2025-07-23,CUAN,1575.0,1585.0,1505.0,1555.0,156030200.0
2025-07-24,CUAN,1560.0,1590.0,1530.0,1535.0,145457200.0
2025-07-25,CUAN,1535.0,1570.0,1510.0,1530.0,149285600.0
2025-07-28,CUAN,1545.0,1570.0,1520.0,1560.0,180645300.0
2025-07-29,CUAN,1565.0,1630.0,1540.0,1625.0,235303500.0
2025-07-30,CUAN,1625.0,1625.0,1560.0,1570.0,182139700.0
2025-07-31,CUAN,1570.0,1585.0,1530.0,1535.0,91728200.0
2025-08-01,CUAN,1550.0,1565.0,1525.0,1525.0,99045000.0
2025-08-04,CUAN,1525.0,1530.0,1380.0,1415.0,383323000.0
2025-08-05,CUAN,1420.0,1470.0,1315.0,1450.0,398760700.0
2025-08-06,CUAN,1475.0,1600.0,1470.0,1530.0,529745200.0
2025-08-07,CUAN,1535.0,1545.0,1450.0,1460.0,306099900.0
2025-08-08,CUAN,1705.0,1750.0,1560.0,1565.0,768553600.0
2025-08-11,CUAN,1575.0,1590.0,1520.0,1535.0,241535300.0
2025-08-12,CUAN,1535.0,1600.0,1535.0,1575.0,224305200.0
2025-08-13,CUAN,1580.0,1650.0,1580.0,1625.0,399438600.0
2025-08-14,CUAN,1645.0,1685.0,1605.0,1610.0,296282000.0
2025-08-15,CUAN,1630.0,1635.0,1550.0,1550.0,196417700.0
2025-08-19,CUAN,1555.0,1590.0,1550.0,1555.0,116868000.0
2025-08-20,CUAN,1570.0,1625.0,1560.0,1615.0,219455300.0
2025-08-21,CUAN,1620.0,1665.0,1580.0,1645.0,295675600.0
2025-08-22,CUAN,1650.0,1665.0,1620.0,1635.0,220944600.0
2025-08-25,CUAN,1640.0,1650.0,1615.0,1630.0,170274500.0
2025-08-26,CUAN,1640.0,1700.0,1580.0,1700.0,1568520900.0
2025-08-27,CUAN,1650.0,1665.0,1605.0,1625.0,341000200.0
2025-08-28,CUAN,1635.0,1645.0,1610.0,1615.0,128762800.0
2025-08-29,CUAN,1600.0,1610.0,1495.0,1560.0,245060400.0
2025-09-01,CUAN,1450.0,1535.0,1430.0,1505.0,169126600.0
2025-09-02,CUAN,1520.0,1560.0,1520.0,1525.0,68121900.0
2025-09-03,CUAN,1535.0,1550.0,1510.0,1520.0,57669600.0
2025-09-04,CUAN,1520.0,1535.0,1500.0,1530.0,56909500.0
2025-09-08,CUAN,1500.0,1520.0,1460.0,1475.0,94002800.0
2025-09-09,CUAN,1475.0,1490.0,1405.0,1430.0,85714900.0
2025-09-10,CUAN,1465.0,1465.0,1415.0,1420.0,55881900.0
2025-09-11,CUAN,1425.0,1445.0,1405.0,1420.0,58880600.0
2025-09-12,CUAN,1435.0,1470.0,1420.0,1430.0,73018400.0
2025-09-15,CUAN,1435.0,1505.0,1430.0,1505.0,85823000.0
2025-09-16,CUAN,1510.0,1520.0,1455.0,1470.0,59121600.0
2025-09-17,CUAN,1480.0,1530.0,1465.0,1505.0,106948700.0
2025-09-18,CUAN,1520.0,1600.0,1505.0,1580.0,238714800.0
2025-09-19,CUAN,1590.0,1600.0,1550.0,1590.0,138605600.0
2025-09-22,CUAN,1590.0,1680.0,1570.0,1640.0,355262300.0
2025-09-23,CUAN,1640.0,1650.0,1600.0,1615.0,140460900.0
2025-09-24,CUAN,1615.0,1640.0,1570.0,1595.0,156902000.0
2025-09-25,CUAN,1590.0,1625.0,1550.0,1590.0,112980500.0
2025-09-26,CUAN,1615.0,1630.0,1590.0,1600.0,71543700.0
2025-09-29,CUAN,1600.0,1670.0,1590.0,1610.0,191796400.0
2025-09-30,CUAN,1630.0,1645.0,1605.0,1620.0,95295500.0
2025-10-01,CUAN,1650.0,1650.0,1610.0,1610.0,86910200.0
2025-10-02,CUAN,1630.0,1630.0,1605.0,1610.0,48573900.0
2025-10-03,CUAN,1610.0,1615.0,1580.0,1600.0,74499500.0
2025-10-06,CUAN,1610.0,1780.0,1605.0,1780.0,584895800.0
2025-10-07,CUAN,1815.0,2220.0,1815.0,2220.0,1130135300.0
2025-10-08,CUAN,2240.0,2400.0,2000.0,2240.0,729186600.0
2025-10-09,CUAN,2250.0,2430.0,2100.0,2230.0,398889800.0
2025-10-10,CUAN,2290.0,2500.0,2270.0,2430.0,440645500.0
2025-10-13,CUAN,2380.0,2890.0,2360.0,2770.0,575603100.0
2025-10-14,CUAN,2820.0,2830.0,2360.0,2410.0,650898000.0
2025-10-15,CUAN,2410.0,2500.0,2240.0,2480.0,320074100.0
2025-10-16,CUAN,2500.0,2560.0,2380.0,2380.0,179989700.0
2025-10-17,CUAN,2390.0,2400.0,2100.0,2150.0,289808000.0
2025-10-20,CUAN,2180.0,2370.0,2090.0,2310.0,219683500.0
2025-10-21,CUAN,2300.0,2420.0,2250.0,2270.0,184007800.0
2025-10-22,CUAN,2270.0,2310.0,2170.0,2240.0,94311900.0
2025-10-23,CUAN,2260.0,2300.0,2190.0,2200.0,65830700.0
2025-10-24,CUAN,2200.0,2280.0,2160.0,2190.0,52938400.0
2025-10-27,CUAN,2190.0,2230.0,1870.0,2030.0,309639300.0
2025-10-28,CUAN,2050.0,2070.0,1910.0,2000.0,94497700.0
2025-10-29,CUAN,2010.0,2060.0,1965.0,2010.0,80839500.0
2025-10-30,CUAN,2010.0,2030.0,1965.0,2000.0,52525200.0
2025-10-31,CUAN,2010.0,2070.0,1980.0,2010.0,70827100.0
2025-11-03,CUAN,1995.0,2120.0,1990.0,2090.0,139239600.0
2025-11-04,CUAN,2100.0,2160.0,2000.0,2050.0,142416900.0
2025-11-05,CUAN,2000.0,2090.0,1985.0,2080.0,65119400.0
2025-11-06,CUAN,2130.0,2160.0,2080.0,2120.0,100801500.0
2025-11-07,CUAN,2150.0,2300.0,2140.0,2290.0,233503600.0
2025-11-10,CUAN,2350.0,2350.0,2250.0,2280.0,182257700.0
2025-11-11,CUAN,2280.0,2290.0,2180.0,2200.0,110626300.0
2025-11-12,CUAN,2200.0,2250.0,2160.0,2190.0,70221800.0
2025-11-13,CUAN,2220.0,2240.0,2170.0,2180.0,49507900.0
2025-11-14,CUAN,2180.0,2220.0,2150.0,2150.0,38337800.0
2025-11-17,CUAN,2150.0,2270.0,2140.0,2200.0,90469300.0
2025-11-18,CUAN,2200.0,2220.0,2080.0,2100.0,72952600.0
2025-11-19,CUAN,2100.0,2160.0,2050.0,2160.0,52180200.0
2025-11-20,CUAN,2200.0,2320.0,2180.0,2230.0,186043200.0
2025-11-21,CUAN,2230.0,2300.0,2190.0,2260.0,86158700.0
2025-11-24,CUAN,2310.0,2430.0,2300.0,2380.0,296130000.0
2025-11-25,CUAN,2400.0,2410.0,2260.0,2350.0,155865800.0
2025-11-26,CUAN,2380.0,2410.0,2330.0,2390.0,100284100.0
2025-11-27,CUAN,2420.0,2730.0,2420.0,2580.0,422281200.0
2025-11-28,CUAN,2590.0,2710.0,2520.0,2680.0,300397000.0
2025-12-01,CUAN,2710.0,2730.0,2580.0,2670.0,134644000.0
2025-12-02,CUAN,2670.0,2790.0,2650.0,2740.0,193064500.0
2025-12-03,CUAN,2750.0,2780.0,2630.0,2640.0,102066600.0
2025-12-04,CUAN,2640.0,2760.0,2580.0,2690.0,122068800.0
2025-12-05,CUAN,2750.0,2870.0,2690.0,2690.0,262054600.0
2025-12-08,CUAN,2710.0,2750.0,2630.0,2650.0,95274000.0
2025-12-09,CUAN,2680.0,2690.0,2550.0,2610.0,102212000.0
2025-12-10,CUAN,2610.0,2640.0,2510.0,2540.0,96534800.0
2025-12-11,CUAN,2550.0,2620.0,2510.0,2530.0,100696800.0
2025-12-12,CUAN,2540.0,2590.0,2490.0,2530.0,62127300.0
2025-12-15,CUAN,2570.0,2590.0,2320.0,2350.0,147806800.0
2025-12-16,CUAN,2350.0,2450.0,2300.0,2420.0,104751000.0
2025-12-17,CUAN,2440.0,2450.0,2320.0,2330.0,70296400.0
2025-12-18,CUAN,2330.0,2350.0,2210.0,2230.0,80670600.0
2025-12-19,CUAN,2240.0,2310.0,2220.0,2240.0,72822600.0
2025-12-22,CUAN,2260.0,2280.0,2220.0,2250.0,33301100.0
2025-12-23,CUAN,2260.0,2280.0,2210.0,2260.0,42935400.0
2025-12-24,CUAN,2270.0,2310.0,2170.0,2220.0,73118600.0
2025-12-29,CUAN,2280.0,2450.0,2280.0,2380.0,94860100.0
2025-12-30,CUAN,2390.0,2400.0,2290.0,2340.0,77438200.0
2026-01-02,CUAN,2340.0,2370.0,2280.0,2290.0,57293900.0
2026-01-05,CUAN,2300.0,2310.0,2220.0,2240.0,52380200.0
2026-01-06,CUAN,2240.0,2250.0,2170.0,2200.0,58130500.0
2026-01-07,CUAN,2200.0,2210.0,2070.0,2080.0,104848100.0
2026-01-08,CUAN,1995.0,2210.0,1990.0,2050.0,112610600.0
2026-01-09,CUAN,2070.0,2080.0,2000.0,2010.0,55269500.0
2026-01-12,CUAN,2050.0,2070.0,1825.0,1915.0,124426400.0
2026-01-13,CUAN,1920.0,1945.0,1855.0,1930.0,77576700.0
2026-01-14,CUAN,2000.0,2000.0,1890.0,1910.0,75359800.0
2026-01-15,CUAN,1915.0,1915.0,1830.0,1850.0,81694900.0
2026-01-19,CUAN,1900.0,2070.0,1850.0,2020.0,177310900.0
2026-01-20,CUAN,2010.0,2090.0,1955.0,1970.0,115113600.0
2026-01-21,CUAN,1960.0,1965.0,1885.0,1895.0,76914500.0
2026-01-22,CUAN,1910.0,1920.0,1805.0,1815.0,106463600.0
2026-01-23,CUAN,1800.0,1805.0,1650.0,1735.0,110772900.0
2026-01-26,CUAN,1735.0,1755.0,1640.0,1710.0,81516000.0
2026-01-27,CUAN,1710.0,1780.0,1675.0,1780.0,68094300.0
2026-01-28,CUAN,1515.0,1660.0,1515.0,1560.0,181637100.0
2026-01-29,CUAN,1560.0,1880.0,1330.0,1850.0,610781200.0
2026-01-30,CUAN,1850.0,1930.0,1685.0,1800.0,274497100.0
2026-02-02,CUAN,1805.0,1810.0,1530.0,1530.0,195054000.0
2026-02-03,CUAN,1500.0,1720.0,1470.0,1665.0,196174200.0
2026-02-04,CUAN,1685.0,1760.0,1670.0,1715.0,94849200.0
2026-02-05,CUAN,1715.0,1815.0,1700.0,1710.0,106296500.0
2026-02-06,CUAN,1685.0,1735.0,1605.0,1630.0,84023100.0
2026-02-09,CUAN,1670.0,1675.0,1615.0,1645.0,41297800.0
2026-02-10,CUAN,1640.0,1685.0,1620.0,1640.0,57642000.0
2026-02-11,CUAN,1670.0,1930.0,1670.0,1925.0,346104600.0
2026-02-12,CUAN,1940.0,1990.0,1810.0,1825.0,241253900.0
2026-02-13,CUAN,1805.0,1860.0,1755.0,1810.0,106551500.0
2026-02-18,CUAN,1815.0,1860.0,1790.0,1795.0,71990400.0
2026-02-19,CUAN,1805.0,1825.0,1755.0,1755.0,81546100.0
2026-02-20,CUAN,1755.0,1765.0,1685.0,1735.0,135141500.0
2026-02-23,CUAN,1780.0,1850.0,1775.0,1800.0,235823600.0
2026-02-24,CUAN,1810.0,1845.0,1720.0,1720.0,146053100.0
2026-02-25,CUAN,1740.0,1765.0,1680.0,1680.0,135624100.0
2026-02-26,CUAN,1690.0,1710.0,1600.0,1650.0,71935800.0
2026-02-27,CUAN,1630.0,1655.0,1560.0,1600.0,68484500.0
2026-03-02,CUAN,1520.0,1575.0,1470.0,1470.0,151322300.0
2026-03-03,CUAN,1490.0,1540.0,1450.0,1450.0,96883600.0
2026-03-04,CUAN,1400.0,1400.0,1280.0,1335.0,158811100.0
2026-03-05,CUAN,1330.0,1415.0,1315.0,1320.0,246101900.0
2026-03-06,CUAN,1300.0,1375.0,1180.0,1320.0,246114800.0
2026-03-09,CUAN,1160.0,1350.0,1155.0,1280.0,244804700.0
2026-03-10,CUAN,1350.0,1380.0,1255.0,1275.0,228719100.0
2026-03-11,CUAN,1295.0,1325.0,1260.0,1305.0,161937700.0
2026-03-12,CUAN,1300.0,1310.0,1230.0,1230.0,104088200.0
2026-03-13,CUAN,1205.0,1240.0,1155.0,1195.0,142449200.0
2026-03-16,CUAN,1195.0,1200.0,1095.0,1095.0,182951000.0
2026-03-17,CUAN,1130.0,1210.0,1105.0,1125.0,185097900.0
2026-03-25,CUAN,1130.0,1200.0,1110.0,1175.0,164596100.0
2026-03-26,CUAN,1190.0,1220.0,1125.0,1125.0,107189600.0
2026-03-27,CUAN,1150.0,1150.0,1105.0,1150.0,96894700.0
2026-03-30,CUAN,1100.0,1170.0,1090.0,1130.0,378736400.0
2026-03-31,CUAN,1140.0,1155.0,1060.0,1060.0,454166000.0
2026-04-01,CUAN,1100.0,1150.0,1085.0,1130.0,342066600.0
2026-04-02,CUAN,1110.0,1120.0,1020.0,1045.0,379749800.0
