Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,DFAM,50.0,50.0,50.0,50.0,400.0
2025-06-16,DFAM,50.0,50.0,50.0,50.0,2900.0
2025-06-17,DFAM,50.0,50.0,50.0,50.0,300.0
2025-06-18,DFAM,50.0,50.0,50.0,50.0,300.0
2025-06-19,DFAM,50.0,50.0,50.0,50.0,1200.0
2025-06-20,DFAM,50.0,50.0,50.0,50.0,200.0
2025-06-23,DFAM,50.0,50.0,50.0,50.0,200.0
2025-06-24,DFAM,50.0,50.0,50.0,50.0,100.0
2025-06-25,DFAM,50.0,50.0,50.0,50.0,1500.0
2025-06-26,DFAM,50.0,50.0,50.0,50.0,400.0
2025-06-30,DFAM,50.0,50.0,50.0,50.0,100.0
2025-07-01,DFAM,50.0,50.0,50.0,50.0,20300.0
2025-07-02,DFAM,50.0,50.0,50.0,50.0,300.0
2025-07-03,DFAM,50.0,50.0,50.0,50.0,10100.0
2025-07-04,DFAM,50.0,50.0,50.0,50.0,0.0
2025-07-07,DFAM,50.0,50.0,50.0,50.0,200.0
2025-07-08,DFAM,50.0,50.0,50.0,50.0,100.0
2025-07-09,DFAM,50.0,50.0,50.0,50.0,300.0
2025-07-10,DFAM,50.0,50.0,50.0,50.0,100.0
2025-07-11,DFAM,50.0,50.0,50.0,50.0,100.0
2025-07-14,DFAM,50.0,50.0,50.0,50.0,200.0
2025-07-15,DFAM,50.0,50.0,50.0,50.0,100.0
2025-07-16,DFAM,50.0,50.0,50.0,50.0,1400.0
2025-07-17,DFAM,50.0,50.0,50.0,50.0,5100.0
2025-07-18,DFAM,50.0,50.0,50.0,50.0,26500.0
2025-07-21,DFAM,50.0,50.0,50.0,50.0,100.0
2025-07-22,DFAM,50.0,50.0,50.0,50.0,100.0
2025-07-23,DFAM,50.0,50.0,50.0,50.0,1100.0
2025-07-24,DFAM,50.0,50.0,50.0,50.0,200.0
2025-07-25,DFAM,50.0,50.0,50.0,50.0,1200.0
2025-07-28,DFAM,50.0,50.0,50.0,50.0,2100.0
2025-07-29,DFAM,50.0,57.0,50.0,50.0,3237400.0
2025-07-30,DFAM,50.0,51.0,50.0,50.0,2219300.0
2025-07-31,DFAM,50.0,53.0,50.0,51.0,1748000.0
2025-08-01,DFAM,51.0,55.0,50.0,52.0,2294800.0
2025-08-04,DFAM,53.0,53.0,50.0,50.0,767200.0
2025-08-05,DFAM,51.0,52.0,50.0,52.0,252100.0
2025-08-06,DFAM,52.0,52.0,50.0,52.0,70700.0
2025-08-07,DFAM,54.0,55.0,52.0,53.0,3839700.0
2025-08-08,DFAM,54.0,55.0,53.0,53.0,547800.0
2025-08-11,DFAM,53.0,53.0,51.0,53.0,194900.0
2025-08-12,DFAM,53.0,53.0,51.0,53.0,400700.0
2025-08-13,DFAM,53.0,54.0,50.0,53.0,2693200.0
2025-08-14,DFAM,53.0,54.0,53.0,54.0,346700.0
2025-08-15,DFAM,54.0,55.0,53.0,53.0,1191700.0
2025-08-19,DFAM,53.0,54.0,52.0,54.0,180900.0
2025-08-20,DFAM,54.0,54.0,53.0,54.0,249900.0
2025-08-21,DFAM,54.0,72.0,52.0,72.0,119455200.0
2025-08-22,DFAM,72.0,72.0,62.0,63.0,44910900.0
2025-08-25,DFAM,63.0,70.0,62.0,64.0,27726600.0
2025-08-26,DFAM,65.0,86.0,65.0,86.0,165100100.0
2025-08-27,DFAM,102.0,111.0,87.0,90.0,143613600.0
2025-08-28,DFAM,94.0,99.0,84.0,88.0,22516600.0
2025-08-29,DFAM,89.0,89.0,78.0,85.0,8842300.0
2025-09-01,DFAM,83.0,84.0,75.0,81.0,5060300.0
2025-09-02,DFAM,81.0,91.0,77.0,80.0,38124800.0
2025-09-03,DFAM,81.0,96.0,81.0,86.0,69790600.0
2025-09-04,DFAM,89.0,90.0,80.0,81.0,14485900.0
2025-09-08,DFAM,81.0,90.0,77.0,79.0,30970600.0
2025-09-09,DFAM,79.0,80.0,76.0,76.0,3489800.0
2025-09-10,DFAM,76.0,85.0,74.0,78.0,11242900.0
2025-09-11,DFAM,78.0,83.0,78.0,78.0,3946100.0
2025-09-12,DFAM,80.0,82.0,78.0,79.0,3945600.0
2025-09-15,DFAM,80.0,86.0,79.0,83.0,21483000.0
2025-09-16,DFAM,84.0,109.0,81.0,93.0,179245500.0
2025-09-17,DFAM,94.0,95.0,88.0,89.0,37542700.0
2025-09-18,DFAM,90.0,93.0,86.0,88.0,23657300.0
2025-09-19,DFAM,87.0,91.0,87.0,89.0,4540600.0
2025-09-22,DFAM,90.0,90.0,86.0,90.0,8821700.0
2025-09-23,DFAM,90.0,91.0,88.0,89.0,13151400.0
2025-09-24,DFAM,89.0,91.0,86.0,88.0,17497200.0
2025-09-25,DFAM,88.0,90.0,85.0,86.0,6973700.0
2025-09-26,DFAM,86.0,89.0,85.0,85.0,2950000.0
2025-09-29,DFAM,86.0,89.0,82.0,88.0,18208000.0
2025-09-30,DFAM,89.0,90.0,85.0,87.0,14075000.0
2025-10-01,DFAM,88.0,89.0,85.0,87.0,4495000.0
2025-10-02,DFAM,87.0,87.0,84.0,85.0,2302600.0
2025-10-03,DFAM,85.0,88.0,83.0,86.0,8043200.0
2025-10-06,DFAM,86.0,90.0,84.0,87.0,9948900.0
2025-10-07,DFAM,87.0,89.0,83.0,85.0,6266500.0
2025-10-08,DFAM,85.0,88.0,83.0,84.0,9591000.0
2025-10-09,DFAM,85.0,88.0,84.0,86.0,8315700.0
2025-10-10,DFAM,86.0,87.0,84.0,85.0,1662800.0
2025-10-13,DFAM,86.0,86.0,83.0,83.0,2273200.0
2025-10-14,DFAM,83.0,84.0,77.0,82.0,2447900.0
2025-10-15,DFAM,82.0,82.0,77.0,80.0,1283300.0
2025-10-16,DFAM,80.0,84.0,79.0,79.0,11842600.0
2025-10-17,DFAM,81.0,81.0,77.0,78.0,1342500.0
2025-10-20,DFAM,78.0,79.0,71.0,78.0,2555700.0
2025-10-21,DFAM,78.0,83.0,78.0,80.0,7859700.0
2025-10-22,DFAM,80.0,83.0,78.0,79.0,4097100.0
2025-10-23,DFAM,79.0,82.0,77.0,80.0,6534900.0
2025-10-24,DFAM,79.0,82.0,78.0,79.0,2529100.0
2025-10-27,DFAM,80.0,80.0,72.0,74.0,11165800.0
2025-10-28,DFAM,75.0,78.0,72.0,74.0,10174600.0
2025-10-29,DFAM,75.0,75.0,72.0,74.0,2704200.0
2025-10-30,DFAM,74.0,85.0,73.0,75.0,16324500.0
2025-10-31,DFAM,75.0,77.0,74.0,74.0,1350900.0
2025-11-03,DFAM,74.0,75.0,73.0,74.0,760700.0
2025-11-04,DFAM,75.0,76.0,72.0,73.0,3443000.0
2025-11-05,DFAM,73.0,90.0,72.0,73.0,70873400.0
2025-11-06,DFAM,74.0,98.0,74.0,91.0,293348300.0
2025-11-07,DFAM,91.0,93.0,79.0,80.0,61385200.0
2025-11-10,DFAM,82.0,105.0,81.0,93.0,364605800.0
