Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,DOOH,102.0,102.0,99.0,101.0,25070100.0
2025-06-16,DOOH,101.0,102.0,98.0,101.0,70439600.0
2025-06-17,DOOH,101.0,101.0,98.0,98.0,43403400.0
2025-06-18,DOOH,99.0,102.0,97.0,98.0,78845900.0
2025-06-19,DOOH,98.0,100.0,92.0,93.0,35351000.0
2025-06-20,DOOH,93.0,96.0,90.0,94.0,114861100.0
2025-06-23,DOOH,90.0,94.0,88.0,91.0,121238500.0
2025-06-24,DOOH,92.0,97.0,92.0,94.0,57607800.0
2025-06-25,DOOH,94.0,95.0,91.0,92.0,68239800.0
2025-06-26,DOOH,91.0,97.0,91.0,92.0,128338400.0
2025-06-30,DOOH,94.0,95.0,92.0,92.0,70406900.0
2025-07-01,DOOH,92.0,93.0,90.0,92.0,90488300.0
2025-07-02,DOOH,92.0,92.0,88.0,88.0,37552700.0
2025-07-03,DOOH,88.0,93.0,88.0,91.0,186533200.0
2025-07-04,DOOH,91.0,92.0,88.0,88.0,21507600.0
2025-07-07,DOOH,89.0,90.0,85.0,88.0,107051000.0
2025-07-08,DOOH,88.0,96.0,86.0,94.0,251510600.0
2025-07-09,DOOH,94.0,98.0,92.0,97.0,177038100.0
2025-07-10,DOOH,97.0,100.0,94.0,98.0,183063200.0
2025-07-11,DOOH,99.0,99.0,95.0,95.0,156383000.0
2025-07-14,DOOH,95.0,96.0,91.0,91.0,52345600.0
2025-07-15,DOOH,91.0,108.0,91.0,99.0,660920800.0
2025-07-16,DOOH,99.0,101.0,95.0,97.0,178474400.0
2025-07-17,DOOH,98.0,106.0,98.0,106.0,502847300.0
2025-07-18,DOOH,108.0,110.0,104.0,107.0,295814700.0
2025-07-21,DOOH,107.0,113.0,103.0,111.0,367464200.0
2025-07-22,DOOH,114.0,140.0,111.0,126.0,1237899400.0
2025-07-23,DOOH,127.0,130.0,119.0,122.0,232990000.0
2025-07-24,DOOH,122.0,127.0,119.0,123.0,184690800.0
2025-07-25,DOOH,124.0,131.0,120.0,129.0,315972500.0
2025-07-28,DOOH,128.0,131.0,123.0,126.0,318479200.0
2025-07-29,DOOH,127.0,139.0,126.0,137.0,574044400.0
2025-07-30,DOOH,138.0,158.0,137.0,147.0,585174600.0
2025-07-31,DOOH,148.0,155.0,139.0,142.0,312974300.0
2025-08-01,DOOH,143.0,152.0,135.0,152.0,278639700.0
2025-08-04,DOOH,154.0,155.0,142.0,148.0,144172500.0
2025-08-05,DOOH,148.0,149.0,139.0,142.0,89831400.0
2025-08-06,DOOH,143.0,185.0,143.0,171.0,648703700.0
2025-08-07,DOOH,172.0,174.0,162.0,164.0,244712800.0
2025-08-08,DOOH,166.0,166.0,149.0,156.0,237956100.0
2025-08-11,DOOH,158.0,163.0,153.0,162.0,159909100.0
2025-08-12,DOOH,164.0,165.0,157.0,157.0,106472400.0
2025-08-13,DOOH,157.0,162.0,146.0,146.0,119451400.0
2025-08-14,DOOH,146.0,160.0,146.0,158.0,314867500.0
2025-08-15,DOOH,159.0,177.0,150.0,152.0,624482100.0
2025-08-19,DOOH,152.0,165.0,152.0,162.0,210176500.0
2025-08-20,DOOH,163.0,165.0,158.0,160.0,166234800.0
2025-08-21,DOOH,158.0,164.0,156.0,159.0,211589300.0
