Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,DPNS,278.4094471005227,284.2913368279985,272.5275573730469,272.5275573730469,81200.0
2025-06-16,DPNS,270.5669345049791,280.3700843058841,254.88189482353104,278.4094543457031,162700.0
2025-06-17,DPNS,276.44881962367464,276.44881962367464,274.4881896972656,274.4881896972656,18800.0
2025-06-18,DPNS,274.4881992485687,274.4881992485687,254.88189930224237,256.842529296875,105300.0
2025-06-19,DPNS,256.842526949369,268.60630680964545,254.88189697265625,254.88189697265625,167500.0
2025-06-20,DPNS,260.76377952755905,260.76377952755905,245.07874015748033,249.0,45900.0
2025-06-23,DPNS,250.0,250.0,230.0,232.0,255000.0
2025-06-24,DPNS,234.0,238.0,232.0,236.0,200600.0
2025-06-25,DPNS,238.0,238.0,230.0,236.0,770900.0
2025-06-26,DPNS,236.0,236.0,230.0,232.0,97100.0
2025-06-30,DPNS,234.0,234.0,228.0,232.0,142700.0
2025-07-01,DPNS,232.0,232.0,228.0,228.0,91500.0
2025-07-02,DPNS,232.0,232.0,228.0,230.0,76100.0
2025-07-03,DPNS,220.0,246.0,220.0,226.0,246200.0
2025-07-04,DPNS,232.0,232.0,226.0,232.0,101600.0
2025-07-07,DPNS,232.0,232.0,222.0,228.0,108800.0
2025-07-08,DPNS,230.0,230.0,220.0,224.0,205900.0
2025-07-09,DPNS,222.0,222.0,214.0,216.0,247500.0
2025-07-10,DPNS,216.0,222.0,200.0,206.0,3380100.0
2025-07-11,DPNS,206.0,214.0,206.0,210.0,165400.0
2025-07-14,DPNS,212.0,238.0,208.0,226.0,623000.0
2025-07-15,DPNS,234.0,234.0,226.0,228.0,32100.0
2025-07-16,DPNS,232.0,232.0,230.0,230.0,12700.0
2025-07-17,DPNS,228.0,230.0,220.0,228.0,50900.0
2025-07-18,DPNS,222.0,240.0,222.0,224.0,46600.0
2025-07-21,DPNS,224.0,226.0,210.0,222.0,135800.0
2025-07-22,DPNS,230.0,230.0,220.0,228.0,22800.0
2025-07-23,DPNS,228.0,230.0,220.0,224.0,29000.0
2025-07-24,DPNS,228.0,238.0,226.0,228.0,497700.0
2025-07-25,DPNS,238.0,238.0,226.0,228.0,21600.0
2025-07-28,DPNS,230.0,240.0,230.0,240.0,452200.0
2025-07-29,DPNS,240.0,240.0,228.0,236.0,840700.0
2025-07-30,DPNS,236.0,238.0,234.0,234.0,74900.0
2025-07-31,DPNS,236.0,238.0,234.0,236.0,366200.0
2025-08-01,DPNS,238.0,246.0,238.0,240.0,29600.0
2025-08-04,DPNS,242.0,248.0,230.0,244.0,12400.0
2025-08-05,DPNS,242.0,250.0,240.0,244.0,1289700.0
2025-08-06,DPNS,246.0,250.0,236.0,250.0,52400.0
2025-08-07,DPNS,250.0,252.0,248.0,250.0,75900.0
2025-08-08,DPNS,240.0,250.0,240.0,242.0,24000.0
2025-08-11,DPNS,240.0,250.0,238.0,240.0,25100.0
2025-08-12,DPNS,240.0,246.0,238.0,246.0,10800.0
2025-08-13,DPNS,246.0,246.0,236.0,238.0,13700.0
2025-08-14,DPNS,244.0,270.0,234.0,260.0,246000.0
2025-08-15,DPNS,260.0,280.0,260.0,260.0,584900.0
2025-08-19,DPNS,260.0,260.0,240.0,250.0,186500.0
2025-08-20,DPNS,248.0,258.0,242.0,254.0,65800.0
2025-08-21,DPNS,254.0,254.0,242.0,250.0,4700.0
2025-08-22,DPNS,256.0,258.0,240.0,254.0,60100.0
2025-08-25,DPNS,244.0,280.0,240.0,258.0,148500.0
2025-08-26,DPNS,244.0,258.0,244.0,248.0,5700.0
2025-08-27,DPNS,256.0,264.0,240.0,240.0,71800.0
