Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,DSFI,59.0,59.0,57.0,57.0,1505600.0
2025-06-16,DSFI,57.0,58.0,57.0,58.0,1016600.0
2025-06-17,DSFI,57.0,58.0,56.0,58.0,1667900.0
2025-06-18,DSFI,57.0,58.0,57.0,58.0,257200.0
2025-06-19,DSFI,57.0,58.0,56.0,56.0,1797000.0
2025-06-20,DSFI,56.0,57.0,55.0,56.0,2474100.0
2025-06-23,DSFI,56.0,56.0,54.0,54.0,1138200.0
2025-06-24,DSFI,54.0,57.0,54.0,56.0,1873600.0
2025-06-25,DSFI,56.0,56.0,55.0,55.0,193900.0
2025-06-26,DSFI,55.0,56.0,54.0,55.0,1088200.0
2025-06-30,DSFI,55.0,57.0,54.0,55.0,2958400.0
2025-07-01,DSFI,55.0,59.0,55.0,58.0,4300700.0
2025-07-02,DSFI,57.0,58.0,55.0,56.0,3185200.0
2025-07-03,DSFI,55.0,56.0,55.0,55.0,578000.0
2025-07-04,DSFI,56.0,56.0,55.0,55.0,186900.0
2025-07-07,DSFI,55.0,56.0,55.0,56.0,3190100.0
2025-07-08,DSFI,56.0,56.0,54.0,55.0,1180400.0
2025-07-09,DSFI,55.0,60.0,54.0,55.0,6460700.0
2025-07-10,DSFI,55.0,57.0,55.0,56.0,3833600.0
2025-07-11,DSFI,56.0,58.0,55.0,57.0,1174800.0
2025-07-14,DSFI,57.0,57.0,55.0,55.0,3196700.0
2025-07-15,DSFI,55.0,58.0,54.0,54.0,4666200.0
2025-07-16,DSFI,55.0,57.0,55.0,56.0,2538200.0
2025-07-17,DSFI,57.0,57.0,55.0,56.0,897300.0
2025-07-18,DSFI,55.0,57.0,55.0,56.0,898100.0
2025-07-21,DSFI,56.0,57.0,55.0,55.0,1440900.0
2025-07-22,DSFI,56.0,56.0,53.0,56.0,5548400.0
2025-07-23,DSFI,56.0,56.0,55.0,55.0,647900.0
2025-07-24,DSFI,55.0,56.0,55.0,56.0,259000.0
2025-07-25,DSFI,56.0,56.0,54.0,55.0,944200.0
2025-07-28,DSFI,55.0,56.0,54.0,55.0,338100.0
2025-07-29,DSFI,56.0,56.0,55.0,55.0,33900.0
2025-07-30,DSFI,56.0,70.0,55.0,66.0,93309100.0
2025-07-31,DSFI,68.0,69.0,61.0,64.0,41633900.0
2025-08-01,DSFI,65.0,86.0,61.0,85.0,284562900.0
2025-08-04,DSFI,88.0,106.0,78.0,91.0,289726400.0
2025-08-05,DSFI,97.0,98.0,85.0,86.0,61047200.0
2025-08-06,DSFI,88.0,92.0,84.0,89.0,49885900.0
2025-08-07,DSFI,90.0,99.0,88.0,90.0,69967600.0
2025-08-08,DSFI,90.0,91.0,80.0,82.0,32189200.0
2025-08-11,DSFI,82.0,87.0,81.0,83.0,24442000.0
2025-08-12,DSFI,83.0,86.0,81.0,85.0,22626100.0
2025-08-13,DSFI,85.0,88.0,83.0,84.0,18397600.0
2025-08-14,DSFI,85.0,96.0,84.0,88.0,113866700.0
2025-08-15,DSFI,88.0,89.0,84.0,84.0,26951700.0
