Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,DSNG,785.7000248747052,785.7000248747052,766.300024260515,771.1500244140625,17932500
2025-06-16,DSNG,776.0000363936335,785.700036848554,766.3000359387131,780.8500366210938,22565300
2025-06-17,DSNG,780.85,785.6999999999999,766.3,776.0,19143700
2025-06-18,DSNG,785.0,790.0,775.0,785.0,20316000
2025-06-19,DSNG,785.0,785.0,740.0,750.0,17102500
2025-06-20,DSNG,740.0,755.0,730.0,755.0,19511100
2025-06-23,DSNG,740.0,745.0,715.0,745.0,21050900
2025-06-24,DSNG,745.0,765.0,745.0,750.0,25660700
2025-06-25,DSNG,755.0,760.0,725.0,750.0,19549500
2025-06-26,DSNG,750.0,780.0,750.0,780.0,26280200
2025-06-30,DSNG,785.0,800.0,770.0,780.0,18348400
2025-07-01,DSNG,770.0,785.0,770.0,780.0,23983200
2025-07-02,DSNG,780.0,795.0,775.0,795.0,22147000
2025-07-03,DSNG,795.0,800.0,785.0,790.0,21746000
2025-07-04,DSNG,795.0,795.0,780.0,790.0,11367200
2025-07-07,DSNG,790.0,790.0,770.0,775.0,19190900
2025-07-08,DSNG,770.0,790.0,760.0,790.0,27178600
2025-07-09,DSNG,790.0,875.0,780.0,860.0,53812700
2025-07-10,DSNG,880.0,910.0,850.0,850.0,61131200
2025-07-11,DSNG,850.0,870.0,850.0,860.0,24867800
2025-07-14,DSNG,870.0,880.0,850.0,855.0,22125400
2025-07-15,DSNG,855.0,875.0,835.0,865.0,37576400
2025-07-16,DSNG,875.0,970.0,875.0,965.0,57940400
2025-07-17,DSNG,965.0,1000.0,940.0,995.0,48389800
2025-07-18,DSNG,1000.0,1000.0,950.0,965.0,31086400
2025-07-21,DSNG,970.0,1060.0,955.0,1060.0,64613200
2025-07-22,DSNG,1070.0,1075.0,1025.0,1065.0,45105000
2025-07-23,DSNG,1065.0,1130.0,1060.0,1060.0,31460600
2025-07-24,DSNG,1065.0,1120.0,1040.0,1100.0,36196200
2025-07-25,DSNG,1100.0,1110.0,1055.0,1070.0,28927800
2025-07-28,DSNG,1070.0,1100.0,1050.0,1065.0,31431600
2025-07-29,DSNG,1065.0,1125.0,1050.0,1100.0,37792800
2025-07-30,DSNG,1160.0,1275.0,1160.0,1240.0,60082600
2025-07-31,DSNG,1260.0,1430.0,1245.0,1375.0,79361000
2025-08-01,DSNG,1385.0,1405.0,1330.0,1385.0,44407200
2025-08-04,DSNG,1385.0,1395.0,1335.0,1375.0,26160400
2025-08-05,DSNG,1385.0,1460.0,1375.0,1420.0,46753600
2025-08-06,DSNG,1420.0,1425.0,1390.0,1420.0,30455400
2025-08-07,DSNG,1420.0,1445.0,1390.0,1445.0,43873300
2025-08-08,DSNG,1450.0,1490.0,1445.0,1485.0,46480100
2025-08-11,DSNG,1485.0,1490.0,1405.0,1450.0,24793700
2025-08-12,DSNG,1470.0,1480.0,1440.0,1450.0,37726300
2025-08-13,DSNG,1470.0,1540.0,1455.0,1510.0,52834800
2025-08-14,DSNG,1510.0,1545.0,1485.0,1530.0,40151800
2025-08-15,DSNG,1530.0,1530.0,1470.0,1490.0,22058400
2025-08-19,DSNG,1490.0,1610.0,1490.0,1590.0,39253500
2025-08-20,DSNG,1595.0,1660.0,1565.0,1625.0,50706900
