Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,DUTI,3780.0,3780.0,3780.0,3780.0,0.0
2025-06-16,DUTI,3780.0,3780.0,3780.0,3780.0,0.0
2025-06-17,DUTI,3780.0,3780.0,3780.0,3780.0,0.0
2025-06-18,DUTI,3760.0,3760.0,3760.0,3760.0,600.0
2025-06-19,DUTI,3760.0,3760.0,3760.0,3760.0,7400.0
2025-06-20,DUTI,3760.0,3760.0,3760.0,3760.0,0.0
2025-06-23,DUTI,3760.0,3760.0,3760.0,3760.0,0.0
2025-06-24,DUTI,3760.0,3760.0,3760.0,3760.0,0.0
2025-06-25,DUTI,3700.0,3700.0,3690.0,3690.0,500.0
2025-06-26,DUTI,3650.0,3650.0,3650.0,3650.0,1100.0
2025-06-30,DUTI,3300.0,3360.0,3300.0,3360.0,4200.0
2025-07-01,DUTI,3360.0,3360.0,3360.0,3360.0,200.0
2025-07-02,DUTI,3360.0,3360.0,3360.0,3360.0,200.0
2025-07-03,DUTI,3360.0,3360.0,3350.0,3350.0,600.0
2025-07-04,DUTI,3250.0,3500.0,3250.0,3500.0,2900.0
2025-07-07,DUTI,3500.0,3500.0,3500.0,3500.0,200.0
2025-07-08,DUTI,3500.0,3500.0,3500.0,3500.0,100.0
2025-07-09,DUTI,3500.0,3500.0,3500.0,3500.0,100.0
2025-07-10,DUTI,3500.0,3500.0,3500.0,3500.0,1200.0
2025-07-11,DUTI,3500.0,3500.0,3500.0,3500.0,100.0
2025-07-14,DUTI,3490.0,3490.0,3490.0,3490.0,200.0
2025-07-15,DUTI,3490.0,3490.0,3490.0,3490.0,100.0
2025-07-16,DUTI,3490.0,3490.0,3490.0,3490.0,100.0
2025-07-17,DUTI,3490.0,3490.0,3490.0,3490.0,0.0
2025-07-18,DUTI,3490.0,3490.0,3250.0,3250.0,12700.0
2025-07-21,DUTI,3310.0,3480.0,3310.0,3480.0,2600.0
2025-07-22,DUTI,3480.0,3480.0,3400.0,3480.0,20500.0
2025-07-23,DUTI,3480.0,3490.0,3480.0,3490.0,14700.0
2025-07-24,DUTI,3470.0,3480.0,3470.0,3480.0,2900.0
2025-07-25,DUTI,3480.0,3480.0,3480.0,3480.0,100.0
2025-07-28,DUTI,3480.0,3490.0,3480.0,3490.0,5900.0
2025-07-29,DUTI,3470.0,3470.0,3470.0,3470.0,10100.0
2025-07-30,DUTI,3470.0,3470.0,3250.0,3250.0,90100.0
2025-07-31,DUTI,3250.0,3300.0,3200.0,3300.0,50000.0
2025-08-01,DUTI,3300.0,3300.0,3200.0,3200.0,900.0
