Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,ELSA,500.0,510.0,490.0,510.0,222137900
2025-06-16,ELSA,530.0,550.0,505.0,510.0,267489600
2025-06-17,ELSA,515.0,515.0,490.0,505.0,124918800
2025-06-18,ELSA,520.0,525.0,500.0,500.0,89555200
2025-06-19,ELSA,500.0,510.0,484.0,505.0,119146800
2025-06-20,ELSA,505.0,510.0,490.0,494.0,85042900
2025-06-23,ELSA,520.0,520.0,494.0,500.0,135693300
2025-06-24,ELSA,474.0,484.0,462.0,474.0,105154800
2025-06-25,ELSA,472.0,476.0,462.0,466.0,57958600
2025-06-26,ELSA,466.0,474.0,462.0,466.0,24025100
2025-06-30,ELSA,466.0,470.0,458.0,468.0,23282000
2025-07-01,ELSA,468.0,476.0,464.0,466.0,30862400
2025-07-02,ELSA,466.0,468.0,460.0,464.0,23834800
2025-07-03,ELSA,468.0,474.0,466.0,466.0,14445000
2025-07-04,ELSA,472.0,472.0,460.0,464.0,12216400
2025-07-07,ELSA,466.0,472.0,460.0,472.0,14243200
2025-07-08,ELSA,476.0,480.0,472.0,478.0,28359700
2025-07-09,ELSA,480.0,480.0,474.0,476.0,19888800
2025-07-10,ELSA,478.0,488.0,478.0,486.0,27666600
2025-07-11,ELSA,486.0,492.0,486.0,488.0,11166700
2025-07-14,ELSA,490.0,492.0,480.0,486.0,22261100
2025-07-15,ELSA,484.0,484.0,476.0,478.0,22834400
2025-07-16,ELSA,480.0,490.0,480.0,480.0,26561800
2025-07-17,ELSA,484.0,488.0,480.0,486.0,15151500
2025-07-18,ELSA,490.0,505.0,482.0,500.0,75739500
2025-07-21,ELSA,500.0,505.0,498.0,500.0,33942300
2025-07-22,ELSA,505.0,505.0,490.0,490.0,39194200
2025-07-23,ELSA,492.0,498.0,492.0,496.0,20451800
2025-07-24,ELSA,496.0,505.0,496.0,505.0,21977500
2025-07-25,ELSA,505.0,515.0,500.0,505.0,24555200
2025-07-28,ELSA,505.0,505.0,498.0,500.0,21425200
2025-07-29,ELSA,500.0,510.0,498.0,505.0,36354700
2025-07-30,ELSA,510.0,515.0,486.0,496.0,99048300
2025-07-31,ELSA,498.0,500.0,482.0,488.0,39568800
2025-08-01,ELSA,486.0,492.0,484.0,484.0,21349200
2025-08-04,ELSA,480.0,486.0,474.0,484.0,19190200
2025-08-05,ELSA,486.0,488.0,478.0,480.0,14311900
2025-08-06,ELSA,480.0,486.0,480.0,484.0,28675900
2025-08-07,ELSA,484.0,488.0,478.0,480.0,27289800
2025-08-08,ELSA,482.0,484.0,478.0,480.0,8562400
2025-08-11,ELSA,480.0,486.0,480.0,484.0,10456600
2025-08-12,ELSA,484.0,484.0,480.0,484.0,10093600
2025-08-13,ELSA,484.0,488.0,482.0,484.0,19526000
2025-08-14,ELSA,484.0,488.0,480.0,484.0,10403800
2025-08-15,ELSA,486.0,505.0,486.0,500.0,71568900
2025-08-19,ELSA,505.0,515.0,498.0,498.0,33832600
2025-08-20,ELSA,505.0,510.0,498.0,500.0,31736400
2025-08-21,ELSA,505.0,535.0,505.0,525.0,129654000
2025-08-22,ELSA,530.0,530.0,515.0,515.0,32864300
2025-08-25,ELSA,515.0,520.0,510.0,515.0,25272200
2025-08-26,ELSA,520.0,525.0,505.0,505.0,26346100
2025-08-27,ELSA,505.0,515.0,498.0,505.0,22630300
2025-08-28,ELSA,510.0,515.0,505.0,505.0,13058800
2025-08-29,ELSA,505.0,505.0,490.0,492.0,46445600
2025-09-01,ELSA,486.0,488.0,462.0,484.0,36455900
2025-09-02,ELSA,488.0,510.0,488.0,505.0,27871900
2025-09-03,ELSA,505.0,510.0,498.0,500.0,18836300
2025-09-04,ELSA,500.0,505.0,496.0,498.0,10905400
2025-09-08,ELSA,500.0,500.0,490.0,490.0,24318500
2025-09-09,ELSA,490.0,492.0,480.0,490.0,21532500
2025-09-10,ELSA,492.0,496.0,486.0,488.0,11062000
2025-09-11,ELSA,490.0,510.0,490.0,505.0,26042200
2025-09-12,ELSA,505.0,505.0,496.0,498.0,10278900
2025-09-15,ELSA,500.0,505.0,496.0,500.0,9851900
2025-09-16,ELSA,500.0,510.0,498.0,500.0,14770000
2025-09-17,ELSA,500.0,510.0,500.0,505.0,13788900
2025-09-18,ELSA,505.0,510.0,492.0,494.0,15466800
2025-09-19,ELSA,494.0,496.0,490.0,490.0,9696100
2025-09-22,ELSA,490.0,492.0,486.0,488.0,11498100
2025-09-23,ELSA,490.0,494.0,486.0,492.0,16117200
2025-09-24,ELSA,496.0,496.0,486.0,490.0,16570900
2025-09-25,ELSA,496.0,505.0,490.0,494.0,30498000
2025-09-26,ELSA,496.0,498.0,490.0,492.0,9511300
2025-09-29,ELSA,492.0,498.0,490.0,496.0,15724500
2025-09-30,ELSA,496.0,498.0,492.0,494.0,12859200
2025-10-01,ELSA,494.0,494.0,486.0,492.0,25794600
2025-10-02,ELSA,490.0,494.0,486.0,486.0,11277800
2025-10-03,ELSA,488.0,500.0,484.0,488.0,28032900
2025-10-06,ELSA,488.0,496.0,484.0,484.0,17980500
2025-10-07,ELSA,484.0,515.0,484.0,500.0,75471200
2025-10-08,ELSA,505.0,510.0,492.0,505.0,25932300
2025-10-09,ELSA,505.0,510.0,490.0,494.0,26268200
2025-10-10,ELSA,494.0,498.0,488.0,490.0,18465800
2025-10-13,ELSA,484.0,500.0,484.0,496.0,22526800
2025-10-14,ELSA,496.0,500.0,484.0,486.0,22509100
2025-10-15,ELSA,486.0,505.0,480.0,505.0,43230700
2025-10-16,ELSA,498.0,498.0,486.0,488.0,17959400
2025-10-17,ELSA,488.0,490.0,476.0,478.0,24763600
2025-10-20,ELSA,478.0,486.0,476.0,482.0,16535900
2025-10-21,ELSA,484.0,490.0,480.0,486.0,11740500
2025-10-22,ELSA,488.0,505.0,484.0,500.0,61513000
2025-10-23,ELSA,505.0,535.0,505.0,510.0,108422700
2025-10-24,ELSA,515.0,525.0,500.0,505.0,31989700
2025-10-27,ELSA,510.0,525.0,500.0,510.0,41663700
2025-10-28,ELSA,515.0,515.0,505.0,505.0,13081800
2025-10-29,ELSA,505.0,515.0,500.0,510.0,40353100
2025-10-30,ELSA,510.0,515.0,505.0,510.0,21507200
2025-10-31,ELSA,515.0,515.0,510.0,510.0,19400900
2025-11-03,ELSA,515.0,530.0,510.0,525.0,62722100
2025-11-04,ELSA,535.0,575.0,530.0,535.0,241585200
2025-11-05,ELSA,530.0,530.0,510.0,515.0,68384500
2025-11-06,ELSA,515.0,515.0,500.0,505.0,43790900
2025-11-07,ELSA,505.0,515.0,500.0,505.0,20333100
2025-11-10,ELSA,505.0,520.0,505.0,510.0,16576200
2025-11-11,ELSA,515.0,520.0,510.0,510.0,17048300
2025-11-12,ELSA,515.0,535.0,515.0,535.0,52879300
2025-11-13,ELSA,535.0,560.0,525.0,530.0,80626600
2025-11-14,ELSA,530.0,545.0,520.0,540.0,56570400
2025-11-17,ELSA,540.0,570.0,540.0,555.0,83151400
2025-11-18,ELSA,555.0,555.0,525.0,530.0,48827000
2025-11-19,ELSA,530.0,535.0,520.0,525.0,23797300
2025-11-20,ELSA,525.0,545.0,520.0,530.0,25817900
2025-11-21,ELSA,525.0,530.0,520.0,520.0,14377000
2025-11-24,ELSA,520.0,525.0,515.0,515.0,22331700
2025-11-25,ELSA,520.0,520.0,505.0,515.0,20164500
2025-11-26,ELSA,515.0,520.0,510.0,510.0,17771300
2025-11-27,ELSA,510.0,515.0,505.0,510.0,23711600
2025-11-28,ELSA,510.0,510.0,505.0,505.0,12850200
2025-12-01,ELSA,505.0,515.0,500.0,510.0,16934600
2025-12-02,ELSA,515.0,515.0,505.0,510.0,11359700
2025-12-03,ELSA,515.0,515.0,505.0,505.0,13766800
2025-12-04,ELSA,510.0,515.0,505.0,505.0,20128600
2025-12-05,ELSA,510.0,515.0,505.0,505.0,13517600
2025-12-08,ELSA,510.0,515.0,505.0,505.0,13451100
2025-12-09,ELSA,510.0,510.0,500.0,505.0,20800500
2025-12-10,ELSA,505.0,510.0,500.0,500.0,22646900
2025-12-11,ELSA,505.0,505.0,490.0,492.0,47965100
2025-12-12,ELSA,492.0,505.0,490.0,496.0,17274300
2025-12-15,ELSA,500.0,505.0,492.0,494.0,17035800
2025-12-16,ELSA,494.0,498.0,492.0,494.0,9419800
2025-12-17,ELSA,494.0,500.0,492.0,498.0,14648800
2025-12-18,ELSA,505.0,505.0,494.0,496.0,17459600
2025-12-19,ELSA,498.0,500.0,492.0,494.0,12930500
2025-12-22,ELSA,494.0,498.0,492.0,492.0,20226500
2025-12-23,ELSA,492.0,498.0,490.0,494.0,12665200
2025-12-24,ELSA,494.0,496.0,490.0,492.0,10746400
2025-12-29,ELSA,492.0,496.0,490.0,492.0,10745300
2025-12-30,ELSA,492.0,500.0,492.0,498.0,10933500
2026-01-02,ELSA,500.0,515.0,498.0,510.0,33904100
2026-01-05,ELSA,530.0,535.0,510.0,520.0,74710800
2026-01-06,ELSA,520.0,525.0,505.0,510.0,27706100
2026-01-07,ELSA,510.0,520.0,505.0,515.0,24317800
2026-01-08,ELSA,515.0,520.0,510.0,515.0,26994100
2026-01-09,ELSA,520.0,530.0,515.0,525.0,53627100
2026-01-12,ELSA,530.0,535.0,510.0,525.0,42037400
2026-01-13,ELSA,530.0,530.0,520.0,520.0,25533400
2026-01-14,ELSA,530.0,545.0,530.0,535.0,62040400
2026-01-15,ELSA,535.0,540.0,530.0,540.0,23729300
2026-01-19,ELSA,545.0,550.0,535.0,535.0,22821500
2026-01-20,ELSA,545.0,560.0,535.0,550.0,64977900
2026-01-21,ELSA,550.0,555.0,535.0,540.0,28228100
2026-01-22,ELSA,540.0,610.0,540.0,590.0,180895000
2026-01-23,ELSA,585.0,595.0,560.0,580.0,54878200
2026-01-26,ELSA,600.0,720.0,595.0,710.0,335689500
2026-01-27,ELSA,680.0,685.0,625.0,650.0,195466700
2026-01-28,ELSA,610.0,675.0,600.0,635.0,125291900
2026-01-29,ELSA,635.0,655.0,540.0,645.0,155582600
2026-01-30,ELSA,660.0,705.0,640.0,685.0,172390000
2026-02-02,ELSA,655.0,690.0,620.0,675.0,126426400
2026-02-03,ELSA,675.0,730.0,655.0,720.0,165054700
2026-02-04,ELSA,730.0,770.0,685.0,685.0,125075800
2026-02-05,ELSA,685.0,730.0,685.0,705.0,64901300
2026-02-06,ELSA,670.0,710.0,655.0,705.0,116721600
2026-02-09,ELSA,710.0,735.0,690.0,720.0,60023800
2026-02-10,ELSA,720.0,790.0,705.0,775.0,170611700
2026-02-11,ELSA,775.0,785.0,745.0,770.0,85036500
2026-02-12,ELSA,770.0,775.0,730.0,745.0,73293900
2026-02-13,ELSA,725.0,770.0,725.0,740.0,50325900
2026-02-18,ELSA,740.0,810.0,730.0,805.0,141731400
2026-02-19,ELSA,815.0,850.0,790.0,810.0,145290900
2026-02-20,ELSA,820.0,840.0,790.0,800.0,84526100
2026-02-23,ELSA,800.0,810.0,775.0,810.0,92821600
2026-02-24,ELSA,810.0,810.0,775.0,780.0,51144800
2026-02-25,ELSA,780.0,840.0,755.0,840.0,120061500
2026-02-26,ELSA,835.0,855.0,800.0,845.0,101365100
2026-02-27,ELSA,845.0,870.0,825.0,850.0,59852200
2026-03-02,ELSA,935.0,1050.0,875.0,1000.0,753363000
2026-03-03,ELSA,1000.0,1010.0,925.0,940.0,408328000
2026-03-04,ELSA,940.0,980.0,865.0,875.0,390953300
2026-03-05,ELSA,900.0,905.0,855.0,860.0,160526400
2026-03-06,ELSA,875.0,940.0,850.0,850.0,341138400
2026-03-09,ELSA,925.0,930.0,830.0,840.0,329777600
2026-03-10,ELSA,800.0,825.0,765.0,805.0,291265200
2026-03-11,ELSA,805.0,805.0,735.0,750.0,183700800
2026-03-12,ELSA,765.0,780.0,740.0,745.0,125844500
2026-03-13,ELSA,745.0,755.0,705.0,710.0,132125000
2026-03-16,ELSA,715.0,720.0,675.0,705.0,98955500
2026-03-17,ELSA,710.0,730.0,695.0,695.0,80365500
2026-03-25,ELSA,690.0,740.0,680.0,720.0,87086800
2026-03-26,ELSA,735.0,740.0,705.0,720.0,65930800
2026-03-27,ELSA,720.0,735.0,705.0,730.0,47953800
2026-03-30,ELSA,750.0,770.0,725.0,740.0,114574700
2026-03-31,ELSA,745.0,755.0,725.0,745.0,72513400
2026-04-01,ELSA,750.0,750.0,705.0,710.0,54105600
2026-04-02,ELSA,720.0,735.0,710.0,710.0,44374600
2026-04-06,ELSA,715.0,725.0,710.0,715.0,28062900
2026-04-07,ELSA,720.0,730.0,715.0,715.0,25377900
2026-04-08,ELSA,695.0,700.0,655.0,700.0,100026300
2026-04-09,ELSA,700.0,720.0,685.0,690.0,50331200
2026-04-10,ELSA,695.0,700.0,685.0,690.0,26198800
2026-04-13,ELSA,705.0,725.0,700.0,715.0,87017500
2026-04-14,ELSA,720.0,735.0,710.0,735.0,54270600
2026-04-15,ELSA,730.0,745.0,725.0,725.0,38671300
2026-04-16,ELSA,730.0,735.0,705.0,710.0,22648900
2026-04-17,ELSA,710.0,725.0,705.0,725.0,19189200
2026-04-20,ELSA,735.0,750.0,725.0,725.0,46786200
2026-04-21,ELSA,730.0,735.0,715.0,720.0,20041400
2026-04-22,ELSA,725.0,750.0,725.0,730.0,28183300
2026-04-23,ELSA,740.0,805.0,735.0,805.0,223798300
2026-04-24,ELSA,820.0,825.0,760.0,780.0,141421400
