Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,EMDE,94.0,102.0,93.0,94.0,1389500.0
2025-06-16,EMDE,94.0,95.0,91.0,94.0,516800.0
2025-06-17,EMDE,93.0,94.0,90.0,92.0,355500.0
2025-06-18,EMDE,93.0,94.0,91.0,91.0,253400.0
2025-06-19,EMDE,91.0,94.0,90.0,94.0,1363800.0
2025-06-20,EMDE,94.0,96.0,92.0,93.0,261200.0
2025-06-23,EMDE,92.0,93.0,90.0,92.0,211400.0
2025-06-24,EMDE,93.0,93.0,91.0,92.0,123500.0
2025-06-25,EMDE,92.0,94.0,91.0,92.0,45900.0
2025-06-26,EMDE,91.0,93.0,91.0,91.0,122600.0
2025-06-30,EMDE,91.0,92.0,90.0,90.0,255700.0
2025-07-01,EMDE,91.0,92.0,91.0,92.0,62300.0
2025-07-02,EMDE,92.0,92.0,90.0,91.0,72500.0
2025-07-03,EMDE,91.0,92.0,89.0,91.0,274300.0
2025-07-04,EMDE,91.0,91.0,90.0,90.0,54900.0
2025-07-07,EMDE,91.0,91.0,89.0,91.0,70400.0
2025-07-08,EMDE,91.0,91.0,89.0,91.0,97000.0
2025-07-09,EMDE,91.0,91.0,90.0,91.0,35100.0
2025-07-10,EMDE,90.0,92.0,90.0,92.0,279600.0
2025-07-11,EMDE,92.0,92.0,90.0,90.0,278000.0
2025-07-14,EMDE,91.0,93.0,90.0,90.0,212000.0
2025-07-15,EMDE,90.0,92.0,90.0,92.0,97800.0
2025-07-16,EMDE,92.0,93.0,90.0,91.0,468500.0
2025-07-17,EMDE,90.0,95.0,90.0,92.0,189700.0
2025-07-18,EMDE,93.0,94.0,91.0,92.0,148900.0
2025-07-21,EMDE,91.0,92.0,90.0,92.0,368200.0
2025-07-22,EMDE,91.0,93.0,91.0,93.0,141700.0
2025-07-23,EMDE,93.0,93.0,92.0,93.0,68600.0
2025-07-24,EMDE,93.0,93.0,91.0,91.0,96300.0
2025-07-25,EMDE,92.0,100.0,88.0,90.0,6537200.0
2025-07-28,EMDE,90.0,92.0,87.0,88.0,1762700.0
2025-07-29,EMDE,88.0,90.0,87.0,88.0,1730100.0
2025-07-30,EMDE,89.0,92.0,87.0,89.0,1526000.0
2025-07-31,EMDE,89.0,89.0,87.0,88.0,1656800.0
2025-08-01,EMDE,88.0,91.0,87.0,89.0,550900.0
2025-08-04,EMDE,89.0,91.0,87.0,89.0,757200.0
2025-08-05,EMDE,89.0,89.0,85.0,87.0,2059600.0
2025-08-06,EMDE,87.0,88.0,86.0,88.0,112100.0
2025-08-07,EMDE,88.0,91.0,88.0,91.0,2722800.0
2025-08-08,EMDE,91.0,91.0,89.0,90.0,973000.0
2025-08-11,EMDE,90.0,90.0,88.0,89.0,670700.0
2025-08-12,EMDE,89.0,91.0,87.0,89.0,684300.0
2025-08-13,EMDE,89.0,90.0,88.0,89.0,540900.0
2025-08-14,EMDE,89.0,90.0,87.0,88.0,2728000.0
2025-08-15,EMDE,89.0,90.0,88.0,89.0,723200.0
2025-08-19,EMDE,90.0,120.0,90.0,105.0,75927200.0
2025-08-20,EMDE,106.0,107.0,99.0,101.0,11004900.0
2025-08-21,EMDE,102.0,103.0,99.0,101.0,6934500.0
2025-08-22,EMDE,102.0,102.0,98.0,101.0,4060600.0
2025-08-25,EMDE,102.0,106.0,99.0,100.0,11307800.0
2025-08-26,EMDE,100.0,101.0,99.0,100.0,3705100.0
2025-08-27,EMDE,100.0,100.0,96.0,99.0,4754800.0
2025-08-28,EMDE,99.0,102.0,96.0,101.0,3969600.0
2025-08-29,EMDE,102.0,102.0,93.0,98.0,3700200.0
2025-09-01,EMDE,96.0,97.0,93.0,95.0,2724500.0
2025-09-02,EMDE,96.0,98.0,95.0,96.0,1343600.0
2025-09-03,EMDE,98.0,99.0,97.0,99.0,1574000.0
2025-09-04,EMDE,99.0,101.0,96.0,97.0,4144100.0
2025-09-08,EMDE,97.0,97.0,95.0,95.0,1684500.0
2025-09-09,EMDE,95.0,97.0,93.0,94.0,1113600.0
2025-09-10,EMDE,94.0,97.0,93.0,93.0,794700.0
2025-09-11,EMDE,94.0,106.0,93.0,100.0,9981400.0
2025-09-12,EMDE,99.0,103.0,99.0,100.0,2714900.0
2025-09-15,EMDE,102.0,104.0,98.0,99.0,7679300.0
2025-09-16,EMDE,100.0,114.0,99.0,102.0,17867900.0
2025-09-17,EMDE,102.0,106.0,101.0,101.0,5503900.0
2025-09-18,EMDE,102.0,105.0,100.0,101.0,3249100.0
2025-09-19,EMDE,101.0,102.0,99.0,100.0,2504300.0
2025-09-22,EMDE,101.0,101.0,98.0,100.0,1415600.0
2025-09-23,EMDE,100.0,102.0,99.0,99.0,2030600.0
2025-09-24,EMDE,100.0,102.0,98.0,100.0,2941100.0
2025-09-25,EMDE,102.0,104.0,98.0,100.0,3565500.0
2025-09-26,EMDE,100.0,103.0,95.0,96.0,3471800.0
2025-09-29,EMDE,96.0,98.0,95.0,98.0,3395400.0
2025-09-30,EMDE,98.0,100.0,98.0,99.0,1799900.0
2025-10-01,EMDE,99.0,100.0,97.0,98.0,1188500.0
2025-10-02,EMDE,99.0,100.0,97.0,97.0,2306300.0
