Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,ENZO,39.0,39.0,38.0,39.0,51400.0
2025-06-16,ENZO,39.0,39.0,38.0,38.0,26300.0
2025-06-17,ENZO,38.0,38.0,38.0,38.0,5800.0
2025-06-18,ENZO,38.0,38.0,35.0,38.0,6600.0
2025-06-19,ENZO,38.0,38.0,37.0,38.0,24900.0
2025-06-20,ENZO,38.0,38.0,38.0,38.0,4900.0
2025-06-23,ENZO,38.0,38.0,38.0,38.0,16700.0
2025-06-24,ENZO,38.0,38.0,38.0,38.0,5200.0
2025-06-25,ENZO,36.0,36.0,36.0,36.0,2500.0
2025-06-26,ENZO,36.0,36.0,33.0,33.0,24500.0
2025-06-30,ENZO,33.0,33.0,33.0,33.0,900.0
2025-07-01,ENZO,32.0,32.0,32.0,32.0,69900.0
2025-07-02,ENZO,32.0,32.0,32.0,32.0,0.0
2025-07-03,ENZO,32.0,35.0,32.0,35.0,82400.0
2025-07-04,ENZO,33.0,33.0,33.0,33.0,21700.0
2025-07-07,ENZO,33.0,33.0,33.0,33.0,7300.0
2025-07-08,ENZO,33.0,33.0,33.0,33.0,2300.0
2025-07-09,ENZO,33.0,33.0,33.0,33.0,90800.0
2025-07-10,ENZO,33.0,33.0,30.0,32.0,5600.0
2025-07-11,ENZO,32.0,32.0,32.0,32.0,30100.0
2025-07-14,ENZO,31.0,34.0,31.0,34.0,31100.0
2025-07-15,ENZO,34.0,34.0,31.0,31.0,239400.0
2025-07-16,ENZO,31.0,33.0,31.0,31.0,13600.0
2025-07-17,ENZO,30.0,31.0,30.0,31.0,30300.0
2025-07-18,ENZO,31.0,31.0,31.0,31.0,101100.0
2025-07-21,ENZO,31.0,31.0,31.0,31.0,13500.0
2025-07-22,ENZO,31.0,31.0,31.0,31.0,5500.0
2025-07-23,ENZO,28.0,33.0,28.0,32.0,2500.0
2025-07-24,ENZO,31.0,31.0,31.0,31.0,49000.0
2025-07-25,ENZO,31.0,31.0,31.0,31.0,22700.0
2025-07-28,ENZO,31.0,33.0,28.0,33.0,3700.0
2025-07-29,ENZO,33.0,33.0,33.0,33.0,2500.0
2025-07-30,ENZO,31.0,33.0,31.0,33.0,109000.0
2025-07-31,ENZO,36.0,36.0,36.0,36.0,182000.0
2025-08-01,ENZO,36.0,36.0,36.0,36.0,301600.0
2025-08-04,ENZO,36.0,36.0,35.0,35.0,414100.0
2025-08-05,ENZO,34.0,34.0,33.0,34.0,25800.0
2025-08-06,ENZO,34.0,34.0,34.0,34.0,332300.0
2025-08-07,ENZO,34.0,34.0,33.0,34.0,12600.0
2025-08-08,ENZO,33.0,34.0,33.0,34.0,12100.0
2025-08-11,ENZO,32.0,35.0,32.0,34.0,68900.0
2025-08-12,ENZO,34.0,34.0,34.0,34.0,14600.0
2025-08-13,ENZO,34.0,34.0,33.0,33.0,164700.0
