Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,FIRE,78.0,82.0,78.0,79.0,15037700.0
2025-06-16,FIRE,79.0,85.0,79.0,82.0,18867900.0
2025-06-17,FIRE,83.0,85.0,80.0,80.0,8319100.0
2025-06-18,FIRE,81.0,84.0,80.0,82.0,7656900.0
2025-06-19,FIRE,82.0,83.0,77.0,78.0,7470500.0
2025-06-20,FIRE,77.0,78.0,75.0,76.0,5890800.0
2025-06-23,FIRE,76.0,87.0,74.0,82.0,41459400.0
2025-06-24,FIRE,82.0,83.0,78.0,79.0,9555900.0
2025-06-25,FIRE,79.0,79.0,75.0,75.0,8872300.0
2025-06-26,FIRE,76.0,79.0,75.0,77.0,6487000.0
2025-06-30,FIRE,77.0,78.0,76.0,77.0,2794800.0
2025-07-01,FIRE,78.0,78.0,76.0,76.0,2039000.0
2025-07-02,FIRE,76.0,77.0,75.0,77.0,1499400.0
2025-07-03,FIRE,77.0,78.0,75.0,77.0,4749200.0
2025-07-04,FIRE,77.0,78.0,76.0,76.0,3452900.0
2025-07-07,FIRE,76.0,78.0,75.0,78.0,3711600.0
2025-07-08,FIRE,77.0,77.0,76.0,76.0,2553400.0
2025-07-09,FIRE,77.0,77.0,75.0,76.0,2722300.0
2025-07-10,FIRE,76.0,78.0,76.0,77.0,3392700.0
2025-07-11,FIRE,76.0,78.0,76.0,77.0,1498800.0
2025-07-14,FIRE,77.0,78.0,74.0,74.0,9795600.0
2025-07-15,FIRE,74.0,76.0,74.0,76.0,2517500.0
2025-07-16,FIRE,76.0,77.0,74.0,76.0,4786900.0
2025-07-17,FIRE,75.0,82.0,75.0,78.0,28668300.0
2025-07-18,FIRE,79.0,81.0,77.0,78.0,24917500.0
2025-07-21,FIRE,79.0,80.0,77.0,78.0,6336900.0
2025-07-22,FIRE,79.0,79.0,76.0,77.0,6196700.0
2025-07-23,FIRE,76.0,82.0,76.0,78.0,16258800.0
2025-07-24,FIRE,79.0,79.0,76.0,77.0,5300300.0
2025-07-25,FIRE,78.0,78.0,76.0,77.0,2385100.0
2025-07-28,FIRE,77.0,78.0,76.0,77.0,4236900.0
2025-07-29,FIRE,78.0,78.0,76.0,77.0,3156300.0
2025-07-30,FIRE,78.0,78.0,76.0,77.0,5184800.0
2025-07-31,FIRE,76.0,77.0,76.0,76.0,3718000.0
2025-08-01,FIRE,76.0,77.0,74.0,75.0,9387300.0
2025-08-04,FIRE,75.0,76.0,74.0,76.0,2986900.0
2025-08-05,FIRE,76.0,76.0,72.0,73.0,13621500.0
2025-08-06,FIRE,73.0,75.0,72.0,73.0,5011300.0
2025-08-07,FIRE,74.0,75.0,73.0,73.0,5852900.0
2025-08-08,FIRE,74.0,74.0,70.0,72.0,12625800.0
2025-08-11,FIRE,73.0,73.0,71.0,73.0,2226700.0
2025-08-12,FIRE,73.0,76.0,72.0,74.0,22104800.0
2025-08-13,FIRE,75.0,77.0,73.0,75.0,3896400.0
2025-08-14,FIRE,75.0,76.0,74.0,75.0,4383100.0
2025-08-15,FIRE,75.0,76.0,74.0,74.0,2027400.0
2025-08-19,FIRE,75.0,76.0,74.0,74.0,6954100.0
2025-08-20,FIRE,75.0,77.0,74.0,76.0,6901800.0
2025-08-21,FIRE,76.0,84.0,75.0,79.0,71757100.0
2025-08-22,FIRE,80.0,87.0,79.0,85.0,68730100.0
2025-08-25,FIRE,86.0,91.0,82.0,84.0,44538900.0
2025-08-26,FIRE,84.0,89.0,83.0,84.0,32492100.0
2025-08-27,FIRE,86.0,89.0,82.0,83.0,27922000.0
2025-08-28,FIRE,84.0,85.0,83.0,84.0,6689700.0
2025-08-29,FIRE,85.0,85.0,79.0,82.0,38936100.0
2025-09-01,FIRE,78.0,80.0,75.0,78.0,18335900.0
2025-09-02,FIRE,78.0,81.0,77.0,78.0,13556000.0
2025-09-03,FIRE,78.0,81.0,76.0,78.0,26888300.0
2025-09-04,FIRE,80.0,84.0,78.0,79.0,21448600.0
2025-09-08,FIRE,80.0,89.0,79.0,79.0,69724000.0
2025-09-09,FIRE,79.0,86.0,78.0,81.0,36551400.0
2025-09-10,FIRE,83.0,86.0,80.0,81.0,35534400.0
2025-09-11,FIRE,83.0,84.0,81.0,82.0,6192400.0
2025-09-12,FIRE,82.0,110.0,82.0,99.0,823923700.0
2025-09-15,FIRE,101.0,109.0,100.0,100.0,173340800.0
2025-09-16,FIRE,101.0,102.0,95.0,96.0,48319500.0
2025-09-17,FIRE,96.0,117.0,96.0,103.0,230827800.0
2025-09-18,FIRE,106.0,107.0,98.0,99.0,46368700.0
2025-09-19,FIRE,100.0,102.0,95.0,95.0,23875500.0
2025-09-22,FIRE,96.0,98.0,92.0,95.0,29267200.0
2025-09-23,FIRE,96.0,102.0,95.0,100.0,49004000.0
2025-09-24,FIRE,100.0,100.0,97.0,97.0,16853100.0
2025-09-25,FIRE,97.0,99.0,94.0,96.0,17395600.0
2025-09-26,FIRE,97.0,99.0,96.0,96.0,9961400.0
2025-09-29,FIRE,96.0,98.0,96.0,98.0,9163100.0
2025-09-30,FIRE,98.0,103.0,96.0,96.0,24666000.0
2025-10-01,FIRE,96.0,98.0,96.0,96.0,8525100.0
2025-10-02,FIRE,97.0,101.0,96.0,100.0,21416200.0
2025-10-03,FIRE,100.0,102.0,98.0,98.0,13935100.0
2025-10-06,FIRE,98.0,99.0,91.0,92.0,26950800.0
2025-10-07,FIRE,93.0,96.0,90.0,94.0,23988900.0
2025-10-08,FIRE,94.0,95.0,91.0,92.0,10597600.0
2025-10-09,FIRE,92.0,93.0,90.0,90.0,7168500.0
2025-10-10,FIRE,90.0,93.0,88.0,91.0,20492600.0
2025-10-13,FIRE,90.0,90.0,86.0,88.0,12162300.0
2025-10-14,FIRE,89.0,93.0,85.0,85.0,23017300.0
2025-10-15,FIRE,85.0,87.0,78.0,79.0,25075200.0
2025-10-16,FIRE,79.0,82.0,79.0,81.0,5629300.0
2025-10-17,FIRE,81.0,82.0,76.0,77.0,8273900.0
2025-10-20,FIRE,77.0,79.0,75.0,77.0,9891700.0
2025-10-21,FIRE,77.0,84.0,77.0,81.0,15741400.0
2025-10-22,FIRE,82.0,87.0,82.0,85.0,16512800.0
2025-10-23,FIRE,84.0,87.0,83.0,84.0,8813700.0
2025-10-24,FIRE,84.0,92.0,84.0,85.0,37944300.0
2025-10-27,FIRE,85.0,86.0,81.0,82.0,8321000.0
2025-10-28,FIRE,82.0,89.0,82.0,83.0,24768100.0
2025-10-29,FIRE,84.0,86.0,83.0,86.0,5967500.0
2025-10-30,FIRE,87.0,90.0,84.0,85.0,25146700.0
2025-10-31,FIRE,84.0,85.0,83.0,84.0,3132300.0
2025-11-03,FIRE,84.0,85.0,83.0,83.0,3410600.0
2025-11-04,FIRE,83.0,85.0,81.0,82.0,5525500.0
2025-11-05,FIRE,83.0,87.0,82.0,86.0,25958700.0
2025-11-06,FIRE,86.0,86.0,83.0,84.0,8869200.0
2025-11-07,FIRE,83.0,84.0,82.0,83.0,3409200.0
2025-11-10,FIRE,84.0,88.0,82.0,88.0,9697400.0
2025-11-11,FIRE,107.0,112.0,91.0,97.0,273573400.0
2025-11-12,FIRE,95.0,96.0,89.0,92.0,57680700.0
2025-11-13,FIRE,93.0,101.0,91.0,93.0,81283700.0
2025-11-14,FIRE,94.0,98.0,90.0,91.0,30758400.0
2025-11-17,FIRE,91.0,92.0,89.0,90.0,18060200.0
2025-11-18,FIRE,92.0,92.0,87.0,90.0,14398600.0
2025-11-19,FIRE,88.0,103.0,88.0,93.0,135147700.0
2025-11-20,FIRE,94.0,97.0,90.0,91.0,21122500.0
2025-11-21,FIRE,92.0,95.0,91.0,92.0,13673600.0
2025-11-24,FIRE,93.0,97.0,92.0,94.0,32098800.0
2025-11-25,FIRE,95.0,99.0,94.0,97.0,29028900.0
2025-11-26,FIRE,98.0,99.0,95.0,96.0,13446700.0
2025-11-27,FIRE,96.0,97.0,92.0,93.0,10096600.0
2025-11-28,FIRE,94.0,94.0,91.0,93.0,7505800.0
2025-12-01,FIRE,94.0,98.0,92.0,96.0,16807500.0
2025-12-02,FIRE,97.0,98.0,94.0,96.0,8785100.0
2025-12-03,FIRE,96.0,97.0,94.0,94.0,8039200.0
2025-12-04,FIRE,94.0,95.0,93.0,95.0,6484500.0
2025-12-05,FIRE,96.0,100.0,94.0,98.0,34127000.0
2025-12-08,FIRE,98.0,100.0,96.0,97.0,15235600.0
2025-12-09,FIRE,98.0,130.0,98.0,130.0,441644900.0
2025-12-10,FIRE,150.0,166.0,122.0,144.0,695572100.0
2025-12-11,FIRE,144.0,163.0,138.0,149.0,229926100.0
2025-12-12,FIRE,155.0,155.0,141.0,141.0,41840200.0
2025-12-15,FIRE,140.0,149.0,134.0,138.0,41100400.0
2025-12-16,FIRE,138.0,140.0,134.0,134.0,18860700.0
2025-12-17,FIRE,139.0,162.0,138.0,145.0,141536600.0
2025-12-18,FIRE,148.0,156.0,138.0,139.0,65658200.0
2025-12-19,FIRE,140.0,148.0,127.0,132.0,28545300.0
2025-12-22,FIRE,134.0,175.0,133.0,158.0,616570900.0
2025-12-23,FIRE,159.0,177.0,151.0,155.0,200157800.0
2025-12-24,FIRE,157.0,189.0,145.0,154.0,365798100.0
2025-12-29,FIRE,155.0,169.0,155.0,167.0,87404100.0
2025-12-30,FIRE,169.0,182.0,165.0,167.0,130189800.0
2026-01-02,FIRE,170.0,178.0,167.0,174.0,52057900.0
2026-01-05,FIRE,175.0,234.0,175.0,234.0,245825000.0
2026-01-06,FIRE,234.0,234.0,234.0,234.0,0.0
2026-01-07,FIRE,240.0,288.0,240.0,258.0,182257200.0
2026-01-08,FIRE,258.0,258.0,258.0,258.0,0.0
2026-01-09,FIRE,258.0,258.0,258.0,258.0,0.0
2026-01-12,FIRE,258.0,258.0,258.0,258.0,0.0
2026-01-13,FIRE,258.0,258.0,258.0,258.0,0.0
2026-01-14,FIRE,258.0,258.0,258.0,258.0,0.0
2026-01-15,FIRE,258.0,258.0,258.0,258.0,0.0
2026-01-19,FIRE,258.0,258.0,258.0,258.0,0.0
2026-01-20,FIRE,258.0,258.0,258.0,258.0,0.0
2026-01-21,FIRE,238.0,238.0,234.0,234.0,10312800.0
2026-01-22,FIRE,212.0,212.0,212.0,212.0,9324900.0
2026-01-23,FIRE,191.0,191.0,191.0,191.0,6423300.0
2026-01-26,FIRE,191.0,197.0,174.0,174.0,14372100.0
2026-01-27,FIRE,165.0,167.0,165.0,167.0,11053300.0
2026-01-28,FIRE,153.0,153.0,151.0,151.0,6908600.0
2026-01-29,FIRE,136.0,151.0,136.0,151.0,13287000.0
2026-01-30,FIRE,151.0,202.0,138.0,202.0,157566400.0
2026-02-02,FIRE,216.0,238.0,172.0,172.0,151752700.0
2026-02-03,FIRE,170.0,196.0,157.0,185.0,80362400.0
2026-02-04,FIRE,185.0,206.0,168.0,168.0,52429000.0
2026-02-05,FIRE,171.0,192.0,161.0,167.0,41693800.0
2026-02-06,FIRE,160.0,167.0,151.0,155.0,20449000.0
2026-02-09,FIRE,158.0,167.0,142.0,160.0,18246900.0
2026-02-10,FIRE,166.0,176.0,156.0,166.0,19844400.0
2026-02-11,FIRE,173.0,189.0,165.0,173.0,63205300.0
2026-02-12,FIRE,175.0,180.0,166.0,168.0,20063500.0
2026-02-13,FIRE,166.0,172.0,165.0,167.0,13108500.0
2026-02-18,FIRE,168.0,192.0,167.0,181.0,49170600.0
2026-02-19,FIRE,184.0,192.0,178.0,181.0,35508500.0
2026-02-20,FIRE,184.0,187.0,177.0,181.0,17339400.0
2026-02-23,FIRE,181.0,226.0,181.0,202.0,214671900.0
2026-02-24,FIRE,202.0,202.0,182.0,182.0,38306000.0
2026-02-25,FIRE,182.0,188.0,175.0,182.0,19533500.0
2026-02-26,FIRE,189.0,191.0,166.0,173.0,26958800.0
2026-02-27,FIRE,174.0,183.0,168.0,176.0,17603700.0
2026-03-02,FIRE,160.0,192.0,156.0,166.0,52354600.0
2026-03-03,FIRE,185.0,189.0,170.0,174.0,38596300.0
2026-03-04,FIRE,175.0,178.0,156.0,159.0,24642900.0
2026-03-05,FIRE,163.0,171.0,162.0,167.0,8878000.0
2026-03-06,FIRE,167.0,169.0,155.0,158.0,10991000.0
2026-03-09,FIRE,146.0,149.0,136.0,144.0,21240600.0
2026-03-10,FIRE,149.0,161.0,144.0,147.0,17145100.0
2026-03-11,FIRE,147.0,156.0,147.0,155.0,7306000.0
2026-03-12,FIRE,155.0,156.0,146.0,147.0,6248200.0
2026-03-13,FIRE,147.0,147.0,134.0,134.0,7853000.0
2026-03-16,FIRE,134.0,142.0,120.0,135.0,13996100.0
2026-03-17,FIRE,140.0,144.0,133.0,133.0,4652900.0
2026-03-25,FIRE,133.0,143.0,130.0,142.0,7896500.0
2026-03-26,FIRE,144.0,150.0,135.0,135.0,5753900.0
2026-03-27,FIRE,141.0,141.0,133.0,133.0,4149600.0
2026-03-30,FIRE,133.0,133.0,126.0,129.0,4629400.0
2026-03-31,FIRE,129.0,133.0,125.0,129.0,4233800.0
2026-04-01,FIRE,133.0,162.0,133.0,149.0,87846800.0
2026-04-02,FIRE,152.0,152.0,138.0,138.0,15372800.0
2026-04-06,FIRE,138.0,150.0,135.0,145.0,14138600.0
2026-04-07,FIRE,149.0,152.0,142.0,142.0,11053900.0
2026-04-08,FIRE,150.0,153.0,146.0,152.0,12839700.0
2026-04-09,FIRE,154.0,154.0,146.0,148.0,6560100.0
2026-04-10,FIRE,148.0,164.0,147.0,152.0,19561700.0
2026-04-13,FIRE,152.0,155.0,145.0,153.0,7987200.0
2026-04-14,FIRE,154.0,160.0,154.0,156.0,11559600.0
2026-04-15,FIRE,160.0,160.0,153.0,155.0,6602000.0
2026-04-16,FIRE,155.0,157.0,151.0,152.0,4242900.0
2026-04-17,FIRE,152.0,155.0,151.0,153.0,3407700.0
2026-04-20,FIRE,153.0,156.0,147.0,148.0,4328400.0
2026-04-21,FIRE,148.0,151.0,144.0,146.0,4381300.0
2026-04-22,FIRE,146.0,161.0,146.0,154.0,25557900.0
2026-04-23,FIRE,155.0,158.0,149.0,153.0,13379800.0
2026-04-24,FIRE,151.0,152.0,141.0,142.0,9679400.0
2026-04-27,FIRE,146.0,146.0,137.0,141.0,5082900.0
2026-04-28,FIRE,141.0,145.0,138.0,141.0,3312700.0
2026-04-29,FIRE,141.0,144.0,140.0,142.0,3805900.0
2026-04-30,FIRE,142.0,144.0,136.0,138.0,5294600.0
2026-05-04,FIRE,139.0,143.0,135.0,138.0,3507600.0
2026-05-05,FIRE,138.0,142.0,136.0,138.0,4132400.0
2026-05-06,FIRE,138.0,140.0,136.0,136.0,4620900.0
2026-05-07,FIRE,136.0,140.0,136.0,138.0,5120900.0
2026-05-08,FIRE,139.0,139.0,133.0,136.0,2971400.0
2026-05-11,FIRE,174.0,178.0,138.0,138.0,371163500.0
2026-05-12,FIRE,130.0,154.0,130.0,131.0,113456900.0
2026-05-13,FIRE,132.0,163.0,130.0,152.0,317196600.0
2026-05-14,FIRE,152.0,152.0,152.0,152.0,0.0
2026-05-15,FIRE,152.0,152.0,152.0,152.0,0.0
2026-05-18,FIRE,166.0,168.0,138.0,138.0,171525800.0
2026-05-19,FIRE,140.0,142.0,122.0,127.0,50188300.0
2026-05-20,FIRE,124.0,129.0,115.0,118.0,25139500.0
2026-05-21,FIRE,119.0,122.0,101.0,101.0,24027700.0
2026-05-22,FIRE,100.0,113.0,98.0,108.0,15809900.0
2026-05-25,FIRE,108.0,115.0,105.0,105.0,7585000.0
2026-05-26,FIRE,106.0,126.0,106.0,108.0,56506500.0
2026-05-27,FIRE,108.0,108.0,108.0,108.0,0.0
2026-05-28,FIRE,108.0,108.0,108.0,108.0,0.0
2026-05-29,FIRE,106.0,112.0,105.0,107.0,9862800.0
2026-06-02,FIRE,108.0,118.0,107.0,109.0,22849300.0
2026-06-03,FIRE,109.0,113.0,100.0,103.0,9933200.0
2026-06-04,FIRE,100.0,103.0,93.0,97.0,9719500.0
2026-06-05,FIRE,99.0,100.0,91.0,91.0,3738300.0
2026-06-08,FIRE,91.0,91.0,82.0,86.0,5250800.0
2026-06-09,FIRE,87.0,104.0,83.0,103.0,11059800.0
2026-06-10,FIRE,100.0,104.0,95.0,100.0,7992900.0
2026-06-11,FIRE,101.0,116.0,98.0,106.0,25387900.0
