Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,FORU,1550.0,1565.0,1515.0,1545.0,183300.0
2025-06-16,FORU,1545.0,1565.0,1475.0,1495.0,597000.0
2025-06-17,FORU,1495.0,1525.0,1450.0,1470.0,262600.0
2025-06-18,FORU,1470.0,1500.0,1435.0,1455.0,206900.0
2025-06-19,FORU,1450.0,1450.0,1240.0,1350.0,716200.0
2025-06-20,FORU,1345.0,1350.0,1150.0,1305.0,520300.0
2025-06-23,FORU,1275.0,1335.0,1120.0,1335.0,451000.0
2025-06-24,FORU,1340.0,1475.0,1335.0,1350.0,153300.0
2025-06-25,FORU,1360.0,1470.0,1360.0,1410.0,96800.0
2025-06-26,FORU,1445.0,1445.0,1355.0,1410.0,84100.0
2025-06-30,FORU,1420.0,1420.0,1355.0,1360.0,51900.0
2025-07-01,FORU,1385.0,1400.0,1335.0,1345.0,50800.0
2025-07-02,FORU,1340.0,1420.0,1310.0,1320.0,128200.0
2025-07-03,FORU,1320.0,1350.0,1250.0,1335.0,102300.0
2025-07-04,FORU,1300.0,1335.0,1275.0,1320.0,120700.0
2025-07-07,FORU,1290.0,1330.0,1170.0,1290.0,115800.0
2025-07-08,FORU,1290.0,1305.0,1250.0,1250.0,155400.0
2025-07-09,FORU,1340.0,1340.0,1250.0,1290.0,117100.0
2025-07-10,FORU,1260.0,1300.0,1210.0,1270.0,166100.0
2025-07-11,FORU,1260.0,1265.0,1200.0,1245.0,140900.0
2025-07-14,FORU,1245.0,1280.0,1245.0,1250.0,216800.0
2025-07-15,FORU,1250.0,1265.0,1230.0,1255.0,91800.0
2025-07-16,FORU,1255.0,1265.0,1235.0,1250.0,36100.0
2025-07-17,FORU,1250.0,1485.0,1250.0,1365.0,472000.0
2025-07-18,FORU,1370.0,1410.0,1260.0,1300.0,266900.0
2025-07-21,FORU,1300.0,1325.0,1250.0,1270.0,97500.0
2025-07-22,FORU,1270.0,1320.0,1235.0,1235.0,181100.0
2025-07-23,FORU,1260.0,1260.0,1220.0,1250.0,96900.0
2025-07-24,FORU,1250.0,1270.0,1230.0,1240.0,440700.0
2025-07-25,FORU,1240.0,1275.0,1240.0,1255.0,55700.0
2025-07-28,FORU,1260.0,1380.0,1255.0,1260.0,230100.0
2025-07-29,FORU,1285.0,1360.0,1240.0,1285.0,236000.0
2025-07-30,FORU,1345.0,1345.0,1260.0,1295.0,142500.0
2025-07-31,FORU,1250.0,1325.0,1250.0,1255.0,218300.0
2025-08-01,FORU,1170.0,1255.0,1170.0,1235.0,195800.0
2025-08-04,FORU,1235.0,1255.0,1175.0,1200.0,241200.0
2025-08-05,FORU,1180.0,1270.0,1175.0,1220.0,133200.0
2025-08-06,FORU,1305.0,1525.0,1250.0,1525.0,2746500.0
2025-08-07,FORU,1605.0,1880.0,1550.0,1720.0,5725900.0
2025-08-08,FORU,1740.0,1740.0,1465.0,1465.0,1095400.0
2025-08-11,FORU,1475.0,1595.0,1445.0,1455.0,759300.0
2025-08-12,FORU,1480.0,1490.0,1350.0,1380.0,531900.0
2025-08-13,FORU,1390.0,1600.0,1340.0,1370.0,1064400.0
2025-08-14,FORU,1380.0,1385.0,1250.0,1280.0,911300.0
2025-08-15,FORU,1280.0,1330.0,1135.0,1230.0,1458100.0
2025-08-19,FORU,1235.0,1275.0,1190.0,1220.0,581100.0
2025-08-20,FORU,1240.0,1255.0,1185.0,1250.0,580900.0
2025-08-21,FORU,1250.0,1250.0,1185.0,1200.0,582000.0
2025-08-22,FORU,1205.0,1205.0,1160.0,1190.0,553900.0
2025-08-25,FORU,1190.0,1245.0,1150.0,1200.0,849500.0
2025-08-26,FORU,1205.0,1240.0,1160.0,1200.0,698800.0
2025-08-27,FORU,1200.0,1215.0,1150.0,1175.0,711000.0
2025-08-28,FORU,1175.0,1260.0,1175.0,1210.0,612800.0
2025-08-29,FORU,1250.0,1250.0,1150.0,1210.0,577500.0
2025-09-01,FORU,1150.0,1195.0,1125.0,1165.0,366300.0
2025-09-02,FORU,1165.0,1190.0,1140.0,1175.0,115900.0
2025-09-03,FORU,1175.0,1200.0,1165.0,1170.0,240300.0
2025-09-04,FORU,1170.0,1240.0,1165.0,1170.0,319200.0
2025-09-08,FORU,1200.0,1230.0,1130.0,1160.0,297100.0
2025-09-09,FORU,1160.0,1180.0,1120.0,1160.0,306200.0
2025-09-10,FORU,1170.0,1200.0,1140.0,1175.0,149600.0
2025-09-11,FORU,1175.0,1195.0,1150.0,1180.0,139500.0
2025-09-12,FORU,1180.0,1195.0,1150.0,1165.0,476700.0
2025-09-15,FORU,1190.0,1190.0,1140.0,1160.0,282500.0
2025-09-16,FORU,1160.0,1165.0,1150.0,1150.0,160800.0
2025-09-17,FORU,1155.0,1255.0,1150.0,1195.0,830600.0
2025-09-18,FORU,1215.0,1400.0,1190.0,1260.0,1951600.0
2025-09-19,FORU,1275.0,1320.0,1230.0,1260.0,227600.0
2025-09-22,FORU,1300.0,1305.0,1225.0,1270.0,433100.0
2025-09-23,FORU,1265.0,1300.0,1190.0,1255.0,775600.0
2025-09-24,FORU,1245.0,1295.0,1185.0,1255.0,296000.0
2025-09-25,FORU,1255.0,1255.0,1185.0,1200.0,229800.0
2025-09-26,FORU,1200.0,1240.0,1175.0,1200.0,105700.0
2025-09-29,FORU,1200.0,1275.0,1185.0,1200.0,241300.0
2025-09-30,FORU,1225.0,1225.0,1175.0,1175.0,138500.0
2025-10-01,FORU,1180.0,1180.0,1160.0,1170.0,161700.0
2025-10-02,FORU,1170.0,1175.0,1100.0,1120.0,527700.0
2025-10-03,FORU,1120.0,1120.0,1080.0,1080.0,371600.0
2025-10-06,FORU,1080.0,1100.0,1015.0,1040.0,780100.0
2025-10-07,FORU,1005.0,1110.0,1005.0,1055.0,645500.0
2025-10-08,FORU,1110.0,1110.0,1005.0,1045.0,256000.0
2025-10-09,FORU,1045.0,1235.0,1010.0,1060.0,668800.0
2025-10-10,FORU,1045.0,1190.0,1010.0,1140.0,683700.0
2025-10-13,FORU,1140.0,1235.0,1085.0,1140.0,568500.0
2025-10-14,FORU,1180.0,1215.0,1080.0,1135.0,211900.0
2025-10-15,FORU,1100.0,1135.0,1090.0,1090.0,294200.0
2025-10-16,FORU,1090.0,1115.0,1070.0,1085.0,106900.0
2025-10-17,FORU,1075.0,1115.0,1040.0,1050.0,124800.0
2025-10-20,FORU,1095.0,1125.0,1070.0,1120.0,102200.0
2025-10-21,FORU,1120.0,1170.0,1095.0,1135.0,131200.0
2025-10-22,FORU,1135.0,1160.0,1050.0,1145.0,208100.0
2025-10-23,FORU,1145.0,1200.0,1145.0,1170.0,255500.0
2025-10-24,FORU,1170.0,1195.0,1155.0,1155.0,73400.0
2025-10-27,FORU,1155.0,1285.0,1105.0,1170.0,902300.0
2025-10-28,FORU,1175.0,1175.0,1120.0,1160.0,129600.0
2025-10-29,FORU,1155.0,1195.0,1130.0,1150.0,156200.0
2025-10-30,FORU,1150.0,1210.0,1145.0,1205.0,236700.0
2025-10-31,FORU,1215.0,1220.0,1185.0,1220.0,180000.0
2025-11-03,FORU,1220.0,1265.0,1155.0,1240.0,271900.0
2025-11-04,FORU,1240.0,1260.0,1155.0,1190.0,312800.0
2025-11-05,FORU,1190.0,1190.0,1125.0,1155.0,108400.0
2025-11-06,FORU,1155.0,1165.0,1140.0,1160.0,92200.0
2025-11-07,FORU,1175.0,1175.0,1080.0,1140.0,123900.0
2025-11-10,FORU,1160.0,1160.0,1130.0,1140.0,138500.0
2025-11-11,FORU,1140.0,1145.0,1110.0,1120.0,121000.0
2025-11-12,FORU,1120.0,1140.0,1100.0,1115.0,95800.0
2025-11-13,FORU,1130.0,1130.0,1090.0,1120.0,57000.0
2025-11-14,FORU,1105.0,1130.0,1105.0,1120.0,27000.0
2025-11-17,FORU,1150.0,1150.0,1100.0,1110.0,127900.0
2025-11-18,FORU,1125.0,1125.0,1030.0,1060.0,245200.0
2025-11-19,FORU,1065.0,1080.0,1055.0,1065.0,77000.0
2025-11-20,FORU,1085.0,1085.0,1070.0,1080.0,82300.0
2025-11-21,FORU,1070.0,1100.0,1060.0,1085.0,38000.0
2025-11-24,FORU,1080.0,1165.0,1040.0,1080.0,176600.0
2025-11-25,FORU,1110.0,1110.0,990.0,1045.0,385500.0
2025-11-26,FORU,1045.0,1045.0,1020.0,1035.0,100600.0
2025-11-27,FORU,1050.0,1060.0,1025.0,1025.0,115000.0
2025-11-28,FORU,1045.0,1060.0,1000.0,1025.0,133000.0
2025-12-01,FORU,1045.0,1060.0,1020.0,1020.0,174600.0
2025-12-02,FORU,1040.0,1060.0,1010.0,1030.0,120500.0
2025-12-03,FORU,1040.0,1075.0,1000.0,1030.0,423600.0
2025-12-04,FORU,1015.0,1045.0,1000.0,1020.0,85900.0
2025-12-05,FORU,1035.0,1035.0,1005.0,1010.0,68800.0
2025-12-08,FORU,1045.0,1045.0,1005.0,1025.0,98500.0
2025-12-09,FORU,1010.0,1035.0,1005.0,1015.0,144200.0
2025-12-10,FORU,1015.0,1035.0,985.0,1005.0,338300.0
2025-12-11,FORU,1035.0,1255.0,1030.0,1255.0,1906600.0
2025-12-12,FORU,1565.0,1565.0,1370.0,1565.0,6596500.0
2025-12-15,FORU,1620.0,1675.0,1335.0,1335.0,2660200.0
2025-12-16,FORU,1260.0,1385.0,1200.0,1330.0,1453500.0
2025-12-17,FORU,1310.0,1365.0,1225.0,1270.0,993400.0
2025-12-18,FORU,1310.0,1585.0,1305.0,1585.0,3056000.0
2025-12-19,FORU,1650.0,1980.0,1445.0,1695.0,4460900.0
2025-12-22,FORU,1695.0,1695.0,1495.0,1530.0,1490900.0
2025-12-23,FORU,1530.0,1695.0,1460.0,1540.0,1112200.0
2025-12-24,FORU,1540.0,1615.0,1485.0,1510.0,853200.0
2025-12-29,FORU,1555.0,1720.0,1495.0,1690.0,845500.0
2025-12-30,FORU,1700.0,1700.0,1625.0,1680.0,416900.0
2026-01-02,FORU,1670.0,1865.0,1655.0,1670.0,396000.0
2026-01-05,FORU,1700.0,1750.0,1660.0,1670.0,312800.0
2026-01-06,FORU,1700.0,2000.0,1700.0,1790.0,1405000.0
2026-01-07,FORU,1710.0,1870.0,1710.0,1795.0,565400.0
2026-01-08,FORU,1815.0,1815.0,1705.0,1750.0,197800.0
2026-01-09,FORU,1760.0,1795.0,1700.0,1710.0,60300.0
2026-01-12,FORU,1710.0,1830.0,1695.0,1735.0,603100.0
2026-01-13,FORU,1785.0,1830.0,1705.0,1790.0,274200.0
2026-01-14,FORU,1820.0,1900.0,1750.0,1790.0,424600.0
2026-01-15,FORU,1805.0,1850.0,1735.0,1775.0,312800.0
2026-01-19,FORU,1775.0,1795.0,1700.0,1750.0,496300.0
2026-01-20,FORU,1745.0,1755.0,1685.0,1725.0,452600.0
2026-01-21,FORU,1790.0,1790.0,1695.0,1715.0,319400.0
2026-01-22,FORU,1725.0,1725.0,1660.0,1680.0,71900.0
2026-01-23,FORU,1640.0,1775.0,1510.0,1560.0,359300.0
2026-01-26,FORU,1560.0,1615.0,1425.0,1500.0,343900.0
2026-01-27,FORU,1500.0,1585.0,1460.0,1500.0,90200.0
2026-01-28,FORU,1500.0,1585.0,1340.0,1495.0,440600.0
2026-01-29,FORU,1495.0,1495.0,1275.0,1420.0,310300.0
2026-01-30,FORU,1415.0,1590.0,1380.0,1575.0,163300.0
