Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,GEMS,9175.0,9275.0,9050.0,9250.0,313500.0
2025-06-16,GEMS,9250.0,9350.0,9225.0,9250.0,207800.0
2025-06-17,GEMS,9250.0,9250.0,9150.0,9225.0,142900.0
2025-06-18,GEMS,9225.0,9250.0,9100.0,9125.0,172200.0
2025-06-19,GEMS,9175.0,9175.0,9050.0,9100.0,170500.0
2025-06-20,GEMS,9100.0,9175.0,9000.0,9175.0,140900.0
2025-06-23,GEMS,9100.0,9300.0,8850.0,9250.0,523700.0
2025-06-24,GEMS,9225.0,9275.0,9125.0,9200.0,178900.0
2025-06-25,GEMS,9200.0,9250.0,9100.0,9100.0,141000.0
2025-06-26,GEMS,9100.0,9225.0,9100.0,9175.0,108200.0
2025-06-30,GEMS,9175.0,9225.0,9050.0,9125.0,138300.0
2025-07-01,GEMS,9125.0,9175.0,9050.0,9175.0,155500.0
2025-07-02,GEMS,9175.0,9200.0,8875.0,8975.0,359900.0
2025-07-03,GEMS,9050.0,9050.0,8900.0,9000.0,94700.0
2025-07-04,GEMS,9000.0,9025.0,8950.0,8975.0,46800.0
2025-07-07,GEMS,8975.0,9000.0,8850.0,8950.0,73700.0
2025-07-08,GEMS,8975.0,9025.0,8975.0,8975.0,47300.0
2025-07-09,GEMS,9000.0,9075.0,8950.0,9025.0,52500.0
2025-07-10,GEMS,9025.0,9100.0,9000.0,9025.0,146300.0
2025-07-11,GEMS,9025.0,9125.0,9025.0,9125.0,138900.0
2025-07-14,GEMS,9125.0,9150.0,9100.0,9150.0,163000.0
2025-07-15,GEMS,9150.0,9375.0,9075.0,9325.0,603800.0
2025-07-16,GEMS,9325.0,9525.0,9325.0,9475.0,427700.0
2025-07-17,GEMS,9475.0,9475.0,9350.0,9350.0,86700.0
2025-07-18,GEMS,9400.0,9400.0,9300.0,9300.0,124900.0
2025-07-21,GEMS,9300.0,9350.0,9225.0,9275.0,115300.0
2025-07-22,GEMS,9275.0,9350.0,9250.0,9275.0,102900.0
2025-07-23,GEMS,9300.0,9375.0,9275.0,9350.0,118500.0
2025-07-24,GEMS,9375.0,9400.0,9375.0,9375.0,158200.0
2025-07-25,GEMS,9425.0,9450.0,9375.0,9375.0,97700.0
2025-07-28,GEMS,9425.0,9450.0,9400.0,9400.0,159000.0
2025-07-29,GEMS,9400.0,9450.0,9375.0,9400.0,93500.0
2025-07-30,GEMS,9375.0,9450.0,9275.0,9275.0,188600.0
2025-07-31,GEMS,9300.0,9325.0,9150.0,9150.0,215900.0
2025-08-01,GEMS,9200.0,9250.0,9150.0,9150.0,103800.0
2025-08-04,GEMS,9175.0,9200.0,9075.0,9075.0,141200.0
2025-08-05,GEMS,9100.0,9175.0,9075.0,9100.0,134200.0
2025-08-06,GEMS,9125.0,9175.0,9100.0,9125.0,73100.0
2025-08-07,GEMS,9150.0,9175.0,9125.0,9175.0,108600.0
2025-08-08,GEMS,9150.0,9650.0,9100.0,9375.0,644400.0
2025-08-11,GEMS,9500.0,9500.0,9200.0,9400.0,278100.0
2025-08-12,GEMS,9475.0,9475.0,9125.0,9300.0,422300.0
2025-08-13,GEMS,9300.0,9350.0,9175.0,9200.0,198300.0
2025-08-14,GEMS,9200.0,9300.0,9200.0,9250.0,79500.0
2025-08-15,GEMS,9250.0,9300.0,9200.0,9200.0,153100.0
2025-08-19,GEMS,9250.0,9350.0,9200.0,9325.0,202800.0
2025-08-20,GEMS,9350.0,9350.0,9250.0,9275.0,106500.0
2025-08-21,GEMS,9275.0,9325.0,9150.0,9275.0,181300.0
2025-08-22,GEMS,9275.0,9350.0,9250.0,9350.0,100500.0
2025-08-25,GEMS,9400.0,9425.0,9300.0,9350.0,131000.0
2025-08-26,GEMS,9300.0,9375.0,9275.0,9325.0,92900.0
2025-08-27,GEMS,9325.0,9425.0,9250.0,9400.0,186400.0
2025-08-28,GEMS,9400.0,9425.0,9350.0,9400.0,154100.0
2025-08-29,GEMS,9375.0,9400.0,9150.0,9250.0,202700.0
2025-09-01,GEMS,9100.0,9275.0,8950.0,9200.0,267700.0
2025-09-02,GEMS,9200.0,9325.0,9200.0,9300.0,54400.0
2025-09-03,GEMS,9300.0,9550.0,9100.0,9200.0,477300.0
2025-09-04,GEMS,9225.0,9250.0,9150.0,9200.0,182500.0
2025-09-08,GEMS,9200.0,9225.0,9125.0,9125.0,128900.0
2025-09-09,GEMS,9150.0,9200.0,8975.0,9000.0,209800.0
2025-09-10,GEMS,9000.0,9000.0,8950.0,8975.0,132900.0
2025-09-11,GEMS,9000.0,9100.0,9000.0,9000.0,219400.0
2025-09-12,GEMS,9050.0,9100.0,9025.0,9075.0,76800.0
2025-09-15,GEMS,9100.0,9125.0,9050.0,9050.0,92400.0
2025-09-16,GEMS,9050.0,9100.0,9000.0,9000.0,96800.0
2025-09-17,GEMS,9000.0,9125.0,8975.0,9000.0,154300.0
2025-09-18,GEMS,9000.0,9050.0,8900.0,8975.0,248600.0
2025-09-19,GEMS,9000.0,9050.0,8975.0,9000.0,45900.0
2025-09-22,GEMS,9000.0,9050.0,8950.0,8950.0,119200.0
2025-09-23,GEMS,8975.0,9025.0,8975.0,9000.0,98300.0
2025-09-24,GEMS,9000.0,9050.0,8950.0,8950.0,62300.0
2025-09-25,GEMS,8950.0,9000.0,8950.0,8950.0,48600.0
2025-09-26,GEMS,8975.0,8975.0,8925.0,8975.0,54600.0
2025-09-29,GEMS,8975.0,9000.0,8925.0,8950.0,88900.0
2025-09-30,GEMS,8950.0,8950.0,8875.0,8950.0,146400.0
2025-10-01,GEMS,8975.0,8975.0,8875.0,8900.0,78200.0
2025-10-02,GEMS,8900.0,8950.0,8850.0,8875.0,147400.0
2025-10-03,GEMS,8875.0,8950.0,8850.0,8850.0,73200.0
2025-10-06,GEMS,8850.0,8975.0,8825.0,8950.0,151900.0
2025-10-07,GEMS,8950.0,8975.0,8850.0,8900.0,108900.0
2025-10-08,GEMS,8925.0,8950.0,8850.0,8875.0,102300.0
2025-10-09,GEMS,8875.0,9100.0,8875.0,9000.0,226300.0
2025-10-10,GEMS,9025.0,9100.0,8975.0,9025.0,75200.0
2025-10-13,GEMS,9025.0,9125.0,8925.0,8950.0,112500.0
2025-10-14,GEMS,8950.0,9000.0,8825.0,8825.0,155100.0
2025-10-15,GEMS,8825.0,8900.0,8650.0,8800.0,217900.0
2025-10-16,GEMS,8850.0,8900.0,8750.0,8850.0,53300.0
2025-10-17,GEMS,8850.0,8925.0,8825.0,8875.0,61600.0
2025-10-20,GEMS,8875.0,8950.0,8875.0,8875.0,43000.0
2025-10-21,GEMS,8900.0,8950.0,8875.0,8900.0,76000.0
2025-10-22,GEMS,8950.0,8950.0,8850.0,8900.0,44100.0
2025-10-23,GEMS,8900.0,8950.0,8875.0,8900.0,61400.0
2025-10-24,GEMS,8900.0,9000.0,8875.0,8975.0,86100.0
2025-10-27,GEMS,8975.0,9050.0,8875.0,8950.0,120100.0
2025-10-28,GEMS,8900.0,8950.0,8875.0,8900.0,136400.0
2025-10-29,GEMS,8900.0,8950.0,8900.0,8900.0,69900.0
2025-10-30,GEMS,8900.0,9075.0,8900.0,9075.0,101600.0
2025-10-31,GEMS,9075.0,9100.0,9000.0,9050.0,76400.0
2025-11-03,GEMS,9050.0,9275.0,9050.0,9050.0,184900.0
2025-11-04,GEMS,9050.0,9075.0,9000.0,9025.0,52000.0
2025-11-05,GEMS,9075.0,9075.0,8925.0,9000.0,143900.0
2025-11-06,GEMS,8900.0,9100.0,8900.0,9025.0,106200.0
2025-11-07,GEMS,9100.0,9375.0,9075.0,9275.0,435100.0
2025-11-10,GEMS,9275.0,9325.0,9150.0,9175.0,112100.0
2025-11-11,GEMS,9175.0,9200.0,8975.0,9075.0,184600.0
2025-11-12,GEMS,9050.0,9075.0,8975.0,9025.0,61000.0
2025-11-13,GEMS,9100.0,9100.0,8900.0,8950.0,270900.0
2025-11-14,GEMS,9000.0,9050.0,8925.0,8975.0,89300.0
2025-11-17,GEMS,9000.0,9025.0,8800.0,8900.0,318600.0
2025-11-18,GEMS,8950.0,8950.0,8875.0,8925.0,65700.0
2025-11-19,GEMS,8925.0,8975.0,8900.0,8900.0,53800.0
2025-11-20,GEMS,8900.0,8925.0,8875.0,8925.0,59300.0
2025-11-21,GEMS,8925.0,8950.0,8900.0,8950.0,48700.0
2025-11-24,GEMS,8975.0,9000.0,8900.0,8975.0,35700.0
2025-11-25,GEMS,8975.0,8975.0,8900.0,8925.0,54200.0
2025-11-26,GEMS,8925.0,8950.0,8900.0,8925.0,33400.0
2025-11-27,GEMS,8950.0,9000.0,8900.0,8975.0,55400.0
2025-11-28,GEMS,8975.0,8975.0,8875.0,8925.0,47400.0
2025-12-01,GEMS,8925.0,8950.0,8875.0,8900.0,54000.0
2025-12-02,GEMS,8900.0,8925.0,8850.0,8900.0,70000.0
2025-12-03,GEMS,8900.0,8900.0,8800.0,8875.0,213900.0
2025-12-04,GEMS,8875.0,8900.0,8800.0,8825.0,59200.0
2025-12-05,GEMS,8850.0,8875.0,8800.0,8825.0,33300.0
2025-12-08,GEMS,8825.0,8875.0,8775.0,8825.0,73600.0
2025-12-09,GEMS,8825.0,8850.0,8700.0,8775.0,135500.0
2025-12-10,GEMS,8775.0,8800.0,8700.0,8725.0,83800.0
2025-12-11,GEMS,8725.0,8750.0,8625.0,8725.0,106200.0
2025-12-12,GEMS,8725.0,8750.0,8675.0,8725.0,93200.0
2025-12-15,GEMS,8750.0,8775.0,8625.0,8650.0,108100.0
2025-12-16,GEMS,8700.0,8700.0,8400.0,8500.0,172600.0
2025-12-17,GEMS,8500.0,8575.0,8300.0,8350.0,175900.0
2025-12-18,GEMS,8350.0,8450.0,8000.0,8050.0,610300.0
2025-12-19,GEMS,8100.0,8750.0,8100.0,8500.0,119900.0
2025-12-22,GEMS,8500.0,8500.0,8350.0,8400.0,72500.0
2025-12-23,GEMS,8500.0,8500.0,8325.0,8375.0,39500.0
2025-12-24,GEMS,8375.0,8375.0,8300.0,8325.0,39600.0
2025-12-29,GEMS,8325.0,8375.0,8000.0,8100.0,510300.0
2025-12-30,GEMS,8125.0,8175.0,8050.0,8125.0,123300.0
2026-01-02,GEMS,8125.0,8200.0,8125.0,8150.0,65400.0
2026-01-05,GEMS,8150.0,8200.0,8025.0,8125.0,100500.0
2026-01-06,GEMS,8150.0,8750.0,8000.0,8275.0,578800.0
2026-01-07,GEMS,8275.0,8275.0,8200.0,8225.0,55900.0
2026-01-08,GEMS,8225.0,8325.0,8225.0,8275.0,66000.0
2026-01-09,GEMS,8275.0,8300.0,8200.0,8250.0,73600.0
2026-01-12,GEMS,8250.0,8275.0,8125.0,8200.0,97500.0
2026-01-13,GEMS,8150.0,8325.0,8100.0,8200.0,111900.0
2026-01-14,GEMS,8225.0,8300.0,8200.0,8200.0,63300.0
2026-01-15,GEMS,8200.0,8325.0,8175.0,8300.0,66500.0
2026-01-19,GEMS,8225.0,8400.0,8200.0,8325.0,66300.0
2026-01-20,GEMS,8325.0,8400.0,8300.0,8300.0,67900.0
2026-01-21,GEMS,8350.0,8375.0,8225.0,8275.0,75600.0
2026-01-22,GEMS,8225.0,8325.0,8225.0,8300.0,71100.0
2026-01-23,GEMS,8300.0,8325.0,8200.0,8225.0,78000.0
2026-01-26,GEMS,8225.0,8375.0,8000.0,8125.0,563900.0
2026-01-27,GEMS,8200.0,8200.0,8075.0,8075.0,46500.0
2026-01-28,GEMS,8100.0,8125.0,7675.0,7875.0,635600.0
2026-01-29,GEMS,7875.0,7975.0,7000.0,7925.0,312600.0
2026-01-30,GEMS,7950.0,8075.0,7875.0,7900.0,108300.0
2026-02-02,GEMS,7900.0,7925.0,7700.0,7750.0,159100.0
2026-02-03,GEMS,7775.0,7875.0,7725.0,7875.0,92100.0
2026-02-04,GEMS,7850.0,7850.0,7500.0,7575.0,357300.0
2026-02-05,GEMS,7700.0,7800.0,7650.0,7750.0,140500.0
2026-02-06,GEMS,7750.0,7750.0,7550.0,7575.0,169100.0
2026-02-09,GEMS,7575.0,7650.0,7475.0,7500.0,115400.0
2026-02-10,GEMS,7500.0,7625.0,7300.0,7400.0,337300.0
2026-02-11,GEMS,7425.0,7675.0,7400.0,7550.0,122200.0
2026-02-12,GEMS,7575.0,7675.0,7575.0,7625.0,62400.0
2026-02-13,GEMS,7650.0,7675.0,7600.0,7625.0,28600.0
