Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,GIAA,78.0,78.0,72.0,72.0,309181300.0
2025-06-16,GIAA,71.0,71.0,67.0,67.0,143376700.0
2025-06-17,GIAA,70.0,73.0,70.0,73.0,151745800.0
2025-06-18,GIAA,77.0,77.0,71.0,71.0,97978900.0
2025-06-19,GIAA,70.0,70.0,66.0,66.0,91927300.0
2025-06-20,GIAA,66.0,67.0,66.0,67.0,53003700.0
2025-06-23,GIAA,65.0,65.0,64.0,64.0,101837900.0
2025-06-24,GIAA,69.0,70.0,69.0,70.0,117080000.0
2025-06-25,GIAA,77.0,77.0,77.0,77.0,297290900.0
2025-06-26,GIAA,76.0,76.0,70.0,70.0,421684400.0
2025-06-30,GIAA,70.0,74.0,70.0,74.0,63547500.0
2025-07-01,GIAA,77.0,77.0,71.0,71.0,100370800.0
2025-07-02,GIAA,73.0,74.0,73.0,73.0,58966800.0
2025-07-03,GIAA,73.0,73.0,73.0,73.0,41914800.0
2025-07-04,GIAA,72.0,72.0,72.0,72.0,44035400.0
2025-07-07,GIAA,72.0,72.0,72.0,72.0,32581100.0
2025-07-08,GIAA,72.0,72.0,70.0,70.0,43851800.0
2025-07-09,GIAA,70.0,70.0,70.0,70.0,23445700.0
2025-07-10,GIAA,70.0,70.0,70.0,70.0,27788200.0
2025-07-11,GIAA,70.0,70.0,70.0,70.0,36089100.0
2025-07-14,GIAA,70.0,70.0,67.0,67.0,82467900.0
2025-07-15,GIAA,66.0,66.0,65.0,65.0,53382500.0
2025-07-16,GIAA,67.0,71.0,67.0,71.0,43759900.0
2025-07-17,GIAA,77.0,77.0,76.0,76.0,176519000.0
2025-07-18,GIAA,77.0,77.0,72.0,72.0,124742200.0
2025-07-21,GIAA,72.0,77.0,72.0,75.0,57869600.0
2025-07-22,GIAA,75.0,75.0,73.0,73.0,34816400.0
2025-07-23,GIAA,70.0,70.0,70.0,70.0,61175700.0
2025-07-24,GIAA,70.0,71.0,70.0,70.0,15107600.0
2025-07-25,GIAA,70.0,70.0,69.0,69.0,18930700.0
