Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,GLOB,60.0,60.0,60.0,60.0,3400.0
2025-06-16,GLOB,60.0,60.0,55.0,55.0,74200.0
2025-06-17,GLOB,51.0,60.0,51.0,60.0,2700.0
2025-06-18,GLOB,60.0,66.0,60.0,66.0,1100.0
2025-06-19,GLOB,66.0,72.0,66.0,72.0,3000.0
2025-06-20,GLOB,72.0,79.0,72.0,79.0,57000.0
2025-06-23,GLOB,79.0,79.0,79.0,79.0,200.0
2025-06-24,GLOB,77.0,77.0,72.0,72.0,3000.0
2025-06-25,GLOB,65.0,79.0,65.0,66.0,17200.0
2025-06-26,GLOB,71.0,71.0,65.0,65.0,5100.0
2025-06-30,GLOB,65.0,65.0,59.0,59.0,500.0
2025-07-01,GLOB,59.0,59.0,59.0,59.0,500.0
2025-07-02,GLOB,59.0,59.0,59.0,59.0,7600.0
2025-07-03,GLOB,60.0,60.0,55.0,55.0,1400.0
2025-07-04,GLOB,55.0,55.0,55.0,55.0,26000.0
2025-07-07,GLOB,55.0,55.0,51.0,51.0,1700.0
2025-07-08,GLOB,50.0,50.0,46.0,46.0,4100.0
2025-07-09,GLOB,42.0,42.0,42.0,42.0,200.0
2025-07-10,GLOB,42.0,42.0,42.0,42.0,1300.0
2025-07-11,GLOB,42.0,42.0,42.0,42.0,0.0
2025-07-14,GLOB,42.0,46.0,42.0,46.0,1100.0
2025-07-15,GLOB,50.0,50.0,50.0,50.0,100.0
2025-07-16,GLOB,50.0,50.0,50.0,50.0,0.0
2025-07-17,GLOB,51.0,51.0,51.0,51.0,100.0
2025-07-18,GLOB,51.0,51.0,51.0,51.0,300.0
2025-07-21,GLOB,49.0,56.0,46.0,56.0,22500.0
2025-07-22,GLOB,56.0,56.0,51.0,51.0,13400.0
2025-07-23,GLOB,51.0,56.0,47.0,56.0,59900.0
2025-07-24,GLOB,56.0,61.0,52.0,61.0,4200.0
2025-07-25,GLOB,61.0,61.0,55.0,55.0,28200.0
2025-07-28,GLOB,55.0,55.0,50.0,50.0,37500.0
2025-07-29,GLOB,50.0,50.0,50.0,50.0,0.0
2025-07-30,GLOB,50.0,50.0,50.0,50.0,4100.0
2025-07-31,GLOB,50.0,50.0,50.0,50.0,1600.0
2025-08-01,GLOB,50.0,50.0,50.0,50.0,700.0
2025-08-04,GLOB,50.0,50.0,50.0,50.0,300.0
2025-08-05,GLOB,50.0,51.0,50.0,51.0,4800.0
2025-08-06,GLOB,51.0,51.0,51.0,51.0,2800.0
2025-08-07,GLOB,51.0,51.0,51.0,51.0,17000.0
2025-08-08,GLOB,51.0,51.0,51.0,51.0,0.0
2025-08-11,GLOB,50.0,50.0,50.0,50.0,31500.0
2025-08-12,GLOB,45.0,50.0,45.0,45.0,1100.0
2025-08-13,GLOB,45.0,45.0,45.0,45.0,0.0
2025-08-14,GLOB,45.0,45.0,45.0,45.0,0.0
2025-08-15,GLOB,45.0,45.0,45.0,45.0,0.0
2025-08-19,GLOB,49.0,49.0,49.0,49.0,11000.0
2025-08-20,GLOB,50.0,50.0,50.0,50.0,15700.0
2025-08-21,GLOB,50.0,50.0,50.0,50.0,23300.0
2025-08-22,GLOB,50.0,50.0,50.0,50.0,23400.0
2025-08-25,GLOB,50.0,50.0,50.0,50.0,18400.0
2025-08-26,GLOB,50.0,50.0,50.0,50.0,64200.0
2025-08-27,GLOB,50.0,50.0,50.0,50.0,68000.0
2025-08-28,GLOB,50.0,50.0,50.0,50.0,43000.0
2025-08-29,GLOB,51.0,51.0,51.0,51.0,99800.0
2025-09-01,GLOB,51.0,53.0,51.0,53.0,24500.0
2025-09-02,GLOB,56.0,56.0,53.0,53.0,31800.0
2025-09-03,GLOB,53.0,58.0,53.0,57.0,29900.0
2025-09-04,GLOB,57.0,57.0,57.0,57.0,142600.0
2025-09-08,GLOB,57.0,57.0,57.0,57.0,29700.0
2025-09-09,GLOB,57.0,57.0,57.0,57.0,5000.0
2025-09-10,GLOB,57.0,57.0,57.0,57.0,26000.0
2025-09-11,GLOB,52.0,52.0,52.0,52.0,47500.0
2025-09-12,GLOB,52.0,52.0,52.0,52.0,47800.0
2025-09-15,GLOB,55.0,57.0,55.0,57.0,130000.0
2025-09-16,GLOB,62.0,62.0,62.0,62.0,66800.0
