Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,GOLL,50.0,50.0,50.0,50.0,0.0
2025-06-16,GOLL,50.0,50.0,50.0,50.0,0.0
2025-06-17,GOLL,50.0,50.0,50.0,50.0,0.0
2025-06-18,GOLL,50.0,50.0,50.0,50.0,0.0
2025-06-19,GOLL,50.0,50.0,50.0,50.0,0.0
2025-06-20,GOLL,50.0,50.0,50.0,50.0,0.0
2025-06-23,GOLL,50.0,50.0,50.0,50.0,0.0
2025-06-24,GOLL,50.0,50.0,50.0,50.0,0.0
2025-06-25,GOLL,50.0,50.0,50.0,50.0,0.0
2025-06-26,GOLL,50.0,50.0,50.0,50.0,0.0
2025-06-30,GOLL,50.0,50.0,50.0,50.0,0.0
2025-07-01,GOLL,50.0,50.0,50.0,50.0,0.0
2025-07-02,GOLL,50.0,50.0,50.0,50.0,0.0
2025-07-03,GOLL,50.0,50.0,50.0,50.0,0.0
2025-07-04,GOLL,50.0,50.0,50.0,50.0,0.0
2025-07-07,GOLL,50.0,50.0,50.0,50.0,0.0
2025-07-08,GOLL,50.0,50.0,50.0,50.0,0.0
2025-07-09,GOLL,50.0,50.0,50.0,50.0,0.0
2025-07-10,GOLL,50.0,50.0,50.0,50.0,0.0
2025-07-11,GOLL,50.0,50.0,50.0,50.0,0.0
2025-07-14,GOLL,50.0,50.0,50.0,50.0,0.0
2025-07-15,GOLL,50.0,50.0,50.0,50.0,0.0
2025-07-16,GOLL,50.0,50.0,50.0,50.0,0.0
2025-07-17,GOLL,50.0,50.0,50.0,50.0,0.0
2025-07-18,GOLL,50.0,50.0,50.0,50.0,0.0
2025-07-21,GOLL,50.0,50.0,50.0,50.0,0.0
2025-07-22,GOLL,50.0,50.0,50.0,50.0,0.0
2025-07-23,GOLL,50.0,50.0,50.0,50.0,0.0
2025-07-24,GOLL,50.0,50.0,50.0,50.0,0.0
2025-07-25,GOLL,50.0,50.0,50.0,50.0,0.0
2025-07-28,GOLL,50.0,50.0,50.0,50.0,0.0
2025-07-29,GOLL,50.0,50.0,50.0,50.0,0.0
2025-07-30,GOLL,50.0,50.0,50.0,50.0,0.0
2025-07-31,GOLL,50.0,50.0,50.0,50.0,0.0
2025-08-01,GOLL,50.0,50.0,50.0,50.0,0.0
2025-08-04,GOLL,50.0,50.0,50.0,50.0,0.0
2025-08-05,GOLL,50.0,50.0,50.0,50.0,0.0
2025-08-06,GOLL,50.0,50.0,50.0,50.0,0.0
2025-08-07,GOLL,50.0,50.0,50.0,50.0,0.0
2025-08-08,GOLL,50.0,50.0,50.0,50.0,0.0
2025-08-11,GOLL,50.0,50.0,50.0,50.0,0.0
2025-08-12,GOLL,50.0,50.0,50.0,50.0,0.0
2025-08-13,GOLL,50.0,50.0,50.0,50.0,0.0
2025-08-14,GOLL,50.0,50.0,50.0,50.0,0.0
2025-08-15,GOLL,50.0,50.0,50.0,50.0,0.0
2025-08-19,GOLL,50.0,50.0,50.0,50.0,0.0
2025-08-20,GOLL,50.0,50.0,50.0,50.0,0.0
2025-08-21,GOLL,50.0,50.0,50.0,50.0,0.0
2025-08-22,GOLL,50.0,50.0,50.0,50.0,0.0
2025-08-25,GOLL,50.0,50.0,50.0,50.0,0.0
2025-08-26,GOLL,50.0,50.0,50.0,50.0,0.0
2025-08-27,GOLL,50.0,50.0,50.0,50.0,0.0
2025-08-28,GOLL,50.0,50.0,50.0,50.0,0.0
2025-08-29,GOLL,50.0,50.0,50.0,50.0,0.0
2025-09-01,GOLL,50.0,50.0,50.0,50.0,0.0
2025-09-02,GOLL,50.0,50.0,50.0,50.0,0.0
2025-09-03,GOLL,50.0,50.0,50.0,50.0,0.0
2025-09-04,GOLL,50.0,50.0,50.0,50.0,0.0
2025-09-08,GOLL,50.0,50.0,50.0,50.0,0.0
2025-09-09,GOLL,50.0,50.0,50.0,50.0,0.0
2025-09-10,GOLL,50.0,50.0,50.0,50.0,0.0
2025-09-11,GOLL,50.0,50.0,50.0,50.0,0.0
2025-09-12,GOLL,50.0,50.0,50.0,50.0,0.0
2025-09-15,GOLL,50.0,50.0,50.0,50.0,0.0
2025-09-16,GOLL,50.0,50.0,50.0,50.0,0.0
2025-09-17,GOLL,50.0,50.0,50.0,50.0,0.0
2025-09-18,GOLL,50.0,50.0,50.0,50.0,0.0
2025-09-19,GOLL,50.0,50.0,50.0,50.0,0.0
2025-09-22,GOLL,50.0,50.0,50.0,50.0,0.0
2025-09-23,GOLL,50.0,50.0,50.0,50.0,0.0
2025-09-24,GOLL,50.0,50.0,50.0,50.0,0.0
2025-09-25,GOLL,50.0,50.0,50.0,50.0,0.0
2025-09-26,GOLL,50.0,50.0,50.0,50.0,0.0
2025-09-29,GOLL,50.0,50.0,50.0,50.0,0.0
2025-09-30,GOLL,50.0,50.0,50.0,50.0,0.0
2025-10-01,GOLL,50.0,50.0,50.0,50.0,0.0
2025-10-02,GOLL,50.0,50.0,50.0,50.0,0.0
2025-10-03,GOLL,50.0,50.0,50.0,50.0,0.0
2025-10-06,GOLL,50.0,50.0,50.0,50.0,0.0
2025-10-07,GOLL,50.0,50.0,50.0,50.0,0.0
2025-10-08,GOLL,50.0,50.0,50.0,50.0,0.0
