Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,GRIA,86.0,86.0,83.0,84.0,163400.0
2025-06-16,GRIA,85.0,87.0,81.0,85.0,169800.0
2025-06-17,GRIA,89.0,89.0,84.0,85.0,63200.0
2025-06-18,GRIA,85.0,86.0,83.0,84.0,353500.0
2025-06-19,GRIA,85.0,91.0,83.0,85.0,336100.0
2025-06-20,GRIA,85.0,85.0,83.0,84.0,22800.0
2025-06-23,GRIA,83.0,83.0,78.0,78.0,314400.0
2025-06-24,GRIA,78.0,83.0,78.0,80.0,217000.0
2025-06-25,GRIA,81.0,82.0,81.0,82.0,106700.0
2025-06-26,GRIA,81.0,86.0,81.0,81.0,243900.0
2025-06-30,GRIA,82.0,84.0,80.0,84.0,154000.0
2025-07-01,GRIA,83.0,83.0,82.0,83.0,12900.0
2025-07-02,GRIA,83.0,83.0,80.0,83.0,24100.0
2025-07-03,GRIA,82.0,83.0,80.0,83.0,3200.0
2025-07-04,GRIA,83.0,90.0,80.0,90.0,2766400.0
2025-07-07,GRIA,92.0,121.0,91.0,99.0,110699700.0
2025-07-08,GRIA,99.0,101.0,87.0,89.0,18515300.0
2025-07-09,GRIA,90.0,94.0,86.0,89.0,10969300.0
2025-07-10,GRIA,90.0,97.0,89.0,90.0,15400200.0
2025-07-11,GRIA,91.0,92.0,88.0,88.0,4131000.0
2025-07-14,GRIA,89.0,90.0,85.0,86.0,5604900.0
2025-07-15,GRIA,86.0,87.0,83.0,84.0,2538100.0
2025-07-16,GRIA,84.0,85.0,82.0,85.0,4053700.0
2025-07-17,GRIA,85.0,85.0,82.0,83.0,1888100.0
2025-07-18,GRIA,83.0,83.0,81.0,82.0,2305500.0
2025-07-21,GRIA,82.0,83.0,81.0,82.0,1839300.0
2025-07-22,GRIA,82.0,83.0,81.0,83.0,1010400.0
2025-07-23,GRIA,83.0,88.0,81.0,85.0,7933900.0
2025-07-24,GRIA,85.0,88.0,84.0,87.0,3011900.0
2025-07-25,GRIA,87.0,88.0,86.0,88.0,1014000.0
2025-07-28,GRIA,88.0,90.0,87.0,90.0,4175500.0
2025-07-29,GRIA,89.0,97.0,87.0,90.0,19566200.0
2025-07-30,GRIA,91.0,94.0,91.0,92.0,4986500.0
2025-07-31,GRIA,93.0,97.0,88.0,89.0,3280500.0
2025-08-01,GRIA,89.0,92.0,86.0,90.0,1351700.0
2025-08-04,GRIA,90.0,90.0,88.0,90.0,727400.0
2025-08-05,GRIA,88.0,97.0,88.0,97.0,5468300.0
2025-08-06,GRIA,97.0,97.0,92.0,94.0,3679500.0
2025-08-07,GRIA,94.0,95.0,92.0,95.0,997200.0
2025-08-08,GRIA,94.0,95.0,92.0,93.0,5472700.0
2025-08-11,GRIA,93.0,97.0,92.0,93.0,780300.0
2025-08-12,GRIA,95.0,95.0,92.0,94.0,1461700.0
2025-08-13,GRIA,94.0,95.0,92.0,93.0,1117000.0
2025-08-14,GRIA,93.0,94.0,91.0,94.0,4720300.0
2025-08-15,GRIA,95.0,95.0,92.0,92.0,674500.0
2025-08-19,GRIA,94.0,96.0,91.0,93.0,1715400.0
2025-08-20,GRIA,95.0,95.0,92.0,93.0,473500.0
2025-08-21,GRIA,93.0,94.0,90.0,94.0,1032600.0
2025-08-22,GRIA,94.0,94.0,88.0,92.0,877500.0
2025-08-25,GRIA,94.0,94.0,90.0,93.0,463700.0
2025-08-26,GRIA,93.0,93.0,88.0,91.0,629400.0
2025-08-27,GRIA,92.0,92.0,89.0,90.0,453300.0
2025-08-28,GRIA,90.0,93.0,88.0,93.0,912200.0
2025-08-29,GRIA,91.0,102.0,83.0,89.0,10360200.0
2025-09-01,GRIA,87.0,87.0,80.0,87.0,539600.0
2025-09-02,GRIA,87.0,95.0,84.0,89.0,4674500.0
2025-09-03,GRIA,90.0,120.0,90.0,120.0,60051800.0
2025-09-04,GRIA,140.0,155.0,120.0,125.0,107677800.0
2025-09-08,GRIA,126.0,143.0,122.0,135.0,71339700.0
2025-09-09,GRIA,135.0,136.0,125.0,133.0,17080800.0
2025-09-10,GRIA,135.0,152.0,130.0,148.0,156991000.0
2025-09-11,GRIA,144.0,145.0,140.0,141.0,25613400.0
2025-09-12,GRIA,143.0,143.0,139.0,141.0,10847500.0
2025-09-15,GRIA,145.0,151.0,141.0,151.0,22167600.0
2025-09-16,GRIA,163.0,190.0,136.0,140.0,364034000.0
2025-09-17,GRIA,138.0,138.0,125.0,130.0,32748800.0
2025-09-18,GRIA,131.0,135.0,124.0,132.0,16889800.0
2025-09-19,GRIA,132.0,132.0,123.0,124.0,7608000.0
2025-09-22,GRIA,124.0,134.0,124.0,126.0,10459700.0
2025-09-23,GRIA,126.0,130.0,122.0,127.0,11175800.0
2025-09-24,GRIA,128.0,129.0,120.0,120.0,5629600.0
2025-09-25,GRIA,120.0,123.0,113.0,119.0,11022900.0
2025-09-26,GRIA,120.0,125.0,119.0,122.0,6318100.0
2025-09-29,GRIA,122.0,122.0,115.0,122.0,6285700.0
2025-09-30,GRIA,122.0,122.0,119.0,119.0,3748000.0
2025-10-01,GRIA,119.0,121.0,115.0,117.0,4679100.0
2025-10-02,GRIA,118.0,118.0,113.0,117.0,4859700.0
2025-10-03,GRIA,117.0,117.0,113.0,114.0,2108800.0
2025-10-06,GRIA,113.0,117.0,111.0,115.0,4129300.0
2025-10-07,GRIA,117.0,117.0,113.0,115.0,4325400.0
2025-10-08,GRIA,115.0,116.0,111.0,115.0,5485100.0
2025-10-09,GRIA,115.0,116.0,113.0,114.0,1821700.0
2025-10-10,GRIA,114.0,115.0,110.0,113.0,4209600.0
2025-10-13,GRIA,113.0,114.0,112.0,113.0,3066600.0
2025-10-14,GRIA,114.0,115.0,108.0,113.0,3443600.0
2025-10-15,GRIA,113.0,113.0,106.0,107.0,2991300.0
2025-10-16,GRIA,107.0,107.0,104.0,106.0,1424200.0
2025-10-17,GRIA,106.0,111.0,103.0,104.0,3854100.0
2025-10-20,GRIA,107.0,117.0,106.0,115.0,6034400.0
2025-10-21,GRIA,116.0,116.0,109.0,112.0,2340300.0
2025-10-22,GRIA,112.0,117.0,110.0,113.0,1552600.0
2025-10-23,GRIA,110.0,115.0,103.0,112.0,1291100.0
2025-10-24,GRIA,110.0,114.0,107.0,111.0,1906100.0
2025-10-27,GRIA,111.0,112.0,108.0,110.0,1627400.0
2025-10-28,GRIA,110.0,132.0,110.0,119.0,44587400.0
2025-10-29,GRIA,124.0,124.0,102.0,103.0,49161000.0
2025-10-30,GRIA,105.0,106.0,100.0,106.0,9533600.0
2025-10-31,GRIA,106.0,107.0,100.0,100.0,4976900.0
2025-11-03,GRIA,103.0,105.0,100.0,102.0,1921900.0
2025-11-04,GRIA,102.0,103.0,99.0,101.0,4101600.0
2025-11-05,GRIA,100.0,102.0,97.0,97.0,3804600.0
2025-11-06,GRIA,97.0,104.0,96.0,100.0,4390100.0
2025-11-07,GRIA,99.0,101.0,98.0,99.0,2640500.0
2025-11-10,GRIA,99.0,101.0,98.0,99.0,1096500.0
2025-11-11,GRIA,98.0,101.0,98.0,99.0,1945700.0
2025-11-12,GRIA,99.0,102.0,99.0,101.0,1797300.0
2025-11-13,GRIA,100.0,102.0,98.0,99.0,3188700.0
2025-11-14,GRIA,98.0,100.0,98.0,99.0,880900.0
2025-11-17,GRIA,98.0,105.0,98.0,102.0,11476900.0
2025-11-18,GRIA,105.0,105.0,101.0,102.0,5657200.0
2025-11-19,GRIA,103.0,103.0,99.0,99.0,3158400.0
2025-11-20,GRIA,100.0,103.0,98.0,99.0,3727800.0
2025-11-21,GRIA,100.0,100.0,98.0,99.0,931500.0
2025-11-24,GRIA,98.0,100.0,86.0,98.0,2668800.0
2025-11-25,GRIA,97.0,99.0,96.0,97.0,2246000.0
2025-11-26,GRIA,96.0,97.0,95.0,97.0,2132600.0
2025-11-27,GRIA,97.0,97.0,94.0,96.0,1063000.0
2025-11-28,GRIA,95.0,96.0,90.0,93.0,2907800.0
2025-12-01,GRIA,92.0,94.0,91.0,93.0,5577700.0
2025-12-02,GRIA,93.0,95.0,93.0,94.0,1023900.0
2025-12-03,GRIA,94.0,96.0,91.0,96.0,3430600.0
2025-12-04,GRIA,98.0,105.0,95.0,98.0,16348700.0
2025-12-05,GRIA,100.0,102.0,98.0,99.0,2641200.0
2025-12-08,GRIA,100.0,102.0,98.0,101.0,2682900.0
2025-12-09,GRIA,101.0,102.0,99.0,101.0,7193800.0
2025-12-10,GRIA,101.0,102.0,97.0,97.0,2382000.0
2025-12-11,GRIA,98.0,102.0,95.0,99.0,3358200.0
2025-12-12,GRIA,100.0,100.0,95.0,96.0,2054900.0
2025-12-15,GRIA,97.0,98.0,95.0,96.0,1054300.0
2025-12-16,GRIA,96.0,98.0,94.0,96.0,681500.0
2025-12-17,GRIA,95.0,97.0,95.0,96.0,494600.0
2025-12-18,GRIA,96.0,97.0,92.0,95.0,1069100.0
2025-12-19,GRIA,94.0,96.0,93.0,93.0,1029100.0
2025-12-22,GRIA,94.0,95.0,92.0,92.0,1084500.0
2025-12-23,GRIA,92.0,95.0,90.0,91.0,1399300.0
2025-12-24,GRIA,91.0,93.0,90.0,90.0,1414700.0
2025-12-29,GRIA,91.0,95.0,91.0,92.0,999200.0
2025-12-30,GRIA,94.0,119.0,91.0,100.0,71997300.0
2026-01-02,GRIA,101.0,110.0,101.0,108.0,21739800.0
2026-01-05,GRIA,113.0,113.0,108.0,112.0,13674900.0
2026-01-06,GRIA,114.0,119.0,114.0,117.0,7499800.0
2026-01-07,GRIA,118.0,119.0,111.0,117.0,5233000.0
2026-01-08,GRIA,116.0,119.0,115.0,116.0,4278000.0
