Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,GTBO,200.0,202.0,183.0,184.0,1080900.0
2025-06-16,GTBO,182.0,188.0,180.0,183.0,500100.0
2025-06-17,GTBO,181.0,188.0,180.0,183.0,506400.0
2025-06-18,GTBO,183.0,188.0,175.0,177.0,807400.0
2025-06-19,GTBO,177.0,177.0,165.0,165.0,494800.0
2025-06-20,GTBO,165.0,175.0,163.0,169.0,406200.0
2025-06-23,GTBO,167.0,168.0,160.0,165.0,332900.0
2025-06-24,GTBO,162.0,168.0,160.0,164.0,162200.0
2025-06-25,GTBO,164.0,168.0,155.0,161.0,178700.0
2025-06-26,GTBO,161.0,172.0,158.0,158.0,306200.0
2025-06-30,GTBO,158.0,173.0,158.0,168.0,306500.0
2025-07-01,GTBO,168.0,169.0,163.0,165.0,58600.0
2025-07-02,GTBO,165.0,165.0,160.0,164.0,80200.0
2025-07-03,GTBO,164.0,168.0,156.0,158.0,480100.0
2025-07-04,GTBO,166.0,212.0,164.0,212.0,34665300.0
2025-07-07,GTBO,236.0,258.0,218.0,238.0,44463800.0
2025-07-08,GTBO,232.0,232.0,204.0,204.0,8010200.0
2025-07-09,GTBO,202.0,210.0,194.0,200.0,3134600.0
2025-07-10,GTBO,208.0,208.0,197.0,200.0,1567500.0
2025-07-11,GTBO,200.0,202.0,193.0,195.0,1812100.0
2025-07-14,GTBO,199.0,199.0,183.0,190.0,2045900.0
2025-07-15,GTBO,187.0,187.0,180.0,185.0,1071600.0
2025-07-16,GTBO,184.0,202.0,184.0,192.0,6350200.0
2025-07-17,GTBO,193.0,196.0,185.0,186.0,2008200.0
2025-07-18,GTBO,187.0,197.0,185.0,186.0,1089000.0
2025-07-21,GTBO,186.0,193.0,185.0,186.0,800400.0
2025-07-22,GTBO,188.0,202.0,186.0,199.0,1760900.0
2025-07-23,GTBO,202.0,214.0,193.0,197.0,2246600.0
2025-07-24,GTBO,197.0,198.0,182.0,190.0,1248500.0
2025-07-25,GTBO,196.0,212.0,190.0,197.0,3633300.0
2025-07-28,GTBO,198.0,202.0,197.0,198.0,735200.0
2025-07-29,GTBO,200.0,202.0,192.0,198.0,523400.0
2025-07-30,GTBO,199.0,206.0,197.0,199.0,524300.0
2025-07-31,GTBO,206.0,206.0,196.0,197.0,486900.0
2025-08-01,GTBO,204.0,204.0,193.0,196.0,262200.0
2025-08-04,GTBO,193.0,198.0,191.0,193.0,347600.0
2025-08-05,GTBO,192.0,195.0,188.0,192.0,309900.0
2025-08-06,GTBO,192.0,195.0,189.0,191.0,163500.0
2025-08-07,GTBO,191.0,191.0,186.0,191.0,403000.0
2025-08-08,GTBO,198.0,198.0,186.0,189.0,244300.0
2025-08-11,GTBO,189.0,191.0,180.0,187.0,1127000.0
2025-08-12,GTBO,186.0,195.0,179.0,185.0,319400.0
2025-08-13,GTBO,185.0,187.0,182.0,186.0,167700.0
2025-08-14,GTBO,186.0,186.0,175.0,185.0,806500.0
2025-08-15,GTBO,185.0,185.0,179.0,180.0,345000.0
2025-08-19,GTBO,180.0,190.0,177.0,181.0,353400.0
2025-08-20,GTBO,182.0,182.0,178.0,182.0,518400.0
2025-08-21,GTBO,182.0,184.0,178.0,183.0,252300.0
2025-08-22,GTBO,183.0,186.0,179.0,185.0,235600.0
2025-08-25,GTBO,187.0,236.0,186.0,222.0,17777000.0
2025-08-26,GTBO,224.0,226.0,208.0,212.0,2224200.0
2025-08-27,GTBO,212.0,214.0,202.0,210.0,1174800.0
2025-08-28,GTBO,208.0,210.0,200.0,208.0,999600.0
2025-08-29,GTBO,208.0,210.0,180.0,193.0,1615800.0
2025-09-01,GTBO,190.0,204.0,181.0,193.0,575000.0
2025-09-02,GTBO,193.0,198.0,193.0,195.0,231300.0
2025-09-03,GTBO,196.0,202.0,195.0,196.0,229800.0
2025-09-04,GTBO,197.0,200.0,191.0,197.0,151700.0
2025-09-08,GTBO,197.0,202.0,191.0,197.0,384500.0
2025-09-09,GTBO,197.0,206.0,195.0,195.0,665300.0
2025-09-10,GTBO,197.0,197.0,185.0,189.0,833000.0
2025-09-11,GTBO,189.0,189.0,185.0,187.0,366300.0
2025-09-12,GTBO,190.0,252.0,188.0,214.0,30982500.0
2025-09-15,GTBO,214.0,216.0,206.0,212.0,1905500.0
2025-09-16,GTBO,212.0,214.0,200.0,204.0,1973500.0
2025-09-17,GTBO,204.0,210.0,200.0,200.0,609200.0
2025-09-18,GTBO,204.0,206.0,197.0,200.0,1202700.0
2025-09-19,GTBO,204.0,204.0,199.0,199.0,218100.0
2025-09-22,GTBO,199.0,212.0,197.0,206.0,1159800.0
2025-09-23,GTBO,204.0,220.0,198.0,214.0,2568900.0
2025-09-24,GTBO,220.0,220.0,210.0,216.0,626800.0
2025-09-25,GTBO,220.0,222.0,212.0,216.0,693600.0
2025-09-26,GTBO,216.0,218.0,212.0,212.0,564300.0
2025-09-29,GTBO,220.0,230.0,210.0,214.0,2105300.0
2025-09-30,GTBO,214.0,226.0,210.0,210.0,2033000.0
2025-10-01,GTBO,214.0,220.0,210.0,214.0,793700.0
2025-10-02,GTBO,218.0,226.0,208.0,214.0,2878000.0
2025-10-03,GTBO,214.0,236.0,204.0,222.0,3064900.0
2025-10-06,GTBO,234.0,234.0,208.0,220.0,1098300.0
2025-10-07,GTBO,224.0,228.0,210.0,220.0,598100.0
2025-10-08,GTBO,220.0,224.0,212.0,216.0,268700.0
2025-10-09,GTBO,216.0,228.0,214.0,220.0,957200.0
2025-10-10,GTBO,220.0,224.0,212.0,216.0,251400.0
2025-10-13,GTBO,224.0,252.0,218.0,236.0,4536500.0
2025-10-14,GTBO,244.0,250.0,220.0,236.0,2011200.0
2025-10-15,GTBO,236.0,236.0,218.0,222.0,493600.0
2025-10-16,GTBO,220.0,240.0,216.0,228.0,947700.0
2025-10-17,GTBO,230.0,230.0,218.0,222.0,393600.0
2025-10-20,GTBO,218.0,224.0,216.0,224.0,374900.0
2025-10-21,GTBO,222.0,224.0,216.0,218.0,206300.0
2025-10-22,GTBO,220.0,220.0,208.0,212.0,294700.0
2025-10-23,GTBO,218.0,220.0,212.0,214.0,224700.0
2025-10-24,GTBO,214.0,220.0,206.0,210.0,409400.0
2025-10-27,GTBO,210.0,228.0,200.0,202.0,806900.0
2025-10-28,GTBO,202.0,210.0,200.0,208.0,192900.0
2025-10-29,GTBO,208.0,208.0,200.0,206.0,314100.0
2025-10-30,GTBO,206.0,206.0,200.0,204.0,104100.0
2025-10-31,GTBO,204.0,204.0,198.0,200.0,319000.0
2025-11-03,GTBO,199.0,224.0,195.0,210.0,627900.0
2025-11-04,GTBO,210.0,220.0,202.0,206.0,255500.0
2025-11-05,GTBO,206.0,212.0,206.0,212.0,1163300.0
2025-11-06,GTBO,212.0,212.0,208.0,210.0,125200.0
2025-11-07,GTBO,210.0,212.0,206.0,208.0,85200.0
2025-11-10,GTBO,212.0,212.0,206.0,210.0,130800.0
2025-11-11,GTBO,210.0,216.0,206.0,210.0,246900.0
2025-11-12,GTBO,210.0,212.0,206.0,212.0,309500.0
2025-11-13,GTBO,212.0,212.0,208.0,208.0,127000.0
2025-11-14,GTBO,206.0,212.0,204.0,204.0,493400.0
2025-11-17,GTBO,204.0,214.0,202.0,208.0,159300.0
2025-11-18,GTBO,208.0,208.0,204.0,206.0,214100.0
2025-11-19,GTBO,206.0,210.0,202.0,208.0,379200.0
2025-11-20,GTBO,210.0,212.0,208.0,210.0,413400.0
2025-11-21,GTBO,210.0,210.0,202.0,208.0,135900.0
