Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,GWSA,125.0,125.0,121.0,125.0,338700.0
2025-06-16,GWSA,125.0,126.0,123.0,126.0,204500.0
2025-06-17,GWSA,124.0,127.0,124.0,126.0,18400.0
2025-06-18,GWSA,126.0,126.0,123.0,124.0,360100.0
2025-06-19,GWSA,125.0,125.0,123.0,125.0,143600.0
2025-06-20,GWSA,123.0,125.0,123.0,123.0,81800.0
2025-06-23,GWSA,123.0,124.0,120.0,122.0,1310200.0
2025-06-24,GWSA,122.0,125.0,119.0,125.0,421900.0
2025-06-25,GWSA,125.0,125.0,120.0,125.0,25100.0
2025-06-26,GWSA,120.0,124.0,120.0,122.0,35700.0
2025-06-30,GWSA,120.0,124.0,120.0,122.0,26700.0
2025-07-01,GWSA,122.0,123.0,122.0,123.0,63200.0
2025-07-02,GWSA,122.0,123.0,122.0,122.0,41500.0
2025-07-03,GWSA,123.0,124.0,123.0,124.0,2900.0
2025-07-04,GWSA,123.0,124.0,123.0,123.0,8900.0
2025-07-07,GWSA,123.0,123.0,121.0,121.0,151200.0
2025-07-08,GWSA,121.0,121.0,121.0,121.0,25100.0
2025-07-09,GWSA,124.0,124.0,123.0,123.0,1900.0
2025-07-10,GWSA,121.0,123.0,121.0,123.0,285300.0
2025-07-11,GWSA,124.0,125.0,123.0,125.0,5400.0
2025-07-14,GWSA,125.0,126.0,124.0,124.0,88100.0
2025-07-15,GWSA,125.0,125.0,123.0,125.0,83500.0
2025-07-16,GWSA,125.0,126.0,125.0,125.0,15600.0
2025-07-17,GWSA,123.0,126.0,123.0,126.0,78800.0
2025-07-18,GWSA,126.0,126.0,124.0,124.0,10600.0
2025-07-21,GWSA,124.0,125.0,124.0,125.0,518600.0
2025-07-22,GWSA,125.0,125.0,123.0,123.0,339300.0
2025-07-23,GWSA,124.0,126.0,123.0,123.0,187000.0
2025-07-24,GWSA,123.0,125.0,123.0,124.0,48700.0
2025-07-25,GWSA,124.0,130.0,124.0,124.0,582500.0
2025-07-28,GWSA,128.0,128.0,122.0,124.0,573500.0
2025-07-29,GWSA,124.0,128.0,123.0,127.0,1510200.0
2025-07-30,GWSA,127.0,129.0,126.0,129.0,420100.0
2025-07-31,GWSA,129.0,129.0,126.0,128.0,617400.0
2025-08-01,GWSA,127.0,130.0,126.0,127.0,696100.0
2025-08-04,GWSA,129.0,133.0,127.0,133.0,1010800.0
2025-08-05,GWSA,134.0,134.0,132.0,133.0,1139800.0
2025-08-06,GWSA,133.0,136.0,133.0,136.0,785200.0
2025-08-07,GWSA,135.0,143.0,135.0,140.0,2436100.0
2025-08-08,GWSA,140.0,159.0,140.0,154.0,6453900.0
2025-08-11,GWSA,155.0,160.0,152.0,159.0,4726700.0
2025-08-12,GWSA,159.0,160.0,148.0,157.0,1448300.0
2025-08-13,GWSA,157.0,158.0,148.0,157.0,1479400.0
2025-08-14,GWSA,157.0,157.0,152.0,156.0,832600.0
2025-08-15,GWSA,156.0,158.0,151.0,158.0,997600.0
2025-08-19,GWSA,158.0,158.0,153.0,154.0,644300.0
2025-08-20,GWSA,154.0,154.0,150.0,152.0,1243600.0
2025-08-21,GWSA,151.0,157.0,150.0,157.0,762400.0
2025-08-22,GWSA,157.0,157.0,153.0,156.0,376900.0
2025-08-25,GWSA,156.0,158.0,152.0,158.0,514700.0
2025-08-26,GWSA,154.0,156.0,153.0,153.0,71500.0
2025-08-27,GWSA,154.0,157.0,153.0,157.0,285800.0
2025-08-28,GWSA,156.0,157.0,153.0,155.0,173300.0
2025-08-29,GWSA,153.0,155.0,151.0,154.0,1532900.0
2025-09-01,GWSA,150.0,153.0,144.0,153.0,1779800.0
2025-09-02,GWSA,154.0,157.0,154.0,154.0,110200.0
2025-09-03,GWSA,154.0,155.0,150.0,154.0,883900.0
2025-09-04,GWSA,154.0,155.0,150.0,155.0,429900.0
2025-09-08,GWSA,156.0,157.0,152.0,153.0,295100.0
2025-09-09,GWSA,153.0,153.0,147.0,152.0,616800.0
2025-09-10,GWSA,152.0,154.0,148.0,153.0,199800.0
2025-09-11,GWSA,153.0,155.0,151.0,153.0,141200.0
2025-09-12,GWSA,153.0,155.0,153.0,154.0,495100.0
2025-09-15,GWSA,155.0,164.0,153.0,157.0,1943400.0
2025-09-16,GWSA,160.0,160.0,153.0,155.0,371100.0
2025-09-17,GWSA,156.0,156.0,153.0,156.0,694000.0
2025-09-18,GWSA,156.0,156.0,154.0,156.0,329700.0
2025-09-19,GWSA,155.0,158.0,155.0,155.0,278800.0
2025-09-22,GWSA,159.0,160.0,153.0,154.0,349600.0
2025-09-23,GWSA,154.0,158.0,154.0,157.0,160400.0
2025-09-24,GWSA,157.0,157.0,153.0,155.0,670700.0
2025-09-25,GWSA,156.0,156.0,153.0,154.0,149700.0
2025-09-26,GWSA,156.0,156.0,150.0,155.0,873100.0
2025-09-29,GWSA,155.0,156.0,153.0,153.0,734700.0
2025-09-30,GWSA,156.0,156.0,153.0,153.0,1004500.0
2025-10-01,GWSA,157.0,157.0,152.0,155.0,437500.0
2025-10-02,GWSA,155.0,155.0,153.0,154.0,256400.0
2025-10-03,GWSA,154.0,154.0,152.0,152.0,128700.0
2025-10-06,GWSA,153.0,155.0,150.0,152.0,400600.0
2025-10-07,GWSA,153.0,155.0,150.0,155.0,1369900.0
2025-10-08,GWSA,155.0,155.0,150.0,153.0,489700.0
2025-10-09,GWSA,151.0,151.0,143.0,145.0,3266900.0
2025-10-10,GWSA,145.0,145.0,139.0,143.0,1645100.0
2025-10-13,GWSA,143.0,143.0,139.0,140.0,433600.0
2025-10-14,GWSA,140.0,144.0,139.0,141.0,437200.0
2025-10-15,GWSA,139.0,140.0,135.0,140.0,612600.0
2025-10-16,GWSA,140.0,141.0,137.0,140.0,867300.0
2025-10-17,GWSA,138.0,143.0,138.0,138.0,115000.0
2025-10-20,GWSA,138.0,140.0,130.0,140.0,183300.0
2025-10-21,GWSA,143.0,143.0,139.0,140.0,31400.0
2025-10-22,GWSA,141.0,141.0,139.0,140.0,318900.0
2025-10-23,GWSA,141.0,142.0,140.0,140.0,141600.0
2025-10-24,GWSA,140.0,143.0,140.0,143.0,18600.0
2025-10-27,GWSA,137.0,144.0,137.0,140.0,174200.0
2025-10-28,GWSA,143.0,155.0,142.0,145.0,1237100.0
2025-10-29,GWSA,145.0,146.0,141.0,142.0,126800.0
2025-10-30,GWSA,149.0,149.0,142.0,145.0,247100.0
2025-10-31,GWSA,147.0,149.0,145.0,147.0,354700.0
2025-11-03,GWSA,149.0,149.0,145.0,147.0,252200.0
2025-11-04,GWSA,149.0,152.0,141.0,145.0,334600.0
2025-11-05,GWSA,145.0,146.0,142.0,145.0,310300.0
2025-11-06,GWSA,148.0,152.0,143.0,145.0,969200.0
2025-11-07,GWSA,148.0,148.0,144.0,145.0,285200.0
2025-11-10,GWSA,145.0,148.0,145.0,148.0,490200.0
2025-11-11,GWSA,148.0,148.0,145.0,146.0,121000.0
2025-11-12,GWSA,146.0,147.0,145.0,146.0,575800.0
2025-11-13,GWSA,146.0,157.0,145.0,149.0,725500.0
2025-11-14,GWSA,150.0,150.0,146.0,147.0,143100.0
2025-11-17,GWSA,147.0,151.0,146.0,149.0,455100.0
2025-11-18,GWSA,148.0,166.0,147.0,165.0,5483700.0
2025-11-19,GWSA,166.0,170.0,156.0,163.0,12604000.0
2025-11-20,GWSA,162.0,162.0,154.0,160.0,4112400.0
2025-11-21,GWSA,159.0,159.0,152.0,154.0,4587700.0
2025-11-24,GWSA,154.0,156.0,152.0,155.0,749300.0
2025-11-25,GWSA,155.0,155.0,148.0,149.0,1194700.0
2025-11-26,GWSA,148.0,149.0,147.0,149.0,806900.0
2025-11-27,GWSA,154.0,154.0,147.0,148.0,1033600.0
2025-11-28,GWSA,151.0,154.0,147.0,151.0,1258600.0
2025-12-01,GWSA,151.0,153.0,148.0,152.0,994100.0
2025-12-02,GWSA,152.0,152.0,148.0,148.0,930500.0
2025-12-03,GWSA,151.0,151.0,148.0,149.0,1270000.0
2025-12-04,GWSA,149.0,150.0,147.0,149.0,1320300.0
2025-12-05,GWSA,149.0,155.0,147.0,154.0,5772100.0
2025-12-08,GWSA,155.0,155.0,151.0,151.0,1071400.0
2025-12-09,GWSA,152.0,152.0,148.0,151.0,5934700.0
2025-12-10,GWSA,150.0,151.0,149.0,150.0,2013900.0
2025-12-11,GWSA,150.0,151.0,147.0,149.0,2714400.0
2025-12-12,GWSA,150.0,154.0,146.0,154.0,1696300.0
2025-12-15,GWSA,154.0,154.0,149.0,150.0,1568100.0
2025-12-16,GWSA,150.0,151.0,148.0,148.0,1981500.0
2025-12-17,GWSA,150.0,151.0,148.0,151.0,991900.0
2025-12-18,GWSA,151.0,153.0,149.0,153.0,2932800.0
2025-12-19,GWSA,154.0,154.0,148.0,151.0,1232600.0
2025-12-22,GWSA,153.0,154.0,150.0,152.0,2352500.0
2025-12-23,GWSA,152.0,154.0,152.0,153.0,1252800.0
2025-12-24,GWSA,155.0,155.0,151.0,154.0,1690100.0
2025-12-29,GWSA,154.0,154.0,151.0,152.0,653600.0
2025-12-30,GWSA,154.0,158.0,152.0,158.0,1119500.0
2026-01-02,GWSA,158.0,158.0,153.0,155.0,543400.0
2026-01-05,GWSA,155.0,155.0,152.0,153.0,466000.0
