Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,HDIT,18.0,18.0,18.0,18.0,1039200.0
2025-06-16,HDIT,19.0,19.0,18.0,19.0,1186600.0
2025-06-17,HDIT,18.0,19.0,18.0,18.0,1843400.0
2025-06-18,HDIT,18.0,18.0,18.0,18.0,577600.0
2025-06-19,HDIT,19.0,19.0,18.0,18.0,134000.0
2025-06-20,HDIT,18.0,18.0,17.0,18.0,821400.0
2025-06-23,HDIT,19.0,19.0,18.0,18.0,998400.0
2025-06-24,HDIT,18.0,18.0,18.0,18.0,119000.0
2025-06-25,HDIT,18.0,18.0,18.0,18.0,130500.0
2025-06-26,HDIT,17.0,18.0,17.0,18.0,170900.0
2025-06-30,HDIT,18.0,18.0,18.0,18.0,27300.0
2025-07-01,HDIT,18.0,18.0,18.0,18.0,106900.0
2025-07-02,HDIT,18.0,18.0,18.0,18.0,67900.0
2025-07-03,HDIT,18.0,18.0,17.0,17.0,1874400.0
2025-07-04,HDIT,17.0,18.0,17.0,18.0,32900.0
2025-07-07,HDIT,18.0,18.0,17.0,18.0,173900.0
2025-07-08,HDIT,18.0,18.0,17.0,18.0,386200.0
2025-07-09,HDIT,18.0,18.0,17.0,17.0,724500.0
2025-07-10,HDIT,18.0,18.0,17.0,18.0,403600.0
2025-07-11,HDIT,17.0,18.0,17.0,18.0,65200.0
2025-07-14,HDIT,18.0,18.0,17.0,17.0,1027900.0
2025-07-15,HDIT,17.0,17.0,17.0,17.0,249600.0
2025-07-16,HDIT,17.0,17.0,17.0,17.0,2416900.0
2025-07-17,HDIT,17.0,17.0,17.0,17.0,668000.0
2025-07-18,HDIT,17.0,18.0,17.0,17.0,53200.0
2025-07-21,HDIT,17.0,18.0,17.0,18.0,1979800.0
2025-07-22,HDIT,18.0,19.0,18.0,18.0,1378300.0
2025-07-23,HDIT,18.0,18.0,17.0,17.0,1209100.0
2025-07-24,HDIT,17.0,18.0,17.0,18.0,322600.0
2025-07-25,HDIT,18.0,18.0,17.0,18.0,246800.0
2025-07-28,HDIT,18.0,18.0,18.0,18.0,1841100.0
2025-07-29,HDIT,18.0,18.0,17.0,18.0,449100.0
2025-07-30,HDIT,18.0,18.0,17.0,18.0,86300.0
2025-07-31,HDIT,18.0,18.0,17.0,18.0,302200.0
2025-08-01,HDIT,18.0,18.0,18.0,18.0,233000.0
2025-08-04,HDIT,19.0,19.0,19.0,19.0,4330700.0
2025-08-05,HDIT,20.0,20.0,20.0,20.0,1560500.0
2025-08-06,HDIT,22.0,22.0,22.0,22.0,2092000.0
2025-08-07,HDIT,24.0,24.0,24.0,24.0,3869700.0
2025-08-08,HDIT,26.0,26.0,24.0,24.0,19285300.0
2025-08-11,HDIT,26.0,26.0,26.0,26.0,6081200.0
2025-08-12,HDIT,28.0,28.0,28.0,28.0,4957900.0
2025-08-13,HDIT,30.0,30.0,30.0,30.0,4017500.0
2025-08-14,HDIT,33.0,33.0,33.0,33.0,13415900.0
2025-08-15,HDIT,33.0,36.0,33.0,36.0,23444800.0
2025-08-19,HDIT,39.0,39.0,39.0,39.0,10975000.0
2025-08-20,HDIT,42.0,42.0,40.0,40.0,8782800.0
2025-08-21,HDIT,44.0,44.0,44.0,44.0,14777200.0
2025-08-22,HDIT,48.0,48.0,48.0,48.0,8709500.0
2025-08-25,HDIT,52.0,52.0,52.0,52.0,18834500.0
2025-08-26,HDIT,54.0,57.0,54.0,57.0,27031800.0
2025-08-27,HDIT,61.0,62.0,61.0,61.0,17832700.0
2025-08-28,HDIT,65.0,65.0,65.0,65.0,12259900.0
2025-08-29,HDIT,65.0,65.0,59.0,59.0,10198700.0
2025-09-01,HDIT,54.0,54.0,54.0,54.0,14583600.0
2025-09-02,HDIT,49.0,59.0,49.0,59.0,37067600.0
2025-09-03,HDIT,64.0,64.0,61.0,61.0,15898900.0
2025-09-04,HDIT,61.0,61.0,55.0,60.0,13771200.0
2025-09-08,HDIT,64.0,64.0,61.0,61.0,10961200.0
2025-09-09,HDIT,55.0,59.0,55.0,59.0,11994600.0
2025-09-10,HDIT,56.0,58.0,56.0,58.0,4013200.0
