Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,HRUM,885.0,900.0,870.0,895.0,24881900.0
2025-06-16,HRUM,910.0,960.0,905.0,905.0,93669400.0
2025-06-17,HRUM,910.0,925.0,880.0,890.0,25128900.0
2025-06-18,HRUM,895.0,905.0,875.0,880.0,13624200.0
2025-06-19,HRUM,880.0,895.0,820.0,860.0,48523300.0
2025-06-20,HRUM,860.0,860.0,830.0,830.0,11447000.0
2025-06-23,HRUM,820.0,825.0,770.0,815.0,20682300.0
2025-06-24,HRUM,820.0,835.0,810.0,815.0,9846600.0
2025-06-25,HRUM,820.0,830.0,785.0,795.0,11125100.0
2025-06-26,HRUM,795.0,820.0,795.0,810.0,6947400.0
2025-06-30,HRUM,825.0,840.0,815.0,830.0,10533600.0
2025-07-01,HRUM,840.0,855.0,820.0,825.0,12122200.0
2025-07-02,HRUM,825.0,830.0,800.0,805.0,6396500.0
2025-07-03,HRUM,810.0,825.0,810.0,815.0,4003900.0
2025-07-04,HRUM,820.0,825.0,805.0,810.0,4393300.0
2025-07-07,HRUM,810.0,825.0,790.0,795.0,5912600.0
2025-07-08,HRUM,800.0,815.0,795.0,795.0,4997800.0
2025-07-09,HRUM,800.0,810.0,795.0,805.0,5074900.0
2025-07-10,HRUM,810.0,825.0,805.0,825.0,7086500.0
2025-07-11,HRUM,830.0,850.0,830.0,840.0,11535200.0
2025-07-14,HRUM,835.0,840.0,820.0,830.0,6742800.0
2025-07-15,HRUM,830.0,830.0,805.0,815.0,6502400.0
2025-07-16,HRUM,815.0,830.0,805.0,820.0,6944600.0
2025-07-17,HRUM,820.0,835.0,815.0,835.0,10582800.0
2025-07-18,HRUM,840.0,850.0,815.0,815.0,15589700.0
2025-07-21,HRUM,825.0,850.0,810.0,840.0,21366500.0
2025-07-22,HRUM,850.0,865.0,825.0,830.0,29608400.0
2025-07-23,HRUM,840.0,850.0,820.0,840.0,16956100.0
2025-07-24,HRUM,845.0,850.0,820.0,820.0,12534800.0
2025-07-25,HRUM,825.0,825.0,805.0,810.0,13695100.0
2025-07-28,HRUM,810.0,815.0,805.0,810.0,9569800.0
2025-07-29,HRUM,810.0,815.0,805.0,810.0,10765500.0
2025-07-30,HRUM,815.0,825.0,805.0,810.0,8507700.0
2025-07-31,HRUM,810.0,810.0,790.0,790.0,11046100.0
2025-08-01,HRUM,790.0,840.0,790.0,825.0,27124200.0
2025-08-04,HRUM,850.0,900.0,850.0,890.0,104699900.0
2025-08-05,HRUM,895.0,895.0,850.0,855.0,32216300.0
2025-08-06,HRUM,855.0,880.0,855.0,870.0,16304700.0
2025-08-07,HRUM,870.0,890.0,850.0,880.0,18600300.0
2025-08-08,HRUM,890.0,895.0,850.0,850.0,15165100.0
2025-08-11,HRUM,865.0,880.0,855.0,870.0,13718700.0
2025-08-12,HRUM,870.0,880.0,860.0,865.0,8409300.0
