Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,ICBP,10423.82318230395,10472.646710089917,10301.764362839032,10350.587890625,4299100
2025-06-16,ICBP,10350.5885231974,10497.059115506798,10301.764992427601,10326.1767578125,3557500
2025-06-17,ICBP,10326.176470588234,10472.64705882353,10326.176470588234,10375.0,2443900
2025-06-18,ICBP,10350.58857834507,10423.823874889966,10301.76504731514,10399.412109375,2999200
2025-06-19,ICBP,10423.823059958135,10423.823059958135,10155.293660287081,10204.1171875,4446100
2025-06-20,ICBP,10204.117819806655,10399.411940759892,9960.000168615108,10179.7060546875,14686100
2025-06-23,ICBP,10057.64753454774,10057.64753454774,9715.8828125,9715.8828125,8896600
2025-06-24,ICBP,9960.000343826407,10130.882702666566,9935.588578277811,9984.412109375,3624700
2025-06-25,ICBP,10204.117999312348,10204.117999312348,9935.588578277811,9984.412109375,2262900
2025-06-26,ICBP,9862.353226985837,10057.647350292487,9715.88263450585,9911.1767578125,10959700
2025-06-30,ICBP,10106.470814732142,10301.764936755952,9960.000223214285,10252.94140625,12168800
2025-07-01,ICBP,10252.941176470587,10375.0,10155.294117647058,10375.0,4235400
2025-07-02,ICBP,10425.0,10625.0,10350.0,10500.0,3473000
2025-07-03,ICBP,10600.0,10850.0,10550.0,10750.0,3199900
2025-07-04,ICBP,10750.0,10800.0,10550.0,10650.0,1376400
2025-07-07,ICBP,10725.0,10725.0,10275.0,10500.0,5720900
2025-07-08,ICBP,10450.0,10550.0,10325.0,10500.0,7659400
2025-07-09,ICBP,10525.0,10550.0,10075.0,10525.0,6547300
2025-07-10,ICBP,10500.0,10500.0,10350.0,10450.0,3168500
2025-07-11,ICBP,10475.0,10500.0,10300.0,10325.0,2731600
2025-07-14,ICBP,10325.0,10425.0,10200.0,10400.0,4153500
2025-07-15,ICBP,10400.0,10425.0,10150.0,10400.0,12047900
2025-07-16,ICBP,10400.0,10425.0,10275.0,10350.0,2396100
2025-07-17,ICBP,10350.0,10400.0,10150.0,10350.0,13247400
2025-07-18,ICBP,10350.0,10525.0,10300.0,10400.0,12730500
2025-07-21,ICBP,10425.0,10500.0,10250.0,10500.0,11341700
2025-07-22,ICBP,10525.0,10525.0,10350.0,10350.0,2916000
2025-07-23,ICBP,10475.0,10475.0,10300.0,10450.0,3234000
2025-07-24,ICBP,10450.0,10475.0,10350.0,10350.0,2976000
2025-07-25,ICBP,10350.0,10550.0,10275.0,10550.0,6635900
2025-07-28,ICBP,10550.0,10575.0,10225.0,10225.0,5895900
2025-07-29,ICBP,10225.0,10250.0,9950.0,10000.0,23316400
2025-07-30,ICBP,10050.0,10100.0,9800.0,9925.0,11795400
