Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,IMJS,200.0,202.0,197.0,197.0,4281200.0
2025-06-16,IMJS,197.0,200.0,187.0,195.0,4444700.0
2025-06-17,IMJS,195.0,200.0,194.0,196.0,2306000.0
2025-06-18,IMJS,196.0,202.0,196.0,197.0,2784300.0
2025-06-19,IMJS,197.0,199.0,189.0,191.0,3827100.0
2025-06-20,IMJS,191.0,195.0,188.0,190.0,2337600.0
2025-06-23,IMJS,190.0,190.0,180.0,187.0,4132900.0
2025-06-24,IMJS,187.0,192.0,182.0,190.0,2122300.0
2025-06-25,IMJS,190.0,194.0,188.0,190.0,565200.0
2025-06-26,IMJS,190.0,190.0,187.0,188.0,1335000.0
2025-06-30,IMJS,190.0,191.0,186.0,188.0,1600700.0
2025-07-01,IMJS,188.0,190.0,185.0,187.0,3005100.0
2025-07-02,IMJS,187.0,189.0,185.0,187.0,713200.0
2025-07-03,IMJS,190.0,197.0,187.0,189.0,5917900.0
2025-07-04,IMJS,190.0,193.0,188.0,189.0,456100.0
2025-07-07,IMJS,189.0,191.0,188.0,189.0,552000.0
2025-07-08,IMJS,190.0,194.0,188.0,189.0,3082200.0
2025-07-09,IMJS,196.0,196.0,188.0,190.0,2045800.0
2025-07-10,IMJS,190.0,195.0,190.0,194.0,1854900.0
2025-07-11,IMJS,194.0,194.0,190.0,191.0,2902800.0
2025-07-14,IMJS,191.0,192.0,188.0,188.0,2466300.0
2025-07-15,IMJS,189.0,190.0,185.0,188.0,726000.0
2025-07-16,IMJS,190.0,191.0,186.0,188.0,1455100.0
2025-07-17,IMJS,189.0,191.0,188.0,190.0,1036200.0
2025-07-18,IMJS,190.0,191.0,189.0,190.0,1572100.0
2025-07-21,IMJS,190.0,191.0,178.0,186.0,8233200.0
2025-07-22,IMJS,190.0,197.0,185.0,188.0,7798500.0
2025-07-23,IMJS,195.0,252.0,195.0,252.0,200740500.0
2025-07-24,IMJS,290.0,298.0,226.0,234.0,248736200.0
2025-07-25,IMJS,224.0,236.0,218.0,228.0,30858300.0
2025-07-28,IMJS,230.0,262.0,224.0,254.0,101267800.0
2025-07-29,IMJS,254.0,256.0,238.0,242.0,29019300.0
2025-07-30,IMJS,244.0,250.0,234.0,248.0,37941700.0
2025-07-31,IMJS,252.0,254.0,236.0,238.0,20852800.0
2025-08-01,IMJS,242.0,246.0,234.0,236.0,12796000.0
2025-08-04,IMJS,236.0,244.0,224.0,230.0,16768400.0
2025-08-05,IMJS,230.0,240.0,224.0,234.0,13556600.0
2025-08-06,IMJS,240.0,242.0,228.0,240.0,19314600.0
2025-08-07,IMJS,240.0,272.0,234.0,252.0,59164400.0
2025-08-08,IMJS,250.0,262.0,244.0,252.0,32709000.0
2025-08-11,IMJS,258.0,270.0,258.0,268.0,41782300.0
2025-08-12,IMJS,268.0,278.0,262.0,266.0,22184100.0
2025-08-13,IMJS,268.0,274.0,262.0,266.0,11771100.0
2025-08-14,IMJS,268.0,272.0,262.0,270.0,8733600.0
2025-08-15,IMJS,272.0,308.0,272.0,294.0,64314900.0
2025-08-19,IMJS,300.0,310.0,278.0,310.0,33613500.0
