Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,INDF,7992.4387639592715,8161.46314869557,7944.146082606044,8040.7314453125,11957200
2025-06-16,INDF,7992.438676921068,8064.877698162044,7944.14599609375,7944.14599609375,7501300
2025-06-17,INDF,8016.585365853658,8064.878048780488,7920.0,7920.0,7753400
2025-06-18,INDF,7944.1459074519225,8040.731268028846,7823.414206730769,7847.560546875,8305600
2025-06-19,INDF,7871.706943298718,7992.438644883055,7750.975241714383,7775.12158203125,4749400
2025-06-20,INDF,7775.12158203125,7847.560602981851,7750.975241714383,7775.12158203125,13421400
2025-06-23,INDF,7726.829160094638,7726.829160094638,7533.658431092272,7654.39013671875,4733500
2025-06-24,INDF,7678.536477844046,7750.975501219933,7630.243795593455,7654.39013671875,12219000
2025-06-25,INDF,7750.975241714383,7823.414262664984,7702.682561080648,7775.12158203125,7393900
2025-06-26,INDF,7775.12158203125,7823.414262664984,7654.389880446914,7775.12158203125,7694800
2025-06-30,INDF,7823.414206730769,7871.706887019231,7678.536165865385,7847.560546875,9281800
2025-07-01,INDF,7775.121951219512,7920.0,7775.121951219512,7920.0,8235500
2025-07-02,INDF,7975.0,8050.0,7875.0,7975.0,11433200
2025-07-03,INDF,7925.0,8125.0,7875.0,8100.0,8038300
2025-07-04,INDF,8125.0,8250.0,8050.0,8100.0,7561600
2025-07-07,INDF,8100.0,8100.0,8000.0,8100.0,5535000
2025-07-08,INDF,8050.0,8100.0,7975.0,8025.0,4585500
2025-07-09,INDF,8025.0,8200.0,8000.0,8175.0,7330800
2025-07-10,INDF,8175.0,8200.0,8050.0,8150.0,4624300
2025-07-11,INDF,8150.0,8250.0,8100.0,8250.0,8348300
2025-07-14,INDF,8250.0,8350.0,8125.0,8350.0,10098800
2025-07-15,INDF,8350.0,8350.0,8225.0,8325.0,17749200
2025-07-16,INDF,8325.0,8450.0,8275.0,8275.0,12711100
2025-07-17,INDF,8350.0,8450.0,8175.0,8225.0,7185300
2025-07-18,INDF,8225.0,8275.0,8200.0,8225.0,3995500
2025-07-21,INDF,8275.0,8375.0,8225.0,8300.0,4406300
2025-07-22,INDF,8300.0,8300.0,8200.0,8225.0,3519800
2025-07-23,INDF,8300.0,8350.0,8200.0,8350.0,4557000
2025-07-24,INDF,8350.0,8450.0,8350.0,8350.0,4995300
2025-07-25,INDF,8350.0,8400.0,8300.0,8400.0,3388300
2025-07-28,INDF,8475.0,8475.0,8350.0,8375.0,3305800
2025-07-29,INDF,8350.0,8400.0,8275.0,8300.0,3728500
2025-07-30,INDF,8325.0,8400.0,8275.0,8375.0,6796700
2025-07-31,INDF,8425.0,8825.0,8400.0,8525.0,16887300
2025-08-01,INDF,8675.0,8700.0,8450.0,8475.0,7232800
2025-08-04,INDF,8475.0,8525.0,8375.0,8375.0,3449300
2025-08-05,INDF,8400.0,8425.0,8200.0,8325.0,4715600
2025-08-06,INDF,8350.0,8375.0,8125.0,8200.0,5560300
2025-08-07,INDF,8200.0,8325.0,8000.0,8200.0,8381800
2025-08-08,INDF,8225.0,8275.0,8125.0,8150.0,3960800
2025-08-11,INDF,8150.0,8200.0,7975.0,8075.0,5238000
2025-08-12,INDF,8075.0,8150.0,8000.0,8050.0,3719100
2025-08-13,INDF,8025.0,8125.0,7975.0,8025.0,5999800
2025-08-14,INDF,8000.0,8175.0,8000.0,8150.0,8223400
2025-08-15,INDF,8150.0,8175.0,8050.0,8050.0,10269600
2025-08-19,INDF,8050.0,8050.0,7825.0,7925.0,9976000
2025-08-20,INDF,7925.0,8000.0,7900.0,7975.0,5064200
2025-08-21,INDF,7950.0,7975.0,7925.0,7925.0,3961700
2025-08-22,INDF,7975.0,8000.0,7850.0,7850.0,4607300
2025-08-25,INDF,7850.0,7900.0,7700.0,7700.0,9881300
2025-08-26,INDF,7700.0,7800.0,7625.0,7800.0,15558500
2025-08-27,INDF,7725.0,7725.0,7575.0,7600.0,12730200
2025-08-28,INDF,7600.0,7650.0,7550.0,7600.0,12993000
2025-08-29,INDF,7550.0,7600.0,7450.0,7450.0,10405300
2025-09-01,INDF,7100.0,7450.0,7075.0,7400.0,10597600
2025-09-02,INDF,7425.0,7600.0,7425.0,7500.0,5774100
2025-09-03,INDF,7525.0,7750.0,7525.0,7700.0,9930600
2025-09-04,INDF,7700.0,7700.0,7525.0,7525.0,4236900
2025-09-08,INDF,7525.0,7575.0,7400.0,7425.0,8650500
2025-09-09,INDF,7400.0,7425.0,7350.0,7350.0,8540500
2025-09-10,INDF,7375.0,7475.0,7300.0,7425.0,9453600
2025-09-11,INDF,7475.0,7525.0,7450.0,7475.0,5294000
2025-09-12,INDF,7500.0,7575.0,7450.0,7550.0,4229700
2025-09-15,INDF,7600.0,7650.0,7550.0,7650.0,3733700
2025-09-16,INDF,7700.0,7700.0,7625.0,7650.0,3203500
2025-09-17,INDF,7650.0,7800.0,7650.0,7775.0,5049900
2025-09-18,INDF,7775.0,7775.0,7600.0,7650.0,4903700
2025-09-19,INDF,7700.0,7875.0,7650.0,7825.0,9938400
2025-09-22,INDF,7825.0,7850.0,7750.0,7850.0,6114900
2025-09-23,INDF,7850.0,7875.0,7750.0,7775.0,4161400
2025-09-24,INDF,7800.0,7950.0,7750.0,7875.0,9415800
2025-09-25,INDF,7900.0,7925.0,7725.0,7750.0,8761000
2025-09-26,INDF,7800.0,7825.0,7650.0,7650.0,8003900
2025-09-29,INDF,7700.0,7725.0,7525.0,7575.0,6642100
2025-09-30,INDF,7575.0,7625.0,7225.0,7225.0,15147300
2025-10-01,INDF,7275.0,7350.0,7075.0,7100.0,11257700
2025-10-02,INDF,7125.0,7150.0,7000.0,7025.0,9613900
2025-10-03,INDF,7025.0,7175.0,7025.0,7150.0,6066500
2025-10-06,INDF,7200.0,7200.0,7025.0,7100.0,5279100
2025-10-07,INDF,7125.0,7250.0,7100.0,7225.0,7673100
2025-10-08,INDF,7300.0,7300.0,7225.0,7250.0,7314000
2025-10-09,INDF,7275.0,7275.0,7050.0,7150.0,11257300
2025-10-10,INDF,7150.0,7275.0,7100.0,7200.0,10190700
2025-10-13,INDF,7100.0,7250.0,7025.0,7200.0,5518800
2025-10-14,INDF,7250.0,7250.0,7050.0,7050.0,4104000
2025-10-15,INDF,7050.0,7100.0,6875.0,6900.0,8979000
2025-10-16,INDF,6900.0,7225.0,6850.0,7075.0,13547200
2025-10-17,INDF,7150.0,7200.0,7075.0,7125.0,6505800
2025-10-20,INDF,7125.0,7300.0,7125.0,7250.0,10833500
2025-10-21,INDF,7325.0,7325.0,7175.0,7275.0,4968000
2025-10-22,INDF,7225.0,7375.0,7175.0,7175.0,8148100
2025-10-23,INDF,7100.0,7425.0,7100.0,7375.0,6107200
2025-10-24,INDF,7400.0,7425.0,7300.0,7300.0,7664600
2025-10-27,INDF,7300.0,7450.0,7300.0,7450.0,12897100
2025-10-28,INDF,7500.0,7575.0,7425.0,7500.0,8341000
2025-10-29,INDF,7450.0,7450.0,7325.0,7425.0,5612700
2025-10-30,INDF,7400.0,7500.0,7375.0,7400.0,10517900
2025-10-31,INDF,7400.0,7450.0,7275.0,7400.0,11495400
2025-11-03,INDF,7400.0,7425.0,7200.0,7200.0,7609300
2025-11-04,INDF,7200.0,7250.0,7050.0,7075.0,18602600
2025-11-05,INDF,7075.0,7150.0,7025.0,7125.0,10041400
2025-11-06,INDF,7125.0,7125.0,7025.0,7025.0,8261500
2025-11-07,INDF,7075.0,7150.0,7050.0,7125.0,4622900
2025-11-10,INDF,7150.0,7175.0,7100.0,7100.0,5129400
2025-11-11,INDF,7150.0,7150.0,7025.0,7050.0,4661800
2025-11-12,INDF,7050.0,7175.0,7050.0,7175.0,5851900
2025-11-13,INDF,7150.0,7250.0,7100.0,7150.0,8371600
2025-11-14,INDF,7150.0,7175.0,7100.0,7100.0,5161800
2025-11-17,INDF,7100.0,7150.0,7075.0,7100.0,4245000
2025-11-18,INDF,7100.0,7125.0,7000.0,7000.0,7331100
2025-11-19,INDF,7025.0,7050.0,7000.0,7025.0,5448800
2025-11-20,INDF,7025.0,7175.0,7025.0,7075.0,8110900
2025-11-21,INDF,7050.0,7125.0,7025.0,7125.0,7423400
2025-11-24,INDF,7150.0,7450.0,7100.0,7450.0,18591600
2025-11-25,INDF,7325.0,7350.0,7175.0,7250.0,7894800
2025-11-26,INDF,7250.0,7425.0,7225.0,7425.0,7662600
2025-11-27,INDF,7425.0,7425.0,7275.0,7375.0,4580000
2025-11-28,INDF,7350.0,7400.0,7300.0,7350.0,4591700
2025-12-01,INDF,7225.0,7425.0,7225.0,7350.0,4108900
2025-12-02,INDF,7375.0,7450.0,7200.0,7200.0,7221100
2025-12-03,INDF,7200.0,7275.0,7050.0,7050.0,9217900
2025-12-04,INDF,7050.0,7100.0,7025.0,7025.0,4479400
2025-12-05,INDF,7050.0,7125.0,7000.0,7100.0,8852600
2025-12-08,INDF,7150.0,7150.0,6975.0,6975.0,8844700
2025-12-09,INDF,6975.0,7000.0,6850.0,6850.0,12610800
2025-12-10,INDF,6900.0,6950.0,6900.0,6900.0,3688400
2025-12-11,INDF,6900.0,6950.0,6550.0,6575.0,35995900
2025-12-12,INDF,6650.0,6775.0,6625.0,6775.0,6481400
2025-12-15,INDF,6825.0,6850.0,6700.0,6775.0,6213700
2025-12-16,INDF,6800.0,6825.0,6750.0,6775.0,5528400
2025-12-17,INDF,6800.0,6875.0,6775.0,6775.0,6792100
2025-12-18,INDF,6900.0,6900.0,6775.0,6875.0,9005600
2025-12-19,INDF,6875.0,6925.0,6750.0,6750.0,12787800
2025-12-22,INDF,6775.0,6850.0,6775.0,6850.0,3858800
