Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,INDX,77.0,77.0,75.0,75.0,2550400.0
2025-06-16,INDX,76.0,76.0,74.0,74.0,1519600.0
2025-06-17,INDX,75.0,90.0,74.0,80.0,55338400.0
2025-06-18,INDX,80.0,80.0,77.0,77.0,3700600.0
2025-06-19,INDX,78.0,84.0,76.0,77.0,17881900.0
2025-06-20,INDX,77.0,77.0,75.0,76.0,2048700.0
2025-06-23,INDX,76.0,83.0,74.0,78.0,12768100.0
2025-06-24,INDX,77.0,79.0,76.0,78.0,2186500.0
2025-06-25,INDX,78.0,85.0,77.0,82.0,16629000.0
2025-06-26,INDX,83.0,83.0,74.0,76.0,12659500.0
2025-06-30,INDX,76.0,80.0,75.0,78.0,5703100.0
2025-07-01,INDX,78.0,84.0,78.0,81.0,16072200.0
2025-07-02,INDX,82.0,84.0,79.0,80.0,5920100.0
2025-07-03,INDX,80.0,81.0,76.0,78.0,5655700.0
2025-07-04,INDX,78.0,81.0,78.0,78.0,3479700.0
2025-07-07,INDX,78.0,79.0,77.0,77.0,1538300.0
2025-07-08,INDX,77.0,80.0,77.0,78.0,1493600.0
2025-07-09,INDX,79.0,79.0,77.0,78.0,995300.0
2025-07-10,INDX,78.0,79.0,77.0,78.0,1494400.0
2025-07-11,INDX,78.0,79.0,77.0,78.0,536800.0
2025-07-14,INDX,78.0,78.0,76.0,77.0,1175500.0
2025-07-15,INDX,76.0,78.0,75.0,75.0,1815400.0
2025-07-16,INDX,75.0,80.0,75.0,77.0,3479500.0
2025-07-17,INDX,77.0,78.0,76.0,77.0,901500.0
2025-07-18,INDX,77.0,77.0,76.0,76.0,942200.0
2025-07-21,INDX,75.0,78.0,73.0,75.0,9619600.0
2025-07-22,INDX,75.0,75.0,72.0,74.0,2720900.0
2025-07-23,INDX,74.0,74.0,72.0,73.0,2737100.0
2025-07-24,INDX,73.0,74.0,72.0,72.0,1225400.0
2025-07-25,INDX,73.0,77.0,71.0,76.0,5746900.0
2025-07-28,INDX,75.0,77.0,74.0,76.0,3111600.0
2025-07-29,INDX,75.0,76.0,72.0,73.0,6595600.0
2025-07-30,INDX,73.0,74.0,70.0,72.0,5212900.0
2025-07-31,INDX,72.0,76.0,72.0,74.0,6844900.0
2025-08-01,INDX,74.0,75.0,73.0,74.0,1854900.0
2025-08-04,INDX,73.0,75.0,72.0,74.0,3698400.0
2025-08-05,INDX,75.0,76.0,74.0,75.0,1290300.0
2025-08-06,INDX,75.0,75.0,74.0,75.0,1615600.0
2025-08-07,INDX,74.0,75.0,73.0,75.0,3385800.0
2025-08-08,INDX,75.0,99.0,75.0,94.0,173840700.0
2025-08-11,INDX,93.0,97.0,86.0,93.0,43440800.0
2025-08-12,INDX,94.0,95.0,90.0,91.0,13672300.0
2025-08-13,INDX,92.0,105.0,88.0,92.0,73369100.0
2025-08-14,INDX,91.0,92.0,88.0,91.0,10204400.0
2025-08-15,INDX,91.0,97.0,89.0,91.0,11477500.0
2025-08-19,INDX,91.0,96.0,90.0,94.0,6231800.0
2025-08-20,INDX,94.0,94.0,91.0,91.0,4580100.0
2025-08-21,INDX,92.0,110.0,91.0,95.0,83593100.0
2025-08-22,INDX,96.0,99.0,94.0,98.0,8522500.0
2025-08-25,INDX,98.0,102.0,96.0,99.0,12150500.0
2025-08-26,INDX,100.0,100.0,96.0,97.0,4732600.0
2025-08-27,INDX,96.0,97.0,92.0,93.0,6795700.0
2025-08-28,INDX,94.0,94.0,91.0,92.0,2500900.0
2025-08-29,INDX,90.0,98.0,82.0,90.0,22489300.0
2025-09-01,INDX,88.0,90.0,83.0,88.0,6123800.0
2025-09-02,INDX,89.0,92.0,88.0,92.0,2275400.0
2025-09-03,INDX,92.0,93.0,89.0,90.0,4022400.0
2025-09-04,INDX,90.0,91.0,85.0,86.0,4971500.0
2025-09-08,INDX,87.0,91.0,84.0,89.0,6187600.0
2025-09-09,INDX,86.0,89.0,84.0,86.0,2385200.0
2025-09-10,INDX,86.0,98.0,84.0,87.0,32479800.0
2025-09-11,INDX,88.0,91.0,85.0,89.0,7426200.0
2025-09-12,INDX,90.0,100.0,90.0,94.0,30219100.0
2025-09-15,INDX,97.0,126.0,96.0,126.0,76068300.0
2025-09-16,INDX,136.0,170.0,136.0,170.0,72919000.0
2025-09-17,INDX,199.0,224.0,173.0,183.0,101651400.0
2025-09-18,INDX,183.0,212.0,162.0,178.0,29831900.0
2025-09-19,INDX,183.0,240.0,183.0,228.0,97959100.0
2025-09-22,INDX,228.0,228.0,228.0,228.0,0.0
2025-09-23,INDX,246.0,250.0,210.0,228.0,27430700.0
2025-09-24,INDX,234.0,284.0,234.0,276.0,63939400.0
2025-09-25,INDX,276.0,276.0,276.0,276.0,0.0
2025-09-26,INDX,276.0,276.0,276.0,276.0,0.0
2025-09-29,INDX,276.0,276.0,276.0,276.0,0.0
2025-09-30,INDX,276.0,276.0,276.0,276.0,0.0
2025-10-01,INDX,276.0,276.0,276.0,276.0,0.0
2025-10-02,INDX,276.0,276.0,276.0,276.0,0.0
2025-10-03,INDX,276.0,276.0,276.0,276.0,0.0
2025-10-06,INDX,276.0,276.0,276.0,276.0,0.0
2025-10-07,INDX,276.0,276.0,276.0,276.0,0.0
2025-10-08,INDX,276.0,276.0,276.0,276.0,0.0
2025-10-09,INDX,276.0,276.0,276.0,276.0,0.0
2025-10-10,INDX,274.0,274.0,250.0,250.0,4227800.0
2025-10-13,INDX,226.0,226.0,226.0,226.0,1147800.0
2025-10-14,INDX,204.0,204.0,204.0,204.0,4801400.0
2025-10-15,INDX,184.0,184.0,184.0,184.0,3675700.0
2025-10-16,INDX,184.0,186.0,178.0,178.0,16686700.0
2025-10-17,INDX,180.0,180.0,161.0,161.0,5391800.0
2025-10-20,INDX,146.0,158.0,145.0,158.0,10590400.0
2025-10-21,INDX,170.0,212.0,168.0,212.0,173023700.0
2025-10-22,INDX,212.0,216.0,181.0,181.0,69450700.0
2025-10-23,INDX,170.0,180.0,163.0,175.0,17693700.0
2025-10-24,INDX,173.0,175.0,168.0,168.0,6968300.0
2025-10-27,INDX,179.0,200.0,161.0,171.0,55800900.0
2025-10-28,INDX,171.0,173.0,158.0,162.0,7330800.0
2025-10-29,INDX,162.0,185.0,158.0,164.0,22344800.0
2025-10-30,INDX,164.0,173.0,156.0,160.0,11270500.0
2025-10-31,INDX,160.0,163.0,157.0,158.0,4567100.0
2025-11-03,INDX,160.0,164.0,158.0,160.0,4760000.0
2025-11-04,INDX,160.0,176.0,156.0,158.0,31467600.0
2025-11-05,INDX,158.0,191.0,146.0,158.0,101662600.0
2025-11-06,INDX,159.0,183.0,158.0,170.0,53378400.0
2025-11-07,INDX,174.0,178.0,166.0,170.0,14249500.0
2025-11-10,INDX,170.0,193.0,168.0,191.0,79543100.0
2025-11-11,INDX,187.0,197.0,174.0,187.0,52566400.0
2025-11-12,INDX,189.0,204.0,175.0,181.0,97823000.0
2025-11-13,INDX,181.0,182.0,172.0,176.0,23924600.0
2025-11-14,INDX,176.0,183.0,169.0,170.0,29086400.0
2025-11-17,INDX,170.0,174.0,165.0,170.0,7193100.0
2025-11-18,INDX,169.0,169.0,165.0,167.0,4351600.0
2025-11-19,INDX,167.0,178.0,163.0,167.0,14857900.0
2025-11-20,INDX,167.0,173.0,165.0,169.0,2150500.0
2025-11-21,INDX,170.0,171.0,166.0,167.0,3896800.0
2025-11-24,INDX,166.0,168.0,164.0,167.0,2043600.0
2025-11-25,INDX,167.0,171.0,165.0,169.0,5284800.0
2025-11-26,INDX,172.0,172.0,163.0,164.0,7555300.0
2025-11-27,INDX,164.0,168.0,159.0,165.0,4222600.0
2025-11-28,INDX,165.0,171.0,164.0,165.0,3448800.0
2025-12-01,INDX,166.0,169.0,164.0,167.0,3400500.0
2025-12-02,INDX,167.0,170.0,165.0,166.0,2790700.0
2025-12-03,INDX,166.0,168.0,162.0,162.0,4726000.0
2025-12-04,INDX,160.0,164.0,160.0,162.0,2884500.0
2025-12-05,INDX,162.0,166.0,162.0,163.0,2676200.0
2025-12-08,INDX,164.0,180.0,162.0,170.0,19099900.0
2025-12-09,INDX,172.0,178.0,168.0,169.0,8939900.0
2025-12-10,INDX,169.0,170.0,163.0,164.0,4755400.0
2025-12-11,INDX,163.0,202.0,159.0,198.0,40637400.0
2025-12-12,INDX,222.0,248.0,171.0,171.0,222276200.0
2025-12-15,INDX,169.0,169.0,162.0,163.0,12233000.0
2025-12-16,INDX,166.0,190.0,163.0,189.0,51192500.0
2025-12-17,INDX,170.0,180.0,168.0,172.0,27875600.0
2025-12-18,INDX,173.0,180.0,169.0,173.0,14769000.0
2025-12-19,INDX,174.0,174.0,165.0,165.0,5293100.0
2025-12-22,INDX,165.0,173.0,163.0,169.0,9801800.0
2025-12-23,INDX,175.0,185.0,168.0,169.0,18573000.0
2025-12-24,INDX,176.0,177.0,165.0,166.0,3784700.0
2025-12-29,INDX,166.0,168.0,163.0,166.0,2607600.0
2025-12-30,INDX,166.0,167.0,164.0,165.0,2353500.0
2026-01-02,INDX,165.0,172.0,164.0,171.0,6149600.0
2026-01-05,INDX,171.0,181.0,171.0,176.0,9104000.0
2026-01-06,INDX,176.0,179.0,173.0,175.0,5026600.0
2026-01-07,INDX,175.0,178.0,173.0,174.0,2261700.0
2026-01-08,INDX,174.0,178.0,173.0,174.0,2907100.0
