Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,INET,172.94849378009175,176.94730288483376,167.94998239916424,171.94879150390625,95218000.0
2025-06-16,INET,171.948791854683,180.94611235870713,167.9499827417834,173.9481964111328,262455500.0
2025-06-17,INET,174.94789796717026,175.9476002412684,169.9493865966797,169.9493865966797,59743400.0
2025-06-18,INET,169.9493940906412,171.94879872700167,167.94998945428068,168.94969177246094,63463800.0
2025-06-19,INET,168.94968282440564,170.94908735487198,152.95444658067493,161.95176696777344,159941600.0
2025-06-20,INET,162.95147732821377,165.95058427290482,155.95356112393466,164.9508819580078,181502100.0
2025-06-23,INET,159.0,163.0,155.0,160.0,117098400.0
2025-06-24,INET,162.0,174.0,162.0,170.0,203419300.0
2025-06-25,INET,172.0,175.0,167.0,172.0,204496000.0
2025-06-26,INET,172.0,175.0,169.0,169.0,118000700.0
2025-06-30,INET,170.0,172.0,167.0,167.0,83029800.0
2025-07-01,INET,168.0,170.0,160.0,168.0,269859200.0
2025-07-02,INET,168.0,170.0,162.0,162.0,145139700.0
2025-07-03,INET,163.0,168.0,162.0,163.0,179681100.0
2025-07-04,INET,163.0,166.0,162.0,163.0,71068300.0
2025-07-07,INET,163.0,165.0,161.0,163.0,78318500.0
2025-07-08,INET,163.0,193.0,162.0,190.0,598719700.0
2025-07-09,INET,191.0,193.0,182.0,189.0,306988500.0
2025-07-10,INET,189.0,199.0,186.0,190.0,388965600.0
2025-07-11,INET,191.0,194.0,187.0,190.0,160857600.0
2025-07-14,INET,191.0,194.0,185.0,185.0,131455200.0
2025-07-15,INET,187.0,244.0,185.0,240.0,1112709500.0
2025-07-16,INET,242.0,250.0,228.0,236.0,350878700.0
2025-07-17,INET,236.0,264.0,232.0,242.0,598298100.0
2025-07-18,INET,246.0,274.0,240.0,268.0,594239700.0
2025-07-21,INET,268.0,276.0,254.0,272.0,514569100.0
2025-07-22,INET,278.0,332.0,276.0,294.0,1130061300.0
2025-07-23,INET,298.0,322.0,284.0,294.0,554681900.0
2025-07-24,INET,300.0,310.0,290.0,306.0,204586300.0
2025-07-25,INET,310.0,314.0,298.0,300.0,239019600.0
