Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,INOV,90.0,92.0,88.0,90.0,233100.0
2025-06-16,INOV,89.0,89.0,87.0,88.0,792100.0
2025-06-17,INOV,88.0,88.0,85.0,87.0,250200.0
2025-06-18,INOV,87.0,88.0,83.0,83.0,868800.0
2025-06-19,INOV,85.0,85.0,80.0,84.0,2200400.0
2025-06-20,INOV,84.0,89.0,83.0,84.0,691800.0
2025-06-23,INOV,88.0,88.0,83.0,84.0,90000.0
2025-06-24,INOV,87.0,87.0,84.0,86.0,89600.0
2025-06-25,INOV,86.0,86.0,85.0,85.0,52200.0
2025-06-26,INOV,86.0,88.0,85.0,85.0,85200.0
2025-06-30,INOV,85.0,85.0,83.0,84.0,365700.0
2025-07-01,INOV,84.0,84.0,83.0,84.0,57300.0
2025-07-02,INOV,82.0,84.0,82.0,83.0,6000.0
2025-07-03,INOV,84.0,85.0,83.0,85.0,124700.0
2025-07-04,INOV,84.0,85.0,83.0,84.0,59000.0
2025-07-07,INOV,86.0,86.0,83.0,84.0,124400.0
2025-07-08,INOV,85.0,85.0,85.0,85.0,2300.0
2025-07-09,INOV,83.0,88.0,83.0,87.0,282900.0
2025-07-10,INOV,88.0,105.0,87.0,91.0,10021900.0
2025-07-11,INOV,91.0,94.0,87.0,89.0,1020400.0
2025-07-14,INOV,90.0,90.0,86.0,88.0,292900.0
2025-07-15,INOV,88.0,88.0,85.0,86.0,240600.0
2025-07-16,INOV,87.0,90.0,84.0,87.0,901900.0
2025-07-17,INOV,87.0,99.0,83.0,84.0,4030300.0
2025-07-18,INOV,84.0,87.0,84.0,85.0,361000.0
2025-07-21,INOV,84.0,88.0,84.0,86.0,252100.0
2025-07-22,INOV,84.0,86.0,84.0,85.0,130700.0
2025-07-23,INOV,84.0,91.0,83.0,85.0,1528900.0
2025-07-24,INOV,85.0,98.0,85.0,87.0,2848900.0
2025-07-25,INOV,86.0,87.0,85.0,85.0,567000.0
2025-07-28,INOV,85.0,86.0,85.0,86.0,217300.0
2025-07-29,INOV,85.0,87.0,85.0,86.0,219500.0
2025-07-30,INOV,87.0,91.0,85.0,88.0,618600.0
2025-07-31,INOV,88.0,90.0,87.0,90.0,272400.0
2025-08-01,INOV,89.0,90.0,86.0,88.0,305200.0
2025-08-04,INOV,87.0,88.0,84.0,85.0,721000.0
2025-08-05,INOV,85.0,86.0,84.0,86.0,79800.0
2025-08-06,INOV,86.0,86.0,85.0,86.0,64300.0
2025-08-07,INOV,85.0,93.0,85.0,86.0,2333500.0
2025-08-08,INOV,86.0,88.0,85.0,87.0,394300.0
2025-08-11,INOV,87.0,88.0,85.0,87.0,365700.0
2025-08-12,INOV,87.0,88.0,86.0,88.0,190100.0
2025-08-13,INOV,88.0,89.0,87.0,89.0,339600.0
2025-08-14,INOV,90.0,91.0,88.0,90.0,399700.0
2025-08-15,INOV,90.0,91.0,86.0,89.0,1501600.0
2025-08-19,INOV,87.0,91.0,86.0,90.0,534800.0
2025-08-20,INOV,90.0,91.0,89.0,89.0,139900.0
