Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,IOTF,182.0,193.0,180.0,193.0,97597000.0
2025-06-16,IOTF,193.0,208.0,190.0,206.0,201714800.0
2025-06-17,IOTF,206.0,208.0,194.0,200.0,62969300.0
2025-06-18,IOTF,200.0,204.0,193.0,202.0,134128600.0
2025-06-19,IOTF,202.0,204.0,172.0,172.0,96675800.0
2025-06-20,IOTF,147.0,147.0,147.0,147.0,94974500.0
2025-06-23,IOTF,132.0,140.0,125.0,125.0,136371500.0
2025-06-24,IOTF,125.0,129.0,115.0,125.0,34139200.0
2025-06-25,IOTF,128.0,128.0,107.0,107.0,117007900.0
2025-06-26,IOTF,101.0,113.0,94.0,107.0,94145800.0
2025-06-30,IOTF,107.0,111.0,103.0,108.0,179562600.0
2025-07-01,IOTF,109.0,122.0,108.0,111.0,221412900.0
2025-07-02,IOTF,111.0,115.0,104.0,104.0,161541700.0
2025-07-03,IOTF,105.0,108.0,98.0,104.0,135710500.0
2025-07-04,IOTF,104.0,105.0,89.0,89.0,450664700.0
2025-07-07,IOTF,76.0,86.0,76.0,76.0,670627800.0
2025-07-08,IOTF,65.0,66.0,65.0,65.0,327241800.0
2025-07-09,IOTF,56.0,87.0,56.0,87.0,1833549000.0
2025-07-10,IOTF,96.0,117.0,96.0,117.0,1701458400.0
2025-07-11,IOTF,119.0,141.0,101.0,118.0,1764605200.0
2025-07-14,IOTF,118.0,125.0,101.0,101.0,1316624800.0
2025-07-15,IOTF,86.0,86.0,86.0,86.0,269987100.0
2025-07-16,IOTF,74.0,108.0,74.0,99.0,1530102000.0
2025-07-17,IOTF,101.0,107.0,94.0,95.0,407816100.0
2025-07-18,IOTF,97.0,99.0,90.0,92.0,188314600.0
2025-07-21,IOTF,93.0,97.0,86.0,92.0,296796000.0
2025-07-22,IOTF,94.0,94.0,87.0,89.0,114431100.0
2025-07-23,IOTF,89.0,89.0,85.0,87.0,110433700.0
2025-07-24,IOTF,87.0,93.0,87.0,88.0,105858700.0
2025-07-25,IOTF,89.0,90.0,85.0,87.0,54185000.0
2025-07-28,IOTF,87.0,88.0,85.0,86.0,51211600.0
2025-07-29,IOTF,86.0,87.0,82.0,86.0,95084500.0
2025-07-30,IOTF,86.0,93.0,86.0,89.0,209720900.0
2025-07-31,IOTF,89.0,90.0,85.0,85.0,75061200.0
2025-08-01,IOTF,85.0,91.0,82.0,88.0,150156300.0
2025-08-04,IOTF,88.0,90.0,86.0,86.0,64675700.0
2025-08-05,IOTF,86.0,87.0,84.0,85.0,55797600.0
2025-08-06,IOTF,86.0,91.0,84.0,87.0,124646300.0
2025-08-07,IOTF,88.0,89.0,85.0,85.0,92834100.0
2025-08-08,IOTF,85.0,86.0,83.0,84.0,49263800.0
2025-08-11,IOTF,84.0,85.0,82.0,83.0,52650800.0
2025-08-12,IOTF,83.0,84.0,81.0,82.0,56945100.0
2025-08-13,IOTF,83.0,84.0,82.0,83.0,46514100.0
2025-08-14,IOTF,84.0,112.0,84.0,112.0,2494558600.0
2025-08-15,IOTF,125.0,130.0,102.0,105.0,1674678000.0
