Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,IPAC,148.0,157.0,139.0,148.0,24000.0
2025-06-16,IPAC,148.0,150.0,136.0,145.0,48400.0
2025-06-17,IPAC,145.0,145.0,135.0,144.0,19100.0
2025-06-18,IPAC,144.0,144.0,144.0,144.0,100.0
2025-06-19,IPAC,144.0,144.0,144.0,144.0,100.0
2025-06-20,IPAC,134.0,147.0,134.0,147.0,6600.0
2025-06-23,IPAC,150.0,150.0,135.0,135.0,7900.0
2025-06-24,IPAC,135.0,140.0,130.0,140.0,3200.0
2025-06-25,IPAC,145.0,145.0,145.0,145.0,100.0
2025-06-26,IPAC,145.0,145.0,133.0,140.0,12000.0
2025-06-30,IPAC,147.0,147.0,130.0,131.0,35700.0
2025-07-01,IPAC,140.0,144.0,130.0,144.0,33000.0
2025-07-02,IPAC,149.0,149.0,132.0,145.0,10900.0
2025-07-03,IPAC,158.0,158.0,137.0,138.0,170700.0
2025-07-04,IPAC,138.0,150.0,138.0,139.0,12900.0
2025-07-07,IPAC,142.0,147.0,127.0,135.0,19200.0
2025-07-08,IPAC,142.0,142.0,132.0,138.0,13300.0
2025-07-09,IPAC,132.0,144.0,131.0,141.0,8100.0
2025-07-10,IPAC,141.0,148.0,132.0,141.0,25400.0
2025-07-11,IPAC,138.0,149.0,133.0,141.0,5900.0
2025-07-14,IPAC,141.0,143.0,127.0,137.0,93700.0
2025-07-15,IPAC,137.0,137.0,128.0,136.0,24500.0
2025-07-16,IPAC,137.0,138.0,124.0,135.0,69100.0
2025-07-17,IPAC,135.0,148.0,127.0,143.0,91400.0
2025-07-18,IPAC,143.0,146.0,137.0,145.0,14300.0
2025-07-21,IPAC,145.0,148.0,135.0,146.0,67000.0
2025-07-22,IPAC,154.0,154.0,139.0,143.0,249000.0
2025-07-23,IPAC,143.0,143.0,140.0,142.0,1400.0
2025-07-24,IPAC,142.0,142.0,133.0,140.0,17900.0
2025-07-25,IPAC,134.0,143.0,134.0,138.0,15600.0
2025-07-28,IPAC,134.0,144.0,132.0,144.0,199700.0
2025-07-29,IPAC,138.0,139.0,132.0,137.0,116500.0
2025-07-30,IPAC,137.0,137.0,132.0,137.0,133700.0
2025-07-31,IPAC,137.0,137.0,130.0,135.0,29500.0
2025-08-01,IPAC,139.0,139.0,132.0,133.0,37700.0
2025-08-04,IPAC,132.0,145.0,132.0,139.0,88300.0
2025-08-05,IPAC,143.0,143.0,139.0,139.0,2300.0
2025-08-06,IPAC,134.0,144.0,134.0,139.0,1300.0
2025-08-07,IPAC,142.0,150.0,135.0,143.0,86000.0
2025-08-08,IPAC,143.0,147.0,130.0,142.0,85000.0
2025-08-11,IPAC,141.0,141.0,131.0,140.0,1500.0
2025-08-12,IPAC,149.0,149.0,134.0,141.0,28200.0
2025-08-13,IPAC,132.0,144.0,132.0,140.0,2800.0
2025-08-14,IPAC,141.0,146.0,134.0,145.0,19300.0
2025-08-15,IPAC,145.0,145.0,137.0,137.0,16200.0
2025-08-19,IPAC,137.0,150.0,134.0,138.0,53600.0
2025-08-20,IPAC,141.0,148.0,127.0,141.0,32400.0
2025-08-21,IPAC,141.0,143.0,133.0,140.0,22300.0
2025-08-22,IPAC,136.0,140.0,135.0,140.0,11600.0
2025-08-25,IPAC,140.0,147.0,135.0,137.0,74400.0
2025-08-26,IPAC,144.0,150.0,134.0,141.0,288000.0
2025-08-27,IPAC,141.0,144.0,134.0,141.0,13400.0
2025-08-28,IPAC,135.0,143.0,130.0,138.0,128700.0
2025-08-29,IPAC,137.0,141.0,132.0,138.0,44400.0
2025-09-01,IPAC,137.0,138.0,131.0,138.0,164100.0
2025-09-02,IPAC,137.0,151.0,137.0,151.0,113400.0
2025-09-03,IPAC,151.0,155.0,150.0,150.0,57100.0
2025-09-04,IPAC,152.0,152.0,138.0,150.0,42400.0
2025-09-08,IPAC,145.0,150.0,145.0,146.0,61000.0
2025-09-09,IPAC,146.0,146.0,146.0,146.0,0.0
2025-09-10,IPAC,146.0,155.0,146.0,155.0,36900.0
2025-09-11,IPAC,155.0,161.0,152.0,153.0,1600.0
2025-09-12,IPAC,155.0,155.0,141.0,145.0,6400.0
2025-09-15,IPAC,155.0,155.0,145.0,149.0,42900.0
2025-09-16,IPAC,150.0,155.0,136.0,146.0,71300.0
2025-09-17,IPAC,148.0,155.0,136.0,148.0,84800.0
2025-09-18,IPAC,148.0,148.0,137.0,144.0,12600.0
2025-09-19,IPAC,144.0,144.0,130.0,141.0,50200.0
2025-09-22,IPAC,148.0,148.0,136.0,144.0,15400.0
2025-09-23,IPAC,145.0,158.0,145.0,158.0,288000.0
2025-09-24,IPAC,163.0,173.0,163.0,173.0,224600.0
2025-09-25,IPAC,180.0,190.0,174.0,190.0,703300.0
2025-09-26,IPAC,200.0,208.0,190.0,208.0,133300.0
2025-09-29,IPAC,212.0,228.0,212.0,228.0,100000.0
2025-09-30,IPAC,242.0,250.0,242.0,250.0,53400.0
2025-10-01,IPAC,274.0,274.0,274.0,274.0,46900.0
2025-10-02,IPAC,274.0,274.0,274.0,274.0,0.0
2025-10-03,IPAC,284.0,300.0,280.0,300.0,27700.0
2025-10-06,IPAC,330.0,330.0,330.0,330.0,6000.0
2025-10-07,IPAC,330.0,330.0,330.0,330.0,0.0
2025-10-08,IPAC,330.0,330.0,330.0,330.0,0.0
2025-10-09,IPAC,330.0,330.0,330.0,330.0,0.0
2025-10-10,IPAC,330.0,330.0,330.0,330.0,0.0
2025-10-13,IPAC,330.0,330.0,330.0,330.0,0.0
2025-10-14,IPAC,330.0,330.0,330.0,330.0,0.0
2025-10-15,IPAC,330.0,330.0,330.0,330.0,0.0
2025-10-16,IPAC,330.0,330.0,330.0,330.0,0.0
2025-10-17,IPAC,330.0,330.0,330.0,330.0,0.0
2025-10-20,IPAC,330.0,330.0,330.0,330.0,0.0
2025-10-21,IPAC,362.0,362.0,352.0,352.0,314400.0
2025-10-22,IPAC,318.0,318.0,318.0,318.0,153500.0
2025-10-23,IPAC,288.0,288.0,288.0,288.0,89800.0
2025-10-24,IPAC,272.0,316.0,272.0,316.0,438400.0
2025-10-27,IPAC,346.0,346.0,346.0,346.0,166000.0
2025-10-28,IPAC,380.0,380.0,380.0,380.0,577200.0
2025-10-29,IPAC,418.0,418.0,380.0,418.0,625600.0
2025-10-30,IPAC,380.0,458.0,378.0,378.0,765700.0
2025-10-31,IPAC,376.0,378.0,342.0,342.0,407700.0
2025-11-03,IPAC,322.0,342.0,308.0,320.0,915800.0
2025-11-04,IPAC,320.0,346.0,288.0,288.0,2829400.0
2025-11-05,IPAC,288.0,288.0,260.0,260.0,1160500.0
2025-11-06,IPAC,258.0,260.0,234.0,246.0,2235700.0
2025-11-07,IPAC,250.0,250.0,228.0,242.0,1299600.0
2025-11-10,IPAC,250.0,250.0,218.0,242.0,971800.0
2025-11-11,IPAC,240.0,240.0,222.0,230.0,633300.0
2025-11-12,IPAC,232.0,250.0,226.0,232.0,1043600.0
2025-11-13,IPAC,232.0,238.0,226.0,228.0,404400.0
2025-11-14,IPAC,228.0,228.0,214.0,220.0,268200.0
2025-11-17,IPAC,214.0,238.0,210.0,218.0,314200.0
2025-11-18,IPAC,218.0,230.0,214.0,220.0,243100.0
2025-11-19,IPAC,220.0,220.0,212.0,220.0,223200.0
2025-11-20,IPAC,216.0,220.0,210.0,214.0,77400.0
2025-11-21,IPAC,212.0,218.0,206.0,208.0,70800.0
2025-11-24,IPAC,210.0,210.0,198.0,206.0,403500.0
2025-11-25,IPAC,200.0,206.0,197.0,198.0,226200.0
2025-11-26,IPAC,199.0,204.0,190.0,195.0,309200.0
2025-11-27,IPAC,195.0,206.0,189.0,189.0,296900.0
2025-11-28,IPAC,191.0,206.0,191.0,204.0,391400.0
2025-12-01,IPAC,208.0,220.0,200.0,208.0,351200.0
2025-12-02,IPAC,190.0,200.0,189.0,199.0,160000.0
2025-12-03,IPAC,200.0,200.0,181.0,198.0,136200.0
2025-12-04,IPAC,198.0,199.0,190.0,195.0,41800.0
