Date,Kode,Open,High,Low,Close,Volume_Online
2025-06-13,IPPE,14.0,14.0,14.0,14.0,0.0
2025-06-16,IPPE,14.0,14.0,14.0,14.0,0.0
2025-06-17,IPPE,14.0,14.0,14.0,14.0,0.0
2025-06-18,IPPE,14.0,14.0,14.0,14.0,0.0
2025-06-19,IPPE,14.0,14.0,14.0,14.0,0.0
2025-06-20,IPPE,14.0,14.0,14.0,14.0,0.0
2025-06-23,IPPE,14.0,14.0,14.0,14.0,0.0
2025-06-24,IPPE,14.0,14.0,14.0,14.0,0.0
2025-06-25,IPPE,14.0,14.0,14.0,14.0,0.0
2025-06-26,IPPE,14.0,14.0,14.0,14.0,0.0
2025-06-30,IPPE,14.0,14.0,14.0,14.0,0.0
2025-07-01,IPPE,14.0,14.0,14.0,14.0,0.0
2025-07-02,IPPE,14.0,14.0,14.0,14.0,0.0
2025-07-03,IPPE,14.0,14.0,14.0,14.0,0.0
2025-07-04,IPPE,14.0,14.0,14.0,14.0,0.0
2025-07-07,IPPE,14.0,14.0,14.0,14.0,0.0
2025-07-08,IPPE,14.0,14.0,14.0,14.0,0.0
2025-07-09,IPPE,14.0,14.0,14.0,14.0,0.0
2025-07-10,IPPE,14.0,14.0,14.0,14.0,0.0
2025-07-11,IPPE,14.0,14.0,14.0,14.0,0.0
2025-07-14,IPPE,14.0,14.0,14.0,14.0,0.0
2025-07-15,IPPE,14.0,14.0,14.0,14.0,0.0
2025-07-16,IPPE,14.0,14.0,14.0,14.0,0.0
2025-07-17,IPPE,14.0,14.0,14.0,14.0,0.0
2025-07-18,IPPE,14.0,14.0,14.0,14.0,0.0
2025-07-21,IPPE,14.0,14.0,14.0,14.0,0.0
2025-07-22,IPPE,14.0,14.0,14.0,14.0,0.0
2025-07-23,IPPE,14.0,14.0,14.0,14.0,0.0
2025-07-24,IPPE,14.0,14.0,14.0,14.0,0.0
2025-07-25,IPPE,14.0,14.0,14.0,14.0,0.0
2025-07-28,IPPE,14.0,14.0,14.0,14.0,0.0
2025-07-29,IPPE,14.0,14.0,14.0,14.0,0.0
2025-07-30,IPPE,14.0,14.0,14.0,14.0,0.0
2025-07-31,IPPE,14.0,14.0,14.0,14.0,0.0
